300132 青松股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/26/2010	5.26	5.62	5.19	5.25	11018098	352290592.000
10/27/2010	5.32	5.75	5.05	5.60	6059877	193974608.000
10/28/2010	5.40	5.57	5.28	5.34	3665445	117786640.000
10/29/2010	5.31	5.51	5.22	5.34	2886718	92066960.000
11/01/2010	5.37	5.52	5.33	5.43	3347571	107826392.000
11/02/2010	5.43	5.58	5.12	5.16	3075584	97924296.000
11/03/2010	5.05	5.09	4.81	4.90	2141848	62634572.000
11/04/2010	4.89	4.99	4.88	4.98	1303848	38311756.000
11/05/2010	4.98	5.04	4.92	5.02	919338	27251396.000
11/08/2010	4.95	5.17	4.95	5.17	1215528	36814804.000
11/09/2010	5.22	5.46	5.14	5.37	2043579	64474020.000
11/10/2010	5.33	5.51	5.33	5.46	1437126	46291504.000
11/11/2010	5.41	5.65	5.35	5.39	1876257	61111864.000
11/12/2010	5.34	5.45	5.14	5.16	1172951	36697964.000
11/15/2010	5.17	5.50	5.17	5.48	1273600	40566032.000
11/16/2010	5.50	5.64	5.29	5.36	1475171	47812812.000
11/17/2010	5.36	5.40	5.06	5.09	1476308	45653520.000
11/18/2010	5.08	5.30	4.88	5.30	2162190	64983680.000
11/19/2010	5.27	5.41	5.21	5.41	1679685	53020188.000
11/22/2010	5.40	5.86	5.37	5.72	2578375	86321896.000
11/23/2010	5.67	5.72	5.45	5.64	1374879	45528172.000
11/24/2010	5.57	5.83	5.55	5.77	1256549	42673184.000
11/25/2010	5.77	5.98	5.60	5.69	1866409	64004756.000
11/26/2010	5.66	5.77	5.62	5.74	1073970	36256476.000
11/29/2010	5.77	5.79	5.70	5.79	892814	30388424.000
11/30/2010	5.74	5.83	5.34	5.55	1538740	50510824.000
12/01/2010	5.43	5.56	5.43	5.53	627176	20509378.000
12/02/2010	5.57	5.69	5.49	5.52	636715	20934060.000
12/03/2010	5.52	5.55	5.29	5.38	974723	31152654.000
12/07/2010	5.22	5.48	5.19	5.46	864858	27584790.000
12/08/2010	5.43	5.47	5.40	5.43	278486	8972109.000
12/09/2010	5.43	5.46	5.32	5.36	647779	20755710.000
12/10/2010	5.32	5.46	5.29	5.43	394119	12627947.000
12/13/2010	5.48	5.66	5.45	5.65	951317	31525366.000
12/14/2010	5.67	5.78	5.64	5.67	808620	27226040.000
12/15/2010	5.68	5.77	5.64	5.67	710880	23995990.000
12/16/2010	5.63	5.77	5.63	5.65	629496	21221224.000
12/17/2010	5.70	5.97	5.66	5.92	1399727	48301136.000
12/20/2010	5.94	6.07	5.71	6.02	1538848	53938016.000
12/21/2010	5.97	6.42	5.97	6.24	1919214	70736952.000
12/22/2010	6.18	6.31	6.15	6.18	798086	29367930.000
12/23/2010	6.15	6.21	5.87	5.91	981713	34689436.000
12/24/2010	5.86	5.89	5.59	5.69	688311	23320404.000
12/27/2010	5.67	5.83	5.53	5.53	556586	18800626.000
12/28/2010	5.53	5.62	5.45	5.59	419352	13755465.000
12/29/2010	5.58	5.67	5.56	5.67	517569	17256568.000
12/30/2010	5.64	5.78	5.62	5.69	360196	12159467.000
12/31/2010	5.72	6.03	5.63	6.03	858357	29814488.000
01/04/2011	6.06	6.31	5.94	6.31	959830	34970276.000
01/05/2011	6.26	6.40	6.12	6.20	653459	24074602.000
01/06/2011	6.14	6.32	6.10	6.24	514552	18848966.000
01/07/2011	6.17	6.31	5.92	5.99	765972	27893034.000
01/10/2011	5.98	6.04	5.75	5.87	445227	15552248.000
01/11/2011	5.76	5.90	5.76	5.86	254080	8749919.000
01/12/2011	5.84	6.07	5.84	6.01	534104	18835458.000
01/13/2011	6.01	6.05	5.81	5.81	483524	16973820.000
01/14/2011	5.78	5.79	5.42	5.48	699954	23040302.000
01/17/2011	5.45	5.50	5.28	5.30	537385	17113378.000
01/18/2011	5.23	5.36	5.23	5.34	323578	10168947.000
01/19/2011	5.32	5.55	5.25	5.54	361043	11627388.000
01/20/2011	5.55	5.55	5.15	5.15	473600	15018705.000
01/21/2011	5.11	5.25	5.01	5.17	369741	11282981.000
01/24/2011	5.17	5.21	4.70	4.75	486370	14239205.000
01/25/2011	4.72	4.83	4.53	4.66	361521	10063450.000
01/26/2011	4.51	4.95	4.44	4.91	2300844	63328916.000
01/27/2011	4.75	4.92	4.73	4.86	1131090	32390898.000
01/28/2011	4.81	4.89	4.74	4.82	830423	23773724.000
01/31/2011	4.77	4.89	4.76	4.88	574765	16531667.000
02/01/2011	4.89	4.90	4.81	4.83	403297	11620736.000
02/09/2011	4.78	4.83	4.62	4.64	566921	15959358.000
02/10/2011	4.63	4.87	4.63	4.87	614571	17544322.000
02/11/2011	4.87	5.00	4.86	4.94	589486	17348406.000
02/14/2011	4.96	5.10	4.96	5.08	872157	26241796.000
02/15/2011	5.10	5.49	5.10	5.31	1504644	47787424.000
02/16/2011	5.33	5.45	5.31	5.41	772422	24627424.000
02/17/2011	5.48	5.48	5.28	5.38	620959	19658880.000
02/18/2011	5.38	5.65	5.38	5.57	906435	29823336.000
02/21/2011	5.57	5.69	5.49	5.58	920389	30401604.000
02/22/2011	5.59	5.59	5.22	5.22	983215	31393392.000
02/23/2011	5.20	5.41	5.16	5.35	634569	20015758.000
02/24/2011	5.35	5.55	5.28	5.43	558560	17967630.000
02/25/2011	5.31	5.43	5.28	5.34	328739	10401888.000
02/28/2011	5.46	5.47	5.35	5.44	299624	9627357.000
03/01/2011	5.41	5.53	5.37	5.53	494644	15970497.000
03/02/2011	5.50	5.60	5.43	5.52	419014	13684209.000
03/03/2011	5.50	5.55	5.27	5.29	424627	13621384.000
03/04/2011	5.34	5.43	5.27	5.40	212249	6715003.500
03/07/2011	5.41	5.44	5.35	5.42	337688	10816498.000
03/08/2011	5.40	5.49	5.36	5.48	387900	12514580.000
03/09/2011	5.53	5.53	5.43	5.49	341744	11090888.000
03/10/2011	5.53	5.73	5.50	5.72	1180948	39510328.000
03/11/2011	5.75	5.92	5.75	5.81	1089493	37586680.000
03/14/2011	5.74	5.97	5.69	5.91	918096	31826828.000
03/15/2011	5.91	5.95	5.69	5.91	1141832	39277388.000
03/16/2011	5.81	6.08	5.66	5.99	1762247	60655468.000
03/17/2011	5.88	5.95	5.75	5.79	770305	26611250.000
03/18/2011	5.83	5.86	5.77	5.82	432653	14875888.000
03/21/2011	5.82	5.89	5.76	5.78	382609	13167757.000
