300133 华策影视 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/26/2010	9.62	10.52	9.53	10.29	9466438	995446336.000
10/27/2010	10.02	10.04	9.23	9.23	4659326	469081856.000
10/28/2010	9.28	10.01	9.28	9.78	2948094	300774560.000
10/29/2010	9.90	10.79	9.67	10.79	2132794	230031600.000
11/01/2010	11.14	11.88	11.09	11.28	3335369	397442336.000
11/02/2010	11.09	11.54	10.60	10.67	2497270	287711744.000
11/03/2010	10.42	10.49	9.67	9.80	2434996	253887360.000
11/04/2010	9.89	10.00	9.58	9.90	1509270	155292432.000
11/05/2010	9.92	10.12	9.72	9.92	1174145	122041264.000
11/08/2010	9.87	10.37	9.77	10.21	1336996	141968848.000
11/09/2010	10.11	10.14	9.97	10.06	997109	104789696.000
11/10/2010	10.05	10.80	9.97	10.64	1227191	134143048.000
11/11/2010	10.56	11.49	10.53	10.84	1539106	177008064.000
11/12/2010	10.91	11.58	10.53	11.16	2178750	253277504.000
11/15/2010	11.39	11.78	11.21	11.53	1412858	170395232.000
11/16/2010	11.45	11.72	11.05	11.11	1247035	147996272.000
11/17/2010	11.05	11.93	10.90	11.44	1371636	165772992.000
11/18/2010	11.51	11.68	11.00	11.44	953711	112569872.000
11/19/2010	11.45	11.93	11.45	11.82	877380	107387592.000
11/22/2010	11.74	12.22	11.41	11.64	1036721	128194128.000
11/23/2010	11.44	11.73	11.34	11.59	617035	74032296.000
11/24/2010	11.44	11.84	11.44	11.84	622857	76149472.000
11/25/2010	12.03	12.03	11.29	11.42	982439	118776896.000
11/26/2010	11.36	11.58	11.29	11.50	473906	56751008.000
11/29/2010	11.49	11.83	11.43	11.72	561014	68570056.000
11/30/2010	11.86	11.87	11.01	11.18	1173933	139339760.000
12/01/2010	11.10	11.19	10.97	10.99	569865	65779488.000
12/02/2010	11.10	11.35	11.00	11.00	576274	67093508.000
12/03/2010	11.03	11.21	11.01	11.16	388570	45131940.000
12/06/2010	11.21	11.23	10.54	10.62	721978	81173608.000
12/07/2010	10.54	10.79	10.31	10.72	399067	44411292.000
12/08/2010	10.71	10.84	10.43	10.48	359133	39939008.000
12/09/2010	10.40	10.64	10.34	10.44	296522	32564772.000
12/10/2010	10.36	10.67	10.35	10.66	272666	30120926.000
12/13/2010	10.74	11.06	10.74	10.99	437178	49934500.000
12/14/2010	11.00	11.06	10.92	11.05	318410	36651300.000
12/15/2010	11.05	11.48	10.94	11.09	691586	80789832.000
12/16/2010	11.08	11.29	11.02	11.22	368929	43065872.000
