300134 大富科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/26/2010	21.74	22.57	20.76	20.85	20863835	1124630912.000
10/27/2010	20.90	20.90	20.12	20.19	7689879	399478592.000
10/28/2010	20.30	21.03	20.29	20.73	5601509	293668928.000
10/29/2010	20.90	22.29	20.70	21.83	8250104	447999552.000
11/01/2010	22.57	23.61	22.20	22.97	8593370	493200384.000
11/02/2010	22.95	23.07	21.87	22.15	7000670	396451296.000
11/03/2010	21.82	22.57	21.46	21.62	4055459	225108320.000
11/04/2010	21.65	22.15	21.61	22.07	2892785	160051296.000
11/05/2010	22.15	22.65	21.89	22.33	3439417	193092576.000
11/08/2010	22.60	23.90	22.45	23.85	5826964	341732896.000
11/09/2010	23.59	25.04	23.40	23.78	5698395	347079936.000
11/10/2010	23.85	24.95	23.62	24.85	3917058	240665296.000
11/11/2010	24.88	25.89	24.51	24.57	3884848	248155472.000
11/12/2010	24.28	25.26	23.41	23.74	3695144	224755088.000
11/16/2010	25.25	25.87	24.24	24.40	5260593	331698720.000
11/17/2010	24.01	24.82	23.05	23.24	3097440	187210144.000
11/18/2010	23.74	23.86	22.99	23.54	2103841	124285432.000
11/19/2010	23.60	24.95	23.60	24.95	2750259	168735712.000
11/22/2010	25.03	26.53	25.03	25.76	3352374	217467552.000
11/23/2010	25.53	26.11	25.10	25.93	3503610	225426224.000
11/24/2010	25.84	26.81	25.70	26.65	2106108	138862048.000
11/25/2010	26.53	26.59	25.98	26.50	2282766	150100128.000
11/26/2010	26.53	27.09	26.33	26.97	1642632	110417256.000
11/29/2010	26.92	27.06	26.35	26.69	1457213	97478152.000
11/30/2010	26.64	26.65	24.95	25.67	2146684	138358848.000
12/01/2010	25.49	26.15	25.35	25.68	785709	50825560.000
12/02/2010	26.03	26.10	24.99	25.45	1247295	79701208.000
12/03/2010	25.33	25.39	24.87	25.22	1031998	65190636.000
12/06/2010	25.28	25.46	23.95	24.10	1112373	68473400.000
12/07/2010	24.04	24.57	23.66	24.49	826584	50457180.000
12/08/2010	24.51	24.74	23.78	23.87	833156	50908484.000
12/09/2010	23.78	24.48	23.47	23.90	678503	40813532.000
12/10/2010	23.78	24.65	23.65	24.59	752342	46165612.000
12/13/2010	24.90	25.69	24.69	25.45	1248505	79168824.000
12/14/2010	25.29	25.81	25.24	25.59	907228	58120328.000
12/15/2010	25.59	25.70	25.00	25.02	737243	47014840.000
12/16/2010	24.95	25.60	24.95	25.20	558417	35566620.000
12/17/2010	27.02	27.83	26.11	27.48	4798320	326096448.000
12/20/2010	27.24	28.43	26.74	28.28	3780874	260411680.000
12/21/2010	28.14	28.51	27.62	27.90	1625210	113640096.000
12/22/2010	28.08	28.28	27.58	27.79	1159850	81063800.000
12/23/2010	27.72	27.99	26.66	26.78	1556208	105858768.000
12/24/2010	26.61	26.82	25.90	26.07	915222	60392740.000
12/27/2010	26.47	26.90	24.99	25.02	1143584	74910128.000
12/28/2010	24.99	25.45	24.52	25.05	843574	52788552.000
12/29/2010	25.05	25.66	25.03	25.63	728887	46394288.000
12/30/2010	25.55	25.98	25.28	25.85	763744	49243432.000
12/31/2010	25.99	26.45	25.70	26.32	764007	50198700.000
01/04/2011	28.38	29.07	28.38	29.07	2123495	153470944.000
01/05/2011	29.57	29.79	28.56	29.24	3196524	233540640.000
01/06/2011	29.02	30.28	28.85	29.23	2345695	174324112.000
01/07/2011	29.05	29.40	27.57	27.83	1636561	116487136.000
01/10/2011	27.75	28.97	27.53	27.99	1465432	103607136.000
01/11/2011	27.95	29.07	27.75	28.67	1308877	93139456.000
01/12/2011	28.68	29.78	28.24	29.35	1316982	95464448.000
01/13/2011	29.78	29.78	28.26	28.35	1040321	74808136.000
01/14/2011	28.19	28.19	26.45	27.17	1720164	116659456.000
