300135 宝利沥青 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
10/26/2010	6.01	6.29	6.01	6.08	11286979	463667584.000
10/27/2010	5.89	6.22	5.85	6.01	4429599	178700832.000
10/28/2010	5.96	6.63	5.96	6.54	6605179	280127232.000
10/29/2010	6.48	6.81	6.41	6.63	4880395	215780320.000
11/01/2010	6.70	7.04	6.53	6.84	3976473	181709280.000
11/02/2010	6.76	6.84	6.45	6.45	3965989	174588048.000
11/03/2010	6.37	6.44	6.15	6.18	2201583	92068472.000
11/04/2010	6.23	6.49	6.19	6.48	1790817	75607680.000
11/05/2010	6.48	6.57	6.36	6.50	1627382	70209880.000
11/08/2010	6.50	7.03	6.47	6.91	3035787	137002304.000
11/09/2010	6.89	7.29	6.76	7.21	3334118	156334624.000
11/10/2010	7.24	7.52	7.24	7.31	2297663	111974024.000
11/11/2010	7.23	7.79	7.23	7.51	2693267	135232464.000
11/12/2010	7.48	7.83	7.11	7.28	2893488	143319440.000
11/15/2010	7.33	7.78	7.33	7.72	2356206	118498216.000
11/16/2010	7.62	8.48	7.62	8.35	2850486	151289904.000
11/17/2010	8.22	8.48	7.49	7.74	1717151	91912280.000
11/19/2010	7.89	8.26	7.86	8.15	1586289	84344936.000
11/22/2010	8.09	8.58	7.81	7.97	2111698	114727840.000
11/23/2010	7.86	8.38	7.86	8.28	1106693	59169236.000
11/24/2010	8.28	8.36	8.11	8.26	880801	47875728.000
11/25/2010	8.27	8.56	7.86	7.98	1671694	89899088.000
11/26/2010	7.86	8.07	7.86	7.95	876006	46022864.000
11/29/2010	7.99	8.06	7.90	7.96	1256843	66483196.000
11/30/2010	7.99	7.99	7.23	7.38	2508557	124757640.000
12/01/2010	7.39	7.49	7.23	7.40	972002	47334240.000
12/02/2010	7.47	7.68	7.43	7.44	1182831	59170372.000
12/03/2010	7.43	7.43	7.23	7.40	730198	35426544.000
12/06/2010	7.40	7.40	7.15	7.19	615424	29581494.000
12/07/2010	7.19	7.54	7.19	7.54	793612	38887876.000
12/08/2010	7.50	7.58	7.37	7.40	604989	29969244.000
12/09/2010	7.39	7.50	7.24	7.26	548866	26754178.000
12/10/2010	7.25	7.42	7.15	7.39	490584	23792242.000
12/13/2010	7.52	7.84	7.43	7.76	919482	46814884.000
12/14/2010	7.76	7.84	7.64	7.72	609591	31166314.000
12/15/2010	7.68	7.74	7.52	7.59	560902	28369132.000
12/16/2010	7.54	7.65	7.54	7.59	490866	24738192.000
12/20/2010	7.70	7.82	7.20	7.50	956452	48126636.000
12/21/2010	7.50	7.55	7.32	7.34	1515609	74106968.000
12/22/2010	7.35	7.43	7.30	7.35	982743	47995544.000
12/23/2010	7.38	7.38	7.11	7.12	865840	41526444.000
12/24/2010	7.13	7.14	6.80	6.84	1256345	57685868.000
12/27/2010	6.84	6.99	6.54	6.55	732485	32941286.000
12/28/2010	6.47	6.73	6.47	6.66	541004	23893986.000
12/29/2010	6.75	6.80	6.64	6.79	425146	19054876.000
12/30/2010	6.79	6.82	6.64	6.74	392451	17602028.000
12/31/2010	6.73	6.90	6.68	6.89	360718	16387945.000
01/04/2011	6.91	7.16	6.88	7.08	839740	39365456.000
01/05/2011	7.15	7.15	7.01	7.08	525579	24707970.000
01/06/2011	7.09	7.09	6.90	6.90	537291	24846098.000
01/07/2011	6.89	6.94	6.76	6.76	516590	23539800.000
01/10/2011	6.79	6.79	6.57	6.57	450572	20025078.000
01/11/2011	6.42	6.54	6.42	6.50	548807	23732020.000
01/12/2011	6.51	6.68	6.51	6.68	567957	25026402.000
01/13/2011	6.71	6.76	6.65	6.67	269948	12004252.000
01/14/2011	6.67	6.68	6.38	6.45	530447	22964540.000
01/17/2011	6.40	6.53	6.25	6.25	410809	17415056.000
01/18/2011	6.26	6.31	6.16	6.29	276698	11554371.000
01/19/2011	6.26	6.43	6.23	6.43	367988	15569042.000
01/20/2011	6.43	6.45	6.20	6.22	507699	21385690.000
01/21/2011	6.17	6.36	6.17	6.30	225303	9433756.000
01/24/2011	6.30	6.33	5.99	6.03	324200	13377742.000
01/25/2011	6.00	6.03	5.83	5.95	339456	13411649.000
01/26/2011	5.90	5.95	5.65	5.88	2285085	88566560.000
01/27/2011	5.81	6.10	5.76	6.08	1394692	55199684.000
01/28/2011	6.07	6.12	5.97	6.08	735128	29636440.000
01/31/2011	6.03	6.26	5.99	6.19	705634	28881424.000
02/01/2011	6.19	6.21	6.07	6.09	542521	22144978.000
02/09/2011	6.00	6.18	5.99	6.04	432507	17647218.000
02/10/2011	6.04	6.29	6.00	6.26	675471	27942764.000
02/11/2011	6.29	6.92	6.28	6.92	2172007	97069504.000
02/14/2011	7.04	7.45	6.93	7.22	2911178	137563712.000
02/15/2011	7.16	7.39	7.12	7.29	1444592	69781536.000
02/16/2011	7.29	7.53	7.20	7.48	1358380	66435620.000
02/17/2011	7.56	7.56	7.22	7.34	1311544	64216412.000
02/18/2011	7.34	7.34	7.10	7.15	1112731	53001260.000
02/21/2011	7.31	7.60	7.19	7.52	1353193	66523928.000
02/22/2011	7.54	7.55	6.92	7.15	1827972	86866672.000
02/23/2011	7.18	7.49	7.15	7.27	1252414	60633736.000
02/24/2011	7.27	7.38	7.12	7.13	1048715	49994324.000
02/25/2011	7.13	7.21	6.96	7.20	556079	26302672.000
03/01/2011	7.37	7.37	7.05	7.09	726237	34713792.000
03/02/2011	7.00	7.04	6.83	6.92	955702	43939328.000
03/03/2011	6.97	7.64	6.97	7.35	3254246	160864864.000
03/04/2011	7.45	7.54	7.23	7.35	1839201	89978800.000
03/07/2011	7.33	7.40	7.23	7.39	1282161	62326872.000
03/08/2011	7.37	7.38	7.23	7.31	818229	39729660.000
03/09/2011	7.31	7.62	7.25	7.41	1389518	68956680.000
03/10/2011	7.39	7.85	7.39	7.72	2198776	112060736.000
03/11/2011	7.66	7.76	7.55	7.60	880614	44674628.000
03/14/2011	7.55	7.73	7.39	7.60	674461	33757116.000
03/15/2011	7.61	7.84	7.45	7.70	1055389	53277208.000
03/16/2011	7.70	7.79	7.58	7.70	585127	29854370.000
03/17/2011	7.67	7.67	7.41	7.45	1141520	56952052.000
