300136 信维通信 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
11/05/2010	10.80	12.94	10.68	12.82	11664457	556599040.000
11/08/2010	12.60	14.12	12.48	14.12	4109310	221358688.000
11/09/2010	14.12	15.23	13.35	13.92	4804861	277871456.000
11/10/2010	14.38	15.10	14.24	14.62	2456823	145157856.000
11/11/2010	14.48	15.27	14.48	14.98	1599830	96860736.000
11/12/2010	14.72	15.08	13.65	14.61	1943376	114141544.000
11/15/2010	14.60	15.60	14.23	15.41	1739397	104930944.000
11/16/2010	15.34	15.85	14.10	14.35	1864203	111789056.000
11/17/2010	14.02	14.30	13.60	13.67	1325283	74222104.000
11/18/2010	13.98	14.35	13.44	14.11	964948	54360156.000
11/19/2010	14.12	15.23	13.85	15.03	1533073	90646136.000
11/22/2010	14.91	16.45	14.91	15.94	1463874	93960384.000
11/23/2010	15.65	16.54	15.60	16.43	1115786	72677504.000
11/24/2010	16.16	16.68	16.16	16.43	630021	41690844.000
11/25/2010	16.30	16.60	15.73	16.13	683699	44411036.000
11/26/2010	15.88	16.35	15.75	16.01	622488	40105364.000
11/29/2010	16.10	16.10	15.57	16.01	686545	43833388.000
11/30/2010	16.02	16.48	14.88	16.17	993020	63378328.000
12/01/2010	16.17	16.31	15.61	15.61	561225	35771804.000
12/02/2010	15.68	15.85	14.90	15.00	729072	44898440.000
12/03/2010	14.98	15.35	14.74	14.92	465038	28036256.000
12/06/2010	14.96	15.10	14.13	14.68	536881	31613798.000
12/07/2010	14.65	15.13	14.18	15.03	319609	19069742.000
12/08/2010	15.03	15.15	14.30	14.35	444293	26215790.000
12/09/2010	14.43	14.53	14.14	14.30	608224	35204200.000
12/10/2010	14.22	14.67	14.21	14.58	340800	19909636.000
12/13/2010	14.85	15.80	14.66	15.50	659728	41036388.000
12/14/2010	15.50	16.23	15.48	15.96	670979	43197236.000
12/15/2010	15.93	15.93	15.50	15.74	419869	26575166.000
12/16/2010	15.74	16.25	15.64	16.10	410112	26526554.000
12/17/2010	16.10	17.24	15.89	17.24	603930	40448220.000
12/20/2010	17.11	18.30	16.98	17.40	768195	54529068.000
12/21/2010	17.40	17.84	17.18	17.30	389018	27315944.000
12/22/2010	17.10	17.30	16.61	16.70	442013	30099402.000
12/23/2010	16.63	16.98	15.98	16.10	294375	19675228.000
12/24/2010	16.10	16.78	15.63	15.75	361485	23539498.000
12/27/2010	16.25	16.32	14.60	14.69	425967	26511572.000
12/28/2010	14.69	14.97	14.06	14.70	778204	45042256.000
12/29/2010	14.70	15.35	14.50	15.18	462554	28174374.000
12/30/2010	15.32	16.00	15.23	15.72	560236	35240000.000
12/31/2010	15.74	17.09	15.13	16.80	644102	42814640.000
01/04/2011	17.07	18.23	16.85	17.64	1062234	75406872.000
01/05/2011	17.64	17.97	17.10	17.35	439077	30924878.000
01/06/2011	17.10	18.88	17.10	18.35	554023	40305224.000
01/07/2011	17.90	18.85	16.98	17.10	605854	42914452.000
01/10/2011	17.10	17.32	15.63	16.10	1050810	69661944.000
01/11/2011	16.10	16.45	15.63	16.19	335969	21670942.000
01/12/2011	16.21	16.90	15.85	16.30	359853	23874140.000
01/13/2011	16.20	16.59	16.10	16.25	188237	12389274.000
01/14/2011	16.30	16.30	15.33	15.54	460415	28911134.000
01/17/2011	15.39	15.73	14.83	15.02	326487	19950946.000
01/18/2011	14.75	15.70	14.75	15.59	464040	28848744.000
01/19/2011	15.57	15.88	15.10	15.87	288759	18185648.000
01/20/2011	15.68	16.21	15.10	15.38	371733	23686924.000
01/21/2011	15.18	15.35	14.84	15.23	460328	27980310.000
01/24/2011	15.10	15.31	13.69	13.70	1190410	67263536.000
01/25/2011	12.77	13.70	12.51	13.40	491983	25935486.000
01/26/2011	13.35	13.48	12.63	12.86	579582	30468626.000
01/27/2011	12.65	13.28	12.65	13.08	494820	26050804.000
01/28/2011	13.05	13.77	12.91	13.70	343101	18526660.000
01/31/2011	13.57	14.05	13.43	13.57	330914	18263394.000
02/01/2011	13.70	13.72	12.80	13.35	570399	30169310.000
02/09/2011	13.07	13.31	12.85	12.98	1608027	84990848.000
02/10/2011	12.85	13.97	12.78	13.94	883310	47551976.000
02/11/2011	13.85	14.64	13.80	14.55	801778	46734980.000
02/14/2011	14.55	14.90	14.27	14.35	627841	36940208.000
02/15/2011	14.35	14.50	14.23	14.44	450747	26197238.000
02/16/2011	14.60	15.75	14.55	15.63	710389	43453620.000
02/17/2011	15.49	15.72	15.11	15.36	421693	26233674.000
02/18/2011	15.35	15.44	15.00	15.38	519153	31710838.000
