300137 先河环保 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
11/05/2010	11.46	12.94	11.16	12.26	19808235	634798272.000
11/08/2010	12.56	12.99	12.19	12.52	10767551	369284768.000
11/09/2010	12.26	13.13	12.16	12.70	7407394	254966736.000
11/10/2010	12.88	13.47	12.73	13.07	5802234	206368896.000
11/11/2010	13.50	13.99	13.10	13.20	6695749	246756016.000
11/12/2010	13.04	13.66	12.74	13.44	6412283	230816848.000
11/15/2010	13.59	14.76	13.27	14.66	5666628	215049632.000
11/16/2010	14.37	14.96	13.30	13.59	5077943	194195888.000
11/17/2010	13.26	13.95	13.10	13.21	2866380	104486920.000
11/18/2010	13.44	13.50	12.74	13.17	2293737	81659312.000
11/19/2010	13.17	13.77	12.91	13.63	2875525	104171080.000
11/22/2010	13.61	14.00	13.11	13.46	3471289	128194344.000
11/23/2010	13.55	14.02	13.47	13.99	3510718	131148888.000
11/24/2010	13.84	14.37	13.81	14.13	3220295	123112200.000
11/25/2010	14.18	14.19	13.41	13.67	3614193	134772320.000
11/26/2010	13.52	13.81	13.36	13.60	1800513	66499960.000
11/29/2010	13.48	13.98	13.45	13.79	2169540	80881136.000
11/30/2010	13.78	13.95	12.78	12.98	2455970	88110536.000
12/01/2010	12.89	13.30	12.84	13.25	1560129	55677984.000
12/02/2010	13.45	13.54	13.00	13.04	2191033	78420792.000
12/03/2010	13.04	13.13	12.52	12.66	1711903	59172968.000
12/06/2010	12.67	12.71	12.28	12.54	1426300	48168944.000
12/07/2010	12.48	12.87	12.35	12.76	1397946	48160440.000
12/08/2010	12.71	12.99	12.33	12.37	1536780	53019276.000
12/09/2010	12.39	12.74	12.37	12.65	1590553	54357576.000
12/10/2010	12.63	13.29	12.52	13.15	1927831	67835608.000
12/13/2010	13.43	14.47	13.41	13.98	3574740	135817696.000
12/14/2010	13.92	14.74	13.70	14.62	3914628	152566048.000
12/15/2010	14.56	14.88	14.26	14.55	2144685	84978008.000
12/16/2010	14.50	14.95	14.37	14.75	1813178	72616328.000
12/20/2010	15.11	15.73	14.77	15.15	2605981	107792712.000
12/21/2010	15.18	15.40	14.84	14.95	2057411	84228224.000
12/22/2010	14.79	15.10	14.39	14.53	1640416	65271124.000
12/23/2010	14.54	14.66	14.01	14.03	1499388	57907828.000
12/24/2010	14.00	14.16	13.77	13.92	903018	34320628.000
12/27/2010	13.94	14.36	12.89	13.48	1557844	58096844.000
12/28/2010	13.30	13.62	13.08	13.52	858649	31165404.000
12/29/2010	13.50	13.74	13.37	13.67	707049	26087934.000
12/30/2010	13.69	14.15	13.57	13.93	981245	37185764.000
12/31/2010	13.74	14.17	13.74	14.08	726307	27692302.000
01/04/2011	14.17	14.29	13.84	13.99	2108640	79855704.000
01/05/2011	13.92	14.42	13.48	14.42	2023096	76530984.000
01/06/2011	14.26	14.44	14.12	14.31	1139482	44218236.000
01/07/2011	14.19	14.24	13.45	13.64	834533	31302142.000
01/10/2011	13.62	13.95	13.00	13.00	1526477	55907088.000
01/11/2011	12.96	13.12	12.44	12.75	1061851	36671320.000
01/12/2011	12.83	13.00	12.60	12.85	546679	18985594.000
01/13/2011	12.88	13.03	12.54	12.76	331701	11552191.000
01/14/2011	12.76	12.77	11.73	11.85	1137758	37795324.000
01/17/2011	11.77	11.95	11.42	11.63	574460	18280068.000
01/18/2011	11.63	11.87	11.57	11.82	431245	13815232.000
01/19/2011	11.85	12.26	11.78	12.16	685387	22421858.000
01/20/2011	12.24	12.33	11.34	11.34	491698	15805284.000
01/21/2011	11.38	11.46	10.50	10.84	1405455	41328884.000
01/24/2011	10.73	10.81	10.05	10.07	974767	27293668.000
01/25/2011	9.93	10.28	9.93	10.17	566775	15615084.000
01/26/2011	10.16	10.52	10.16	10.26	879256	24786536.000
01/27/2011	10.24	10.79	10.12	10.75	877552	25120374.000
01/28/2011	10.74	10.74	10.41	10.60	461591	13250691.000
01/31/2011	10.85	11.63	10.85	11.50	1156174	35895636.000
02/01/2011	11.38	11.53	11.22	11.30	573557	17652138.000
02/09/2011	11.00	11.00	10.16	10.86	5379365	153763376.000
02/10/2011	10.56	11.17	10.45	11.08	2713255	79524440.000
02/11/2011	11.05	11.32	10.93	11.02	1578432	47568988.000
02/14/2011	11.00	11.22	10.94	11.15	1389539	41912300.000
02/15/2011	11.15	11.48	11.00	11.39	2334270	71245624.000
02/16/2011	11.27	11.37	11.12	11.35	1662516	50847152.000
02/17/2011	11.35	11.45	11.13	11.34	1418859	43454960.000
02/18/2011	11.16	11.32	10.85	10.98	1958032	58716784.000
02/21/2011	10.88	11.15	10.85	11.13	1125901	33768016.000
02/22/2011	11.15	11.36	11.00	11.34	2219480	67867208.000
02/23/2011	11.26	12.03	11.23	11.82	3184799	101835880.000
02/24/2011	11.85	11.88	11.47	11.66	1459201	46144720.000
02/25/2011	11.66	11.70	11.23	11.38	1124485	34851888.000
02/28/2011	11.37	11.70	11.23	11.59	1086756	34071684.000
