300138 晨光生物 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
11/05/2010	18.97	19.17	18.26	18.35	11974018	451640640.000
11/08/2010	18.23	18.66	18.16	18.58	5921497	222115088.000
11/09/2010	18.53	18.53	18.16	18.31	3603874	134072448.000
11/10/2010	18.34	18.96	18.28	18.66	4157580	157799440.000
11/11/2010	18.57	19.66	18.42	19.03	5181103	199763264.000
11/12/2010	18.82	19.51	18.22	18.33	4146649	158121264.000
11/15/2010	18.48	19.34	18.27	19.23	4267190	163405280.000
11/16/2010	19.12	19.52	18.34	18.57	4031464	155346800.000
11/17/2010	18.22	18.36	16.92	17.04	3276691	117420200.000
11/18/2010	17.16	17.48	16.83	17.32	1668758	58428016.000
11/19/2010	17.37	17.83	17.25	17.68	1610351	57433604.000
11/22/2010	17.67	18.17	17.58	17.77	2079041	75532768.000
11/23/2010	17.74	17.87	17.52	17.83	1201969	43144280.000
11/24/2010	17.82	18.47	17.69	18.37	2025316	74867488.000
11/25/2010	18.41	18.53	17.84	18.06	1694384	62456904.000
11/26/2010	17.99	18.51	17.92	18.51	1790533	66644472.000
11/29/2010	18.50	18.85	18.40	18.65	1712769	65024816.000
11/30/2010	18.64	18.64	17.47	17.92	1734406	63538192.000
12/01/2010	17.92	18.06	17.73	17.94	670723	24462876.000
12/02/2010	18.10	18.18	17.85	17.86	794371	29035392.000
12/03/2010	17.82	17.91	17.48	17.57	858938	30784610.000
12/06/2010	17.58	17.66	17.16	17.33	849626	29935126.000
12/07/2010	17.21	17.65	17.12	17.63	558309	19800896.000
12/09/2010	17.42	17.51	17.27	17.37	447113	15788563.000
12/10/2010	17.42	17.88	17.32	17.76	586261	21086564.000
12/13/2010	17.86	18.24	17.72	18.12	899697	33011924.000
12/14/2010	18.14	18.20	17.97	18.11	661611	24296788.000
12/15/2010	18.11	18.41	18.02	18.07	1016015	37517780.000
12/16/2010	18.19	18.34	18.05	18.15	567359	20952872.000
12/17/2010	18.12	18.41	18.12	18.35	975411	36200188.000
12/20/2010	18.42	18.45	17.98	18.37	1485853	55211456.000
12/21/2010	18.39	18.56	18.17	18.45	1002119	37412180.000
12/22/2010	18.49	18.49	17.98	17.98	890001	32855178.000
12/23/2010	17.99	18.03	17.57	17.57	793326	28611858.000
12/24/2010	17.57	17.57	17.22	17.34	589121	20778202.000
12/27/2010	17.37	17.51	16.47	16.66	572435	19998770.000
12/28/2010	16.62	16.80	16.48	16.54	506031	17128288.000
12/29/2010	16.66	16.77	16.52	16.76	362504	12254165.000
12/30/2010	16.72	16.81	16.58	16.67	298096	10127989.000
12/31/2010	16.69	16.95	16.65	16.94	490316	16750940.000
01/04/2011	16.97	17.19	16.87	17.14	463534	16092374.000
01/05/2011	17.07	17.21	16.98	17.02	369463	12829495.000
01/06/2011	17.01	17.06	16.72	16.72	392192	13431427.000
01/07/2011	16.73	16.90	16.67	16.72	236585	8072924.000
01/10/2011	16.71	16.74	16.41	16.45	529863	17819892.000
01/11/2011	16.42	16.43	15.98	16.06	536307	17636258.000
01/12/2011	16.09	16.29	15.94	16.21	399367	13117666.000
01/13/2011	16.22	16.58	16.22	16.44	502824	16823232.000
01/14/2011	16.58	16.81	16.46	16.47	1201021	40579036.000
01/17/2011	16.12	16.22	15.64	15.65	615103	19906902.000
01/18/2011	15.47	15.81	15.47	15.63	244872	7812482.500
01/19/2011	15.57	15.95	15.57	15.82	346613	11128472.000
01/20/2011	15.79	15.79	14.97	14.97	607925	19058760.000
01/21/2011	14.99	15.21	14.82	14.97	367222	11210075.000
01/24/2011	15.09	15.09	14.38	14.39	437551	13062019.000
01/25/2011	14.36	14.36	13.92	14.12	412685	11836646.000
01/26/2011	14.05	14.44	14.05	14.41	320279	9342543.000
01/27/2011	14.18	14.61	14.14	14.56	307508	9070628.000
01/28/2011	14.66	14.95	14.57	14.84	452295	13633007.000
01/31/2011	14.74	14.89	14.62	14.84	269836	8123932.500
02/01/2011	14.96	14.96	14.78	14.85	229943	6951685.500
02/09/2011	14.72	14.72	14.12	14.29	1650531	48173064.000
02/10/2011	14.26	14.91	14.21	14.91	1411162	41893388.000
02/11/2011	14.87	15.06	14.72	14.93	934374	28384146.000
02/14/2011	15.07	15.17	14.87	15.07	968415	29658648.000
02/15/2011	15.04	15.36	14.97	15.14	1232677	37954584.000
