300139 福星晓程 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
11/12/2010	41.75	43.70	38.76	40.19	8135811	674869440.000
11/15/2010	42.30	44.28	41.58	44.28	5022240	437785632.000
11/16/2010	43.25	43.97	39.78	40.24	3566384	305361472.000
11/17/2010	40.69	42.75	39.55	40.51	2214858	185930880.000
11/18/2010	40.31	40.90	38.20	40.49	1940397	156095408.000
11/19/2010	40.50	41.50	39.59	41.25	1621666	134775936.000
11/22/2010	41.24	42.35	40.54	41.35	1678542	142090592.000
11/23/2010	41.38	42.60	40.90	42.05	1128063	96186128.000
11/24/2010	41.95	43.20	41.65	42.63	1028721	89196952.000
11/25/2010	42.68	43.10	41.00	41.28	1306074	111172792.000
11/26/2010	41.17	41.75	41.00	41.54	602795	50808464.000
11/29/2010	41.90	42.15	41.36	41.91	697309	59307756.000
11/30/2010	41.96	42.23	38.85	40.00	1203943	98504792.000
12/01/2010	39.62	40.43	39.35	39.76	852183	69087672.000
12/02/2010	40.27	40.40	39.75	39.76	530463	43300288.000
12/03/2010	40.00	40.03	39.10	39.20	403696	32406722.000
12/06/2010	39.22	39.49	37.15	37.49	680384	52691048.000
12/07/2010	37.14	38.10	36.90	37.85	514312	39482488.000
12/08/2010	37.84	37.85	36.57	36.82	1004383	76271472.000
12/09/2010	36.70	37.09	36.33	36.76	509266	38141684.000
12/10/2010	36.60	37.48	36.50	37.20	469456	35598432.000
12/13/2010	37.53	39.19	37.53	39.08	1011695	79729392.000
12/14/2010	39.14	40.45	39.14	40.11	1114044	90399688.000
12/15/2010	39.90	40.25	39.51	39.83	419958	33995208.000
12/16/2010	39.75	40.12	39.31	39.37	489670	39549708.000
12/17/2010	39.55	39.63	39.30	39.62	271645	21840258.000
12/20/2010	39.75	39.98	38.15	39.00	804843	63834152.000
12/21/2010	38.95	39.05	37.76	38.15	753886	58831108.000
12/22/2010	38.25	38.65	37.63	38.25	643515	49850808.000
12/23/2010	38.19	38.41	37.21	37.27	537140	41194960.000
12/24/2010	36.76	37.13	36.39	36.83	472424	35380456.000
12/27/2010	36.76	37.30	35.03	35.40	436370	32380752.000
12/28/2010	35.10	35.24	34.19	34.34	364207	25761536.000
12/29/2010	34.75	34.95	34.35	34.72	339406	24091818.000
12/30/2010	34.88	35.50	34.45	35.21	379522	27139006.000
12/31/2010	35.40	35.98	35.23	35.65	258610	18785640.000
01/04/2011	35.48	36.29	35.40	35.96	342196	25043214.000
01/05/2011	35.75	35.90	35.46	35.58	408718	29698298.000
01/06/2011	35.58	36.38	35.58	35.83	361005	26519962.000
01/07/2011	35.74	35.95	34.70	34.79	388002	27840046.000
01/10/2011	34.35	34.74	33.69	33.73	363023	25427938.000
01/11/2011	33.69	33.69	33.04	33.35	330236	22435678.000
01/12/2011	33.64	33.75	33.08	33.69	225339	15427951.000
01/13/2011	33.92	34.16	33.19	33.25	211490	14520655.000
01/14/2011	33.20	33.20	32.11	32.33	389858	25811746.000
01/17/2011	32.32	32.32	31.08	31.23	356081	23010552.000
01/18/2011	30.83	31.55	30.83	31.22	215328	13759026.000
01/19/2011	31.35	31.67	31.06	31.62	244403	15746137.000
01/20/2011	31.62	31.79	29.74	29.81	343114	21723244.000
01/21/2011	29.50	29.76	28.56	29.41	435061	26127338.000
01/24/2011	29.40	29.70	28.51	28.69	407119	24188336.000
01/25/2011	28.68	28.75	27.76	28.53	259684	15036002.000
01/26/2011	28.50	29.28	28.45	28.87	256607	15246501.000
01/27/2011	28.70	29.39	28.29	29.25	312639	18622884.000
01/28/2011	29.30	29.45	29.03	29.29	246192	14761014.000
01/31/2011	29.29	29.59	29.01	29.51	167171	10094506.000
02/01/2011	29.75	29.75	29.10	29.25	183013	10977935.000
02/09/2011	29.20	29.40	28.66	28.71	198284	11834493.000
02/10/2011	28.98	30.67	28.98	30.53	420437	25913538.000
02/11/2011	30.70	31.25	30.06	31.00	437994	27724222.000
02/14/2011	31.00	31.50	30.65	31.49	1227442	77983200.000
02/15/2011	31.33	31.60	30.93	31.03	779720	49871648.000
02/16/2011	31.03	31.70	30.75	31.48	813464	52168836.000
02/17/2011	31.55	32.19	31.31	31.84	636344	41334732.000
02/18/2011	31.84	32.12	31.42	31.49	418360	27144130.000
02/21/2011	31.25	32.49	31.20	32.41	446282	29116678.000
02/22/2011	32.25	32.58	30.93	30.98	606743	38981292.000
02/23/2011	31.08	31.74	31.08	31.28	418201	26864216.000
02/24/2011	31.24	31.44	30.47	31.27	425667	27047704.000
02/25/2011	31.39	32.00	31.09	31.79	714497	46315208.000
02/28/2011	31.79	32.19	31.31	31.80	419111	27311766.000
03/01/2011	31.81	32.33	31.59	31.80	453390	29641396.000
03/02/2011	31.78	31.78	30.99	31.54	470487	30175226.000
03/03/2011	31.54	32.00	31.08	31.10	482560	31098426.000
03/04/2011	31.00	31.68	30.88	31.68	298390	19025440.000
03/07/2011	31.65	31.85	31.35	31.67	354224	22898726.000
03/08/2011	31.70	31.79	31.55	31.71	455369	29544338.000
03/09/2011	31.88	32.50	31.76	32.38	640061	42035456.000
03/10/2011	32.60	33.08	32.16	32.88	823856	55177020.000
03/11/2011	32.83	32.84	32.11	32.43	596601	39516260.000
03/14/2011	32.01	32.97	32.01	32.83	526351	35105560.000
03/15/2011	32.64	32.83	31.61	32.31	558257	36610808.000
03/16/2011	32.24	32.45	31.90	32.21	329761	21693742.000
03/17/2011	31.83	31.84	30.31	31.00	724942	46410684.000
03/18/2011	31.03	31.48	30.85	31.23	506558	32226618.000
03/21/2011	31.16	31.57	30.94	31.26	239028	15308273.000
03/22/2011	31.48	32.20	31.01	32.10	498861	32337060.000
03/23/2011	32.10	32.75	31.65	32.58	434302	28755284.000
03/24/2011	32.59	33.25	32.41	33.15	666892	44938076.000
03/25/2011	33.15	33.15	32.35	32.41	386916	25860818.000
03/28/2011	32.65	32.91	31.73	32.45	572259	37570620.000
03/29/2011	32.15	32.15	30.25	30.60	472293	30151134.000
03/30/2011	30.25	30.75	29.75	29.94	208839	12915708.000
03/31/2011	30.00	30.39	29.81	29.98	126847	7808125.500
04/01/2011	29.83	30.49	29.83	30.45	158084	9804956.000
04/06/2011	30.49	30.70	30.13	30.40	171581	10646925.000
04/07/2011	30.25	30.51	30.10	30.41	103217	6420813.500
04/08/2011	30.26	31.07	30.26	30.93	261388	16443866.000
04/11/2011	30.93	31.75	30.70	31.10	329416	21036516.000
04/12/2011	30.82	31.23	30.65	30.75	134348	8501253.000
04/13/2011	30.70	32.16	30.69	32.10	431461	27919372.000
04/14/2011	32.05	32.23	31.64	32.15	216304	14168733.000
04/15/2011	32.00	32.20	31.31	31.76	174204	11287718.000
04/20/2011	28.56	29.25	28.51	28.51	531019	31194286.000
04/21/2011	28.05	28.05	26.98	27.20	1211163	68000880.000
04/22/2011	26.95	27.15	26.15	26.37	709148	38652940.000
04/25/2011	26.13	26.35	25.62	25.75	319196	17054436.000
04/26/2011	25.76	25.76	25.09	25.25	313428	16319783.000
04/27/2011	25.19	25.45	24.82	25.05	192262	9958756.000
04/28/2011	25.03	25.20	24.00	24.06	285298	14378651.000
04/29/2011	24.10	24.31	23.96	24.12	128087	6379636.000
05/03/2011	24.15	24.35	23.98	24.31	171584	8547113.000
05/04/2011	24.18	24.28	23.16	23.40	310011	15091630.000
05/05/2011	23.23	23.68	22.94	23.38	161804	7813943.000
05/06/2011	23.16	23.47	23.00	23.42	138457	6675267.500
05/09/2011	23.53	23.93	23.48	23.50	119889	5842841.500
05/11/2011	23.75	23.90	23.53	23.72	125230	6130624.000
05/12/2011	23.72	23.72	22.50	22.51	361914	17243792.000
05/13/2011	22.41	22.75	21.96	22.32	199909	9169571.000
05/16/2011	22.29	22.76	22.21	22.61	162614	7562822.000
05/17/2011	22.60	22.63	22.21	22.49	122840	5692931.000
05/18/2011	22.51	22.55	22.30	22.50	104842	4859345.500
05/19/2011	22.55	22.71	22.38	22.45	85130	3955397.250
05/20/2011	22.53	22.53	22.16	22.17	95512	4407287.500
05/23/2011	22.11	22.11	21.19	21.25	211301	9353764.000
05/24/2011	21.19	21.95	20.59	21.70	486760	21577778.000
05/25/2011	21.66	21.68	21.25	21.59	360756	16078601.000
05/26/2011	21.50	21.60	20.75	21.55	355770	15580765.000
05/27/2011	21.25	22.00	20.76	21.57	265905	11917479.000
05/30/2011	21.50	22.25	21.30	22.00	275812	12535731.000
05/31/2011	22.24	22.46	21.99	22.40	281485	12928048.000
06/01/2011	22.28	22.77	22.25	22.77	282516	13166562.000
06/02/2011	22.69	22.92	22.45	22.85	393364	18436654.000
06/03/2011	22.89	23.73	22.86	23.65	455990	22054308.000
06/07/2011	23.65	23.68	23.32	23.40	381692	18491342.000
06/08/2011	23.40	23.40	22.91	23.18	159368	7609494.000
06/09/2011	23.15	23.38	22.70	22.70	151513	7195517.000
06/10/2011	22.90	22.96	22.35	22.95	162207	7506441.000
06/13/2011	22.65	23.67	22.65	23.54	117804	5589027.000
06/14/2011	23.50	24.35	23.40	24.15	226018	11114141.000
06/15/2011	24.25	24.25	23.75	23.82	113260	5562610.000
06/16/2011	23.56	23.95	23.51	23.80	131402	6355713.500
06/17/2011	23.50	23.90	23.50	23.75	100130	4860653.500
06/20/2011	23.80	23.88	23.56	23.88	84523	4097094.750
06/21/2011	23.94	24.83	23.80	24.64	195178	9740834.000
06/22/2011	24.40	24.97	24.40	24.93	239442	12118731.000
