300141 和顺电气 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
11/12/2010	17.43	25.10	17.43	20.23	9669621	583908096.000
11/15/2010	18.48	19.49	18.19	18.36	5953546	333844576.000
11/16/2010	18.16	18.75	16.54	16.78	4032755	217036080.000
11/17/2010	16.78	16.78	15.47	15.50	2165834	105157488.000
11/18/2010	15.60	15.78	14.95	15.70	1946702	91272968.000
11/19/2010	15.77	16.29	15.46	16.26	1696477	82614352.000
11/22/2010	16.00	16.72	15.93	16.27	1572029	78176440.000
11/23/2010	16.28	16.28	15.53	15.97	1098786	53254364.000
11/24/2010	15.76	17.59	15.70	17.59	2818973	145634656.000
11/25/2010	17.83	18.13	16.88	17.73	3060349	163087120.000
11/26/2010	17.39	18.43	17.39	18.27	2137065	117363072.000
11/29/2010	18.10	18.47	17.97	18.02	1445498	79639080.000
11/30/2010	17.87	18.10	16.60	16.88	1565257	81562632.000
12/01/2010	17.00	17.03	16.44	16.75	702193	35622936.000
12/02/2010	16.97	17.09	16.77	16.90	603872	31053462.000
12/03/2010	16.61	16.97	16.27	16.29	738569	37106532.000
12/06/2010	16.27	16.27	15.66	15.77	680029	32867754.000
12/07/2010	15.80	16.25	15.51	16.17	472109	22865954.000
12/08/2010	16.03	16.25	15.77	15.97	480946	23439404.000
12/09/2010	15.97	15.97	15.47	15.54	456786	21731020.000
12/10/2010	15.54	15.76	15.43	15.68	320783	15241629.000
12/13/2010	15.77	17.25	15.77	17.00	1059092	53677332.000
12/14/2010	16.93	16.99	16.58	16.90	847742	43270156.000
12/15/2010	16.99	17.33	16.57	16.63	617511	31708564.000
12/16/2010	16.58	16.98	16.44	16.63	456994	23249820.000
12/17/2010	16.50	16.85	16.50	16.77	330472	16760176.000
12/20/2010	16.87	17.11	15.97	16.37	856020	43235972.000
12/21/2010	16.37	16.49	16.15	16.25	441342	21858704.000
12/22/2010	16.28	16.39	16.00	16.04	413754	20302492.000
12/23/2010	16.01	16.01	15.77	15.79	420713	20309998.000
12/24/2010	15.75	15.75	15.17	15.38	361397	17059544.000
12/27/2010	15.67	16.03	15.10	15.26	390206	18604032.000
12/28/2010	15.12	15.41	14.99	15.11	271200	12531741.000
12/29/2010	15.34	15.34	14.81	15.21	358217	16487297.000
12/30/2010	15.22	15.40	15.12	15.36	246224	11463799.000
12/31/2010	15.36	15.56	15.33	15.53	198194	9338867.000
01/04/2011	15.60	16.05	15.60	15.90	446785	21630548.000
01/05/2011	15.90	15.90	15.61	15.74	371998	17812138.000
01/06/2011	15.75	16.03	15.38	15.38	413376	19723134.000
01/07/2011	15.30	15.60	15.18	15.55	321550	15091183.000
01/10/2011	15.55	15.90	15.37	15.43	245638	11707618.000
01/11/2011	15.21	15.63	14.97	15.15	213183	9819387.000
01/12/2011	15.13	15.36	15.10	15.36	188857	8742732.000
01/13/2011	15.39	15.72	15.27	15.45	154776	7277827.000
01/14/2011	15.19	15.36	14.83	14.83	235854	10782464.000
01/17/2011	14.77	14.86	13.79	14.04	506377	21709070.000
01/18/2011	13.85	14.01	13.53	13.66	281349	11737472.000
01/19/2011	13.63	13.96	13.30	13.78	351300	14614239.000
01/20/2011	13.77	13.78	12.60	12.60	350130	14036669.000
01/21/2011	12.59	12.73	12.44	12.68	290772	11199222.000
01/24/2011	12.70	12.72	12.30	12.33	242711	9300119.000
01/25/2011	12.33	12.33	11.60	11.94	258106	9318401.000
01/26/2011	11.94	12.23	11.93	12.16	137822	5103425.500
01/27/2011	11.84	12.53	11.84	12.40	232774	8748568.000
01/28/2011	12.40	12.49	12.27	12.43	202941	7699987.000
01/31/2011	12.17	12.71	12.11	12.71	255076	9803870.000
02/01/2011	12.71	12.80	12.57	12.58	129868	5004559.500
02/09/2011	12.43	12.53	12.15	12.17	164734	6197766.500
02/10/2011	12.02	12.76	11.87	12.75	356837	13518971.000
02/11/2011	12.74	14.01	12.73	13.50	738746	30469982.000
02/14/2011	12.93	13.69	12.93	13.53	1453866	59593600.000
02/15/2011	13.52	13.70	13.30	13.69	1049695	43419172.000
02/16/2011	13.67	14.14	13.61	14.08	828413	35186888.000
02/17/2011	14.26	14.99	14.10	14.40	812568	35859636.000
02/18/2011	14.46	14.87	14.07	14.49	955529	42219768.000
02/21/2011	14.43	14.83	14.17	14.79	911739	40801268.000
02/22/2011	14.80	14.91	14.03	14.10	1093272	47918580.000
02/23/2011	14.12	14.77	14.10	14.77	1363089	60309796.000
02/24/2011	14.33	14.36	13.53	14.20	1453090	62041536.000
02/25/2011	13.10	13.26	12.80	13.13	2129259	84477808.000
02/28/2011	13.01	13.03	12.83	13.01	662241	26172282.000
03/01/2011	13.01	13.10	12.90	13.05	680535	26990526.000
03/02/2011	13.00	13.00	12.60	12.73	769257	30026716.000
03/03/2011	12.73	12.86	12.45	12.48	498731	19349700.000
03/04/2011	12.28	12.66	12.28	12.63	452963	17248628.000
03/07/2011	12.62	12.85	12.50	12.75	540388	20891276.000
03/08/2011	12.73	12.83	12.66	12.82	426735	16639345.000
03/09/2011	12.85	12.90	12.63	12.81	539325	21008850.000
03/10/2011	12.79	13.18	12.79	12.95	479629	18961114.000
03/11/2011	12.92	13.06	12.81	12.92	421988	16675694.000
03/14/2011	12.87	12.92	12.67	12.91	461986	18059794.000
03/15/2011	12.85	12.90	12.43	12.63	536945	20685610.000
03/16/2011	12.60	12.70	12.54	12.66	267231	10330253.000
03/17/2011	12.66	12.75	12.37	12.42	312573	11995038.000
03/18/2011	12.42	12.59	12.42	12.58	229260	8786563.000
03/21/2011	12.58	12.70	12.48	12.60	149359	5744215.000
03/22/2011	12.63	12.73	12.53	12.61	160269	6163431.000
03/24/2011	12.70	13.09	12.67	12.89	611690	24156970.000
03/25/2011	12.90	13.02	12.78	12.90	334225	13138152.000
03/28/2011	12.90	13.06	12.75	12.75	368118	14446952.000
03/29/2011	12.72	12.72	11.80	11.86	793839	29412196.000
03/30/2011	11.86	11.89	11.21	11.50	490445	17255726.000
03/31/2011	11.50	11.64	11.32	11.47	218838	7671248.000
04/01/2011	11.56	11.59	11.39	11.59	188093	6628821.500
04/06/2011	11.55	11.55	11.30	11.36	228697	7965702.000
04/07/2011	11.34	11.61	11.33	11.61	198931	7021218.000
04/08/2011	11.48	11.73	11.48	11.73	291990	10391909.000
04/11/2011	11.65	11.73	11.54	11.66	228925	8129201.500
04/12/2011	11.54	11.63	11.54	11.57	143473	5086330.500
04/13/2011	11.60	11.77	11.48	11.77	334616	11975662.000
04/14/2011	11.79	11.85	11.50	11.63	359500	12813647.000
04/15/2011	11.57	11.65	11.40	11.43	215314	7559448.500
04/18/2011	11.52	11.52	11.27	11.31	182499	6359302.500
04/19/2011	11.26	11.34	11.07	11.13	225100	7703764.500
04/20/2011	11.09	11.23	11.01	11.07	315259	10729507.000
04/21/2011	11.10	11.19	11.07	11.11	399582	13589380.000
04/22/2011	11.20	11.20	11.05	11.08	145623	4951912.000
04/25/2011	11.07	11.11	10.40	10.44	547237	17685416.000
04/26/2011	10.37	10.43	9.77	9.87	589426	18076624.000
04/27/2011	9.87	9.97	9.71	9.73	233897	7061732.000
04/28/2011	9.77	9.97	9.60	9.63	223881	6704761.500
04/29/2011	9.64	9.83	9.63	9.80	146749	4396227.500
05/03/2011	9.77	9.95	9.77	9.94	211446	6429784.000
05/04/2011	9.94	10.08	9.70	9.73	196607	5940549.500
05/05/2011	9.70	9.88	9.63	9.83	106883	3223248.250
05/06/2011	9.70	9.90	9.70	9.86	91725	2769951.250
05/09/2011	9.80	10.03	9.77	9.93	146142	4460070.500
05/10/2011	9.96	9.96	9.80	9.90	149788	4534505.000
05/11/2011	9.87	9.93	9.82	9.84	100426	3042440.750
05/12/2011	9.77	9.90	9.70	9.70	115086	3452520.750
05/13/2011	9.70	9.90	9.64	9.74	97890	2923211.000
05/16/2011	9.73	9.88	9.73	9.82	118639	3582546.250
05/17/2011	9.82	9.88	9.62	9.77	185696	5550277.000
05/18/2011	9.70	9.81	9.70	9.77	117060	3505723.250
05/19/2011	9.82	9.82	9.57	9.60	127598	3798239.000
05/20/2011	9.65	9.66	9.45	9.49	142243	4162025.000
05/23/2011	9.40	9.43	8.96	8.98	257438	7217034.000
05/24/2011	8.80	9.37	8.79	9.23	314735	8834059.000
05/25/2011	9.23	9.23	8.94	8.96	103053	2882605.500
05/26/2011	8.97	9.08	8.74	8.80	148310	4073499.500
05/27/2011	8.77	8.93	8.69	8.71	135048	3641000.250
05/30/2011	8.69	8.91	8.69	8.74	224671	6101075.500
05/31/2011	8.72	8.98	8.60	8.97	243661	6663134.000
06/01/2011	8.98	9.07	8.95	9.02	157593	4366761.000
06/02/2011	8.95	8.97	8.73	8.80	221829	6008823.000
06/03/2011	8.86	9.01	8.77	8.95	230818	6327386.500
06/07/2011	8.88	9.02	8.87	8.99	130219	3588708.500
06/08/2011	8.99	9.02	8.77	8.85	127322	3471209.750
06/09/2011	8.80	8.85	8.60	8.63	179960	4850140.500
06/10/2011	8.62	8.71	8.31	8.54	235077	6165051.500
06/13/2011	8.48	8.77	8.38	8.69	270316	7177360.000
06/14/2011	8.75	9.58	8.63	9.43	1063721	30602890.000
06/15/2011	9.33	9.43	9.14	9.15	511192	14561258.000
06/16/2011	9.17	9.17	8.77	8.82	310339	8549165.000
06/17/2011	8.81	8.87	8.70	8.73	193189	5221572.000
06/20/2011	8.68	8.76	8.56	8.73	159199	4255396.500
06/21/2011	8.71	8.91	8.66	8.88	292696	7940901.000
06/22/2011	8.89	8.94	8.77	8.81	144827	3948856.500
