300142 沃森生物 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
11/12/2010	63.49	66.91	57.13	57.65	15233849	2209058304.000
11/15/2010	58.36	61.48	57.66	61.36	6545866	927417536.000
11/16/2010	63.15	63.48	57.16	58.65	5409290	779615040.000
11/17/2010	56.65	61.34	56.01	59.47	3282658	460004896.000
11/18/2010	59.47	63.48	59.00	62.89	3221231	469809440.000
11/19/2010	63.91	65.00	62.21	64.47	2712968	407986688.000
11/22/2010	63.49	65.18	61.47	61.54	3617457	539276352.000
11/23/2010	60.83	62.42	59.65	61.35	1652072	238020912.000
11/24/2010	60.97	63.03	60.69	62.55	1337408	196301584.000
11/25/2010	62.44	62.84	60.54	61.78	1876948	272639072.000
11/26/2010	61.69	65.41	61.35	64.13	1965696	296883200.000
11/29/2010	63.91	66.46	63.50	65.88	2005854	309694336.000
11/30/2010	65.79	66.21	60.72	61.97	2685544	396306880.000
12/01/2010	61.35	62.28	60.65	61.35	1012261	147132208.000
12/02/2010	62.12	62.16	59.68	59.81	1313459	188307168.000
12/03/2010	59.30	60.49	58.15	58.32	1197040	166902864.000
12/06/2010	58.36	58.78	56.94	58.74	1292544	176170720.000
12/07/2010	58.26	59.09	57.51	58.87	711903	98589776.000
12/08/2010	58.77	59.21	57.29	57.29	766463	105331352.000
12/09/2010	57.08	57.93	56.48	57.08	772289	104299432.000
12/10/2010	56.21	58.61	56.21	58.40	603194	82656824.000
12/13/2010	58.36	59.62	58.27	59.25	755930	105580040.000
12/14/2010	59.20	59.47	58.45	58.68	646413	89811264.000
12/15/2010	58.57	58.97	57.06	57.38	958898	130631976.000
12/16/2010	57.50	59.19	57.14	58.03	509868	70489728.000
12/17/2010	57.78	58.51	57.44	58.36	485771	66706996.000
12/20/2010	58.79	59.90	57.85	59.80	1172655	163710144.000
12/21/2010	59.83	59.84	58.92	59.09	769608	107804760.000
12/22/2010	59.08	59.09	56.99	57.32	1032547	140819152.000
12/23/2010	57.08	58.22	56.86	57.04	515557	70070144.000
12/24/2010	56.65	56.78	53.46	53.67	1398268	180101184.000
12/27/2010	53.79	54.73	51.96	52.46	766063	96865496.000
12/28/2010	52.46	53.35	51.53	53.11	642456	79837664.000
12/29/2010	53.49	54.85	53.24	54.73	490512	62963636.000
12/30/2010	54.51	55.15	54.09	54.51	489157	63077372.000
12/31/2010	54.30	56.65	53.96	56.31	571127	74741368.000
01/04/2011	56.31	57.61	55.54	56.95	593167	80247408.000
01/05/2011	56.78	57.41	56.31	56.98	288932	38896604.000
01/06/2011	56.97	56.99	55.88	56.21	361899	48154544.000
01/07/2011	56.22	56.44	54.76	55.24	254145	33400642.000
01/10/2011	55.15	55.15	52.33	52.37	539333	67908312.000
01/11/2011	51.94	52.48	51.41	52.16	304818	37384280.000
01/12/2011	52.36	52.71	51.18	51.80	386927	47373028.000
01/13/2011	51.97	52.12	51.22	51.55	252496	30886210.000
01/14/2011	51.24	52.35	51.20	51.52	253455	30977012.000
01/17/2011	51.14	51.90	49.39	49.48	337625	40184868.000
01/18/2011	49.38	49.81	48.10	48.79	402580	46618948.000
01/19/2011	48.83	50.67	48.62	50.67	353330	41911836.000
01/20/2011	50.32	50.64	49.04	49.17	229422	27002338.000
01/21/2011	49.15	50.67	48.76	49.29	258835	30552934.000
01/24/2011	48.80	49.77	47.25	47.59	329161	37460684.000
01/25/2011	46.39	47.03	45.97	46.61	259009	28461990.000
01/26/2011	46.61	47.58	46.41	47.18	149117	16648714.000
01/27/2011	47.25	48.10	46.82	47.89	157003	17692326.000
01/28/2011	47.88	48.30	47.33	48.09	177801	20089046.000
01/31/2011	48.06	48.19	47.56	48.00	138450	15724202.000
02/01/2011	47.99	48.47	47.56	48.11	152581	17351080.000
02/09/2011	47.68	48.32	47.53	47.53	170305	19396974.000
02/11/2011	49.81	49.81	48.96	49.01	427567	50014892.000
02/14/2011	49.81	50.35	47.68	50.35	1862378	216311184.000
02/15/2011	50.62	50.66	49.38	49.38	729897	86338832.000
02/16/2011	49.02	51.29	48.77	51.21	1083623	128457568.000
02/17/2011	51.09	51.50	50.32	50.39	520566	62513972.000
02/18/2011	51.73	52.37	50.53	50.90	858830	104642720.000
