300143 星河生物 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/09/2010	23.44	23.89	20.58	21.25	10521269	505760800.000
12/10/2010	22.53	23.40	22.33	23.40	5178637	263534896.000
12/13/2010	23.89	24.79	23.44	24.20	5319886	284050016.000
12/14/2010	23.89	24.44	23.57	23.89	2769139	146923408.000
12/15/2010	23.88	25.12	23.67	23.85	2610315	140753536.000
12/16/2010	23.93	24.62	23.58	24.30	1830321	98222248.000
12/17/2010	24.34	26.75	24.14	26.75	2683835	150471856.000
12/20/2010	26.98	28.87	26.46	27.08	3826405	233342256.000
12/21/2010	26.73	29.80	26.70	29.80	3575886	226882720.000
12/22/2010	29.57	30.62	28.90	30.30	2222152	146037888.000
12/23/2010	30.06	31.25	28.44	28.80	2193549	144580304.000
12/24/2010	27.98	28.34	25.99	26.52	2873933	171797136.000
12/27/2010	26.70	29.07	26.21	27.70	2837521	174075392.000
12/28/2010	26.39	26.61	24.91	24.91	2231808	126064456.000
12/29/2010	24.35	25.39	24.34	25.20	1300361	71645928.000
12/30/2010	24.89	25.66	24.75	24.83	1360630	75915816.000
12/31/2010	24.81	25.62	24.67	25.36	1433720	79702376.000
01/04/2011	27.91	27.92	27.08	27.92	1455014	89751120.000
01/05/2011	28.75	30.47	28.49	28.89	3049234	198385232.000
01/06/2011	28.35	29.57	28.07	28.58	1680153	107108224.000
01/07/2011	27.99	28.88	27.30	27.54	1554894	96718472.000
01/10/2011	27.30	28.86	26.92	27.66	1441198	88882672.000
01/11/2011	27.16	29.79	27.08	28.95	2205674	140469968.000
01/12/2011	28.85	29.53	28.29	29.25	1351994	86252608.000
01/13/2011	28.99	29.43	27.60	27.60	1530987	96053432.000
01/14/2011	27.16	27.21	24.88	25.80	1964877	112362560.000
01/17/2011	25.71	25.71	23.40	23.46	1300494	70011920.000
01/18/2011	23.48	24.25	23.03	24.12	978000	51457716.000
01/19/2011	24.21	24.57	23.66	24.32	907871	48847460.000
01/20/2011	24.32	26.16	24.32	24.56	1624350	90869168.000
01/21/2011	23.90	25.53	23.46	25.35	1431952	78220672.000
01/24/2011	25.62	26.34	24.35	24.35	1646159	92582120.000
01/25/2011	24.13	24.21	21.89	21.89	1901664	93355600.000
01/26/2011	22.29	22.52	21.81	22.35	1029248	50776344.000
01/28/2011	24.60	24.60	24.60	24.60	162404	8860762.000
01/31/2011	26.62	27.00	25.62	26.25	3166762	185055376.000
02/01/2011	25.88	28.38	25.80	27.93	2056849	122563744.000
02/09/2011	27.98	28.88	27.69	27.81	1756969	109754984.000
02/10/2011	27.30	30.61	27.30	30.61	2249935	146567104.000
02/11/2011	31.25	33.66	30.76	32.12	3295996	233218832.000
02/14/2011	32.06	34.77	31.40	32.93	2555482	186409200.000
02/15/2011	32.35	33.35	31.62	32.21	1880441	135326864.000
02/16/2011	32.16	35.45	32.08	35.45	2886478	217872464.000
02/17/2011	35.25	35.68	33.48	34.30	2702861	205917744.000
02/18/2011	33.74	35.03	32.93	33.02	2026767	151324624.000
02/21/2011	33.28	34.39	33.12	34.35	1863910	139295424.000
02/22/2011	34.95	36.16	33.14	33.53	2104194	161217696.000
02/23/2011	33.85	34.89	33.25	33.97	1368149	102965768.000
02/24/2011	33.74	33.74	31.07	31.59	2186388	154400080.000
02/25/2011	31.62	32.05	30.25	31.25	1031902	71864224.000
02/28/2011	31.21	31.87	30.25	31.80	1072637	74242920.000
03/01/2011	31.70	32.25	30.94	31.16	892752	62126312.000
03/02/2011	31.06	31.06	29.35	30.12	1333068	88691656.000
03/03/2011	29.88	30.70	29.82	30.61	1084338	72875008.000
03/04/2011	29.98	30.61	29.89	30.44	746571	50164068.000
03/07/2011	30.25	30.43	29.62	30.36	998556	66412600.000
03/08/2011	30.20	32.42	29.80	31.62	1964725	135775488.000
