300144 宋城演艺 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/09/2010	18.92	19.56	17.89	19.07	28027414	1782854656.000
12/10/2010	19.07	19.38	18.47	19.09	12758467	819276288.000
12/13/2010	19.17	19.67	18.70	19.50	10822177	703236544.000
12/14/2010	19.19	19.47	18.56	18.58	8996278	574343936.000
12/15/2010	18.83	19.37	18.56	18.56	6469856	414231360.000
12/16/2010	18.29	19.07	18.28	18.77	4670137	295137632.000
12/17/2010	18.62	19.37	18.52	19.28	4709387	302318944.000
12/20/2010	19.28	19.37	18.51	18.74	5210676	333686528.000
12/21/2010	18.95	19.00	18.62	18.76	2682010	170367904.000
12/22/2010	18.62	18.75	17.97	18.15	4706868	290794176.000
12/23/2010	18.31	18.54	17.68	17.72	2794005	171926384.000
12/24/2010	17.40	17.70	16.82	16.95	2919591	169545008.000
12/27/2010	16.98	17.19	16.53	16.71	1999196	114675880.000
12/28/2010	16.47	16.83	16.21	16.30	1985477	111558000.000
12/29/2010	16.31	16.77	16.31	16.62	1652622	92747448.000
12/30/2010	16.62	16.64	16.40	16.45	1345030	75318384.000
12/31/2010	16.47	16.72	16.19	16.58	1623758	91023440.000
01/04/2011	16.61	17.10	16.53	16.97	1833452	105062616.000
01/05/2011	16.83	17.22	16.68	17.00	1708392	98563080.000
01/06/2011	17.00	17.08	16.49	16.49	1267255	71885256.000
01/07/2011	16.50	16.68	16.31	16.43	1261389	70606816.000
01/10/2011	16.44	16.52	16.04	16.09	1360338	75077744.000
01/11/2011	16.03	16.07	15.28	15.54	1687748	89697216.000
01/12/2011	15.61	15.75	15.43	15.70	1198203	63444964.000
01/13/2011	15.83	15.83	15.40	15.41	1101843	58305304.000
01/14/2011	15.49	15.49	14.73	14.99	1817535	92711424.000
01/17/2011	14.83	14.91	14.34	14.43	1229219	61120680.000
01/18/2011	14.34	14.52	14.24	14.34	572893	28047076.000
01/19/2011	14.43	14.67	14.26	14.55	1460462	71978024.000
01/20/2011	14.51	14.51	13.57	13.57	1713153	81732120.000
01/21/2011	13.47	13.67	13.22	13.40	1318482	60554548.000
01/24/2011	13.38	13.54	13.08	13.34	1109261	50520704.000
01/25/2011	13.34	13.88	13.04	13.79	1490246	68428704.000
01/26/2011	13.69	13.87	13.47	13.70	1203405	56259760.000
01/27/2011	13.49	13.77	13.32	13.69	1463957	67960704.000
01/28/2011	13.69	13.89	13.63	13.77	1081941	50859592.000
01/31/2011	13.77	14.15	13.71	14.05	1277949	61115828.000
02/01/2011	13.89	14.05	13.65	13.80	923788	43558724.000
02/09/2011	13.67	13.75	13.36	13.43	942967	43643804.000
02/10/2011	13.46	14.02	13.28	14.02	1331112	62641032.000
02/11/2011	14.00	14.32	13.92	14.18	1369165	66204108.000
02/14/2011	14.16	14.36	14.10	14.33	1550812	75475296.000
02/15/2011	14.31	14.40	14.23	14.25	1109639	54047696.000
02/16/2011	14.25	14.45	14.12	14.43	1202884	58708360.000
02/17/2011	14.43	14.49	14.19	14.35	993775	48542408.000
02/18/2011	14.30	14.31	14.01	14.03	1211847	58478336.000
02/21/2011	14.03	15.24	14.03	14.90	2493972	124577152.000
02/22/2011	14.77	14.91	14.27	14.29	1667563	82779704.000
02/23/2011	14.38	15.01	14.27	14.82	1808050	91048448.000
02/24/2011	14.82	15.10	14.65	14.73	1030616	52113784.000
02/25/2011	14.74	14.84	14.39	14.55	949516	46944484.000
02/28/2011	14.67	14.94	14.56	14.89	1418726	71673872.000
03/01/2011	14.93	15.06	14.76	14.90	932479	47353968.000
03/02/2011	14.77	14.89	14.44	14.59	974831	48569252.000
03/03/2011	14.50	14.67	14.12	14.12	981504	48026916.000
03/04/2011	14.18	14.30	13.94	14.13	898263	43091984.000
03/07/2011	14.16	14.41	14.06	14.32	1618327	78391424.000
03/08/2011	14.31	14.37	14.20	14.33	793556	38679304.000
03/09/2011	14.33	14.66	14.26	14.33	1615515	79492400.000
03/10/2011	14.37	14.55	14.25	14.36	1489683	73084408.000
03/11/2011	14.36	14.45	14.25	14.29	873414	42699364.000
03/14/2011	14.19	14.28	13.97	14.04	1863870	89307136.000
03/15/2011	14.01	14.05	13.47	13.65	1934160	90911256.000
03/16/2011	13.66	13.89	13.66	13.86	889644	41950564.000
03/17/2011	13.83	13.83	13.59	13.70	1500067	69994904.000
03/18/2011	13.70	13.86	13.68	13.75	744548	35018812.000
03/21/2011	13.74	13.89	13.67	13.83	695313	32759102.000
03/22/2011	13.83	13.87	13.73	13.80	597954	28133990.000
03/23/2011	13.86	14.08	13.82	14.07	1210747	57609224.000
03/24/2011	14.08	14.14	13.92	14.00	1026373	49131376.000
03/25/2011	14.01	14.09	13.90	13.97	895709	42648768.000
03/28/2011	13.98	14.03	13.62	13.71	1327479	62415664.000
03/29/2011	13.63	13.82	13.31	13.37	1720305	79044632.000
03/30/2011	13.39	13.45	13.22	13.27	1010504	45913784.000
03/31/2011	13.33	13.46	13.27	13.29	603103	27524740.000
04/01/2011	13.25	13.50	13.25	13.47	633948	29085764.000
04/06/2011	13.48	13.60	13.35	13.51	627143	28823026.000
04/07/2011	13.58	13.92	13.47	13.91	1150224	54119172.000
