300145 南方泵业 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/09/2010	13.55	13.86	12.56	12.60	10363302	455609312.000
12/10/2010	12.00	12.39	11.64	12.27	4752097	191439984.000
12/13/2010	12.93	12.99	12.56	12.73	3838823	162649168.000
12/14/2010	12.56	12.68	12.40	12.65	2283510	95345096.000
12/15/2010	12.56	12.73	12.39	12.40	1817565	76041088.000
12/16/2010	12.34	12.58	12.28	12.34	1249325	51616192.000
12/17/2010	12.44	12.92	12.42	12.92	2683624	113692688.000
12/20/2010	12.94	13.10	12.41	12.80	2544629	108390584.000
12/21/2010	12.73	12.85	12.53	12.62	1563206	65821716.000
12/22/2010	12.65	12.65	12.31	12.31	1663546	68707992.000
12/23/2010	12.32	12.47	12.01	12.08	1215313	49516340.000
12/24/2010	12.02	12.04	11.67	11.73	1078761	42432312.000
12/27/2010	11.82	11.94	11.47	11.49	795811	31095878.000
12/28/2010	11.45	11.69	11.44	11.54	784210	30267916.000
12/29/2010	11.57	11.77	11.55	11.61	485479	18832684.000
12/30/2010	11.63	11.69	11.51	11.57	525668	20326414.000
12/31/2010	11.63	11.66	11.42	11.64	1253557	48183292.000
01/04/2011	11.64	11.83	11.60	11.76	932478	36511592.000
01/05/2011	11.76	11.97	11.70	11.93	965800	38294048.000
01/06/2011	11.94	11.96	11.70	11.78	532414	20923012.000
01/07/2011	11.76	11.77	11.60	11.65	580159	22583626.000
01/10/2011	11.71	12.00	11.64	11.70	1112494	43905844.000
01/11/2011	11.67	11.67	11.23	11.27	834845	31550146.000
01/12/2011	11.30	11.39	11.13	11.35	480682	18084722.000
01/13/2011	11.31	11.33	11.17	11.17	444616	16654659.000
01/14/2011	11.14	11.20	10.92	11.00	672745	24828244.000
01/17/2011	11.01	11.17	10.74	10.74	540656	19643400.000
01/18/2011	10.71	10.93	10.62	10.75	397311	14279909.000
01/19/2011	10.68	10.86	10.67	10.83	325920	11746202.000
01/21/2011	10.46	10.60	10.23	10.44	949729	33152542.000
01/24/2011	10.46	10.46	10.14	10.14	558101	19202302.000
01/25/2011	10.15	10.15	9.69	9.92	656452	21690670.000
01/26/2011	9.89	10.22	9.89	10.05	394261	13292792.000
01/27/2011	10.00	10.19	9.89	10.14	320173	10806097.000
01/28/2011	10.15	10.49	10.10	10.39	643318	22235692.000
01/31/2011	10.44	11.07	10.44	11.02	1446862	52484172.000
02/01/2011	10.90	10.92	10.71	10.80	783964	28292600.000
02/09/2011	10.77	11.10	10.71	10.98	1023813	37612584.000
02/10/2011	11.02	11.13	10.85	11.11	785889	28922294.000
02/11/2011	11.02	11.16	11.02	11.11	641284	23757298.000
02/14/2011	11.13	11.35	11.02	11.21	784537	29224460.000
02/15/2011	11.23	11.23	10.99	11.00	661397	24473500.000
02/16/2011	10.94	11.11	10.86	11.10	1055196	38648700.000
02/17/2011	11.11	11.85	10.98	11.47	1497004	57009952.000
02/18/2011	11.38	11.38	11.14	11.15	731377	27399708.000
02/21/2011	11.08	11.29	11.05	11.20	639942	23789632.000
02/22/2011	11.12	11.20	10.72	10.72	727015	26523116.000
02/23/2011	10.46	10.89	10.46	10.81	415426	14925932.000
02/24/2011	10.74	10.85	10.69	10.72	438601	15781332.000
02/25/2011	10.77	10.79	10.53	10.74	307246	10983928.000
02/28/2011	10.71	11.03	10.71	10.90	575766	21021204.000
03/01/2011	11.07	11.11	10.94	11.00	573899	21128516.000
03/02/2011	10.96	11.16	10.93	11.13	751583	27791522.000
03/03/2011	11.13	11.13	10.87	10.88	568721	20945822.000
03/04/2011	10.86	10.99	10.86	10.95	229320	8375963.500
03/07/2011	10.93	11.07	10.93	11.05	375772	13799342.000
03/08/2011	11.08	11.32	11.02	11.18	561314	20960222.000
03/09/2011	11.18	11.33	11.03	11.08	667385	24826710.000
03/10/2011	11.08	11.20	11.04	11.10	652730	24231486.000
03/11/2011	11.05	11.17	10.97	11.09	794930	29413972.000
03/14/2011	11.11	11.54	11.03	11.53	1455777	55271384.000
03/15/2011	11.53	11.54	11.15	11.42	851573	32193068.000
03/16/2011	11.42	11.50	11.31	11.44	607413	23127040.000
03/17/2011	11.39	11.39	11.18	11.23	564385	21209806.000
03/18/2011	11.26	11.32	11.15	11.20	343772	12904316.000
03/21/2011	11.10	11.30	11.10	11.18	272128	10191150.000
03/22/2011	11.18	11.19	11.09	11.15	283110	10524964.000
03/23/2011	11.18	11.34	11.18	11.25	406081	15261688.000
03/24/2011	11.26	11.43	11.26	11.34	404271	15324108.000
03/25/2011	11.27	11.50	11.27	11.46	554188	21113332.000
03/28/2011	11.44	11.62	11.21	11.30	514255	19576980.000
03/29/2011	11.31	11.54	11.08	11.35	1071014	40611576.000
03/30/2011	11.22	11.35	10.88	10.93	903480	33428292.000
03/31/2011	11.02	11.39	10.94	10.99	753593	27919158.000
04/01/2011	10.99	11.07	10.93	11.07	200617	7373830.000
04/06/2011	11.05	11.20	10.99	11.09	204424	7558326.500
04/07/2011	11.10	11.10	10.94	11.08	394397	14551553.000
04/08/2011	10.97	11.07	10.97	11.05	493404	18168326.000
04/11/2011	11.03	11.05	10.65	10.66	693468	25095072.000
04/12/2011	10.66	10.69	10.59	10.64	229137	8147624.000
04/13/2011	10.64	10.76	10.63	10.75	250124	8958740.000
04/14/2011	10.75	10.75	10.65	10.67	211399	7550256.000
04/15/2011	10.57	10.69	10.52	10.58	141693	5011059.000
04/18/2011	10.59	10.67	10.52	10.62	237013	8391372.000
04/19/2011	10.63	10.67	10.50	10.56	248464	8783737.000
04/20/2011	10.74	10.92	10.69	10.86	487021	17641636.000
04/21/2011	10.84	10.85	10.46	10.79	232151	8355102.500
04/22/2011	10.79	10.83	10.74	10.78	166679	6003577.000
04/25/2011	10.73	10.78	10.62	10.71	232538	8311430.500
04/26/2011	10.65	10.73	10.24	10.32	385984	13464417.000
04/27/2011	10.31	10.46	10.08	10.21	246270	8493232.000
04/28/2011	10.21	10.31	9.91	9.97	280599	9473123.000
05/03/2011	10.00	10.11	9.91	9.98	371198	12383554.000
05/04/2011	9.97	9.97	9.76	9.77	251230	8267710.000
05/05/2011	9.88	10.03	9.70	9.89	291313	9587994.000
05/06/2011	9.85	9.94	9.80	9.93	320900	10602338.000
05/09/2011	9.97	10.04	9.95	10.04	384858	12861158.000
05/10/2011	10.09	10.15	10.01	10.06	315056	10598124.000
05/11/2011	9.97	10.08	9.97	10.06	140927	4735992.500
05/12/2011	10.01	10.01	9.80	9.80	342109	11336425.000
05/13/2011	9.84	9.84	9.61	9.65	289453	9431107.000
05/16/2011	9.61	9.68	9.48	9.49	362260	6432522.000
05/17/2011	9.61	10.09	9.42	9.76	1712397	31250748.000
05/18/2011	9.62	9.88	9.35	9.43	1012716	17781032.000
05/19/2011	9.44	9.50	9.36	9.44	367578	6418048.000
05/20/2011	9.46	9.89	9.17	9.56	1125225	19897470.000
