300146 汤臣倍健 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/15/2010	12.12	12.27	11.27	11.28	8906537	1350273920.000
12/16/2010	10.74	11.62	10.73	11.04	3711392	541412864.000
12/17/2010	10.93	11.97	10.92	11.80	3191199	473793440.000
12/20/2010	11.94	12.85	11.84	12.26	3160065	503637728.000
12/21/2010	12.35	12.76	12.13	12.38	1885511	304208416.000
12/22/2010	12.19	12.68	11.97	12.59	1275257	203427456.000
12/23/2010	12.47	12.63	11.80	11.80	1504523	236486176.000
12/24/2010	11.72	11.95	11.30	11.43	977194	147100656.000
12/27/2010	11.48	11.78	10.85	10.93	1002209	148067056.000
12/28/2010	10.80	11.28	10.80	11.13	703819	101179400.000
12/29/2010	11.05	11.25	10.93	11.05	457512	66017468.000
12/30/2010	11.07	11.21	10.94	11.12	539614	77748616.000
12/31/2010	11.12	11.59	11.04	11.55	560188	83001688.000
01/04/2011	11.62	11.86	11.45	11.59	696344	105178784.000
01/05/2011	11.47	11.55	11.02	11.08	947089	138759776.000
01/06/2011	11.05	11.19	10.84	11.18	954610	137453216.000
01/07/2011	11.09	11.16	10.85	10.88	579635	82882536.000
01/10/2011	10.80	10.88	9.97	10.08	1612129	218143504.000
01/11/2011	10.04	10.29	9.88	10.18	489541	64479104.000
01/12/2011	10.13	10.35	9.90	10.07	311700	41466040.000
01/13/2011	10.05	10.12	9.80	9.81	462207	60157740.000
01/14/2011	9.73	9.88	9.68	9.69	396255	50961276.000
01/17/2011	9.80	10.18	9.29	9.46	976842	124145784.000
01/18/2011	9.50	9.50	9.22	9.29	361102	44554028.000
01/19/2011	9.32	9.46	9.28	9.43	346215	42955472.000
01/20/2011	9.45	9.45	8.97	9.06	465607	56641752.000
01/21/2011	8.99	9.26	8.95	9.22	247313	29958614.000
01/24/2011	9.15	9.33	8.80	8.84	230750	27670746.000
01/25/2011	8.86	8.93	8.48	8.63	421252	48406416.000
01/27/2011	8.63	8.96	8.55	8.92	400972	46898584.000
01/28/2011	8.88	9.05	8.80	8.97	258194	30621676.000
01/31/2011	8.92	9.13	8.87	9.03	237147	28348172.000
02/01/2011	9.06	9.18	8.85	8.93	160237	18993172.000
02/09/2011	8.80	8.99	8.80	8.83	151418	17889040.000
02/10/2011	8.82	9.35	8.72	9.33	349839	42167280.000
02/11/2011	9.30	9.37	9.22	9.33	224566	27623130.000
02/14/2011	9.26	9.63	9.26	9.58	320207	40036860.000
02/15/2011	9.63	9.63	9.42	9.43	220084	27611424.000
02/16/2011	9.38	9.57	9.36	9.55	227713	28451140.000
02/17/2011	9.48	9.68	9.48	9.59	243014	30648716.000
02/18/2011	9.55	9.61	9.44	9.47	168574	21151452.000
02/21/2011	9.44	9.51	9.22	9.37	557610	68878984.000
02/22/2011	9.33	9.34	8.80	8.84	747241	89245528.000
02/23/2011	8.84	8.93	8.76	8.90	267310	31431788.000
02/24/2011	8.90	8.90	8.76	8.88	298086	34955500.000
02/25/2011	8.89	9.41	8.89	9.24	708632	86350144.000
02/28/2011	9.24	9.31	9.01	9.13	319322	38565316.000
03/01/2011	9.06	9.30	9.06	9.30	338552	41122908.000
03/02/2011	9.25	9.34	9.12	9.29	286203	34931260.000
03/03/2011	9.25	9.32	8.88	8.97	303587	36540664.000
03/04/2011	8.97	9.04	8.88	9.01	121376	14438293.000
03/07/2011	9.04	9.20	8.88	9.20	263630	31521714.000
03/08/2011	9.22	9.23	9.08	9.22	139809	16975860.000
03/09/2011	9.24	9.24	9.04	9.10	239016	28848848.000
03/10/2011	9.13	9.22	9.08	9.16	249268	30240666.000
03/11/2011	9.10	9.22	9.02	9.07	272139	32871754.000
03/14/2011	9.05	9.43	9.00	9.34	514694	63002256.000
03/15/2011	9.35	9.43	9.03	9.14	684970	83351536.000
03/16/2011	9.10	9.48	9.10	9.39	535294	66250824.000
03/17/2011	9.37	9.90	9.27	9.64	759736	96877992.000
03/18/2011	9.77	9.77	9.54	9.61	344188	43651168.000
03/21/2011	9.47	9.62	9.28	9.29	359101	44546496.000
03/22/2011	9.33	9.35	9.19	9.26	323401	39508052.000
03/23/2011	9.22	9.29	9.15	9.29	344230	42071328.000
03/24/2011	9.25	9.36	9.14	9.15	337398	41101448.000
03/25/2011	9.15	9.25	9.13	9.19	238779	29004074.000
03/28/2011	9.15	9.22	9.10	9.10	378903	45860588.000
03/29/2011	9.08	9.08	8.72	8.76	692325	81376400.000
03/30/2011	8.73	8.82	8.55	8.59	267456	30701174.000
03/31/2011	8.59	8.69	8.56	8.61	124912	14354205.000
