300147 香雪制药 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/15/2010	9.45	9.94	9.21	9.23	16038858	646216640.000
12/16/2010	9.03	9.44	8.86	9.40	6976867	272506624.000
12/17/2010	9.39	9.52	9.28	9.46	4284131	170445920.000
12/20/2010	9.41	9.59	9.20	9.44	5099242	203890064.000
12/21/2010	9.43	9.91	9.40	9.85	6499236	267252352.000
12/22/2010	9.84	10.06	9.62	9.63	4097926	169225296.000
12/23/2010	9.55	9.61	9.10	9.10	3895687	153063824.000
12/24/2010	9.00	9.07	8.78	8.87	2660482	100311688.000
12/27/2010	8.91	8.98	8.35	8.37	2053636	75860072.000
12/28/2010	8.27	8.46	8.27	8.43	1117697	39834772.000
12/29/2010	8.46	8.58	8.38	8.58	793456	28614588.000
12/30/2010	8.56	8.56	8.38	8.41	1214388	43569676.000
12/31/2010	8.43	8.61	8.36	8.56	1013398	36783372.000
01/04/2011	8.58	8.66	8.44	8.64	1190593	43324500.000
01/05/2011	8.55	8.75	8.54	8.62	898848	33075906.000
01/06/2011	8.60	8.72	8.55	8.62	910523	33423794.000
01/07/2011	8.59	8.66	8.34	8.38	1166947	42107832.000
01/10/2011	8.31	8.37	8.16	8.22	1267624	44479600.000
01/11/2011	8.26	8.26	7.97	7.99	1278454	43978436.000
01/12/2011	7.97	8.09	7.91	8.04	784860	26732126.000
01/13/2011	8.05	8.06	7.97	7.99	468290	15973014.000
01/14/2011	7.99	8.16	7.92	8.06	1203943	41483496.000
01/17/2011	7.97	8.04	7.52	7.54	768314	25217498.000
01/18/2011	7.50	7.67	7.27	7.36	680041	21522202.000
01/19/2011	7.37	7.49	7.25	7.47	581348	18427610.000
01/20/2011	7.45	7.47	7.01	7.01	743898	23068758.000
01/21/2011	6.98	7.11	6.98	7.06	630500	19085254.000
01/24/2011	7.11	7.13	6.93	6.98	559617	16868736.000
01/25/2011	6.88	7.05	6.79	6.89	377599	11145512.000
01/26/2011	6.91	7.08	6.90	6.98	436575	13116268.000
01/28/2011	7.06	7.20	7.06	7.15	708310	21623108.000
01/31/2011	7.15	7.19	7.04	7.15	516550	15778974.000
02/01/2011	7.15	7.17	7.07	7.15	371979	11363303.000
02/09/2011	7.16	7.37	7.15	7.20	599438	18626612.000
02/10/2011	7.21	7.46	7.13	7.45	912026	28803624.000
02/11/2011	7.49	7.62	7.38	7.61	1221124	39213816.000
02/14/2011	7.61	7.67	7.56	7.61	1089135	35456916.000
02/15/2011	7.66	7.66	7.52	7.52	865340	28064280.000
02/16/2011	7.48	7.58	7.45	7.56	646112	20817686.000
02/17/2011	7.57	7.63	7.51	7.63	838917	27152800.000
02/18/2011	7.62	8.04	7.59	7.86	1654783	55771436.000
02/21/2011	7.86	8.02	7.82	7.93	897766	30302030.000
02/22/2011	7.91	7.96	7.57	7.58	960550	31789576.000
02/23/2011	7.58	7.84	7.58	7.77	711771	23577716.000
02/24/2011	7.77	7.86	7.68	7.80	609490	20246628.000
02/25/2011	7.86	7.96	7.83	7.93	747942	25205448.000
02/28/2011	7.94	8.04	7.88	7.97	768185	26062830.000
03/01/2011	7.99	8.02	7.92	7.94	654975	22260376.000
03/02/2011	7.92	7.94	7.79	7.86	585378	19623146.000
03/03/2011	7.85	7.88	7.61	7.61	625586	20680866.000
03/07/2011	8.41	8.41	8.35	8.41	2774783	99273136.000
03/08/2011	8.45	8.95	8.41	8.73	5751945	211440592.000
03/09/2011	8.59	8.90	8.51	8.82	3159530	116615576.000
03/10/2011	8.77	8.93	8.66	8.73	2601534	97026752.000
03/11/2011	8.76	9.20	8.71	8.97	3602465	137288160.000
03/14/2011	8.98	9.07	8.81	8.94	2049881	77721000.000
03/15/2011	8.90	8.90	8.47	8.66	2697078	99114488.000
03/16/2011	8.66	8.75	8.58	8.65	1730589	63575744.000
03/17/2011	8.57	8.67	8.42	8.45	1425103	51591700.000
03/18/2011	8.52	8.60	8.46	8.49	751813	27193266.000
03/21/2011	8.51	8.58	8.42	8.46	754910	27248230.000
03/22/2011	8.49	8.55	8.36	8.55	708720	25503584.000
03/23/2011	8.55	8.62	8.46	8.58	821061	29866548.000
03/24/2011	8.61	8.70	8.53	8.61	913359	33559748.000
03/25/2011	8.68	8.68	8.46	8.50	1126306	40790192.000
03/29/2011	8.44	8.44	7.73	7.91	2349894	80200976.000
03/30/2011	7.94	7.94	7.77	7.80	810348	27023932.000
03/31/2011	7.80	7.91	7.78	7.88	566595	18992682.000
04/01/2011	7.88	7.91	7.82	7.90	550899	18509568.000
04/06/2011	7.89	7.89	7.70	7.72	787066	26059512.000
04/07/2011	7.72	7.85	7.72	7.83	488021	16296934.000
04/08/2011	7.84	8.08	7.78	8.05	823050	27976116.000
04/11/2011	8.07	8.10	7.91	7.92	571309	19426394.000
04/12/2011	7.92	8.01	7.88	7.93	340876	11569625.000
04/13/2011	7.90	8.06	7.90	8.04	512972	17521296.000
04/14/2011	8.05	8.09	7.98	8.00	451910	15453565.000
04/15/2011	8.00	8.06	7.82	7.89	601281	20303246.000
04/19/2011	7.80	7.90	7.75	7.77	675093	22498020.000
04/20/2011	7.77	7.92	7.64	7.88	761540	25248196.000
04/21/2011	7.88	8.07	7.82	7.99	623143	21226374.000
04/22/2011	7.99	8.00	7.78	7.87	628351	21080518.000
04/25/2011	7.77	7.85	7.52	7.54	611355	19879030.000
04/26/2011	7.55	7.57	7.25	7.25	571905	17966434.000
04/27/2011	7.28	7.37	7.12	7.14	346720	10748810.000
04/28/2011	7.21	7.27	7.00	7.00	375493	11467043.000
04/29/2011	7.00	7.13	6.98	7.11	241876	7325989.000
05/03/2011	7.11	7.22	7.06	7.19	241999	7412736.500
05/04/2011	7.14	7.18	6.98	6.99	337901	10247993.000
05/05/2011	6.98	7.10	6.96	7.07	214986	6513302.000
05/06/2011	7.07	7.15	7.00	7.12	197054	5990578.000
05/09/2011	7.16	7.23	7.12	7.20	254409	7847488.000
05/10/2011	7.23	7.23	7.11	7.19	260921	8008966.500
05/11/2011	7.18	7.22	7.16	7.20	179664	5543857.000
05/12/2011	7.13	7.24	7.13	7.18	313200	9660468.000
05/13/2011	7.18	7.24	7.06	7.18	250435	7670744.000
05/16/2011	7.25	7.25	7.10	7.19	223051	6844979.500
05/17/2011	7.20	7.35	7.19	7.27	865813	27032152.000
05/18/2011	7.27	7.30	7.20	7.23	413536	12825610.000
05/19/2011	7.23	7.30	7.17	7.19	338149	10462612.000
05/20/2011	7.18	7.20	7.06	7.07	424527	12930892.000
05/23/2011	7.06	7.06	6.61	6.61	973027	13976703.000
05/24/2011	6.56	6.79	6.32	6.75	1250079	17521032.000
05/25/2011	6.61	6.67	6.33	6.37	803692	11126895.000
05/26/2011	6.37	6.46	6.22	6.23	493940	6710298.000
05/27/2011	6.22	6.33	6.07	6.21	496897	6630856.500
05/30/2011	6.29	6.32	6.12	6.15	449560	6002561.500
05/31/2011	6.20	6.30	6.11	6.28	478903	6362613.000
06/01/2011	6.27	6.35	6.17	6.31	648782	8694326.000
06/02/2011	6.17	6.32	6.10	6.14	584334	7702473.000
06/03/2011	6.15	6.39	6.15	6.27	724853	9750117.000
06/07/2011	6.29	6.44	6.22	6.33	672994	9155457.000
06/08/2011	6.33	6.34	6.27	6.32	557633	7508542.000
06/09/2011	6.34	6.34	6.21	6.21	693661	9250509.000
06/10/2011	6.17	6.24	6.14	6.23	411353	5446819.000
06/13/2011	6.20	6.24	6.08	6.20	359856	4735448.500
06/14/2011	6.19	6.25	6.16	6.21	436112	5799678.500
06/15/2011	6.17	6.24	6.13	6.15	354645	4698609.500
06/16/2011	6.09	6.10	5.94	5.94	667700	8613478.000
06/17/2011	5.94	6.01	5.86	5.86	275768	3501799.250
06/20/2011	5.87	5.89	5.65	5.67	353525	4344005.500
06/21/2011	5.68	5.75	5.63	5.73	411550	5044543.000
06/22/2011	5.70	5.76	5.65	5.72	328519	4028137.250
06/23/2011	5.72	5.95	5.66	5.90	631899	7913894.500
06/24/2011	5.92	6.07	5.90	6.03	925712	11902422.000
06/27/2011	5.98	6.13	5.98	6.05	642048	8345811.500
06/28/2011	6.07	6.11	5.96	6.00	748354	9614353.000
06/29/2011	6.01	6.05	5.94	5.95	572801	7345915.000
06/30/2011	5.90	6.03	5.89	5.98	778429	9987269.000
07/01/2011	6.00	6.12	5.98	6.02	948642	12317759.000
07/04/2011	6.09	6.18	6.04	6.17	1318158	17292310.000
07/05/2011	6.21	6.25	6.15	6.25	1039821	13770629.000
07/06/2011	6.25	6.33	6.11	6.33	1198813	16020101.000
07/07/2011	6.31	6.59	6.29	6.44	1945159	26784450.000
07/08/2011	6.40	6.50	6.31	6.36	956918	13039727.000
07/11/2011	6.28	6.44	6.28	6.42	656075	8927159.000
07/12/2011	6.34	6.35	6.17	6.20	841585	11258931.000
07/13/2011	6.18	6.33	6.16	6.31	898853	12026832.000
07/14/2011	6.32	6.75	6.31	6.75	3071903	42972736.000
07/15/2011	6.71	7.05	6.60	6.93	3437926	50301024.000
07/18/2011	6.91	7.20	6.77	6.79	3413036	50684032.000
07/19/2011	6.74	6.83	6.64	6.68	1288907	18455698.000
07/20/2011	6.74	6.77	6.55	6.66	1409182	19959330.000
07/21/2011	6.66	6.70	6.46	6.49	1082854	15208514.000
07/22/2011	6.51	6.59	6.46	6.47	882558	12304263.000
07/26/2011	6.19	6.25	6.08	6.20	1269496	16763532.000
07/27/2011	6.20	6.40	6.07	6.32	1094572	14708846.000
07/28/2011	6.26	6.51	6.17	6.50	1442662	19633900.000
07/29/2011	6.50	6.71	6.47	6.49	1760729	24716666.000
08/01/2011	6.42	6.58	6.32	6.49	960278	13291010.000
08/02/2011	6.49	6.55	6.32	6.46	873710	11968948.000
08/03/2011	6.42	6.76	6.37	6.72	2439967	34613528.000
08/04/2011	6.71	6.80	6.57	6.64	1531685	21656992.000
08/05/2011	6.32	6.54	6.21	6.40	1339822	18368300.000
08/08/2011	6.36	6.61	5.83	5.94	1787516	23402722.000
08/09/2011	5.72	5.90	5.55	5.77	2303381	28310598.000
08/10/2011	5.90	5.92	5.82	5.82	1860378	23441744.000
08/11/2011	5.70	5.97	5.63	5.92	1729409	21665970.000
08/12/2011	6.01	6.06	5.96	6.02	1327470	17122606.000
08/15/2011	6.05	6.20	5.94	6.20	1730102	22647404.000
08/16/2011	6.19	6.31	6.11	6.19	1411274	18719370.000
08/17/2011	6.17	6.29	6.12	6.28	1232307	16420132.000
08/18/2011	6.31	6.37	6.12	6.13	1121812	14966313.000
08/19/2011	5.97	6.06	5.88	6.06	636031	8164679.500
08/22/2011	6.03	6.19	6.02	6.09	618014	8060617.000
08/23/2011	6.07	6.22	5.88	6.19	2585853	33344216.000
08/24/2011	6.20	6.45	6.17	6.37	3486004	47318556.000
08/25/2011	6.36	6.45	6.26	6.44	2228076	30220040.000
08/26/2011	6.41	6.54	6.37	6.51	2256386	31215678.000
08/29/2011	6.49	6.63	6.44	6.52	2103958	29400456.000
08/30/2011	6.53	6.61	6.32	6.32	2192144	30259376.000
08/31/2011	6.27	6.37	6.15	6.21	963525	12859936.000
09/01/2011	6.22	6.30	6.12	6.14	871859	11563307.000
09/02/2011	6.14	6.19	5.99	6.11	1063064	13767426.000
09/05/2011	6.02	6.09	5.88	5.91	802185	10201514.000
09/06/2011	5.83	5.92	5.80	5.82	502849	6304327.500
09/07/2011	5.87	5.98	5.85	5.98	495337	6290793.000
09/08/2011	6.01	6.08	5.95	5.95	785742	10085527.000
09/09/2011	5.96	6.01	5.85	5.87	416326	5284694.500
09/13/2011	5.75	5.82	5.73	5.75	507795	6277402.000
