300148 天舟文化 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/15/2010	10.48	11.41	9.84	11.12	13481624	444644128.000
12/16/2010	10.59	10.76	10.33	10.40	7963968	259419680.000
12/17/2010	10.47	10.97	10.36	10.93	6237203	205116480.000
12/20/2010	10.76	10.82	10.01	10.35	4706506	152848208.000
12/21/2010	10.35	10.39	10.13	10.27	2959501	94197584.000
12/22/2010	10.27	10.41	10.18	10.31	1708024	54456124.000
12/23/2010	10.27	10.32	9.63	9.67	2818472	86945632.000
12/24/2010	9.44	9.53	9.02	9.20	1778388	51110212.000
12/27/2010	9.21	9.34	8.72	8.74	1265592	35527728.000
12/28/2010	8.72	8.83	8.62	8.79	908893	24700098.000
12/29/2010	8.79	8.85	8.59	8.79	733498	19875298.000
12/30/2010	8.73	8.83	8.67	8.76	879496	23876266.000
12/31/2010	8.77	8.90	8.75	8.81	824168	22591506.000
01/04/2011	8.85	9.10	8.82	9.02	1089900	30391078.000
01/05/2011	8.95	9.11	8.88	8.92	795022	22138108.000
01/06/2011	8.94	8.98	8.58	8.59	1130348	30607752.000
01/07/2011	8.62	8.83	8.59	8.77	1062329	28709912.000
01/10/2011	8.78	8.85	8.57	8.58	878280	23819012.000
01/11/2011	8.58	8.64	8.35	8.42	643052	16859242.000
01/12/2011	8.43	8.58	8.32	8.44	505697	13281884.000
01/13/2011	8.47	8.51	8.36	8.45	333163	8734324.000
01/14/2011	8.38	8.38	8.09	8.09	643441	16433715.000
01/17/2011	8.05	8.09	7.66	7.74	745160	18161952.000
01/18/2011	7.76	7.77	7.58	7.60	821013	19608586.000
01/19/2011	7.66	7.76	7.60	7.74	840817	20143902.000
01/20/2011	7.74	7.81	7.46	7.47	736967	17610258.000
01/21/2011	7.42	7.60	7.35	7.52	537442	12525486.000
01/24/2011	7.56	7.56	7.24	7.25	502425	11537888.000
01/25/2011	7.27	7.36	7.10	7.35	520509	11773604.000
01/26/2011	7.39	7.63	7.33	7.47	639839	14931937.000
