300149 量子高科 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/22/2010	10.49	10.96	9.23	9.29	9906431	445618784.000
12/23/2010	8.83	9.06	8.36	8.42	5162587	206273088.000
12/24/2010	8.20	8.28	7.87	8.03	2827003	104276720.000
12/27/2010	7.98	8.16	7.64	7.65	1975940	71828592.000
12/28/2010	7.60	7.64	7.31	7.52	1821502	62091392.000
12/29/2010	7.45	7.64	7.43	7.64	1427448	49383880.000
12/30/2010	7.60	7.62	7.45	7.54	1023524	35371728.000
12/31/2010	7.49	7.62	7.47	7.59	1149734	39778844.000
01/04/2011	7.65	7.88	7.56	7.87	1647605	58292364.000
01/05/2011	7.81	7.98	7.73	7.76	1339472	48010416.000
01/06/2011	7.71	7.80	7.50	7.62	982802	34291760.000
01/07/2011	7.64	7.91	7.64	7.73	1306181	46533380.000
01/10/2011	7.68	7.68	7.40	7.42	942287	32390110.000
01/11/2011	7.35	7.41	7.12	7.19	910494	30099124.000
01/12/2011	7.19	7.31	7.08	7.23	528641	17385044.000
01/13/2011	7.24	7.29	7.16	7.19	397128	13132521.000
01/14/2011	7.19	7.21	6.91	6.92	623267	20035636.000
01/17/2011	6.87	6.87	6.52	6.52	728071	22236808.000
01/18/2011	6.54	6.60	6.31	6.56	414142	12444346.000
01/19/2011	6.51	6.70	6.51	6.67	423359	12898157.000
01/20/2011	6.61	6.68	6.34	6.34	401981	11999577.000
01/21/2011	6.33	6.41	6.27	6.36	337297	9833862.000
01/24/2011	6.34	6.41	6.22	6.22	300673	8702946.000
01/25/2011	6.25	6.28	6.10	6.28	329554	9345784.000
01/26/2011	6.28	6.51	6.21	6.43	485208	14282769.000
01/27/2011	6.40	6.50	6.32	6.47	497750	14684058.000
01/28/2011	6.47	6.53	6.43	6.53	298720	8883071.000
01/31/2011	6.53	6.54	6.45	6.52	299650	8948349.000
02/01/2011	6.45	6.52	6.44	6.48	298701	8876907.000
02/09/2011	6.47	6.47	6.26	6.27	335022	9790235.000
02/10/2011	6.24	6.59	6.23	6.57	622332	18555682.000
02/11/2011	6.56	6.69	6.50	6.68	677586	20525724.000
02/14/2011	6.71	6.78	6.67	6.76	886436	27335042.000
02/15/2011	6.76	6.81	6.70	6.70	700962	21670714.000
02/16/2011	6.67	6.79	6.64	6.79	686494	21176190.000
02/17/2011	6.79	6.88	6.74	6.83	699241	21844620.000
02/18/2011	6.85	6.93	6.76	6.91	766639	24151600.000
02/21/2011	6.91	7.18	6.85	7.18	1115336	36106364.000
