300150 世纪瑞尔 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/22/2010	27.50	29.40	27.00	28.70	24226109	1419561600.000
12/23/2010	28.00	29.60	26.00	26.95	14486604	844960448.000
12/24/2010	27.50	28.48	26.71	27.85	9035641	518061376.000
12/27/2010	27.59	27.75	24.97	24.97	7319423	391708800.000
12/28/2010	23.48	23.75	22.37	22.37	5580039	264434176.000
12/29/2010	22.74	23.33	22.39	23.05	3896014	186171136.000
12/30/2010	22.68	23.93	21.91	23.25	4093453	195496000.000
12/31/2010	22.85	23.74	22.48	22.90	2971376	143600672.000
01/04/2011	22.93	23.98	22.70	23.90	3929825	191862032.000
01/05/2011	23.50	26.30	23.35	24.95	4739012	247405200.000
01/06/2011	24.65	25.88	24.65	25.58	2634374	138791392.000
01/07/2011	25.15	25.50	24.40	24.85	2136116	110440320.000
01/10/2011	24.50	25.14	23.24	23.38	1884436	94926720.000
01/11/2011	23.19	23.19	20.95	21.50	2873593	131372816.000
01/12/2011	21.50	21.75	20.75	21.10	2065504	91114968.000
01/13/2011	21.36	22.59	21.04	22.51	2754761	126024024.000
01/14/2011	22.14	22.44	21.47	21.75	2178787	100078936.000
01/17/2011	21.50	21.67	19.48	19.48	2022473	85668248.000
01/18/2011	19.07	19.70	19.07	19.15	972622	39598564.000
01/19/2011	19.35	20.75	19.16	19.95	2800293	117360648.000
01/20/2011	19.99	19.99	18.36	18.40	2651536	105665680.000
01/21/2011	17.94	19.10	17.85	18.35	1730845	67408368.000
01/24/2011	18.35	18.70	17.75	17.84	1138569	43467952.000
01/25/2011	17.53	17.90	16.98	17.87	1311034	47898056.000
01/26/2011	17.87	18.75	17.72	18.18	1151835	44405400.000
01/27/2011	18.18	18.69	17.50	18.25	1238981	47745420.000
01/28/2011	18.00	18.73	18.00	18.45	989367	38408212.000
01/31/2011	18.50	19.25	18.35	18.96	1261788	50217816.000
02/01/2011	18.78	18.98	18.38	18.38	987254	38571916.000
02/09/2011	18.03	18.65	18.03	18.21	746732	28867074.000
02/10/2011	18.01	18.93	18.01	18.89	1191589	46738320.000
02/11/2011	18.80	20.17	18.71	20.00	2390972	97662416.000
02/14/2011	19.89	20.10	19.41	19.95	1823755	75564224.000
02/15/2011	19.89	20.40	19.72	19.74	1874526	78773272.000
02/16/2011	19.46	19.74	19.20	19.70	2854949	116740320.000
02/17/2011	19.65	19.90	19.18	19.43	2014265	82449632.000
02/18/2011	19.40	19.84	19.35	19.58	1518167	62550884.000
02/21/2011	19.50	19.90	19.25	19.86	1562705	64656160.000
02/22/2011	19.80	19.94	18.19	18.20	2709528	107632896.000
02/23/2011	18.14	18.35	18.06	18.33	1175207	45223544.000
02/24/2011	18.23	18.33	17.92	18.15	1262061	48181092.000
02/25/2011	18.15	18.43	18.09	18.23	1039618	39910240.000
02/28/2011	18.44	18.44	18.15	18.35	1219114	47022892.000
03/01/2011	18.48	18.64	18.27	18.44	1393856	54138060.000
03/03/2011	18.40	18.40	17.35	17.59	2539642	95113408.000
03/04/2011	17.45	17.85	17.29	17.50	1641244	60713636.000
03/07/2011	17.58	17.85	17.58	17.65	1390420	51923324.000
03/08/2011	17.91	18.40	17.91	18.14	1807202	69222072.000
03/09/2011	18.15	18.17	17.64	17.85	1498771	56344420.000
03/10/2011	17.83	18.10	17.65	17.91	1204000	45566084.000
03/11/2011	17.79	18.43	17.75	18.08	1790786	68677944.000
03/14/2011	18.10	18.22	17.65	17.93	1053380	39843968.000
03/15/2011	17.91	17.91	17.28	17.60	1303828	48283000.000
03/16/2011	17.58	17.70	17.46	17.61	977685	36328104.000
03/17/2011	17.50	17.51	17.08	17.14	1161047	42511276.000
03/18/2011	17.19	17.56	17.19	17.43	768483	28305142.000
03/21/2011	17.59	17.63	17.24	17.33	654436	24058098.000
03/22/2011	17.44	17.44	16.46	16.71	3259709	115775320.000
03/23/2011	16.73	16.94	16.56	16.83	965079	34346456.000
03/24/2011	16.84	17.55	16.76	17.35	1949743	71546368.000
03/25/2011	17.35	17.48	17.18	17.30	1715111	62693128.000
03/28/2011	17.30	17.37	16.59	16.70	2335612	83247728.000
03/29/2011	16.62	16.62	15.85	15.93	2343833	80166848.000
03/30/2011	15.81	15.90	15.50	15.56	1228196	40901420.000
03/31/2011	15.60	15.88	15.60	15.72	823317	27616596.000
04/01/2011	15.76	16.08	15.66	16.01	723856	24493492.000
04/06/2011	15.99	16.05	15.66	15.74	809475	27204664.000
04/07/2011	15.74	16.00	15.74	15.93	455387	15367194.000
04/08/2011	15.98	16.33	15.85	16.31	885471	30254530.000
04/11/2011	16.31	16.33	15.81	15.90	802150	27394204.000
04/12/2011	15.86	16.00	15.69	15.70	646370	21787622.000
04/13/2011	15.61	16.14	15.61	16.04	712201	24232262.000
04/14/2011	16.06	16.28	16.02	16.28	862710	29571598.000
04/15/2011	15.94	15.95	15.66	15.84	984657	33076724.000
04/18/2011	15.87	15.97	15.69	15.74	599956	20160722.000
04/19/2011	15.56	15.68	15.20	15.25	1036985	33920124.000
04/20/2011	15.23	15.65	15.20	15.44	520107	17096988.000
04/21/2011	15.45	15.60	15.33	15.53	684822	22601130.000
04/22/2011	15.53	15.66	15.41	15.56	553904	18329514.000
04/25/2011	15.65	15.90	15.33	15.74	1106776	36867348.000
04/26/2011	15.73	16.24	15.68	16.15	2200731	74985656.000
04/27/2011	16.25	16.26	15.25	15.56	1479136	49644200.000
04/28/2011	15.44	15.68	14.51	14.58	1454313	46653800.000
04/29/2011	14.59	14.75	14.40	14.64	576395	17980978.000
05/03/2011	14.65	14.86	14.45	14.84	649999	20337318.000
05/04/2011	14.51	14.75	14.31	14.37	580850	18086298.000
05/05/2011	14.05	14.48	14.05	14.30	501181	15347023.000
05/06/2011	14.05	14.75	14.05	14.69	651531	20194284.000
05/10/2011	14.81	15.12	14.81	14.98	973196	31063738.000
05/11/2011	14.80	15.05	14.70	14.90	539055	17121414.000
05/12/2011	14.90	14.90	14.18	14.20	698518	21675464.000
05/13/2011	14.40	14.40	14.07	14.33	423318	12902395.000
05/16/2011	14.50	14.73	14.38	14.70	666458	20798856.000
05/17/2011	14.68	14.89	14.46	14.65	490652	15385900.000
05/18/2011	14.51	14.72	14.51	14.63	437738	13690454.000
05/19/2011	14.63	14.83	14.52	14.64	398452	12483581.000
05/20/2011	14.60	14.61	14.33	14.34	492042	14916759.000
05/23/2011	14.37	14.37	13.39	13.50	908872	26304104.000
05/24/2011	13.30	13.94	12.90	13.81	1279326	36351684.000
05/25/2011	13.74	13.87	13.33	13.41	785623	22465320.000
05/26/2011	13.50	13.59	12.95	12.95	648026	18184944.000
05/27/2011	13.08	13.08	12.76	12.79	532428	14528144.000
05/30/2011	12.75	13.08	12.61	12.95	809731	22176158.000
05/31/2011	12.97	13.20	12.75	13.14	639984	17598756.000
06/01/2011	13.14	13.28	13.01	13.21	538614	15007542.000
06/02/2011	13.00	13.00	12.66	12.81	767895	20880086.000
06/03/2011	12.94	13.42	12.80	13.36	958793	26709002.000
06/07/2011	13.35	13.65	13.29	13.37	540999	15348468.000
06/08/2011	13.37	13.38	12.97	13.23	650378	18025066.000
06/09/2011	13.09	13.20	12.80	12.80	475864	13085134.000
06/10/2011	12.85	13.23	12.59	13.22	1045021	28300382.000
06/13/2011	13.10	13.27	12.90	13.18	659368	18261888.000
06/14/2011	13.18	13.45	13.09	13.22	1033867	29025204.000
06/15/2011	13.22	13.34	12.92	12.92	664694	18369616.000
06/16/2011	12.70	12.78	12.59	12.62	756004	20282572.000
06/17/2011	12.55	12.68	12.53	12.54	363319	9692845.000
06/20/2011	12.50	12.68	12.37	12.40	588297	15547366.000
06/21/2011	12.50	12.89	12.44	12.72	613300	16437986.000
06/22/2011	12.80	12.97	12.60	12.60	496416	13400956.000
06/23/2011	12.62	13.15	12.46	13.03	1211459	33254036.000
