300151 昌红科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/22/2010	14.85	15.25	14.12	14.41	10489714	472122784.000
12/23/2010	13.85	14.01	12.93	13.18	5781390	240151200.000
12/24/2010	13.12	13.22	12.45	12.59	3191027	125769096.000
12/27/2010	12.42	12.65	11.68	11.82	2539551	96970376.000
12/28/2010	11.59	11.78	11.45	11.71	1462539	52875896.000
12/29/2010	11.75	11.90	11.65	11.81	1129825	41406732.000
12/30/2010	11.77	11.97	11.58	11.77	1050662	38535464.000
12/31/2010	11.75	11.96	11.73	11.86	1184862	43677856.000
01/04/2011	11.92	12.38	11.82	12.26	1459717	54794200.000
01/05/2011	12.15	12.37	12.03	12.18	1208742	45727180.000
01/06/2011	12.12	12.20	11.78	11.82	1044155	38592140.000
01/07/2011	11.80	11.88	11.53	11.58	1541315	55935528.000
01/10/2011	11.50	11.71	11.44	11.65	907155	32611120.000
01/11/2011	11.52	11.58	11.36	11.43	562852	20050068.000
01/12/2011	11.53	11.54	11.31	11.51	419312	14895889.000
01/13/2011	11.52	11.52	11.43	11.46	332199	11833363.000
01/14/2011	11.39	11.46	10.99	11.00	706253	24508646.000
01/17/2011	10.95	10.99	10.36	10.39	655365	21635174.000
01/18/2011	10.30	10.38	10.18	10.32	392057	12559201.000
01/20/2011	10.55	10.55	9.86	9.86	706038	22398430.000
01/21/2011	9.75	9.93	9.52	9.86	368943	11294623.000
01/24/2011	9.85	9.92	9.59	9.64	300741	9140109.000
01/25/2011	9.62	9.80	9.61	9.77	330446	10015796.000
01/26/2011	9.77	10.15	9.77	10.02	525788	16377371.000
01/27/2011	9.93	10.13	9.87	10.08	427204	13388013.000
01/28/2011	10.15	10.32	10.03	10.26	430594	13694925.000
01/31/2011	10.26	10.34	10.12	10.32	385435	12336362.000
02/01/2011	10.31	10.40	10.18	10.29	231470	7420907.000
02/09/2011	10.12	10.24	9.95	9.97	370327	11652889.000
02/10/2011	9.95	10.34	9.88	10.34	421480	13448898.000
02/11/2011	10.34	10.41	10.28	10.41	404673	13070488.000
02/14/2011	10.43	10.78	10.41	10.64	619580	20576312.000
02/15/2011	10.67	10.75	10.59	10.63	469504	15592676.000
02/16/2011	10.62	10.92	10.52	10.90	692863	23265506.000
02/17/2011	10.91	10.98	10.81	10.91	374397	12690900.000
02/18/2011	10.92	10.92	10.58	10.69	407896	13638885.000
02/21/2011	10.58	10.85	10.58	10.82	390280	13058319.000
02/22/2011	10.82	10.88	10.40	10.40	516311	17018888.000
02/23/2011	10.40	10.53	10.38	10.46	255825	8318692.000
02/24/2011	10.44	10.53	10.42	10.51	173959	5684841.500
02/25/2011	10.48	10.68	10.43	10.60	294750	9720061.000
02/28/2011	10.65	11.07	10.65	11.00	913903	31076236.000
03/01/2011	11.00	11.21	10.88	11.06	877168	30225672.000
03/02/2011	10.98	11.06	10.89	11.05	448306	15296954.000
03/03/2011	11.05	11.12	10.79	10.79	451491	15349470.000
03/04/2011	10.78	10.91	10.72	10.86	243159	8190572.500
03/07/2011	10.88	10.95	10.82	10.93	340583	11555238.000
03/08/2011	10.93	10.97	10.87	10.89	181249	6148299.500
03/09/2011	10.89	10.95	10.83	10.84	366530	12417886.000
03/10/2011	10.86	10.96	10.85	10.87	293961	9985051.000
03/11/2011	10.86	11.01	10.78	10.91	470510	15990376.000
03/14/2011	10.87	11.12	10.79	11.02	655665	22512686.000
03/15/2011	11.04	11.21	10.78	10.93	595693	20330742.000
03/16/2011	10.79	10.95	10.79	10.87	344297	11650953.000
03/17/2011	10.83	10.83	10.59	10.62	430485	14331695.000
03/18/2011	10.65	10.76	10.50	10.54	269617	8890259.000
03/21/2011	10.55	10.65	10.49	10.58	148550	4902865.500
03/22/2011	10.64	10.69	10.48	10.66	128840	4249645.000
03/23/2011	10.67	10.72	10.62	10.68	254551	8466179.000
03/24/2011	10.70	10.75	10.69	10.70	224445	7496835.500
03/25/2011	10.75	11.02	10.75	11.02	787001	26773504.000
03/28/2011	11.02	11.36	10.75	10.87	754465	25889148.000
03/29/2011	10.88	10.88	10.37	10.40	653788	21518276.000
03/30/2011	10.39	10.43	9.92	9.95	547000	17264960.000
03/31/2011	10.02	10.10	9.95	10.07	281360	8830143.000
04/01/2011	10.14	10.18	10.08	10.18	321262	10171114.000
04/06/2011	10.24	10.36	10.12	10.31	280136	8977665.000
04/07/2011	10.32	10.47	10.16	10.45	314707	10121800.000
04/08/2011	10.29	10.35	10.18	10.31	577118	18482902.000
04/11/2011	10.31	10.33	9.23	9.85	1300194	39832860.000
04/12/2011	9.74	9.84	9.63	9.69	586133	17814430.000
