300152 燃控科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/29/2010	20.93	22.80	20.38	22.77	19347132	931594176.000
12/30/2010	23.20	23.43	21.91	22.03	9957097	505229568.000
12/31/2010	22.75	24.10	22.48	22.97	6693281	345820768.000
01/04/2011	22.70	25.09	22.26	24.85	5893793	316248160.000
01/05/2011	24.22	24.65	23.66	24.32	3646163	197241920.000
01/06/2011	24.38	24.82	22.75	22.80	4518149	240480752.000
01/07/2011	22.93	23.24	21.52	21.75	4060325	203207520.000
01/10/2011	21.57	22.07	20.89	21.06	2788841	133852616.000
01/11/2011	20.84	21.24	20.55	20.93	1930224	90763608.000
01/12/2011	20.98	21.13	19.93	20.15	2722239	125222064.000
01/13/2011	20.19	20.38	19.81	20.21	1668963	75358248.000
01/14/2011	20.03	20.03	18.79	19.06	2689200	116404616.000
01/17/2011	18.89	19.10	18.29	18.36	1339403	55881752.000
01/18/2011	18.20	19.26	18.13	18.62	1431697	59660940.000
01/19/2011	18.61	19.16	18.37	18.86	1580038	66970268.000
01/20/2011	18.68	18.75	17.53	17.57	1731761	70655712.000
01/21/2011	17.34	17.90	17.34	17.61	1056161	41839164.000
01/24/2011	17.68	17.94	16.70	16.73	1549489	60731404.000
01/25/2011	16.56	17.35	16.51	17.11	984863	37483464.000
01/26/2011	17.10	17.57	17.02	17.27	1027140	40141820.000
01/27/2011	17.19	17.71	16.90	17.51	1022840	40204392.000
01/28/2011	17.47	17.64	17.02	17.30	1066654	41457188.000
01/31/2011	17.24	17.74	17.17	17.69	853513	33784308.000
02/01/2011	18.50	18.99	18.01	18.22	2049532	85365520.000
02/09/2011	18.11	18.77	17.78	17.84	1499001	61831288.000
02/10/2011	17.61	18.83	17.51	18.70	1690637	69402352.000
02/11/2011	18.66	19.31	18.58	19.08	1871130	79574208.000
02/14/2011	19.11	19.28	18.80	19.16	1450188	62175680.000
02/15/2011	19.24	19.24	18.82	18.85	1467968	62673044.000
02/16/2011	18.70	19.41	18.68	19.17	1288705	55373848.000
02/17/2011	19.13	19.20	18.85	19.04	1422016	60781176.000
02/18/2011	19.05	20.01	18.88	19.79	2096163	92801384.000
02/21/2011	19.73	20.03	19.42	20.03	1441075	64018864.000
02/22/2011	20.22	20.22	19.16	19.18	1472959	65146472.000
02/23/2011	18.98	19.69	18.97	19.38	1211930	52711412.000
02/24/2011	19.18	19.56	19.11	19.40	867844	37655708.000
02/25/2011	19.16	19.46	18.89	18.93	934381	40164176.000
02/28/2011	18.20	18.38	17.27	17.47	4998432	197793008.000
03/01/2011	17.31	17.48	17.23	17.39	2404623	94179632.000
03/02/2011	17.29	17.53	17.27	17.42	1584607	62144468.000
03/03/2011	17.41	17.49	16.93	16.99	1526154	59220104.000
03/04/2011	16.89	17.24	16.88	17.24	669060	25794630.000
03/07/2011	17.41	17.47	17.25	17.42	1314030	51479500.000
03/08/2011	17.42	17.61	17.42	17.54	1232308	48649920.000
03/09/2011	17.69	17.69	17.34	17.43	917062	36042940.000
03/10/2011	17.48	17.58	17.42	17.43	1021987	40300944.000
03/11/2011	17.30	17.52	17.30	17.35	894385	35122816.000
03/14/2011	17.32	17.71	17.32	17.70	1559941	61929000.000
03/15/2011	17.75	17.75	16.98	17.39	1111062	43455000.000
03/16/2011	17.40	17.55	17.24	17.48	789271	31078070.000
03/17/2011	17.45	17.45	16.93	17.12	660395	25644132.000
03/18/2011	17.10	17.34	17.10	17.20	362695	14088696.000
03/21/2011	17.29	17.33	17.02	17.06	443447	17125724.000
03/22/2011	17.08	17.18	16.76	16.86	718502	27336566.000
03/23/2011	16.84	16.93	16.80	16.88	576240	21938996.000
03/24/2011	16.97	17.13	16.93	16.97	740858	28448256.000
03/25/2011	17.00	17.16	17.00	17.15	940518	36251744.000
03/28/2011	17.15	17.23	16.87	16.91	673761	25962236.000
03/29/2011	16.91	17.04	16.39	16.41	789166	29553198.000
03/30/2011	16.53	16.53	15.48	15.48	1779127	63104672.000
03/31/2011	15.58	15.83	15.48	15.61	721230	25512198.000
04/01/2011	15.63	15.82	15.58	15.77	595873	21128726.000
04/06/2011	15.48	15.48	15.06	15.11	1291005	44441220.000
04/07/2011	15.10	15.32	14.79	15.24	922697	31350354.000
04/08/2011	15.23	15.62	15.07	15.58	1030141	35905188.000
04/11/2011	15.57	15.61	15.27	15.42	624032	21736060.000
04/12/2011	15.44	15.44	15.14	15.23	386738	13368048.000
04/13/2011	15.45	16.11	15.45	15.88	1326147	47511248.000
04/14/2011	15.78	15.82	15.59	15.72	574806	20378032.000
04/15/2011	15.67	15.72	15.39	15.71	549198	19391828.000
04/18/2011	15.70	15.70	15.31	15.38	452502	15811819.000
04/19/2011	15.29	15.41	14.88	15.40	712586	24471884.000
04/20/2011	15.38	15.64	15.02	15.52	647922	22464276.000
04/21/2011	15.52	15.70	15.30	15.58	618821	21745212.000
04/25/2011	15.29	15.29	14.10	14.20	900041	29350090.000
04/26/2011	14.11	14.23	13.98	14.03	557240	17796648.000
04/27/2011	14.16	14.18	13.05	13.11	1043822	31918742.000
04/28/2011	13.13	13.17	12.48	12.52	1186534	34518736.000
04/29/2011	12.50	12.70	12.44	12.52	676062	19290108.000
05/03/2011	12.65	12.65	12.49	12.56	710465	20305318.000
05/04/2011	12.58	12.63	12.07	12.11	1048502	29476378.000
05/05/2011	12.11	12.28	12.07	12.16	548237	15207609.000
05/06/2011	12.11	12.47	12.03	12.34	649048	18213168.000
05/09/2011	12.34	12.66	12.34	12.61	664532	18960376.000
05/10/2011	12.61	12.73	12.48	12.63	561821	16100122.000
05/11/2011	12.63	12.74	12.53	12.69	350815	10091152.000
05/12/2011	12.68	12.68	12.56	12.60	509023	14607920.000
05/13/2011	12.68	12.69	12.38	12.59	393666	11135424.000
05/16/2011	12.61	12.70	12.48	12.59	238247	6747839.500
05/17/2011	12.59	12.66	12.29	12.52	314438	8839592.000
05/18/2011	12.52	12.55	12.33	12.51	149272	4189788.250
05/19/2011	12.43	12.59	12.34	12.34	231908	6509929.000
05/20/2011	12.38	12.51	12.25	12.25	366797	10210849.000
05/23/2011	12.20	12.24	11.45	11.52	523215	13856075.000
05/24/2011	11.52	11.98	11.11	11.90	794756	20784482.000
05/25/2011	11.79	11.83	11.25	11.48	551059	14443383.000
05/26/2011	11.44	11.68	11.36	11.37	424413	10999330.000
05/27/2011	11.47	11.55	11.25	11.38	367892	9437179.000
05/30/2011	11.78	12.54	11.77	12.54	3221087	90089984.000
05/31/2011	12.54	12.65	12.16	12.56	2636921	73634232.000
06/01/2011	12.56	13.33	12.34	12.95	2691224	77954128.000
06/02/2011	12.57	12.83	12.38	12.81	1507003	42740992.000
06/03/2011	12.76	12.97	12.54	12.83	1228318	35312260.000
06/07/2011	12.84	13.02	12.59	12.78	873105	25180228.000
06/08/2011	12.84	13.09	12.72	13.02	1333494	38711432.000
06/09/2011	12.91	13.01	12.43	12.44	999674	28514854.000
06/10/2011	12.39	12.48	11.74	12.03	893224	24170530.000
06/13/2011	12.03	12.24	11.84	12.16	558694	15219639.000
06/14/2011	12.16	12.29	12.02	12.29	532881	14654216.000
06/15/2011	12.24	12.38	12.03	12.06	568404	15572163.000
06/16/2011	11.91	11.98	11.57	11.58	666200	17675176.000
06/17/2011	11.53	11.69	11.38	11.40	476838	12355004.000
06/20/2011	11.35	12.15	11.15	11.83	998938	26667332.000
06/21/2011	11.98	12.20	11.85	12.17	791871	21517600.000
