300153 科泰电源 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/29/2010	19.75	21.00	19.75	19.89	8489804	353248864.000
12/30/2010	19.50	19.59	18.66	19.06	3674677	144384496.000
12/31/2010	18.87	19.13	18.75	19.06	1917021	74709536.000
01/04/2011	19.15	19.49	19.04	19.43	1661511	65771212.000
01/05/2011	19.40	19.41	19.17	19.23	1097155	43355720.000
01/06/2011	19.00	19.48	19.00	19.29	1140584	45044800.000
01/07/2011	19.25	19.25	18.86	18.92	1246263	48643032.000
01/10/2011	18.84	19.03	18.81	18.92	755815	29379766.000
01/11/2011	18.83	19.08	18.76	18.90	627123	24361224.000
01/12/2011	18.89	19.00	18.58	18.70	595217	22934420.000
01/13/2011	18.70	18.73	18.54	18.54	520301	19868550.000
01/14/2011	18.55	18.55	18.08	18.17	698890	26184438.000
01/17/2011	17.90	18.24	17.68	17.71	483217	17795304.000
01/18/2011	17.71	17.95	17.58	17.76	241516	8849422.000
01/19/2011	17.75	17.99	17.69	17.95	399923	14701662.000
01/20/2011	17.95	17.95	17.23	17.25	360651	13069251.000
01/21/2011	17.20	17.45	17.12	17.32	246907	8794581.000
01/24/2011	17.34	17.34	16.90	16.90	264286	9282193.000
01/25/2011	16.93	16.93	16.57	16.72	272573	9363145.000
01/26/2011	16.83	17.10	16.65	17.04	223424	7804374.500
01/27/2011	16.98	17.21	16.75	17.12	278909	9785966.000
01/28/2011	17.15	17.23	17.01	17.13	219683	7725185.000
01/31/2011	17.13	17.22	17.06	17.18	190269	6713229.500
02/01/2011	17.08	17.20	17.08	17.12	155455	5483808.500
02/09/2011	17.10	17.20	16.82	17.04	158664	5578570.500
02/10/2011	17.10	17.58	17.02	17.58	377859	13568576.000
02/11/2011	17.89	18.40	17.84	17.95	841942	31319014.000
02/14/2011	17.95	18.10	17.77	18.03	509907	18801354.000
02/16/2011	17.96	18.21	17.81	18.21	455679	16917514.000
02/17/2011	18.18	18.26	18.01	18.16	472576	17585992.000
02/18/2011	18.15	18.15	17.85	17.87	406650	15018942.000
02/21/2011	17.81	18.17	17.76	18.16	350731	13004776.000
02/22/2011	18.16	18.29	17.77	17.85	479904	17796638.000
02/23/2011	17.81	18.12	17.81	18.02	291195	10727038.000
02/24/2011	17.95	18.08	17.81	17.92	202887	7472890.500
02/25/2011	17.89	18.00	17.83	17.98	199646	7350279.500
02/28/2011	17.98	18.08	17.85	18.05	246565	9114312.000
03/01/2011	18.01	18.25	18.00	18.11	350681	13063641.000
03/02/2011	18.12	18.25	17.82	17.91	284232	10496587.000
03/03/2011	18.00	18.11	17.40	17.50	313269	11402856.000
03/04/2011	17.51	17.60	17.25	17.57	326942	11702996.000
03/07/2011	17.58	17.79	17.58	17.75	274020	9986607.000
03/08/2011	17.74	17.99	17.71	17.93	261994	9617976.000
03/09/2011	17.91	17.98	17.83	17.97	304379	11214366.000
03/10/2011	17.96	18.88	17.96	18.85	1694327	64729424.000
03/11/2011	18.65	19.24	18.60	19.01	1583221	61642568.000
03/14/2011	19.02	19.20	18.85	19.19	1049584	41042352.000
03/15/2011	19.50	19.60	19.25	19.45	2838312	113271288.000
03/16/2011	19.45	19.48	19.15	19.21	1148428	45354432.000
03/17/2011	19.00	19.06	18.77	18.83	602667	23369802.000
03/18/2011	18.85	19.05	18.85	18.97	386812	15068097.000
03/21/2011	19.00	19.00	18.62	18.72	379838	14621984.000
03/22/2011	18.71	18.83	18.45	18.53	334193	12719601.000
03/23/2011	18.59	18.74	18.53	18.72	228960	8756549.000
03/24/2011	18.72	18.76	18.58	18.72	282654	10837033.000
03/25/2011	18.73	18.84	18.66	18.75	300598	11578945.000
03/28/2011	18.75	18.82	18.50	18.50	402310	15381467.000
03/29/2011	18.44	18.45	17.43	17.44	1542600	56308196.000
03/30/2011	17.44	17.60	17.28	17.45	450090	16149700.000
03/31/2011	17.45	17.69	17.45	17.57	257719	9304640.000
04/01/2011	17.59	17.71	17.58	17.71	215974	7843504.000
04/06/2011	17.65	17.71	17.30	17.43	259869	9323481.000
04/07/2011	17.34	17.67	17.33	17.64	151744	5479883.000
04/08/2011	17.64	17.90	17.64	17.89	246244	9017242.000
04/11/2011	17.98	17.98	17.75	17.76	202755	7422335.500
04/13/2011	17.93	17.93	17.53	17.91	225742	8286183.000
04/14/2011	17.91	17.94	17.63	17.65	163491	5959645.000
04/15/2011	17.60	17.80	17.54	17.63	108868	3945383.750
04/18/2011	17.63	17.68	17.53	17.67	102899	3722639.500
04/19/2011	17.70	17.70	17.25	17.39	205210	7355212.500
04/20/2011	17.35	17.40	16.90	16.95	1009544	35392264.000
04/21/2011	16.99	17.10	16.86	16.90	758529	26522268.000
04/22/2011	16.99	16.99	16.60	16.71	630611	21744314.000
04/25/2011	16.23	16.23	15.27	15.34	946103	30265484.000
04/26/2011	15.34	15.34	14.83	14.90	603972	18794272.000
04/27/2011	14.95	15.04	14.84	14.85	445279	13738393.000
04/28/2011	14.90	15.03	14.58	14.58	441640	13542161.000
04/29/2011	14.64	14.64	13.85	14.11	503631	7261591.500
05/03/2011	14.10	14.18	13.91	14.16	314115	4542968.500
05/04/2011	14.16	14.16	13.23	13.36	702689	9790692.000
05/05/2011	13.34	13.44	13.13	13.33	581256	7956852.000
05/06/2011	13.33	13.39	13.13	13.30	658946	8971826.000
05/09/2011	13.40	13.53	13.25	13.46	731125	10079048.000
05/10/2011	13.46	13.51	13.25	13.38	474437	6508482.000
05/11/2011	13.44	13.44	13.25	13.38	441240	6038127.500
05/12/2011	13.28	13.33	12.83	12.89	563999	7612577.000
05/13/2011	12.89	13.13	12.71	12.93	387068	5116678.500
05/16/2011	12.93	13.09	12.85	13.00	383429	5117361.500
05/17/2011	13.06	13.63	12.95	13.62	1406174	19379928.000
05/18/2011	13.62	13.62	13.30	13.37	641055	8819588.000
05/19/2011	13.45	13.54	13.06	13.09	505817	6888404.000
05/20/2011	13.31	13.31	12.91	13.04	261345	3491189.750
05/23/2011	12.88	12.99	12.45	12.46	491750	6415801.000
05/24/2011	12.45	13.14	12.25	12.87	690218	9093850.000
05/25/2011	12.87	12.87	12.37	12.37	471601	6091483.000
05/26/2011	12.63	12.63	12.21	12.22	214836	2729157.500
05/27/2011	12.06	12.30	11.98	12.10	306389	3819234.250
05/30/2011	11.93	12.64	11.93	12.43	552955	7035744.000
05/31/2011	12.43	12.55	12.25	12.55	303526	3876528.500
06/01/2011	12.45	12.59	12.43	12.57	299648	3861344.000
06/02/2011	12.35	12.64	12.24	12.31	365520	4676285.000
06/03/2011	12.27	12.58	12.16	12.49	286988	3693529.250
06/07/2011	12.48	12.58	12.35	12.48	220966	2836568.500
06/08/2011	12.45	12.48	12.31	12.45	184566	2350114.500
06/09/2011	12.45	12.45	12.16	12.16	294140	3715735.750
06/10/2011	12.14	12.14	11.85	11.96	306849	3784443.750
06/13/2011	11.95	12.11	11.70	11.95	157592	1935010.500
06/14/2011	12.02	12.30	11.95	12.21	245532	3069957.500
06/15/2011	12.22	12.28	12.10	12.15	178389	2238831.000
06/16/2011	12.09	12.14	11.53	11.82	257954	3147127.500
06/17/2011	11.76	11.79	11.57	11.65	185252	2230317.000
06/20/2011	11.64	11.70	11.44	11.50	184863	2204395.500
06/21/2011	11.53	11.65	11.46	11.65	152718	1819598.000
06/22/2011	11.68	11.68	11.47	11.63	151920	1810406.250
06/23/2011	11.45	12.03	11.15	11.89	368358	4471402.500
06/27/2011	12.12	12.54	12.12	12.33	776522	9854203.000
06/28/2011	12.32	12.46	12.16	12.42	396528	5015409.000
06/29/2011	12.33	12.47	12.23	12.25	351606	4463752.000
06/30/2011	12.18	12.40	12.15	12.27	276137	3493954.250
07/01/2011	12.40	12.52	12.27	12.40	493700	6295167.000
07/04/2011	12.44	12.60	12.41	12.57	645602	8299549.000
07/05/2011	12.60	12.75	12.48	12.75	608446	7918437.500
07/06/2011	12.78	12.84	12.55	12.81	426186	5552237.000
07/07/2011	12.74	13.14	12.67	12.93	808771	10758587.000
07/08/2011	12.88	13.00	12.56	12.72	498416	6545129.500
07/11/2011	12.72	12.95	12.67	12.93	433476	5716875.500
07/12/2011	13.03	13.03	12.60	12.61	534785	7013698.500
07/13/2011	12.60	12.83	12.56	12.78	609792	7962518.500
07/14/2011	12.78	13.45	12.78	13.33	1388048	18699740.000
07/15/2011	13.25	13.61	13.24	13.50	1151656	15906681.000
07/18/2011	13.57	13.60	13.28	13.32	849881	11712480.000
07/19/2011	13.32	13.40	12.90	12.94	589069	7877912.000
07/20/2011	13.05	13.22	12.86	13.09	592594	7951021.000
07/21/2011	13.08	13.08	12.84	12.87	308845	4099751.500
07/22/2011	12.99	13.06	12.87	12.89	314829	4192264.750
07/25/2011	12.83	12.89	12.27	12.31	478102	6179319.000
07/26/2011	12.25	12.42	12.16	12.26	397467	5009160.500
07/27/2011	12.33	12.42	12.22	12.38	371850	4726956.500
07/28/2011	12.32	12.41	12.17	12.27	332499	4195423.000
07/29/2011	12.38	12.49	12.27	12.41	327509	4170438.250
08/01/2011	12.31	12.61	12.17	12.56	383748	4931904.500
08/02/2011	12.60	12.94	12.30	12.90	594724	7705134.000
