300154 瑞凌股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
12/29/2010	19.25	21.79	18.90	19.10	14168087	577662592.000
12/30/2010	19.16	20.05	18.51	19.94	8386790	339231840.000
12/31/2010	19.39	19.83	19.24	19.58	5397810	218832816.000
01/04/2011	20.25	20.59	19.66	20.45	5423845	227154064.000
01/05/2011	20.01	20.95	19.89	20.85	4599745	196196256.000
01/06/2011	21.09	22.36	20.95	21.50	5300603	236817968.000
01/07/2011	21.15	21.49	20.26	20.43	4286360	185274992.000
01/10/2011	20.35	20.83	19.60	20.20	3069757	128591968.000
01/11/2011	20.02	20.50	19.28	19.43	2106847	87017600.000
01/12/2011	19.43	19.62	18.89	19.23	2022675	81097016.000
01/13/2011	19.25	19.64	19.06	19.58	1450468	58245764.000
01/14/2011	19.70	19.96	18.26	18.28	2878667	113172232.000
01/17/2011	18.03	18.15	16.70	16.74	2949350	105936312.000
01/18/2011	16.75	17.14	16.66	16.96	1619618	57453312.000
01/19/2011	16.85	17.55	16.75	17.43	1294718	46612904.000
01/20/2011	17.26	17.65	17.08	17.35	1427616	51589492.000
01/21/2011	17.25	17.97	17.11	17.35	950302	34624964.000
01/24/2011	17.25	17.39	16.38	16.40	1128356	39515376.000
01/25/2011	16.25	16.65	16.20	16.59	751743	25850052.000
01/26/2011	16.59	17.27	16.59	17.00	895414	31873630.000
01/27/2011	16.85	17.20	16.70	16.96	872454	30926112.000
01/31/2011	17.00	17.55	16.95	17.34	831749	30080676.000
02/01/2011	17.35	17.84	17.26	17.55	723034	26451978.000
02/09/2011	17.49	17.68	17.10	17.20	649021	23532436.000
02/10/2011	17.06	18.05	17.00	17.92	966118	35585456.000
02/11/2011	17.85	18.30	17.82	18.26	948020	35706120.000
02/14/2011	18.25	18.40	18.03	18.32	982296	37261404.000
02/15/2011	18.22	18.53	18.05	18.19	1069852	40734732.000
02/16/2011	18.15	18.73	18.10	18.63	979268	37674592.000
02/17/2011	18.67	18.73	18.10	18.35	1042655	39847052.000
02/18/2011	18.23	18.64	18.20	18.50	885801	33937872.000
02/21/2011	18.34	18.83	18.33	18.79	965543	37395324.000
02/22/2011	18.78	18.80	18.18	18.27	1666581	63912788.000
02/23/2011	18.25	18.43	18.15	18.25	1078736	41018604.000
02/24/2011	18.14	18.77	18.10	18.53	1531082	59047652.000
02/25/2011	18.59	18.59	18.16	18.39	989356	37782400.000
02/28/2011	18.33	19.14	18.33	19.06	1420588	55885676.000
03/01/2011	19.00	19.10	18.71	18.95	1087242	42692396.000
03/02/2011	18.95	18.99	18.20	18.49	868678	33569708.000
03/03/2011	18.33	18.54	17.56	17.77	1569808	58898460.000
03/04/2011	17.72	18.07	17.69	17.88	409581	15245560.000
03/07/2011	17.99	18.20	17.92	18.01	571518	21474332.000
03/08/2011	18.01	18.23	17.98	18.06	644199	24280424.000
03/09/2011	18.09	18.60	18.01	18.52	890277	33935996.000
03/10/2011	18.49	18.65	18.44	18.50	820760	31648446.000
03/11/2011	18.50	18.97	18.45	18.75	1204811	47162412.000
03/14/2011	18.80	18.80	18.53	18.78	794554	30834738.000
03/15/2011	18.86	18.86	18.40	18.43	831720	32087042.000
03/16/2011	18.43	18.69	18.34	18.50	604800	23311660.000
03/17/2011	18.35	18.48	17.88	17.97	561611	21315540.000
03/18/2011	18.04	18.45	17.95	18.45	945870	35726472.000
03/21/2011	18.50	18.94	18.47	18.83	850107	33104008.000
03/22/2011	18.83	18.84	18.44	18.53	466264	18011656.000
03/23/2011	18.46	18.60	18.43	18.45	494956	19051248.000
03/24/2011	18.39	18.54	18.13	18.30	559128	21302028.000
03/25/2011	18.40	20.00	18.31	19.78	2632542	105624216.000
03/30/2011	18.75	18.75	18.06	18.15	2613137	100069456.000
03/31/2011	18.18	18.45	18.05	18.25	1285878	48902604.000
04/01/2011	18.23	18.95	18.12	18.57	1152061	44576368.000
04/06/2011	18.36	18.85	18.10	18.15	1145244	43686196.000
04/07/2011	18.20	18.44	18.15	18.38	610928	23243710.000
04/08/2011	18.40	18.90	18.40	18.85	1610360	62604356.000
04/11/2011	18.83	18.85	18.46	18.55	1172758	45542652.000
04/12/2011	18.44	18.69	18.35	18.55	838481	32281550.000
04/13/2011	18.46	19.08	18.46	18.75	1850164	72599584.000
04/14/2011	18.76	19.19	18.59	18.79	1221755	47970480.000
04/15/2011	18.71	18.80	18.31	18.51	1124524	43337808.000
04/18/2011	18.45	18.59	18.33	18.55	605446	23262566.000
04/20/2011	18.33	18.33	17.87	18.20	1693395	63650120.000
04/21/2011	18.23	18.38	18.10	18.15	782421	29613622.000
04/22/2011	18.10	18.38	17.86	18.08	919396	34679116.000
04/25/2011	17.94	18.06	17.20	17.24	1234519	44834276.000
04/26/2011	17.22	17.23	16.60	16.71	1253716	44187068.000
04/27/2011	16.80	17.00	16.45	16.52	397679	13895671.000
04/28/2011	16.55	16.83	16.46	16.51	479195	16664868.000
04/29/2011	16.65	17.25	16.57	16.85	928063	32800794.000
05/03/2011	16.89	17.29	16.88	17.15	599548	21379646.000
05/04/2011	17.01	17.18	16.86	16.87	481400	17115566.000
05/05/2011	16.84	17.34	16.84	17.26	702698	25127216.000
05/06/2011	17.25	17.26	17.03	17.19	533798	19125792.000
05/09/2011	17.25	17.42	17.14	17.23	712679	25685770.000
05/10/2011	17.22	17.22	16.53	16.80	1409220	24314068.000
05/11/2011	16.80	16.85	16.20	16.50	1318694	22335796.000
05/12/2011	16.40	16.42	15.80	15.80	1515128	25204316.000
05/13/2011	15.80	15.97	15.43	15.79	1683413	27262990.000
05/16/2011	15.77	15.96	15.50	15.76	940622	15166849.000
05/17/2011	15.59	15.99	15.50	15.77	798632	12981082.000
05/18/2011	15.72	15.76	15.41	15.45	965807	15499839.000
05/19/2011	15.45	15.69	15.41	15.55	688172	11037213.000
05/20/2011	15.55	15.61	14.76	14.85	1945493	30173834.000
05/23/2011	14.70	14.78	13.91	13.92	1370045	20253046.000
05/24/2011	13.93	15.00	13.79	14.50	1617142	23954740.000
05/25/2011	14.38	14.55	13.38	13.45	1139963	16411698.000
05/26/2011	13.62	13.98	13.62	13.76	1465603	20930562.000
05/27/2011	13.76	14.16	13.65	13.81	831718	11984921.000
05/30/2011	13.80	14.39	13.56	14.04	1217937	17813974.000
05/31/2011	14.05	14.47	14.04	14.45	1494055	22063350.000
06/01/2011	14.43	14.47	14.18	14.44	868711	12887865.000
06/02/2011	14.10	14.30	13.80	14.10	997340	14458994.000
06/03/2011	14.10	14.71	14.01	14.59	1258182	18735548.000
06/07/2011	14.58	14.66	14.36	14.51	630684	9470737.000
06/08/2011	14.31	14.48	14.20	14.37	813769	12057352.000
06/09/2011	14.38	14.66	14.30	14.49	1139157	17049544.000
06/10/2011	14.38	14.40	14.07	14.31	608875	8970328.000
06/13/2011	14.31	14.38	13.86	14.16	557699	8154785.000
06/14/2011	14.15	14.29	14.08	14.28	1513066	22231642.000
06/15/2011	14.10	14.19	13.92	13.99	773640	11244072.000
06/16/2011	13.91	13.97	13.40	13.59	881125	12427918.000
06/17/2011	13.59	13.59	13.30	13.45	507892	7052215.000
06/20/2011	13.44	13.45	13.00	13.00	573325	7838473.500
06/21/2011	13.17	13.25	12.82	13.12	433764	5861031.500
06/22/2011	13.13	13.13	12.84	12.91	732248	9849092.000
06/23/2011	12.94	13.60	12.73	13.45	1295869	17889776.000
06/24/2011	13.46	13.79	13.31	13.65	1399076	19713054.000
06/27/2011	13.74	14.00	13.58	13.80	904990	12949826.000
06/28/2011	13.75	14.10	13.66	14.08	1510367	21747662.000
06/29/2011	14.00	14.70	13.96	14.11	2485591	37041176.000
06/30/2011	14.14	14.38	14.00	14.18	1176320	17298834.000
07/01/2011	14.28	14.46	14.18	14.32	1296127	19248132.000
07/04/2011	14.32	14.61	14.23	14.49	2127402	31777624.000
07/06/2011	14.59	15.15	14.52	14.99	2599472	39993432.000
07/07/2011	14.90	15.63	14.86	15.21	3404981	53983428.000
07/08/2011	15.19	15.55	15.01	15.23	1976991	31146052.000
07/11/2011	15.10	15.39	15.01	15.28	1081441	16943508.000
07/12/2011	15.00	15.32	14.99	14.99	1570790	24570152.000
07/13/2011	14.90	15.45	14.83	15.42	1238006	19434078.000
07/14/2011	15.36	16.00	15.36	15.99	1912616	31070712.000
07/15/2011	16.00	16.44	15.81	16.04	1896206	31580778.000
07/18/2011	16.10	16.20	15.52	15.57	1282783	20948438.000
07/19/2011	15.56	15.56	15.13	15.19	1253496	19793874.000
07/20/2011	15.26	15.52	15.15	15.43	793691	12582385.000
07/21/2011	15.46	15.46	15.04	15.08	706494	11098036.000
07/22/2011	15.07	15.35	15.01	15.09	625178	9774318.000
07/25/2011	15.00	15.00	14.16	14.21	1187461	17789534.000
07/26/2011	14.11	14.37	14.01	14.34	803211	11829720.000
07/27/2011	14.28	14.74	14.14	14.71	1149814	17246068.000
07/28/2011	14.51	14.59	14.31	14.50	759410	11333412.000
07/29/2011	14.51	14.59	14.11	14.13	700170	10379126.000
08/01/2011	14.15	14.44	13.91	14.40	764388	11246650.000
08/02/2011	14.27	14.55	13.95	14.51	1126727	16563818.000
08/03/2011	14.52	16.01	14.51	15.52	4325825	69712144.000
08/04/2011	15.21	15.74	15.21	15.59	2429830	39033192.000
08/05/2011	15.10	15.58	14.75	15.26	2163827	33884500.000
08/08/2011	15.06	15.16	13.68	14.10	3050670	45679164.000
08/09/2011	13.66	14.11	13.12	13.86	1428157	20305388.000
08/10/2011	14.20	14.49	13.98	14.11	1316807	19418464.000
08/11/2011	13.80	14.66	13.66	14.62	1371423	20370804.000
08/12/2011	14.78	15.21	14.67	15.06	2004661	31154014.000
08/16/2011	15.20	15.27	14.30	14.37	3908030	59279736.000
08/17/2011	14.50	14.61	14.06	14.17	2946002	43315912.000
08/18/2011	14.18	14.21	13.75	13.80	1845295	26562346.000
08/19/2011	13.50	13.92	13.35	13.80	1061478	14961908.000
08/22/2011	13.78	13.97	13.52	13.68	777418	11089521.000
08/23/2011	13.77	14.20	13.68	14.18	1423402	20561908.000
08/24/2011	14.20	14.60	14.10	14.10	2701019	40198936.000
08/25/2011	14.03	14.25	13.80	14.12	1626074	23586134.000
08/26/2011	14.12	14.48	14.01	14.42	1805626	26773568.000
08/29/2011	14.37	14.81	14.25	14.60	2367518	35671764.000
08/30/2011	14.65	14.74	13.90	14.01	2255323	33686724.000
08/31/2011	13.96	14.13	13.50	13.76	1385288	19723386.000
09/01/2011	13.76	13.95	13.66	13.84	758682	10847578.000
09/02/2011	13.88	13.88	13.45	13.51	792881	11151417.000
09/05/2011	13.47	13.47	12.91	12.91	1207213	16459580.000
09/06/2011	12.87	13.08	12.82	12.89	608097	8164361.000
09/07/2011	13.00	13.27	12.93	13.26	612155	8330556.500
09/08/2011	13.35	13.35	13.00	13.00	619223	8466393.000
09/09/2011	12.90	13.11	12.88	12.94	543776	7322448.500
09/13/2011	12.85	12.85	12.30	12.46	1169152	15121001.000
09/14/2011	12.49	12.70	12.32	12.67	746327	9703758.000
09/15/2011	12.56	12.73	12.56	12.66	623637	8216018.500
09/16/2011	12.74	12.80	12.50	12.52	443809	5839385.000
09/19/2011	12.50	12.50	12.15	12.16	494209	6319932.000
09/20/2011	12.13	12.30	12.04	12.16	509111	6447405.500
09/21/2011	12.20	12.59	12.14	12.50	958691	12415420.000
09/22/2011	12.50	12.63	12.21	12.22	885208	11484871.000
09/23/2011	12.04	12.17	11.83	11.96	896386	11198591.000
09/26/2011	11.79	12.10	11.50	11.63	926232	11379417.000
09/27/2011	11.80	11.80	11.50	11.67	1526215	18449508.000
09/28/2011	11.67	11.76	11.31	11.37	1076358	12990742.000
09/29/2011	11.28	11.35	10.88	10.92	916159	10597827.000
09/30/2011	10.98	11.04	10.70	10.90	701774	7966259.000
10/10/2011	11.02	11.03	10.86	10.89	337595	3857222.750
10/11/2011	11.14	11.35	10.82	11.05	651482	7548595.000
10/12/2011	10.95	11.55	10.85	11.49	1112942	13151758.000
10/13/2011	11.57	11.77	11.44	11.68	1123887	13600904.000
10/14/2011	11.56	11.65	11.41	11.59	756919	9097491.000
10/17/2011	11.70	11.70	11.50	11.66	653014	7892307.000
10/18/2011	11.55	11.60	11.08	11.15	872817	10338613.000
10/19/2011	11.25	11.26	11.00	11.09	414216	4819121.500
10/20/2011	11.00	11.02	10.50	10.64	837377	9373374.000
10/21/2011	10.64	10.65	10.36	10.37	451295	4951179.000
10/24/2011	10.36	10.71	10.13	10.65	973260	10642375.000
10/25/2011	10.65	11.30	10.65	11.23	1613297	18569774.000
10/26/2011	11.14	11.58	10.98	11.40	1843148	21784408.000
10/27/2011	11.42	11.48	11.15	11.23	1030181	12183054.000
10/28/2011	11.37	11.56	11.25	11.51	1319804	15741364.000
10/31/2011	11.45	11.75	11.41	11.69	1301886	15788169.000
11/01/2011	11.65	11.89	11.60	11.89	1681289	20639710.000
11/02/2011	11.72	12.36	11.60	12.32	2377223	29776634.000
11/03/2011	12.30	12.79	12.21	12.37	3968675	51881096.000
11/04/2011	12.46	12.56	12.22	12.36	1497691	19297312.000
11/07/2011	12.40	12.44	12.28	12.37	882316	11340353.000
11/08/2011	12.35	12.56	12.12	12.19	1718599	22165718.000
11/09/2011	12.24	12.50	11.95	12.49	1851496	23625492.000
11/10/2011	12.35	13.09	12.23	12.90	4208943	56064428.000
11/11/2011	12.73	13.58	12.70	13.04	4639071	63186356.000
11/14/2011	13.15	13.50	13.03	13.33	2966040	40914696.000
11/15/2011	13.31	13.34	13.06	13.30	1966993	26918920.000
11/16/2011	13.31	13.45	12.64	12.70	2254178	30534828.000
11/17/2011	12.74	13.01	12.62	12.75	1497338	19898108.000
11/18/2011	12.71	12.71	12.22	12.24	1412201	18213768.000
11/21/2011	12.25	12.25	11.92	12.11	821022	10307997.000
11/22/2011	11.90	12.22	11.90	12.21	737342	9266720.000
11/23/2011	12.27	12.34	12.11	12.13	477160	6068540.500
11/24/2011	12.00	12.48	11.88	12.33	907683	11531785.000
11/25/2011	12.23	12.45	12.00	12.03	578802	7372258.000
11/28/2011	12.08	12.11	11.88	11.94	481953	6004699.000
11/29/2011	12.02	12.48	11.94	12.48	1036045	13189909.000
11/30/2011	12.40	12.40	11.30	11.77	1561360	19212654.000
12/01/2011	12.15	12.34	11.95	11.96	1109866	14010638.000
12/02/2011	11.80	11.80	11.40	11.60	624855	7556263.500
12/05/2011	11.59	11.59	10.82	11.10	610479	7071359.500
12/06/2011	10.83	11.29	10.83	11.29	477481	5543257.000
12/07/2011	11.27	11.31	11.04	11.21	268589	3143552.250
12/08/2011	11.20	11.40	10.91	11.21	440062	5140343.500
12/09/2011	11.00	11.22	10.97	11.19	267016	3096236.750
12/12/2011	11.10	11.22	10.95	10.97	209900	2430705.750
12/13/2011	10.95	10.95	10.52	10.68	450307	5021362.500
12/14/2011	10.55	10.74	10.50	10.67	238500	2657215.500
12/15/2011	10.57	10.67	10.31	10.46	312196	3421966.750
12/16/2011	10.49	10.87	10.46	10.87	509665	5696543.000
12/19/2011	10.59	11.06	10.57	11.00	410321	4633388.500
12/20/2011	10.95	11.08	10.81	10.82	275133	3150927.750
12/21/2011	11.09	11.12	10.50	10.55	448289	5044585.500
12/22/2011	10.50	10.65	10.09	10.50	534815	5816553.000
12/23/2011	10.50	10.77	10.33	10.63	312695	3481914.000
12/26/2011	10.50	10.87	10.50	10.62	151414	1692513.625
12/27/2011	10.55	10.80	10.24	10.42	397842	4341032.000
12/28/2011	10.41	10.47	10.10	10.25	743065	8006759.000
12/29/2011	10.30	10.50	10.06	10.34	247760	2689120.500
12/30/2011	10.47	11.42	10.34	11.10	556866	6223389.000
01/04/2012	10.90	11.01	10.58	10.60	412702	4656116.000
01/05/2012	10.50	10.67	10.06	10.22	517972	5578240.000
01/06/2012	9.61	10.10	9.61	10.09	605789	6314422.500
01/10/2012	10.48	10.84	10.30	10.79	1056969	11788734.000
01/11/2012	10.62	10.90	10.56	10.74	976164	10960795.000
01/12/2012	10.69	10.83	10.62	10.74	529705	5950299.000
01/13/2012	10.82	10.82	10.00	10.18	768560	8280998.500
01/16/2012	10.00	10.00	9.39	9.45	709548	7207525.000
01/17/2012	9.40	9.88	9.26	9.79	789955	8025169.500
01/18/2012	9.80	10.00	9.21	9.28	905644	9204496.000
01/19/2012	9.34	9.55	9.13	9.47	759867	7483930.000
01/20/2012	9.54	9.70	9.46	9.65	851094	8591262.000
01/30/2012	9.65	9.79	9.56	9.63	960183	9780096.000
01/31/2012	9.54	9.62	9.27	9.45	819401	8115130.500
02/01/2012	9.45	9.66	9.39	9.46	443820	4453377.000
02/02/2012	9.45	9.68	9.44	9.63	918871	9199893.000
02/03/2012	9.58	9.99	9.58	9.86	1366087	14050069.000
02/06/2012	9.96	10.06	9.80	10.01	1413315	14774484.000
02/07/2012	9.98	9.98	9.64	9.71	925374	9474769.000
02/08/2012	9.65	10.02	9.62	10.01	865586	8989173.000
02/09/2012	10.08	10.21	9.97	10.10	1255771	13332462.000
02/10/2012	10.07	10.25	10.01	10.10	787767	8373029.000
02/13/2012	10.02	10.32	9.96	10.28	1016446	10883414.000
02/14/2012	10.28	10.33	10.15	10.25	888562	9521838.000
02/15/2012	10.27	10.52	10.15	10.52	1613491	17561950.000
02/16/2012	10.53	10.58	10.29	10.46	1335845	14623607.000
02/17/2012	10.46	10.52	10.19	10.36	905346	9817638.000
02/20/2012	10.54	10.57	10.34	10.37	1162087	12750189.000
02/21/2012	10.37	10.56	10.25	10.54	838391	9145293.000
02/22/2012	10.54	10.88	10.50	10.84	1668475	18768186.000
02/23/2012	10.83	10.95	10.71	10.90	2122679	24076454.000
02/24/2012	10.93	11.22	10.93	11.11	2058187	23841864.000
02/27/2012	11.08	11.28	10.95	10.96	2031210	23423482.000
02/28/2012	10.96	10.99	10.67	10.79	1484998	16782250.000
02/29/2012	10.90	11.05	10.61	10.80	1024263	11621177.000
03/01/2012	10.86	10.95	10.75	10.89	641974	7287133.500
03/02/2012	10.92	11.15	10.88	11.13	1528073	17592244.000
03/05/2012	11.10	11.19	10.90	10.95	2043127	23485724.000
03/06/2012	10.90	10.94	10.64	10.72	951619	10682046.000
03/07/2012	10.58	10.76	10.56	10.65	789328	8806533.000
03/08/2012	10.65	11.02	10.65	11.02	1353830	15383400.000
