300155 安居宝 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/07/2011	9.26	9.32	8.94	9.00	4685062	225244928.000
01/10/2011	8.87	8.94	8.72	8.74	1622733	75590784.000
01/11/2011	8.74	8.74	8.62	8.63	829479	38160916.000
01/12/2011	8.61	8.71	8.61	8.68	414725	19075264.000
01/13/2011	8.71	8.71	8.58	8.58	545725	25016632.000
01/14/2011	8.53	8.58	8.42	8.43	619800	27957026.000
01/17/2011	8.41	8.41	8.22	8.28	485904	21420000.000
01/18/2011	8.16	8.28	8.16	8.22	196930	8632485.000
01/19/2011	8.26	8.37	8.20	8.36	287241	12724326.000
01/20/2011	8.36	8.36	8.06	8.06	414460	18108412.000
01/21/2011	8.06	8.14	8.06	8.12	189678	8193101.500
01/24/2011	8.12	8.15	8.07	8.10	160550	6932073.000
01/25/2011	8.07	8.08	7.86	7.95	321048	13602058.000
01/26/2011	7.98	8.06	7.93	8.04	152776	6539819.000
01/27/2011	7.96	8.11	7.90	8.06	193411	8295276.000
01/28/2011	8.06	8.08	8.02	8.05	140981	6051996.500
01/31/2011	7.98	8.12	7.98	8.12	204324	8804902.000
02/01/2011	8.12	8.13	8.05	8.10	156078	6723003.000
02/09/2011	8.02	8.15	8.00	8.12	197331	8498798.000
02/10/2011	8.08	8.26	8.08	8.26	226198	9891730.000
02/11/2011	8.25	8.28	8.18	8.23	338752	14884715.000
02/14/2011	8.24	8.25	8.16	8.25	565543	24808544.000
02/15/2011	8.24	8.28	8.21	8.21	339519	14928011.000
02/16/2011	8.17	8.29	8.17	8.29	346697	15228058.000
02/17/2011	8.29	8.31	8.22	8.30	331086	14583373.000
02/18/2011	8.33	8.39	8.29	8.31	382745	16975568.000
02/21/2011	8.22	8.42	8.22	8.42	340762	15135888.000
02/22/2011	8.40	8.64	8.27	8.30	473328	21177448.000
02/23/2011	8.27	8.36	8.26	8.33	167416	7419053.000
02/24/2011	8.30	8.34	8.27	8.29	156461	6910674.000
02/25/2011	8.29	8.29	8.20	8.26	163837	7186720.000
02/28/2011	8.22	8.29	8.22	8.27	163821	7209007.000
03/01/2011	8.54	8.54	8.37	8.42	479120	21521658.000
03/02/2011	8.34	8.36	8.30	8.33	251559	11155760.000
03/03/2011	8.30	8.35	8.25	8.30	208697	9199928.000
03/04/2011	8.31	8.32	8.24	8.31	156507	6892795.000
03/07/2011	8.28	8.36	8.28	8.36	221477	9811893.000
03/08/2011	8.36	8.38	8.30	8.38	160050	7103062.500
03/09/2011	8.34	8.37	8.30	8.35	186981	8285247.500
03/10/2011	8.34	8.40	8.30	8.33	237851	10567749.000
03/11/2011	8.31	8.37	8.27	8.32	192211	8532464.000
03/14/2011	8.27	8.35	8.27	8.35	173439	7685163.000
03/15/2011	8.35	8.35	8.13	8.33	335401	14735865.000
03/16/2011	8.27	8.34	8.27	8.33	112870	4995099.000
03/17/2011	8.33	8.33	8.24	8.26	114672	5057412.000
03/18/2011	8.27	8.32	8.26	8.27	121030	5335645.500
03/21/2011	8.27	8.32	8.23	8.31	213110	9378379.000
03/22/2011	8.27	8.32	8.23	8.31	100129	4417838.500
03/23/2011	8.33	8.37	8.29	8.35	204686	9094874.000
03/24/2011	8.37	8.41	8.32	8.41	416918	18605628.000
03/29/2011	9.30	9.30	8.78	9.04	3453943	165287424.000
03/30/2011	8.97	9.09	8.87	8.92	1109307	52791248.000
03/31/2011	8.90	9.14	8.90	9.02	1196756	57496912.000
04/01/2011	9.05	9.63	9.05	9.48	2816581	140302544.000
04/06/2011	9.36	9.44	9.02	9.06	1868914	90849920.000
04/07/2011	8.94	8.94	8.82	8.87	2304490	108462816.000
04/08/2011	8.94	9.21	8.90	9.06	1449993	69737088.000
04/11/2011	9.10	9.16	8.97	8.97	935548	44735220.000
04/12/2011	9.00	9.16	8.85	8.90	888330	42388400.000
04/13/2011	8.87	9.11	8.80	9.06	824488	39436552.000
04/14/2011	9.02	9.15	8.98	9.06	711416	34140100.000
04/15/2011	9.08	9.19	8.96	9.04	1026942	49350444.000
04/19/2011	9.00	9.01	8.80	8.89	870704	40896628.000
04/20/2011	8.96	9.04	8.87	9.02	781520	37160152.000
04/21/2011	8.97	9.05	8.62	8.62	1862121	87201664.000
04/22/2011	8.66	8.66	8.46	8.53	976461	44275340.000
04/25/2011	7.94	7.94	7.62	7.62	1830430	75037504.000
04/26/2011	7.33	7.40	7.23	7.32	786604	30811338.000
04/27/2011	7.40	7.45	7.06	7.08	756001	29416612.000
04/28/2011	7.15	7.16	6.74	6.85	743828	27694292.000
04/29/2011	6.84	7.02	6.82	6.98	441094	16502073.000
05/03/2011	7.02	7.06	6.87	7.04	381213	14356100.000
05/04/2011	7.03	7.24	7.02	7.14	826702	31658540.000
05/05/2011	7.14	7.18	7.03	7.04	768910	29275978.000
05/06/2011	6.83	6.83	6.43	6.60	1302329	18218066.000
05/09/2011	6.61	6.72	6.49	6.54	1201163	16711482.000
05/10/2011	6.57	6.57	6.40	6.47	1110862	15185035.000
05/11/2011	6.45	6.56	6.41	6.51	801373	11013235.000
05/12/2011	6.51	6.51	6.16	6.17	1439674	19194484.000
05/13/2011	6.17	6.25	5.96	6.12	1017562	13183691.000
05/16/2011	6.07	6.16	5.96	5.99	660081	8458974.000
05/17/2011	6.01	6.03	5.89	5.95	984229	12493810.000
05/18/2011	5.95	6.02	5.93	5.98	622074	7901012.000
05/19/2011	5.98	6.01	5.76	5.80	1010606	12695602.000
05/20/2011	5.79	5.80	5.63	5.67	846558	10300488.000
05/23/2011	5.65	5.69	5.32	5.43	1254346	14632684.000
05/24/2011	5.37	6.01	5.30	6.01	2884209	35804112.000
05/25/2011	6.15	6.32	6.01	6.03	5671399	74078472.000
05/26/2011	5.92	6.22	5.80	6.01	2594151	33311998.000
05/27/2011	5.91	6.11	5.56	5.82	2535965	31543758.000
05/30/2011	5.77	6.42	5.65	6.06	4658444	60720424.000
05/31/2011	6.04	6.16	5.79	6.14	3129131	39547892.000
06/01/2011	6.12	6.16	6.00	6.13	1893646	24471334.000
