300156 神雾环保 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/07/2011	19.29	19.79	17.63	18.39	12282364	824056064.000
01/10/2011	17.91	18.41	17.52	18.18	4012138	261648960.000
01/11/2011	18.07	18.59	17.30	17.42	3700206	243176000.000
01/12/2011	17.76	18.07	17.42	17.93	1988862	128143944.000
01/13/2011	17.73	19.34	17.54	18.82	3668748	249011680.000
01/14/2011	18.82	19.43	18.52	18.98	3106760	214720400.000
01/17/2011	19.02	19.16	17.35	18.32	1939515	129518192.000
01/18/2011	17.91	19.12	17.53	19.10	1795571	121050728.000
01/19/2011	19.02	19.90	18.96	19.21	1982664	139622432.000
01/20/2011	19.18	19.65	18.24	18.59	1919013	131598480.000
01/21/2011	18.41	18.41	16.76	17.21	3251334	206789264.000
01/24/2011	16.80	17.02	15.47	15.63	1975948	117794560.000
01/25/2011	15.48	16.02	15.41	15.59	1086106	61871024.000
01/26/2011	15.73	16.13	15.59	15.88	790153	45659952.000
01/27/2011	15.88	16.43	15.69	16.27	844781	49759308.000
01/28/2011	16.24	16.39	15.96	16.38	817547	47961640.000
01/31/2011	16.34	16.84	16.21	16.76	684203	41231396.000
02/01/2011	16.66	16.92	16.38	16.57	498066	29917930.000
02/09/2011	16.43	16.66	15.96	16.05	552291	32530534.000
02/10/2011	16.24	16.79	16.13	16.79	742142	44702748.000
02/11/2011	16.80	17.32	16.77	17.13	821573	50956204.000
02/14/2011	17.07	17.20	16.85	17.15	787364	48750256.000
02/15/2011	17.10	17.32	16.94	16.94	964554	59910596.000
02/16/2011	17.06	17.49	16.94	17.49	807901	50676724.000
02/17/2011	17.49	17.65	17.21	17.52	841544	53145944.000
02/18/2011	17.37	17.47	17.16	17.36	454907	28598620.000
02/21/2011	17.39	17.80	17.39	17.78	637776	40862944.000
02/22/2011	17.78	17.85	16.95	17.32	1060777	67026072.000
02/23/2011	17.32	18.12	17.21	17.96	938514	60602356.000
02/24/2011	17.91	18.25	17.66	17.97	908617	59107556.000
02/25/2011	17.82	17.96	17.63	17.81	485487	31418562.000
02/28/2011	17.91	18.13	17.69	18.06	633364	41222796.000
03/01/2011	17.91	18.51	17.35	17.58	1087019	70885032.000
03/02/2011	17.41	17.56	17.09	17.29	656397	41186596.000
03/03/2011	17.24	17.62	17.01	17.01	770819	48602064.000
03/04/2011	17.02	17.21	16.93	17.15	467320	28921670.000
03/07/2011	17.20	17.38	16.68	17.37	1096960	67552728.000
03/08/2011	17.16	17.35	17.16	17.26	417780	26178024.000
03/09/2011	17.07	17.31	16.79	17.09	744868	45991180.000
03/10/2011	17.02	17.18	16.84	17.00	453256	28013488.000
03/11/2011	16.87	17.38	16.87	17.13	603452	37582760.000
03/14/2011	17.22	17.29	16.99	17.29	386518	24070980.000
03/15/2011	17.29	17.29	16.74	16.91	565459	34728144.000
03/16/2011	16.84	17.07	16.77	17.03	426192	26200516.000
03/17/2011	16.86	16.86	16.45	16.53	408345	24731540.000
03/18/2011	16.79	16.84	16.49	16.52	376852	22651912.000
03/21/2011	16.52	16.60	16.02	16.27	436263	25787666.000
03/22/2011	16.38	16.38	16.06	16.26	370835	21781776.000
03/23/2011	16.24	16.56	16.18	16.51	282916	16892190.000
03/24/2011	16.50	16.70	16.45	16.66	327167	19697606.000
03/25/2011	16.66	16.66	16.33	16.53	411034	24577688.000
03/29/2011	16.24	16.24	15.46	15.49	896308	51184972.000
03/30/2011	15.41	15.52	15.13	15.17	496692	27539804.000
03/31/2011	15.18	15.29	15.10	15.16	393876	21759846.000
04/01/2011	15.22	15.63	15.20	15.59	411293	23051236.000
04/06/2011	15.52	15.66	15.30	15.48	312105	17484414.000
04/07/2011	15.41	16.71	15.16	16.23	1684325	96594824.000
04/08/2011	16.43	16.43	15.88	16.05	1224163	71281392.000
04/11/2011	16.05	16.11	15.30	15.47	1133726	64386200.000
04/12/2011	15.24	15.58	15.24	15.43	430862	24124122.000
04/13/2011	15.43	15.89	15.30	15.89	486705	27758852.000
04/14/2011	15.74	16.24	15.62	15.68	627693	36032828.000
04/15/2011	15.68	15.90	15.43	15.62	780625	44371360.000
04/18/2011	15.59	15.71	15.44	15.66	334907	18987506.000
04/19/2011	15.60	15.60	15.35	15.46	387147	21731574.000
04/20/2011	15.46	15.66	15.28	15.52	601562	33866108.000
04/21/2011	15.58	15.58	15.21	15.29	631027	35272848.000
04/22/2011	15.35	15.39	14.79	14.79	633636	34777624.000
04/25/2011	14.16	14.16	13.51	13.87	1158730	58450880.000
04/26/2011	13.84	13.85	13.34	13.36	588917	28948502.000
04/27/2011	13.46	13.94	13.46	13.88	1320444	66388456.000
