300157 恒泰艾普 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/07/2011	10.24	11.88	10.21	11.58	15615566	1062965632.000
01/10/2011	11.47	11.87	11.34	11.54	5676810	398464000.000
01/11/2011	11.43	11.49	10.47	10.70	4075489	272176736.000
01/12/2011	10.66	10.85	10.30	10.75	1834654	118019088.000
01/13/2011	10.76	11.20	10.60	10.62	1236656	81565176.000
01/14/2011	10.65	11.06	10.65	10.81	1241032	81540376.000
01/17/2011	10.69	10.73	9.72	9.72	1349768	81176040.000
01/18/2011	9.20	9.82	9.12	9.61	1742529	101268072.000
01/19/2011	9.61	9.69	9.38	9.67	949490	55133672.000
01/20/2011	9.50	10.04	9.46	9.88	803589	48171748.000
01/21/2011	9.87	10.03	9.65	9.96	907050	54121880.000
01/24/2011	9.91	10.07	9.44	9.57	1397108	82930752.000
01/25/2011	9.55	9.57	8.92	9.25	670757	37784876.000
01/26/2011	9.24	9.50	9.22	9.45	383753	21878962.000
01/27/2011	9.35	9.69	9.27	9.63	183769	10666571.000
01/28/2011	9.58	9.72	9.50	9.54	200122	11620635.000
01/31/2011	9.44	10.24	9.44	10.13	553526	33625484.000
02/01/2011	10.24	10.24	9.91	10.12	834957	50736472.000
02/09/2011	10.02	10.17	9.95	9.98	144476	8788734.000
02/10/2011	10.08	10.22	9.77	10.18	1044102	63232028.000
02/11/2011	10.18	10.77	10.14	10.62	1066122	67803456.000
02/14/2011	10.44	10.79	10.44	10.68	435228	28122504.000
02/15/2011	10.57	10.79	10.41	10.53	476687	30304468.000
02/16/2011	10.55	10.82	10.40	10.77	370123	23930934.000
02/17/2011	10.74	10.85	10.44	10.54	505343	32349564.000
02/18/2011	10.49	10.68	10.42	10.61	406737	25997764.000
02/21/2011	10.57	11.38	10.57	11.32	799762	53833228.000
02/22/2011	11.41	11.65	11.20	11.54	1127561	77745744.000
02/23/2011	11.59	11.99	11.40	11.65	557334	39521652.000
02/24/2011	11.62	11.82	11.40	11.65	281924	19835896.000
02/25/2011	11.57	11.57	11.04	11.05	697291	47247796.000
02/28/2011	11.16	11.21	10.82	10.96	443163	29433830.000
03/01/2011	11.03	11.14	10.80	10.87	333925	22023200.000
03/02/2011	10.84	11.20	10.74	11.17	454417	30376630.000
03/03/2011	11.20	11.40	10.88	11.07	424020	28760266.000
03/04/2011	10.90	11.18	10.83	11.15	738528	49084008.000
03/07/2011	11.31	11.35	10.90	11.24	381772	25769476.000
03/08/2011	11.20	11.20	10.74	10.88	608233	40055456.000
03/09/2011	10.82	10.93	10.72	10.90	211486	13887339.000
03/10/2011	10.90	11.31	10.90	10.96	295100	19879502.000
03/11/2011	10.96	11.00	10.79	10.90	139630	9200018.000
03/14/2011	11.07	11.23	10.95	11.07	215272	14450342.000
