300158 振东制药 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/07/2011	20.07	20.57	19.07	19.09	14676304	582798912.000
01/10/2011	18.67	18.87	18.06	18.18	5112043	192820272.000
01/11/2011	18.07	18.17	17.83	17.93	2141623	78641424.000
01/12/2011	17.92	18.14	17.82	18.07	1141138	42021328.000
01/13/2011	18.07	18.32	17.95	17.96	1232734	45795780.000
01/14/2011	17.84	18.04	17.58	17.96	1453506	52790796.000
01/17/2011	17.78	17.95	17.35	17.73	1686853	61024260.000
01/18/2011	17.57	17.80	17.51	17.65	518556	18753530.000
01/19/2011	17.65	17.79	17.63	17.79	502172	18229222.000
01/20/2011	17.73	17.77	17.10	17.28	980408	35063472.000
01/21/2011	17.21	17.32	17.07	17.09	806289	28346856.000
01/24/2011	17.06	17.15	16.26	16.26	936254	31828666.000
01/25/2011	16.28	16.48	16.17	16.32	359607	12001212.000
01/26/2011	16.33	16.64	16.33	16.47	396810	13408395.000
01/27/2011	16.38	17.07	16.25	17.00	925674	31887124.000
01/28/2011	17.00	17.05	16.86	16.91	502015	17456602.000
02/01/2011	17.08	17.16	16.78	16.92	323686	11200391.000
02/09/2011	16.62	16.87	16.42	16.51	413098	14038281.000
02/10/2011	16.51	17.14	16.43	17.07	573885	19855480.000
02/11/2011	17.07	17.24	17.02	17.15	545330	19118252.000
02/14/2011	17.16	17.38	17.08	17.33	712943	25188840.000
02/15/2011	17.32	17.46	17.15	17.21	701789	24930908.000
02/16/2011	17.21	17.36	17.15	17.35	613463	21707034.000
02/17/2011	17.37	17.42	17.20	17.28	489695	17364406.000
02/18/2011	17.29	17.32	17.12	17.17	487399	17166642.000
02/21/2011	17.17	17.30	16.99	17.29	611684	21524594.000
02/22/2011	17.31	17.36	16.82	16.83	706141	24761500.000
02/23/2011	16.87	17.17	16.77	17.08	451633	15723907.000
02/24/2011	17.08	17.38	16.87	17.28	1511688	53379048.000
02/25/2011	17.23	17.33	16.97	17.16	1396215	48844484.000
