300159 新研股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/07/2011	10.65	12.34	10.55	11.86	7594885	778534976.000
01/10/2011	11.56	12.03	11.45	11.91	2797325	296114048.000
01/11/2011	12.01	12.48	11.11	11.42	2389680	255696928.000
01/12/2011	11.22	11.64	11.12	11.29	1321574	135838976.000
01/13/2011	10.88	11.43	10.76	10.90	1308405	129677528.000
01/14/2011	10.88	10.92	10.21	10.59	1391732	132160000.000
01/17/2011	10.42	10.42	9.85	10.20	1035203	94794752.000
01/18/2011	9.98	10.45	9.89	10.05	463487	42581616.000
01/19/2011	9.98	10.48	9.98	10.42	517184	48100860.000
01/20/2011	10.41	10.41	9.85	9.88	486682	44516016.000
01/21/2011	9.80	10.13	9.40	10.07	736103	64540600.000
01/24/2011	9.94	10.14	9.59	9.74	327289	29362032.000
01/25/2011	9.78	9.78	9.23	9.63	465002	39716192.000
01/26/2011	9.63	10.08	9.63	9.86	313267	27878798.000
01/27/2011	9.81	9.95	9.51	9.88	189701	16794474.000
01/28/2011	9.88	10.09	9.77	10.05	251808	22691576.000
01/31/2011	10.03	10.30	10.00	10.15	201265	18496054.000
02/01/2011	10.08	10.20	9.71	9.74	237573	21114270.000
02/09/2011	9.64	9.93	9.63	9.72	188482	16643580.000
02/10/2011	9.79	10.72	9.79	10.72	575116	53984348.000
02/11/2011	10.79	11.16	10.61	10.73	575338	56288836.000
02/14/2011	10.73	11.83	10.56	11.83	691562	70282520.000
02/15/2011	11.74	12.07	11.67	11.83	589686	62964328.000
02/16/2011	11.83	12.41	11.68	12.24	518055	56449932.000
02/17/2011	12.23	12.47	11.90	12.13	460755	49927800.000
02/18/2011	12.13	13.24	12.05	12.13	788451	89514904.000
02/21/2011	12.01	12.58	11.90	12.50	393188	42905180.000
02/22/2011	12.41	12.47	11.45	11.63	541836	57564792.000
02/23/2011	11.64	11.84	11.40	11.53	342692	35733324.000
02/24/2011	11.56	11.84	11.19	11.58	421970	43619792.000
02/25/2011	11.45	12.31	11.37	11.92	390986	41927264.000
02/28/2011	11.95	12.47	11.82	12.01	318514	34619612.000
