300160 秀强股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/13/2011	16.66	17.05	16.08	16.36	6211249	208015600.000
01/14/2011	16.36	17.25	16.10	16.22	2870578	96592200.000
01/17/2011	15.81	15.95	15.12	15.27	1539255	48908436.000
01/18/2011	15.08	15.35	15.07	15.28	729017	22818020.000
01/19/2011	15.47	15.81	15.26	15.57	909370	28926484.000
01/20/2011	15.52	15.52	15.08	15.23	828665	25999856.000
01/21/2011	15.12	15.31	14.97	15.09	494989	15432825.000
01/24/2011	15.07	15.21	15.02	15.10	407847	12666872.000
01/25/2011	15.02	15.16	14.58	14.87	487256	14920581.000
01/26/2011	14.86	15.10	14.70	15.10	297908	9207678.000
01/27/2011	15.07	15.25	14.82	15.25	458814	14256272.000
01/28/2011	15.25	15.33	15.13	15.32	332327	10414915.000
01/31/2011	15.32	15.38	15.18	15.38	386072	12163464.000
02/01/2011	15.32	15.42	15.25	15.42	397613	12536563.000
02/09/2011	15.35	15.52	15.31	15.47	390049	12365340.000
02/10/2011	15.36	15.70	15.36	15.70	855466	27386770.000
02/11/2011	15.63	15.76	15.63	15.73	723118	23321634.000
02/14/2011	15.75	15.96	15.70	15.96	1006391	32751658.000
02/15/2011	15.92	16.17	15.83	16.17	960181	31618846.000
02/16/2011	16.08	16.79	16.08	16.71	1763744	59730428.000
02/17/2011	16.70	16.90	16.40	16.86	1667232	56999692.000
02/18/2011	16.77	16.97	16.49	16.90	1293429	44344516.000
02/21/2011	16.77	17.42	16.77	17.39	3413509	120566808.000
02/22/2011	17.42	17.75	16.98	17.47	2814370	99398776.000
02/23/2011	17.31	17.46	17.12	17.33	1834644	64911136.000
02/24/2011	17.30	17.42	16.84	17.25	1771061	62254400.000
02/25/2011	17.15	17.17	16.97	17.03	850832	29731542.000
02/28/2011	17.04	17.19	16.87	17.10	1116121	39002016.000
03/01/2011	17.10	17.57	16.82	16.82	1404725	49114096.000
03/02/2011	16.67	16.77	16.33	16.47	1012516	34281976.000
03/03/2011	16.55	16.55	15.47	15.47	1603279	52384000.000
03/04/2011	15.43	15.62	15.36	15.62	972712	30941094.000
03/07/2011	15.62	16.04	15.57	15.91	909296	29552770.000
03/08/2011	15.87	16.22	15.83	16.21	707091	23346548.000
03/09/2011	16.17	16.47	15.91	16.02	660346	21748520.000
03/10/2011	15.98	16.17	15.96	16.03	474487	15631533.000
03/11/2011	15.95	16.12	15.85	16.02	478611	15671155.000
03/14/2011	16.02	16.23	15.88	16.20	484337	16012790.000
03/15/2011	16.08	16.20	15.52	15.81	545474	17656446.000
03/16/2011	15.96	16.10	15.75	15.96	374000	12259258.000
03/17/2011	15.93	15.97	15.62	15.65	357050	11537446.000
03/18/2011	15.65	15.97	15.65	15.80	201901	6543368.000
03/21/2011	15.80	15.87	15.53	15.60	255100	8191573.000
03/22/2011	15.67	15.86	15.44	15.64	245132	7832389.000
03/23/2011	15.62	15.78	15.52	15.75	209872	6766606.500
03/24/2011	15.72	15.82	15.68	15.75	260065	8423332.000
03/25/2011	15.75	15.90	15.68	15.84	310876	10106288.000
03/28/2011	15.91	15.97	15.57	15.70	308951	10041842.000
03/29/2011	15.63	15.63	14.87	14.93	627183	19666672.000
03/30/2011	14.93	15.03	14.57	14.72	406789	12432282.000
03/31/2011	14.71	14.91	14.30	14.37	1006496	30107922.000
04/01/2011	14.52	14.65	14.39	14.65	256354	7662316.500
04/06/2011	14.66	14.68	14.52	14.57	246902	7417585.500
04/07/2011	14.48	14.71	14.48	14.71	214075	6457251.000
04/08/2011	14.65	14.83	14.65	14.80	294405	8959882.000
04/12/2011	14.46	14.46	14.07	14.28	509947	14956471.000
04/13/2011	14.12	14.36	14.12	14.36	581885	17065784.000
04/14/2011	14.28	14.35	14.21	14.24	376730	11070188.000
04/15/2011	14.23	14.23	13.78	13.82	1231698	35360880.000
04/18/2011	13.86	13.91	13.78	13.91	584110	16672290.000
