300161 华中数控 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/13/2011	19.64	20.23	18.17	18.25	14671353	421508736.000
01/14/2011	17.86	19.18	17.83	18.45	7242492	205663280.000
01/17/2011	18.71	20.04	18.44	19.30	8902568	262726000.000
01/18/2011	18.34	19.31	17.64	18.98	4634562	131894048.000
01/19/2011	18.69	19.45	18.67	19.24	4100052	119094904.000
01/20/2011	18.96	18.97	17.43	17.43	4996644	139256224.000
01/21/2011	17.10	17.50	16.78	16.94	3366740	88182856.000
01/24/2011	17.12	17.13	16.25	16.29	2207747	56020704.000
01/25/2011	16.25	16.31	15.64	16.00	2259836	55201764.000
01/26/2011	16.05	17.41	16.05	17.13	3180319	81861216.000
01/27/2011	16.91	17.51	16.73	17.17	2322655	61135368.000
01/28/2011	17.08	17.37	16.81	17.37	1250671	32795276.000
01/31/2011	17.30	17.72	16.99	17.72	1696979	45056584.000
02/01/2011	17.63	17.72	17.34	17.40	1152696	30917828.000
02/09/2011	17.18	17.29	16.64	16.64	1312789	34189060.000
02/10/2011	16.71	18.34	16.71	18.34	1662002	45489312.000
02/11/2011	18.97	20.11	18.94	19.77	5954838	178282240.000
02/14/2011	19.52	20.64	19.38	19.84	4857911	148540640.000
02/15/2011	19.61	20.54	19.53	19.88	2680765	81593752.000
02/16/2011	19.84	21.83	19.66	21.54	3887664	124602928.000
02/17/2011	21.25	21.58	20.81	21.24	2873707	92483776.000
02/18/2011	21.22	22.29	20.83	21.84	3102992	102813192.000
02/21/2011	21.54	22.24	21.24	21.86	2050762	67783912.000
02/22/2011	21.71	21.85	20.13	20.18	2860325	90472856.000
02/23/2011	20.23	20.63	20.11	20.38	1444099	44941052.000
02/24/2011	20.49	20.49	19.69	20.02	1454141	44495380.000
02/25/2011	20.08	20.37	19.64	20.23	1165680	35681344.000
02/28/2011	20.31	21.28	20.11	21.01	1375474	43918616.000
03/01/2011	20.97	21.29	20.57	20.64	1109845	35268916.000
03/02/2011	20.54	20.56	19.97	20.33	985886	30367232.000
03/03/2011	20.31	20.51	19.71	19.94	782430	23997152.000
03/04/2011	19.97	20.89	19.97	20.73	856213	26658090.000
03/07/2011	20.76	21.17	20.39	20.81	1336086	42236612.000
03/08/2011	20.56	21.24	20.56	20.97	860366	27494822.000
03/09/2011	21.14	21.14	20.67	20.88	802986	25560446.000
03/10/2011	20.77	20.77	20.14	20.14	1213348	37846356.000
03/11/2011	19.98	20.78	19.98	20.24	820583	25545770.000
03/14/2011	20.64	21.17	20.45	20.94	1406564	44660004.000
03/15/2011	20.96	21.36	20.04	21.27	1778706	56397032.000
03/16/2011	21.31	22.78	21.17	22.41	2070567	69813216.000
03/17/2011	22.11	22.64	21.97	22.23	1462220	49681192.000
03/18/2011	22.44	23.51	22.44	22.64	1110045	38762456.000
03/21/2011	22.35	22.71	21.97	22.05	952716	32299050.000
03/22/2011	21.97	22.17	21.49	21.94	910754	30199696.000
03/23/2011	21.92	22.53	21.67	22.47	937594	31778364.000
03/24/2011	22.01	22.21	21.58	21.81	1732729	57784592.000
03/25/2011	21.64	22.11	21.64	21.99	665017	22164840.000
03/28/2011	22.11	22.11	21.53	21.65	997521	33054552.000
03/29/2011	21.64	21.67	20.71	20.83	1063777	34096920.000
03/30/2011	21.04	21.27	20.64	20.91	647070	20736478.000
03/31/2011	20.64	21.23	20.37	20.37	579200	18302986.000
04/01/2011	20.37	20.98	20.37	20.91	834682	26409526.000
04/06/2011	20.65	20.94	20.24	20.44	529890	16519204.000
04/07/2011	20.15	20.60	20.15	20.28	561980	17414594.000
04/08/2011	20.17	20.43	20.05	20.41	312945	9716808.000
04/11/2011	20.31	20.48	20.16	20.35	330800	10257790.000
04/12/2011	20.18	21.27	20.17	20.50	444305	13957509.000
04/13/2011	20.44	20.44	19.94	20.04	1271910	38929312.000
04/14/2011	20.03	20.31	19.45	20.09	714471	21645568.000
04/15/2011	20.09	20.31	19.31	20.15	1436082	43305972.000
04/18/2011	19.97	20.44	19.83	20.21	514703	15841860.000
04/19/2011	20.30	20.31	19.65	19.71	682624	20736520.000
04/20/2011	20.03	20.03	19.57	19.96	554194	16716354.000
04/21/2011	19.97	20.07	19.71	19.79	310731	9418049.000
04/22/2011	19.79	19.81	18.91	19.17	783616	23035568.000
04/25/2011	19.04	19.26	18.64	18.78	328851	9498046.000
04/27/2011	18.41	18.95	18.27	18.31	502595	14218688.000
04/28/2011	18.39	18.67	17.65	17.73	419690	11621958.000
