300162 雷曼光电 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/13/2011	23.05	23.55	20.50	20.66	9367798	408793952.000
01/14/2011	20.55	21.18	20.13	20.75	4015664	170745616.000
01/17/2011	20.55	21.24	19.12	21.15	3497405	143744912.000
01/18/2011	20.87	20.93	20.30	20.50	2109883	88990912.000
01/19/2011	20.50	21.15	19.71	21.15	2818124	116985496.000
01/20/2011	20.64	20.68	19.96	19.97	2257893	94133088.000
01/21/2011	19.55	19.85	19.16	19.33	1449436	57754172.000
01/24/2011	19.27	19.64	18.50	18.50	1331717	51521804.000
01/25/2011	18.25	18.50	18.04	18.23	819847	30567916.000
01/26/2011	18.33	19.16	18.23	19.05	1072035	41414760.000
01/27/2011	18.90	19.25	18.58	19.13	663870	25785806.000
01/28/2011	19.25	20.24	19.20	20.03	1147493	46268752.000
01/31/2011	19.81	20.33	19.43	19.85	1044041	42620524.000
02/01/2011	19.90	20.15	19.59	19.95	536193	21783718.000
02/09/2011	19.99	20.31	19.34	19.48	651468	26432918.000
02/10/2011	19.55	20.29	19.31	20.18	873522	35721356.000
02/14/2011	20.37	20.50	19.99	20.19	1398100	57812216.000
02/15/2011	20.23	20.29	19.99	20.02	909077	37393228.000
02/16/2011	19.89	20.45	19.81	20.38	976067	40337616.000
02/17/2011	20.55	20.55	19.99	20.15	897005	37098216.000
02/18/2011	19.98	20.39	19.90	20.02	876274	36050336.000
02/21/2011	20.00	20.93	19.90	20.70	1227931	51409244.000
02/22/2011	20.65	20.79	19.45	19.45	1467027	60186528.000
02/23/2011	19.39	19.82	19.36	19.68	624071	24996970.000
02/24/2011	19.69	20.31	19.68	20.25	1388443	56957148.000
02/25/2011	20.25	20.26	19.85	19.89	603656	24671918.000
02/28/2011	19.93	20.19	19.66	20.05	560509	22962926.000
03/01/2011	20.05	20.40	19.96	20.25	615428	25403774.000
03/02/2011	20.06	20.17	19.63	19.90	481157	19521234.000
03/03/2011	19.90	19.90	19.21	19.23	909183	36319596.000
03/04/2011	19.23	19.50	19.12	19.42	558259	21963416.000
03/07/2011	19.43	19.54	19.32	19.49	463327	18431384.000
03/08/2011	19.41	19.53	19.30	19.48	371424	14758910.000
03/09/2011	19.45	19.74	19.26	19.68	516905	20618372.000
03/10/2011	19.60	20.35	19.56	20.19	1417820	58424936.000
03/11/2011	20.24	20.68	20.06	20.48	1116070	46525644.000
03/14/2011	20.45	21.67	20.25	21.45	1609924	70000152.000
03/15/2011	21.30	21.34	20.61	21.04	1122962	47846512.000
03/16/2011	21.01	21.17	20.62	20.75	952012	40445780.000
03/17/2011	20.85	21.19	20.14	20.25	809406	34228632.000
03/18/2011	20.49	20.69	20.21	20.38	431022	17942296.000
03/21/2011	20.42	20.55	20.16	20.38	334065	13890686.000
03/22/2011	20.45	20.54	19.80	19.90	554387	22653244.000
03/23/2011	19.90	20.27	19.86	20.17	490849	20242068.000
03/24/2011	20.30	20.49	20.06	20.18	317728	13168948.000
03/25/2011	20.19	20.49	20.16	20.37	542350	22552830.000
03/28/2011	20.48	20.73	19.72	19.76	677105	27921766.000
03/29/2011	19.77	19.80	18.96	19.27	695553	27321362.000
03/30/2011	18.60	18.60	18.12	18.26	851984	31999204.000
03/31/2011	18.16	18.47	17.57	17.71	752165	27675960.000
04/01/2011	17.80	18.00	17.64	17.93	420608	15351748.000
04/06/2011	17.83	17.83	17.57	17.63	360585	13070330.000
