300163 先锋新材 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/13/2011	17.55	18.00	13.95	13.95	10690631	336561984.000
01/14/2011	13.26	13.47	12.63	12.67	6099690	163359264.000
01/17/2011	12.40	12.40	11.94	12.05	3131872	78664656.000
01/18/2011	11.80	12.59	11.72	12.38	2881028	72841096.000
01/19/2011	12.32	12.57	12.16	12.54	1859725	47457100.000
01/20/2011	12.45	12.45	11.90	11.95	1642758	41455448.000
01/21/2011	11.83	12.19	11.79	11.97	848721	21012366.000
01/24/2011	12.00	12.15	11.60	11.60	963366	23661012.000
01/25/2011	11.40	11.64	11.25	11.60	922275	21838258.000
01/26/2011	11.55	12.10	11.55	11.95	963827	23750444.000
01/27/2011	11.87	12.09	11.66	12.04	890217	22013710.000
01/28/2011	12.06	12.33	11.92	12.19	924586	23175938.000
01/31/2011	12.15	12.32	12.00	12.22	944639	23762056.000
02/01/2011	12.33	12.33	12.01	12.15	619322	15519304.000
02/09/2011	12.04	12.25	11.94	12.09	621427	15576039.000
02/10/2011	12.10	12.89	12.00	12.82	2033850	53183596.000
02/14/2011	12.90	13.05	12.62	13.01	1916895	50886508.000
02/15/2011	12.99	13.22	12.75	13.04	1628511	43541176.000
02/16/2011	12.97	13.27	12.85	13.15	1246431	33687432.000
02/17/2011	13.22	13.22	12.75	12.92	1228338	32914146.000
02/18/2011	12.73	13.85	12.73	13.75	3053825	84515456.000
02/21/2011	13.57	14.04	13.53	13.86	2292578	65122848.000
02/22/2011	13.68	13.75	13.05	13.05	1746996	48202368.000
02/23/2011	12.95	13.30	12.92	13.19	818579	22127002.000
02/24/2011	13.13	13.28	12.89	13.07	855010	22982692.000
02/25/2011	13.07	13.08	12.80	12.93	569086	15144418.000
02/28/2011	12.92	13.22	12.87	13.21	508343	13711896.000
03/01/2011	13.15	13.24	12.99	13.03	713064	19237108.000
03/02/2011	13.00	13.12	12.83	12.96	489497	13064004.000
03/03/2011	12.91	13.15	12.47	12.47	1023301	26828816.000
03/04/2011	12.58	12.67	12.37	12.61	543910	14041154.000
03/07/2011	12.65	12.79	12.62	12.72	728379	19112960.000
03/08/2011	12.70	13.05	12.66	13.00	744393	19846054.000
03/09/2011	12.85	13.01	12.75	12.97	634866	16823298.000
03/10/2011	12.68	12.94	12.68	12.92	947430	24997546.000
03/11/2011	12.79	13.37	12.78	13.16	1801992	48956336.000
03/14/2011	13.17	13.49	13.06	13.40	1186232	32436650.000
03/15/2011	13.36	13.37	12.75	13.16	1012740	27239442.000
03/16/2011	13.04	13.27	13.00	13.25	779708	21115704.000
03/17/2011	13.21	13.34	13.08	13.21	1115079	30327794.000
03/18/2011	13.23	13.39	13.04	13.20	663201	18016506.000
03/21/2011	13.19	13.19	12.90	12.90	566158	15181063.000
03/22/2011	12.90	13.25	12.79	13.04	712725	19086610.000
03/23/2011	13.00	13.19	13.00	13.12	550616	14847416.000
03/24/2011	13.18	13.18	12.97	13.03	550531	14779008.000
03/25/2011	13.00	13.06	12.86	12.92	439640	11722212.000
03/28/2011	12.82	13.00	12.66	12.83	691784	18269436.000
03/29/2011	12.88	12.88	12.28	12.31	815726	21054802.000
03/30/2011	12.34	12.40	11.90	11.90	511340	12742543.000
03/31/2011	11.90	12.08	11.87	11.94	312702	7731011.500
04/01/2011	12.02	12.29	11.96	12.10	578244	14491612.000
04/06/2011	11.97	12.17	11.80	11.99	387156	9574903.000
04/07/2011	12.11	12.13	11.93	12.00	280096	6958602.000
04/08/2011	12.05	12.13	12.00	12.06	336801	8393374.000
04/11/2011	12.10	12.11	11.82	11.82	439038	10847243.000
04/12/2011	11.82	11.94	11.72	11.81	303455	7443367.000
04/13/2011	11.79	12.16	11.79	12.13	923578	22855442.000
04/14/2011	12.00	12.06	11.90	12.00	364444	9026837.000
04/18/2011	12.05	12.05	11.70	11.81	452352	11057761.000
04/19/2011	11.85	11.89	11.66	11.85	319758	7762994.500
04/20/2011	11.85	12.06	11.82	12.05	376304	9287519.000
04/21/2011	12.05	12.33	11.95	12.25	426790	10699282.000
04/22/2011	12.25	12.25	12.06	12.14	186050	4666239.000
04/25/2011	11.99	12.20	11.74	11.74	288478	6976170.000
04/26/2011	11.67	11.69	10.95	10.96	766113	17600284.000
04/27/2011	10.61	10.89	9.99	9.99	1388280	29432284.000
04/28/2011	9.98	10.07	9.74	9.78	820390	16642205.000
04/29/2011	9.74	9.91	9.74	9.89	354541	7148502.000
05/03/2011	9.95	10.40	9.90	10.39	719570	15040147.000
05/04/2011	10.37	10.37	10.19	10.30	414141	8720334.000
05/05/2011	10.25	10.67	10.22	10.44	284471	6105561.500
05/06/2011	10.30	10.66	10.30	10.49	193670	4176322.500
05/09/2011	10.51	10.53	10.41	10.44	206488	4416276.000
05/10/2011	10.44	10.48	10.32	10.48	166897	3559543.750
05/11/2011	10.37	10.57	10.36	10.50	267489	5760499.500
05/12/2011	10.41	10.51	10.25	10.26	159909	3399015.750
05/16/2011	10.26	10.30	10.09	10.19	186710	3908084.750
05/17/2011	10.03	10.16	9.91	10.11	159157	3280753.500
05/18/2011	10.13	10.13	9.95	9.95	205553	4221200.000
05/19/2011	10.05	10.05	9.83	9.84	186309	3777274.000
05/20/2011	9.85	9.94	9.76	9.84	185802	3748087.500
05/23/2011	9.80	9.86	9.50	9.62	392280	7833073.000
05/24/2011	9.50	9.96	9.50	9.87	530865	10610081.000
05/25/2011	9.80	9.80	9.39	9.54	220049	4320570.000
05/26/2011	9.54	9.59	9.32	9.40	191887	3708323.250
05/27/2011	9.32	9.40	9.16	9.32	157700	2995810.750
05/30/2011	9.25	9.43	9.15	9.26	115675	2220733.750
05/31/2011	9.27	9.45	9.25	9.41	136050	2607298.750
06/01/2011	9.37	9.53	9.32	9.50	163371	3179725.000
06/02/2011	9.46	9.72	9.19	9.70	379218	7386825.000
06/03/2011	9.70	10.09	9.68	10.02	815439	16685141.000
06/07/2011	10.00	10.00	9.84	9.96	202711	4117461.750
06/08/2011	9.86	9.97	9.66	9.95	153475	3078824.750
06/09/2011	9.94	9.94	9.68	9.76	73621	1473436.500
06/10/2011	9.60	9.76	9.44	9.72	107175	2107402.500
06/13/2011	9.62	9.77	9.50	9.62	206462	4078606.000
06/14/2011	9.59	9.67	9.54	9.62	332516	6536366.000
06/15/2011	9.59	9.61	9.46	9.59	163202	3184842.250
06/16/2011	9.44	9.59	9.31	9.54	172850	3348227.000
06/17/2011	9.39	9.53	9.35	9.45	86500	1669680.250
06/20/2011	9.35	9.36	9.22	9.36	101720	1942092.625
06/21/2011	9.36	9.47	9.33	9.42	42810	825345.000
06/22/2011	9.50	9.50	9.31	9.40	59550	1148990.000
06/23/2011	9.40	9.82	9.27	9.73	536473	10605364.000
06/24/2011	9.69	9.92	9.57	9.89	674669	13553367.000
06/27/2011	9.80	10.23	9.80	9.96	686535	14133959.000
06/28/2011	9.96	9.96	9.88	9.95	218796	4450829.000
06/29/2011	9.90	10.01	9.78	9.85	129236	2619746.750
06/30/2011	9.90	9.98	9.77	9.94	179221	3648432.500
07/01/2011	9.96	10.01	9.86	9.87	214768	4375206.500
07/04/2011	9.87	10.29	9.87	10.13	944352	19520220.000
07/05/2011	10.14	10.22	10.05	10.15	244005	5060921.500
07/06/2011	10.21	10.23	10.07	10.17	288142	5996495.000
07/07/2011	10.15	10.47	10.01	10.31	852596	17985606.000
07/08/2011	10.33	10.34	10.16	10.20	358310	7511394.000
07/11/2011	10.12	10.32	10.06	10.17	317732	6610171.500
07/12/2011	10.11	10.22	9.90	9.93	326121	6722720.000
07/13/2011	9.87	10.17	9.87	10.15	236200	4872658.500
07/14/2011	10.22	10.40	10.10	10.40	638183	13420711.000
07/15/2011	10.46	10.81	10.39	10.66	1262094	27429924.000
07/18/2011	10.66	10.73	10.54	10.58	763767	16612117.000
07/19/2011	10.49	10.57	10.31	10.48	281865	6003062.000
07/21/2011	10.62	10.64	10.44	10.45	419058	9036910.000
07/22/2011	10.45	10.89	10.44	10.79	859572	18905282.000
07/25/2011	10.70	10.81	10.15	10.50	708547	15253024.000
07/26/2011	10.47	10.47	10.20	10.45	260722	5530076.000
07/27/2011	10.44	10.74	10.29	10.73	664294	14433545.000
07/28/2011	10.59	11.48	10.59	11.13	1324047	30325270.000
07/29/2011	11.12	11.20	10.80	10.84	705985	15781555.000
08/01/2011	10.81	11.13	10.80	11.01	573666	12881992.000
08/02/2011	11.04	11.37	10.91	11.37	916796	20845740.000
08/03/2011	11.26	11.64	11.17	11.47	1103602	25806256.000
08/04/2011	11.47	11.54	11.15	11.32	701200	16219748.000
08/05/2011	11.00	11.03	10.65	10.98	829456	18489128.000
08/08/2011	10.80	10.97	10.16	10.28	566926	12173405.000
08/09/2011	10.17	10.17	9.70	10.00	1498503	30506974.000
08/10/2011	10.17	10.25	9.93	9.95	704340	14586876.000
08/11/2011	9.70	10.13	9.51	10.13	625685	12679401.000
08/12/2011	10.20	10.37	10.10	10.16	548066	11467579.000
08/15/2011	10.19	10.44	10.16	10.40	465743	9859383.000
08/16/2011	10.39	10.42	10.05	10.18	667004	13946542.000
08/17/2011	10.21	10.30	10.04	10.21	309591	6459941.000
08/19/2011	9.86	9.86	9.55	9.81	679994	13514701.000
08/22/2011	10.04	10.04	9.70	9.70	444189	8968274.000
08/23/2011	9.75	10.08	9.75	10.06	574212	11644169.000
08/24/2011	10.22	10.98	10.19	10.59	1650300	35988356.000
08/25/2011	10.47	10.62	10.30	10.61	1044872	22363534.000
08/26/2011	10.49	10.86	10.45	10.73	801993	17570496.000
08/29/2011	10.55	10.95	10.55	10.75	837244	18524616.000
08/30/2011	10.77	10.90	10.34	10.37	789662	17086522.000
08/31/2011	10.44	10.44	10.10	10.27	328719	6910786.000
09/01/2011	10.27	10.46	10.16	10.30	324734	6866950.000
09/02/2011	10.42	10.42	10.09	10.09	231860	4827614.500
09/05/2011	10.00	10.00	9.65	9.69	376019	7538563.500
09/06/2011	9.69	9.74	9.55	9.63	191400	3781817.000
09/07/2011	9.66	9.93	9.66	9.93	273022	5511586.500
09/08/2011	9.98	10.06	9.77	9.85	245421	5005867.500
09/09/2011	9.85	10.00	9.65	9.68	145340	2908837.250
09/13/2011	9.73	9.73	9.41	9.54	189154	3706042.500
09/14/2011	9.54	9.71	9.47	9.71	184563	3626689.500
09/15/2011	9.78	9.83	9.66	9.67	148004	2957927.750
09/16/2011	9.67	9.76	9.60	9.68	142449	2829023.250
09/19/2011	9.65	9.65	9.32	9.33	188549	3654647.750
09/20/2011	9.41	9.41	9.25	9.36	123960	2374645.500
09/21/2011	9.38	9.71	9.33	9.68	194778	3838738.500
09/22/2011	9.55	9.65	9.40	9.43	134296	2625870.000
09/23/2011	9.25	9.39	9.21	9.32	158128	3017315.000
09/26/2011	9.35	9.36	9.23	9.30	117246	2239749.250
09/27/2011	9.32	9.40	9.20	9.36	76490	1463638.375
09/28/2011	10.31	10.32	10.31	10.32	1114612	23560724.000
09/29/2011	10.32	11.37	10.30	10.82	3974937	86784192.000
09/30/2011	10.80	10.80	10.41	10.60	1997510	43294348.000
10/10/2011	10.72	10.84	10.35	10.62	1751446	38017356.000
10/11/2011	10.87	11.30	10.25	10.50	2134943	47234344.000
10/12/2011	10.20	11.34	10.20	11.25	2500902	55869328.000
10/13/2011	11.13	11.39	10.95	11.23	1943216	44404900.000
10/14/2011	11.20	11.60	11.05	11.49	2105487	48906528.000
10/17/2011	11.54	12.00	11.27	11.29	2926606	69705840.000
10/18/2011	11.09	11.74	11.07	11.16	2415376	56572944.000
10/19/2011	11.15	11.40	10.65	10.75	1712730	38489248.000
10/20/2011	10.75	10.95	10.45	10.91	1293111	28433432.000
10/21/2011	10.85	10.85	10.20	10.20	1192977	25554774.000
10/24/2011	10.22	10.57	9.65	10.49	1503663	31037746.000
10/25/2011	10.45	11.15	10.38	11.15	2066428	45806312.000
10/26/2011	10.95	11.25	10.80	10.94	1777548	39997856.000
10/27/2011	10.89	11.14	10.78	10.90	906627	20256072.000
10/28/2011	11.07	11.46	10.89	11.23	1907279	43679376.000
10/31/2011	11.25	11.74	11.15	11.61	2041982	47572840.000
11/01/2011	11.52	11.84	11.34	11.78	1819798	42933580.000
11/02/2011	11.51	11.87	11.25	11.79	1508264	35679640.000
11/03/2011	11.88	12.05	11.41	11.42	1724650	41423420.000
11/04/2011	11.47	11.51	11.20	11.35	1040275	24142316.000
11/07/2011	11.26	11.70	11.23	11.51	1233741	29094226.000
11/08/2011	11.49	11.57	11.03	11.09	999368	23012332.000
11/09/2011	11.12	11.42	10.88	11.38	1011553	23169748.000
11/10/2011	11.15	11.69	11.03	11.31	1355012	31750730.000
11/11/2011	11.34	11.40	10.94	11.07	847798	19270046.000
11/14/2011	11.16	11.65	11.16	11.60	1058447	24870174.000
11/15/2011	11.60	11.89	11.45	11.69	1029933	24530504.000
11/16/2011	11.69	11.69	11.00	11.02	1023840	23678510.000
11/17/2011	11.01	11.31	10.96	11.11	621190	14116328.000
11/18/2011	10.99	10.99	10.60	10.70	630435	13876485.000
11/21/2011	10.66	10.90	10.66	10.90	382183	8425946.000
11/22/2011	10.84	11.00	10.66	11.00	316155	7006792.000
11/23/2011	11.05	11.07	10.69	10.74	495764	11008555.000
11/24/2011	10.31	10.73	10.31	10.55	464044	9995198.000
11/25/2011	10.50	10.75	10.40	10.44	358706	7773391.500
11/28/2011	10.44	10.57	10.32	10.46	284235	6077928.500
11/29/2011	10.55	10.73	10.49	10.70	385706	8396970.000
11/30/2011	10.63	10.71	9.75	9.84	664377	13813037.000
12/01/2011	10.14	10.34	10.01	10.01	511810	10676193.000
12/02/2011	9.91	9.97	9.65	9.75	326137	6539311.000
12/05/2011	9.59	9.66	9.31	9.38	298774	5819498.500
12/06/2011	9.30	9.58	9.30	9.51	178605	3467854.750
12/07/2011	9.51	9.64	9.44	9.58	206573	4053810.250
12/08/2011	9.54	9.77	9.50	9.60	196957	3901950.000
12/09/2011	9.44	9.66	9.44	9.59	128180	2518459.000
12/12/2011	9.56	9.64	9.50	9.54	139316	2737483.000
12/13/2011	9.49	9.52	9.24	9.27	248318	4756090.500
12/14/2011	9.22	9.35	9.10	9.15	187843	3576421.500
12/15/2011	9.11	9.11	8.44	8.65	325489	5899481.500
12/16/2011	8.59	9.02	8.56	8.95	200214	3612172.500
12/19/2011	8.94	8.94	8.53	8.87	254744	4585915.500
12/20/2011	8.78	9.06	8.75	8.84	219467	4029905.000
12/21/2011	8.94	8.97	8.65	8.66	168284	3055077.750
12/22/2011	8.56	8.56	8.11	8.28	346718	5918272.500
12/23/2011	8.20	8.42	8.19	8.27	209726	3582890.250
12/26/2011	8.27	8.31	8.18	8.19	133805	2274100.250
12/27/2011	8.19	8.24	7.79	7.80	197589	3233174.750
12/28/2011	7.72	7.72	7.50	7.68	191059	2996107.500
12/29/2011	7.51	7.73	7.51	7.69	130038	2064715.250
12/30/2011	7.61	7.98	7.61	7.87	162231	2640778.750
01/04/2012	7.80	7.96	7.56	7.56	177588	2838766.750
01/05/2012	7.53	7.53	7.05	7.06	202853	3043413.500
01/06/2012	7.05	7.17	6.85	7.15	119918	1741805.375
01/09/2012	7.15	7.50	7.02	7.45	192112	2907302.000
01/10/2012	7.49	7.78	7.46	7.70	382713	6049006.000
01/11/2012	7.70	8.20	7.65	7.79	381215	6180477.000
01/12/2012	7.79	7.90	7.67	7.73	335520	5393217.500
01/13/2012	7.66	7.72	7.10	7.17	469645	7128788.000
01/16/2012	7.06	7.32	7.01	7.01	160950	2362371.500
01/17/2012	7.01	7.44	6.99	7.35	411601	6145647.000
01/18/2012	7.44	7.44	6.96	6.99	315800	4725360.000
01/19/2012	6.96	7.44	6.85	7.33	402286	5980474.000
01/20/2012	7.34	7.43	7.25	7.32	278499	4227818.500
01/30/2012	7.33	7.53	7.26	7.33	353132	5389064.000
01/31/2012	7.33	7.38	7.21	7.30	170841	2576673.750
02/01/2012	7.33	7.44	7.25	7.25	228514	3471497.250
02/02/2012	7.30	7.42	7.24	7.42	255326	3867411.750
02/03/2012	7.42	7.58	7.40	7.56	466046	7230786.000
02/06/2012	7.58	7.72	7.55	7.68	419583	6612205.000
02/07/2012	7.61	7.61	7.43	7.48	296626	4601428.000
02/08/2012	7.48	7.74	7.47	7.74	335845	5288491.500
02/09/2012	7.75	7.88	7.70	7.74	429355	6918565.500
02/10/2012	7.77	7.89	7.74	7.79	354842	5723469.500
02/13/2012	7.74	7.99	7.62	7.91	439606	7149646.500
02/14/2012	7.91	7.98	7.82	7.87	311091	5049789.500
02/15/2012	7.87	8.02	7.80	8.02	344562	5639263.000
02/16/2012	8.00	8.09	7.91	7.98	303341	5011721.500
02/17/2012	8.06	8.06	7.88	7.94	249110	4090243.000
02/20/2012	8.04	8.13	7.89	7.94	340960	5611227.500
02/21/2012	8.00	8.09	7.85	8.05	431542	7089801.500
02/22/2012	8.04	8.33	7.98	8.30	892217	15088628.000
02/23/2012	8.25	8.55	8.25	8.48	1049561	18218234.000
02/27/2012	8.54	8.65	8.35	8.39	829432	14480378.000
02/28/2012	8.34	8.36	8.16	8.29	391228	6678709.500
02/29/2012	8.26	8.40	8.22	8.25	288150	4935730.500
03/01/2012	8.30	8.37	8.24	8.33	281798	4829241.500
03/02/2012	8.33	8.47	8.33	8.47	349263	6046516.500
03/05/2012	8.52	8.56	8.42	8.42	372109	6508319.000
03/06/2012	8.42	8.42	8.15	8.22	339312	5770678.000
03/07/2012	8.16	8.29	8.14	8.23	253033	4291966.000
03/08/2012	8.22	8.37	8.20	8.32	430455	7354838.000
03/09/2012	8.37	8.54	8.33	8.54	780402	13573385.000
03/12/2012	8.58	8.84	8.46	8.52	549469	9695682.000
03/13/2012	8.67	8.72	8.54	8.71	794764	14148716.000
03/14/2012	8.71	8.79	8.09	8.12	1051148	18589490.000
03/15/2012	8.15	8.20	7.99	8.10	397094	6632280.500
03/16/2012	8.17	8.33	8.09	8.33	399600	6788548.000
03/19/2012	8.32	8.46	8.27	8.45	386213	6674991.000
03/20/2012	8.49	8.49	8.20	8.20	439400	7503440.000
03/21/2012	8.27	8.29	8.05	8.15	354373	5960213.000
03/22/2012	8.12	8.22	8.10	8.16	178955	3011651.750
03/23/2012	8.15	8.22	8.01	8.07	127300	2131997.000
03/26/2012	8.00	8.08	8.00	8.08	117930	1956686.625
03/27/2012	8.13	8.30	8.05	8.06	163001	2738259.500
03/28/2012	8.05	8.05	7.53	7.59	305949	4902542.500
03/29/2012	7.55	7.55	7.30	7.33	199614	3064732.000
03/30/2012	7.40	7.40	7.21	7.39	317132	4806530.000
04/05/2012	7.24	7.57	7.24	7.54	174087	2680666.500
04/06/2012	7.52	7.57	7.45	7.54	104671	1626669.125
04/09/2012	7.50	7.56	7.35	7.39	58552	903425.938
04/10/2012	7.48	7.48	7.16	7.44	102057	1534948.125
04/11/2012	7.39	7.45	7.30	7.44	93055	1424787.750
04/12/2012	7.44	7.72	7.44	7.65	243246	3818208.250
04/13/2012	7.66	7.77	7.55	7.71	209648	3331477.500
04/17/2012	8.25	8.25	7.80	7.89	490467	8059581.500
04/18/2012	7.72	7.94	7.46	7.83	837550	13237799.000
04/19/2012	7.82	7.82	7.62	7.67	462624	7332801.500
04/20/2012	7.66	7.70	7.58	7.68	374475	5918610.000
04/23/2012	7.64	7.65	7.17	7.21	605589	9236649.000
04/24/2012	7.09	7.24	6.99	7.13	351424	5198463.000
04/25/2012	7.09	7.19	7.07	7.14	322798	4755322.500
04/26/2012	7.09	7.18	7.09	7.10	190738	2813295.000
04/27/2012	7.07	7.27	7.04	7.21	184150	2726364.750
05/02/2012	7.34	7.35	7.19	7.25	230780	3452407.750
05/03/2012	7.26	7.26	7.16	7.23	155361	2321452.250
05/04/2012	7.27	7.34	7.25	7.34	182136	2755337.250
05/07/2012	7.36	7.50	7.34	7.44	219702	3375558.250
05/08/2012	7.44	7.54	7.37	7.50	259659	4013939.000
05/09/2012	7.40	7.49	7.21	7.24	209809	3183956.250
05/10/2012	7.24	7.42	7.24	7.34	161685	2455752.500
05/11/2012	7.29	7.37	7.27	7.28	183999	2782806.750
05/14/2012	7.30	7.37	7.17	7.20	203847	3075082.000
05/15/2012	7.14	7.15	7.06	7.13	173415	2547753.500
05/16/2012	7.13	7.20	7.08	7.10	131952	1954833.500
05/17/2012	7.16	7.33	7.06	7.27	243520	3623812.000
05/18/2012	7.17	7.27	7.10	7.19	369160	5367439.000
05/21/2012	7.23	7.23	7.05	7.05	181326	2621107.750
05/22/2012	7.18	7.18	7.08	7.17	119528	1730957.000
05/23/2012	7.10	7.16	7.05	7.08	183297	2636394.000
05/24/2012	7.05	7.20	7.04	7.07	245734	3545074.250
05/25/2012	6.99	7.04	6.90	7.02	240444	3403708.000
05/28/2012	7.02	7.21	6.91	7.19	360481	5185036.000
05/29/2012	7.15	7.40	7.14	7.38	478498	7073747.500
05/30/2012	7.40	7.40	7.29	7.36	185958	2767321.750
05/31/2012	7.30	7.67	7.20	7.59	786509	12047423.000
06/01/2012	7.50	7.59	7.37	7.45	298100	4500303.500
06/04/2012	7.28	7.44	7.11	7.21	197300	2904752.000
06/05/2012	7.17	7.24	7.11	7.19	154215	2235717.750
06/06/2012	7.19	7.20	7.08	7.12	91909	1331037.750
06/07/2012	7.12	7.20	7.07	7.11	81100	1171331.125
06/08/2012	7.14	7.19	6.99	7.00	136600	1959104.875
06/11/2012	7.05	7.19	6.96	7.19	346638	4982683.500
06/12/2012	7.17	7.18	7.08	7.08	128281	1848428.000
06/13/2012	7.11	7.25	7.09	7.24	257108	3747908.250
06/14/2012	7.26	7.31	7.13	7.19	237200	3480955.000
06/15/2012	7.19	7.27	7.10	7.20	164231	2397367.750
06/18/2012	7.27	7.37	7.22	7.35	412717	6117571.500
06/19/2012	7.35	7.35	7.25	7.26	148073	2186755.000
06/20/2012	7.29	7.47	7.27	7.42	783751	11721543.000
06/21/2012	7.42	7.45	7.20	7.30	361322	5338543.500
06/25/2012	7.32	7.32	7.00	7.00	256993	3724121.000
06/26/2012	6.99	7.08	6.93	7.07	106352	1514848.500
06/27/2012	7.03	7.17	7.03	7.14	169800	2451206.000
06/28/2012	7.14	7.17	7.05	7.13	157020	2268143.500
06/29/2012	6.97	7.24	6.97	7.20	150918	2196533.250
07/02/2012	7.22	7.32	7.16	7.25	255230	3744098.500
07/03/2012	7.28	7.47	7.21	7.31	725415	10826375.000
07/04/2012	7.30	7.48	7.29	7.36	314300	4690315.000
07/05/2012	7.35	7.35	7.10	7.10	227106	3314790.750
07/06/2012	7.18	7.28	6.96	7.26	279272	4019872.000
07/09/2012	7.15	7.24	7.00	7.05	189500	2749736.000
07/10/2012	7.14	7.15	7.00	7.05	109265	1564881.500
07/11/2012	7.12	7.12	7.05	7.11	77806	1118395.750
07/12/2012	7.19	7.23	6.99	7.15	305482	4395870.000
07/13/2012	7.11	7.16	7.00	7.05	403648	5764253.500
07/16/2012	7.05	7.05	6.33	6.33	789800	10444408.000
07/17/2012	6.25	6.25	6.05	6.21	271083	3393664.000
07/18/2012	6.19	6.24	6.06	6.16	167749	2097044.625
07/19/2012	6.16	6.29	6.05	6.28	240215	3041899.250
07/20/2012	6.28	6.41	6.19	6.30	287584	3686560.500
07/23/2012	6.30	6.40	6.25	6.35	523198	6740425.000
07/24/2012	6.37	6.67	6.35	6.48	603098	7961347.000
07/25/2012	6.67	6.67	6.37	6.41	356579	4696602.500
07/26/2012	6.40	6.40	6.21	6.25	207097	2650826.500
07/27/2012	6.30	6.33	6.20	6.24	111856	1418380.250
07/30/2012	6.20	6.25	6.05	6.06	139550	1741754.000
07/31/2012	6.10	6.10	5.86	5.90	122400	1484167.375
08/01/2012	5.98	6.04	5.90	5.99	142677	1733784.500
08/02/2012	5.87	6.00	5.86	5.92	131100	1575829.000
08/03/2012	5.99	6.02	5.89	6.02	157354	1904187.000
08/06/2012	5.96	6.17	5.90	6.16	252337	3119232.000
08/07/2012	6.17	6.51	6.15	6.27	253025	3250793.250
08/08/2012	6.29	6.29	6.12	6.19	176981	2229112.000
08/09/2012	6.20	6.29	6.17	6.29	159989	2031562.250
08/10/2012	6.28	6.32	6.25	6.30	126333	1612098.000
08/13/2012	6.30	6.31	6.15	6.16	106674	1345090.875
08/14/2012	6.16	6.30	6.16	6.26	233286	2962571.000
08/15/2012	6.25	6.29	6.19	6.29	121335	1541264.375
08/16/2012	6.30	6.30	6.00	6.10	492471	6083889.500
08/17/2012	6.04	6.08	6.00	6.04	76440	938146.188
08/20/2012	5.96	6.12	5.96	6.07	93600	1148566.500
08/21/2012	6.08	6.32	6.02	6.31	434143	5501558.500
08/22/2012	6.33	6.36	6.22	6.36	340614	4360415.000
08/23/2012	6.33	6.42	6.28	6.42	434905	5624038.500
08/24/2012	6.38	6.43	6.25	6.40	314200	4034700.750
08/27/2012	6.36	6.42	6.24	6.25	242690	3096787.750
08/28/2012	6.31	6.31	6.21	6.26	374812	4768819.500
08/29/2012	6.17	6.30	6.17	6.26	284059	3617488.250
08/30/2012	6.21	6.27	5.98	6.12	189370	2350275.000
08/31/2012	6.17	6.24	6.05	6.22	136500	1709295.625
09/03/2012	6.17	6.27	6.17	6.22	276100	3498063.000
09/04/2012	6.29	6.29	6.15	6.21	322306	4082486.500
09/05/2012	6.19	6.38	6.11	6.36	850968	10899362.000
09/06/2012	6.33	6.48	6.27	6.42	911771	11805626.000
09/07/2012	6.47	6.70	6.42	6.65	1662268	22150956.000
09/10/2012	6.60	6.70	6.56	6.64	625869	8422579.000
09/11/2012	6.77	7.03	6.69	6.75	1157846	15984478.000
09/12/2012	6.71	6.76	6.56	6.67	686822	9286133.000
09/13/2012	6.65	6.69	6.58	6.60	331925	4473899.000
09/14/2012	6.62	6.77	6.55	6.65	359462	4856265.500
09/17/2012	6.68	6.73	6.35	6.40	331716	4356722.500
09/18/2012	6.45	6.45	6.27	6.28	302707	3897430.250
