300164 通源石油 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/13/2011	9.51	10.07	9.28	9.91	10825154	626364288.000
01/14/2011	9.46	9.49	8.89	8.89	6344591	337741856.000
01/17/2011	8.57	8.82	8.33	8.59	3279010	165847600.000
01/18/2011	8.42	8.42	8.07	8.24	2287376	112105360.000
01/19/2011	8.24	8.43	8.22	8.40	1615372	79809744.000
01/20/2011	8.38	8.38	8.03	8.07	1357977	66291132.000
01/21/2011	7.90	8.22	7.90	8.02	1345482	64308588.000
01/24/2011	8.04	8.17	7.69	7.69	1069737	50417020.000
01/25/2011	7.69	7.79	7.61	7.72	645705	29612270.000
01/26/2011	7.72	8.03	7.72	7.86	816859	38389780.000
01/27/2011	7.88	8.13	7.84	8.02	586211	27884666.000
01/28/2011	7.99	8.04	7.87	7.95	611752	28921070.000
01/31/2011	7.90	8.44	7.90	8.42	1664934	81724408.000
02/01/2011	8.35	8.36	8.19	8.23	730422	35862936.000
02/09/2011	8.07	8.17	7.95	8.07	642516	30854638.000
02/10/2011	8.11	8.33	8.01	8.32	779164	37982560.000
02/11/2011	8.33	8.39	8.25	8.38	739327	36546980.000
02/14/2011	8.42	8.46	8.28	8.43	773193	38559592.000
02/15/2011	8.41	8.66	8.39	8.41	900866	45530192.000
02/16/2011	8.39	8.58	8.35	8.55	621280	31246584.000
02/17/2011	8.57	8.68	8.50	8.68	863373	44112940.000
02/18/2011	8.81	8.81	8.52	8.56	1049700	53869688.000
02/21/2011	8.57	8.70	8.57	8.66	854054	43789204.000
02/22/2011	8.78	8.87	8.36	8.37	1002683	51110332.000
02/23/2011	8.33	8.47	8.33	8.40	434711	21695652.000
02/24/2011	8.45	8.46	8.24	8.40	650255	32262678.000
02/25/2011	8.40	8.42	8.24	8.35	393738	19443516.000
02/28/2011	8.33	8.47	8.28	8.43	494280	24617832.000
03/01/2011	8.47	8.57	8.37	8.42	652782	32779882.000
03/02/2011	8.43	8.53	8.40	8.50	563397	28319472.000
03/03/2011	8.47	8.67	8.40	8.58	1275054	64826212.000
03/04/2011	8.59	8.67	8.49	8.62	706559	35979440.000
03/07/2011	8.69	8.82	8.53	8.82	1298036	66644440.000
03/08/2011	8.83	9.11	8.83	8.94	2005820	106890248.000
03/09/2011	8.88	8.93	8.77	8.81	625491	32734292.000
03/10/2011	8.78	8.91	8.69	8.70	565841	29530052.000
03/11/2011	8.70	8.80	8.63	8.67	450544	23249384.000
03/14/2011	8.65	8.79	8.63	8.78	367178	19014484.000
03/15/2011	8.80	8.80	8.50	8.61	684621	35081732.000
03/16/2011	8.56	8.66	8.54	8.64	276342	14143961.000
03/17/2011	8.55	8.71	8.51	8.53	409621	20950126.000
03/18/2011	8.59	8.63	8.52	8.53	207282	10524712.000
03/21/2011	8.54	8.70	8.51	8.63	329782	16913716.000
03/22/2011	8.63	8.63	8.46	8.48	348601	17587026.000
03/23/2011	8.53	8.56	8.44	8.54	205343	10375944.000
03/24/2011	8.55	8.66	8.51	8.59	404507	20659026.000
03/25/2011	8.55	8.67	8.51	8.61	301287	15387633.000
03/28/2011	8.61	8.62	8.23	8.24	714494	35691292.000
03/29/2011	8.24	8.24	7.88	7.91	723041	34512044.000
03/30/2011	7.90	7.96	7.80	7.87	230952	10799059.000
03/31/2011	7.83	8.02	7.81	7.98	307367	14559137.000
04/01/2011	7.98	8.03	7.92	8.03	141827	6742073.500
04/06/2011	8.01	8.05	7.90	7.98	182070	8650488.000
04/07/2011	8.00	8.15	7.98	8.07	193560	9306062.000
04/08/2011	8.07	8.13	8.04	8.10	166115	7999657.000
04/11/2011	8.11	8.16	8.06	8.07	224709	10833123.000
04/12/2011	7.98	8.07	7.90	7.90	188139	8874549.000
04/13/2011	7.93	8.03	7.90	8.02	176749	8391173.000
04/14/2011	8.05	8.05	7.88	7.88	161680	7630233.000
04/15/2011	7.88	7.92	7.84	7.90	152931	7174654.000
04/18/2011	7.86	8.02	7.84	7.98	170606	8069918.000
04/19/2011	7.92	7.95	7.70	7.77	412657	19118200.000
04/20/2011	7.81	7.81	7.63	7.76	383709	17545862.000
04/21/2011	7.75	7.77	7.55	7.60	647259	29443822.000
04/22/2011	7.46	7.46	6.83	6.90	2296185	96800704.000
04/25/2011	6.86	6.94	6.79	6.85	785276	32291866.000
04/26/2011	6.84	6.89	6.74	6.79	330449	13472479.000
04/27/2011	6.85	6.91	6.69	6.76	241323	9829797.000
04/28/2011	6.76	6.78	6.48	6.48	485550	19150602.000
04/29/2011	6.53	6.57	6.16	6.55	409101	15732673.000
05/03/2011	6.56	6.61	6.49	6.60	246661	9681548.000
05/04/2011	6.51	6.54	6.35	6.40	188249	7275359.500
05/05/2011	6.36	6.45	6.33	6.39	200005	7663675.000
05/06/2011	6.29	6.38	6.24	6.32	357242	13521108.000
05/09/2011	6.32	6.43	6.30	6.38	184678	7077868.500
05/10/2011	6.37	6.44	6.36	6.44	140309	5385161.500
05/11/2011	6.44	6.50	6.37	6.47	171986	6636979.500
05/12/2011	6.40	6.47	6.32	6.32	203348	7789454.500
05/13/2011	6.33	6.39	6.23	6.37	182051	6881441.500
05/16/2011	6.37	6.39	6.33	6.34	95899	3655727.750
05/17/2011	6.39	6.39	6.30	6.33	118570	4510991.500
05/18/2011	6.37	6.37	6.30	6.35	93900	3577925.500
05/19/2011	6.35	6.39	6.30	6.32	115565	4394310.000
05/20/2011	6.33	6.37	6.24	6.24	156683	5894479.000
05/23/2011	6.23	6.23	5.92	5.98	344763	12474462.000
05/24/2011	5.90	6.14	5.81	6.06	358966	12911343.000
05/26/2011	5.93	5.97	5.81	5.85	268958	9524203.000
05/27/2011	5.86	5.86	5.73	5.75	184378	6408377.000
05/30/2011	5.74	5.85	5.67	5.72	224900	7808621.500
05/31/2011	5.73	5.88	5.72	5.81	125859	4376090.500
06/01/2011	5.78	5.87	5.78	5.87	139439	4902698.000
06/02/2011	5.81	5.87	5.71	5.86	149929	5232637.500
06/03/2011	5.86	5.95	5.85	5.92	125666	4469309.000
06/07/2011	5.87	5.93	5.87	5.92	65349	2322910.750
06/08/2011	5.93	5.93	5.81	5.91	65660	2316697.750
06/09/2011	5.91	5.93	5.84	5.85	224055	7906984.000
06/10/2011	5.86	5.86	5.66	5.76	114038	3254021.000
06/13/2011	5.72	5.79	5.64	5.78	195215	5520972.000
06/14/2011	5.72	5.80	5.72	5.78	93810	2678291.750
06/15/2011	5.76	5.79	5.72	5.75	140029	3980336.000
06/16/2011	5.74	5.74	5.55	5.57	265671	7374970.000
06/17/2011	5.57	5.61	5.47	5.49	73749	2023472.500
06/20/2011	5.49	5.56	5.45	5.49	110820	3014291.750
06/21/2011	5.55	5.61	5.47	5.56	133459	3651239.750
06/22/2011	5.55	5.56	5.45	5.46	72831	1985167.750
06/23/2011	5.49	5.73	5.46	5.70	337421	9442766.000
06/24/2011	5.69	5.84	5.66	5.82	333929	9554776.000
06/27/2011	5.84	6.04	5.77	5.98	444088	13074524.000
06/28/2011	5.87	5.98	5.87	5.95	172497	5042468.000
06/29/2011	5.98	6.06	5.93	5.98	352884	10500340.000
06/30/2011	5.91	6.14	5.88	6.13	301003	9027254.000
07/01/2011	6.05	6.24	6.05	6.18	304845	9267735.000
07/05/2011	6.32	6.38	6.22	6.26	429611	13305678.000
07/06/2011	6.23	6.32	6.18	6.28	229260	7066827.500
07/07/2011	6.25	6.47	6.23	6.31	530876	16566663.000
07/08/2011	6.28	6.34	6.26	6.30	220660	6849296.000
07/11/2011	6.29	6.29	6.15	6.25	470542	14409740.000
07/12/2011	6.22	6.39	6.12	6.31	636027	19902586.000
07/13/2011	6.40	6.46	6.31	6.42	451728	14294489.000
07/14/2011	6.43	6.57	6.43	6.56	443403	14235866.000
07/15/2011	6.57	6.64	6.47	6.57	278838	9045243.000
07/18/2011	6.69	6.77	6.49	6.50	487734	15839649.000
07/19/2011	6.49	6.53	6.37	6.39	427063	13521235.000
07/20/2011	6.41	6.59	6.41	6.58	504827	16189440.000
07/21/2011	6.59	7.01	6.53	6.99	1049632	35221052.000
07/22/2011	6.89	6.99	6.79	6.89	713451	24084688.000
07/25/2011	6.88	6.92	6.68	6.70	869255	28967556.000
07/26/2011	6.70	6.70	6.44	6.54	363529	11694239.000
07/27/2011	6.54	6.76	6.45	6.71	301877	9888309.000
07/28/2011	6.60	6.79	6.59	6.75	276051	9133784.000
07/29/2011	6.76	6.78	6.62	6.67	196719	6467263.000
08/01/2011	6.54	6.75	6.54	6.70	272872	8974241.000
08/02/2011	6.73	6.73	6.49	6.73	254033	8276902.500
08/03/2011	6.68	6.81	6.64	6.78	192211	6404095.000
08/04/2011	6.81	6.81	6.70	6.78	273192	9113655.000
08/05/2011	6.61	6.90	6.51	6.87	500876	16609815.000
08/08/2011	6.71	6.85	6.40	6.73	598017	19672516.000
08/09/2011	6.51	6.69	6.20	6.58	305551	9839324.000
08/10/2011	6.58	6.91	6.58	6.81	636320	21313938.000
08/11/2011	6.80	7.15	6.72	7.12	651206	22374744.000
08/12/2011	7.16	7.17	7.00	7.01	509033	17688126.000
08/15/2011	6.99	7.13	6.92	7.03	758650	26143974.000
08/16/2011	7.07	7.08	6.93	6.97	255760	8813920.000
08/17/2011	7.02	7.02	6.92	6.98	384015	13137834.000
08/18/2011	7.01	7.01	6.84	6.89	276260	9408537.000
08/19/2011	6.61	6.86	6.55	6.78	526932	17515438.000
08/22/2011	6.78	7.03	6.78	6.87	403149	13724858.000
08/23/2011	6.91	7.01	6.82	6.98	180953	6169096.000
08/24/2011	7.05	7.33	7.05	7.26	857399	30487938.000
08/25/2011	7.26	7.29	7.07	7.16	467686	16471237.000
08/26/2011	7.16	7.26	7.07	7.24	205214	7280187.000
08/29/2011	7.16	7.41	7.16	7.35	502828	18073418.000
08/30/2011	7.42	7.43	7.07	7.17	314811	11205752.000
08/31/2011	7.11	7.20	6.93	6.99	366862	12616950.000
09/01/2011	7.11	7.11	6.91	6.97	177144	6082971.500
09/02/2011	6.92	6.93	6.83	6.92	112061	3799666.750
09/05/2011	6.84	7.01	6.81	6.88	253603	8587516.000
09/06/2011	6.90	6.95	6.84	6.89	113061	3835327.750
09/07/2011	6.95	7.11	6.90	7.11	143399	4961650.000
09/08/2011	7.11	7.19	6.92	7.03	115000	3991676.000
09/09/2011	6.94	7.09	6.80	6.88	190174	6462853.000
09/13/2011	6.78	6.86	6.54	6.67	141106	4668203.000
09/14/2011	6.70	6.77	6.53	6.70	148146	4852739.000
09/15/2011	6.70	6.80	6.65	6.65	109588	3619675.750
09/16/2011	6.72	6.74	6.65	6.68	59480	1958919.375
09/19/2011	6.66	6.66	6.55	6.55	69020	2242391.250
09/20/2011	6.59	6.80	6.55	6.74	150600	4959282.000
09/21/2011	6.65	6.92	6.65	6.87	342101	11470462.000
09/22/2011	6.89	6.89	6.54	6.61	191561	6301735.000
09/23/2011	6.53	6.53	6.28	6.44	367435	11591849.000
09/26/2011	6.33	6.46	6.20	6.34	415419	12963048.000
09/27/2011	6.35	6.38	6.20	6.24	249891	7721954.000
09/28/2011	6.30	6.36	6.11	6.14	110842	3396462.750
09/29/2011	6.07	6.13	5.76	6.13	319197	9336224.000
09/30/2011	5.97	6.07	5.86	6.06	143820	4231348.500
10/10/2011	6.04	6.04	5.86	5.86	84839	2484279.500
10/11/2011	6.07	6.07	5.80	5.86	68780	2006118.250
10/12/2011	5.75	6.11	5.75	6.01	259599	7695197.500
10/13/2011	6.07	6.33	6.05	6.23	307870	9456066.000
10/14/2011	6.24	6.28	6.08	6.18	123073	3739226.750
10/17/2011	6.32	6.32	6.12	6.21	62620	1913258.375
10/18/2011	6.20	6.20	6.04	6.09	107430	3242296.750
10/19/2011	6.15	6.15	5.97	6.03	94720	2821342.750
10/20/2011	5.98	6.07	5.94	6.03	202691	6033241.000
10/21/2011	6.01	6.03	5.80	5.86	165870	4823873.000
10/24/2011	5.93	6.00	5.83	5.99	199792	5836566.000
10/25/2011	6.03	6.24	5.99	6.19	222905	6749943.500
10/26/2011	6.28	6.28	6.04	6.22	515440	15667776.000
10/27/2011	6.15	6.22	6.08	6.12	227490	6893179.000
10/28/2011	6.20	6.23	6.09	6.17	260888	7945066.000
10/31/2011	6.26	6.26	6.18	6.25	203381	6246149.500
11/01/2011	6.16	6.28	6.11	6.22	179350	5498759.500
11/02/2011	6.16	6.39	6.08	6.39	551793	16971146.000
11/03/2011	6.39	6.79	6.36	6.58	911941	29562154.000
11/04/2011	6.59	6.69	6.54	6.63	290587	9444137.000
11/07/2011	6.68	6.79	6.39	6.64	398243	13160573.000
11/08/2011	6.65	6.78	6.60	6.68	429358	14192328.000
11/09/2011	6.69	6.96	6.69	6.95	673417	22736624.000
11/10/2011	6.87	6.95	6.79	6.83	501639	16950388.000
11/11/2011	6.89	6.89	6.74	6.81	348785	11701981.000
11/14/2011	6.88	6.98	6.81	6.97	413556	14089591.000
11/15/2011	6.99	7.15	6.91	7.10	515371	17915668.000
11/16/2011	7.09	7.10	6.81	6.91	390282	13323849.000
11/17/2011	6.86	7.10	6.85	7.02	336202	11553453.000
11/18/2011	7.02	7.02	6.61	6.80	308568	10316978.000
11/21/2011	6.78	6.80	6.59	6.71	184149	6049026.000
11/22/2011	6.69	6.74	6.53	6.62	470889	15346816.000
11/23/2011	6.65	6.69	6.59	6.64	284300	9287072.000
11/24/2011	6.47	6.67	6.39	6.63	232669	7507325.000
11/25/2011	6.63	6.69	6.57	6.63	180576	5901681.500
11/28/2011	6.63	6.69	6.55	6.66	126466	4134922.500
11/29/2011	6.70	6.73	6.60	6.73	201856	6638703.500
11/30/2011	6.68	6.76	6.33	6.48	362172	11709666.000
12/01/2011	6.61	6.70	6.50	6.52	284390	9279691.000
12/02/2011	6.51	6.56	6.39	6.52	182533	5829125.500
12/05/2011	6.51	6.65	6.28	6.34	129283	4081717.500
12/06/2011	6.27	6.43	6.09	6.38	117690	3659108.500
12/07/2011	6.41	6.43	6.28	6.36	73431	2291367.000
12/08/2011	6.29	6.49	6.29	6.44	106430	3353200.750
12/09/2011	6.44	6.44	6.19	6.31	142200	4452699.500
12/12/2011	6.34	6.34	6.10	6.10	117330	3586405.000
12/13/2011	5.97	6.06	5.76	5.76	311264	9013127.000
12/14/2011	5.80	5.80	5.48	5.51	497062	13868066.000
12/15/2011	5.46	5.55	5.40	5.47	224140	6049105.500
12/16/2011	5.48	5.67	5.45	5.66	222893	6130604.500
12/19/2011	5.65	5.66	5.49	5.64	233262	6412519.000
12/20/2011	5.59	5.72	5.57	5.66	140049	3925076.000
12/21/2011	5.70	5.77	5.50	5.50	184700	5161382.000
12/22/2011	5.50	5.54	5.16	5.35	336939	8827943.000
12/23/2011	5.31	5.49	5.31	5.43	116686	3131461.000
12/26/2011	5.35	5.50	5.34	5.42	152336	4097194.500
12/27/2011	5.23	5.43	5.23	5.24	94977	2498362.750
12/28/2011	5.13	5.33	5.07	5.17	125501	3209072.000
12/29/2011	5.21	5.32	5.21	5.26	130221	3396479.250
12/30/2011	5.26	5.38	5.26	5.31	161022	4235913.500
01/04/2012	5.41	5.60	5.29	5.29	218519	5930342.000
01/05/2012	5.27	5.40	4.99	5.21	279020	7155290.500
01/06/2012	5.15	5.24	5.07	5.21	104488	2668449.500
01/09/2012	5.26	5.41	5.10	5.38	376670	9961236.000
01/10/2012	5.31	5.53	5.31	5.52	482619	13049601.000
01/11/2012	5.45	5.74	5.45	5.65	607813	16689874.000
01/12/2012	5.61	5.66	5.49	5.51	440915	12104497.000
01/13/2012	5.57	5.82	5.47	5.51	738859	20573846.000
01/16/2012	5.26	5.50	5.21	5.21	385518	10151328.000
01/17/2012	5.14	5.41	4.75	5.38	700149	17931828.000
01/18/2012	5.46	5.86	5.14	5.45	752764	20098874.000
01/19/2012	5.32	5.42	5.04	5.16	883371	22716210.000
01/20/2012	5.16	5.16	4.97	5.14	799175	20088902.000
01/30/2012	5.15	5.34	5.10	5.27	895847	23282816.000
01/31/2012	5.22	5.26	5.14	5.22	235166	6063276.000
02/01/2012	5.22	5.37	5.18	5.24	381111	9999402.000
02/02/2012	5.19	5.34	5.19	5.34	308678	8078059.000
02/03/2012	5.34	5.56	5.30	5.54	573549	15520163.000
02/06/2012	5.49	5.74	5.49	5.66	736655	20634956.000
02/07/2012	5.65	5.65	5.49	5.54	421953	11581375.000
02/08/2012	5.55	5.72	5.55	5.70	445380	12499965.000
02/09/2012	5.68	5.78	5.45	5.66	896765	25154490.000
02/10/2012	5.61	5.76	5.60	5.75	513676	14503686.000
02/13/2012	5.68	6.06	5.66	5.96	834069	24560334.000
02/14/2012	5.97	6.01	5.89	5.94	382676	11221986.000
02/15/2012	5.91	6.00	5.91	5.95	466422	13740024.000
02/16/2012	5.98	5.99	5.73	5.84	1019920	29523726.000
02/17/2012	5.84	5.86	5.68	5.83	510038	14554657.000
02/20/2012	5.91	5.94	5.82	5.88	691653	20147122.000
02/21/2012	5.89	6.05	5.88	6.05	943745	27920134.000
02/22/2012	6.08	6.26	6.07	6.18	1021693	31138122.000
02/23/2012	6.21	6.35	6.19	6.23	999892	30867718.000
02/24/2012	6.20	6.41	6.20	6.32	814126	25433092.000
02/27/2012	6.38	6.61	6.32	6.52	1499291	47852340.000
02/28/2012	6.49	6.59	6.41	6.49	1056945	33849376.000
02/29/2012	6.50	6.52	6.26	6.28	993562	31022974.000
03/01/2012	6.30	6.46	6.22	6.41	977123	30579354.000
03/02/2012	6.46	6.46	6.18	6.36	2585899	80171944.000
03/05/2012	6.31	6.39	6.24	6.27	1649975	51225172.000
03/06/2012	6.24	6.33	6.23	6.28	951843	29543696.000
03/07/2012	6.19	6.31	6.18	6.18	828954	25609148.000
03/08/2012	6.18	6.28	6.18	6.26	629530	19417386.000
03/09/2012	6.32	6.33	6.23	6.32	687307	21329064.000
03/12/2012	6.34	6.36	6.26	6.36	955952	29796538.000
03/13/2012	6.36	6.39	6.31	6.38	704505	22097440.000
03/14/2012	6.42	6.48	5.88	6.04	1527070	47541484.000
03/15/2012	6.07	6.15	5.99	6.06	646395	19438900.000
03/16/2012	6.06	6.32	6.06	6.29	961432	29295436.000
03/19/2012	6.59	6.70	6.32	6.56	2619740	84172328.000
03/20/2012	6.59	6.61	6.40	6.42	1678015	53727800.000
03/21/2012	6.42	6.63	6.35	6.62	1691523	54105892.000
03/22/2012	6.61	6.86	6.53	6.77	2489627	82836328.000
03/23/2012	6.76	6.76	6.45	6.52	1088533	35562400.000
03/26/2012	6.46	6.52	6.39	6.47	477957	15213717.000
03/27/2012	6.52	6.55	6.39	6.41	472263	15044321.000
03/29/2012	5.99	6.04	5.76	5.76	1091608	31654980.000
03/30/2012	5.66	5.76	5.35	5.52	1143998	31458950.000
04/05/2012	5.53	5.74	5.50	5.74	658989	18435964.000
04/06/2012	5.77	5.80	5.69	5.75	448061	12748499.000
04/09/2012	5.73	5.90	5.55	5.72	493067	14067856.000
04/10/2012	5.66	5.74	5.51	5.73	335033	9306468.000
04/11/2012	5.69	5.74	5.52	5.68	217105	6097626.000
04/12/2012	5.71	5.86	5.70	5.85	559614	16054124.000
04/13/2012	5.82	5.97	5.81	5.96	640969	18767420.000
04/16/2012	5.97	5.97	5.87	5.90	269124	7878838.500
04/17/2012	5.88	5.99	5.80	5.82	396085	11498197.000
04/18/2012	5.85	5.99	5.85	5.99	280550	8236072.000
04/19/2012	5.99	6.26	5.93	6.15	1262419	38176080.000
04/20/2012	6.12	6.23	6.11	6.18	494088	15070361.000
04/23/2012	6.07	6.13	5.97	6.01	649455	19390678.000
04/24/2012	5.86	6.16	5.76	5.88	430983	12534687.000
04/25/2012	5.86	5.94	5.82	5.91	291708	8484065.000
04/26/2012	5.92	5.94	5.84	5.84	324169	9461738.000
04/27/2012	5.86	6.04	5.81	5.94	278224	8154109.000
05/02/2012	6.15	6.16	5.94	6.09	527625	15787920.000
05/03/2012	5.99	6.15	5.99	6.03	512918	15357951.000
05/04/2012	6.04	6.28	6.03	6.23	422158	12910109.000
05/07/2012	6.24	6.38	6.10	6.35	721502	22219156.000
05/08/2012	6.34	6.61	6.25	6.41	1050896	33512962.000
05/09/2012	6.41	6.43	6.24	6.32	432458	13496197.000
05/10/2012	6.44	6.44	6.32	6.37	348730	10965161.000
05/11/2012	6.34	6.38	6.25	6.29	270210	8422932.000
05/14/2012	6.32	6.43	6.24	6.38	336368	10521562.000
05/15/2012	6.26	6.38	6.25	6.37	364771	11429904.000
05/16/2012	6.40	6.40	6.28	6.38	453860	14286478.000
05/17/2012	6.29	6.47	6.29	6.40	899814	14099949.000
05/18/2012	6.37	6.39	6.01	6.13	897487	13467900.000
05/21/2012	6.10	6.27	6.09	6.22	562467	8508135.000
05/22/2012	6.18	6.29	6.18	6.22	362096	5514518.000
05/23/2012	6.23	6.28	6.11	6.19	361800	5504802.500
05/24/2012	6.14	6.20	6.10	6.13	421291	6318832.500
05/25/2012	6.13	6.14	5.84	5.84	676600	9838415.000
05/28/2012	5.76	5.97	5.64	5.93	470107	6644852.500
05/29/2012	5.91	6.01	5.89	5.99	589523	8554092.000
05/30/2012	5.98	6.00	5.91	5.94	185350	2699124.000
05/31/2012	5.89	6.01	5.86	5.98	518909	7510727.000
06/01/2012	5.99	6.34	5.94	6.05	307908	4581482.500
06/04/2012	5.91	5.91	5.77	5.82	261497	3738826.750
06/05/2012	5.80	5.88	5.70	5.72	272140	3841663.000
06/06/2012	5.84	5.89	5.64	5.69	220600	3070405.250
06/07/2012	5.72	5.74	5.64	5.67	152101	2112862.750
06/08/2012	5.64	5.76	5.64	5.74	301215	4217201.000
06/11/2012	5.72	5.92	5.72	5.82	262800	3762132.750
06/12/2012	5.78	5.90	5.61	5.89	649357	9214776.000
06/13/2012	5.86	6.12	5.79	6.11	445499	6526517.500
06/14/2012	6.11	6.20	5.93	6.04	470801	7028722.000
06/15/2012	6.00	6.14	5.97	6.07	176224	2607089.500
06/18/2012	6.07	6.33	6.07	6.21	1017583	15488522.000
06/19/2012	6.21	6.34	6.14	6.18	297327	4514824.500
06/20/2012	6.14	6.30	6.12	6.19	916022	13850482.000
06/21/2012	6.18	6.18	6.03	6.12	398399	5927784.000
06/25/2012	6.07	6.07	5.84	5.95	365027	5286901.000
06/26/2012	5.77	6.13	5.76	6.01	538954	7928699.000
06/27/2012	6.03	6.62	6.03	6.45	6171389	97429040.000
06/28/2012	6.33	6.38	6.06	6.06	3105700	47309296.000
06/29/2012	6.09	6.09	5.80	5.97	1529521	22189378.000
07/02/2012	6.05	6.09	5.93	5.97	1105804	16256609.000
07/03/2012	6.01	6.35	5.98	6.35	3319666	50693536.000
07/04/2012	6.43	6.46	6.09	6.14	2086091	31863870.000
07/05/2012	6.19	6.28	6.04	6.20	939160	14180137.000
07/06/2012	6.32	6.32	5.90	6.20	1254597	18792228.000
07/09/2012	6.16	6.16	5.82	5.82	1323762	19323456.000
07/10/2012	5.80	5.87	5.65	5.66	695493	9746980.000
07/11/2012	5.68	5.76	5.64	5.76	469873	6563939.000
07/12/2012	5.72	5.91	5.67	5.85	368619	5265964.000
07/13/2012	5.85	5.96	5.85	5.86	419281	6072038.500
07/16/2012	6.01	6.11	5.72	5.86	953924	13920209.000
07/17/2012	5.74	6.06	5.74	6.01	790079	11422617.000
07/18/2012	5.94	6.34	5.85	6.22	2169480	32749582.000
07/19/2012	6.21	6.44	6.15	6.38	1653236	25534394.000
07/20/2012	6.36	6.64	6.26	6.39	1964490	31223300.000
07/23/2012	6.26	6.47	6.20	6.31	961755	14897028.000
07/24/2012	6.26	6.59	6.25	6.50	1178544	18659280.000
07/25/2012	6.44	6.75	6.36	6.64	1904984	30661906.000
07/26/2012	6.74	6.74	6.31	6.39	1644758	26114878.000
07/27/2012	6.45	6.49	6.31	6.36	596444	9311305.000
07/30/2012	6.30	6.49	6.20	6.26	946173	14546168.000
07/31/2012	6.26	6.26	6.11	6.16	657533	9908906.000
08/01/2012	6.23	6.67	6.21	6.67	1647134	26243242.000
08/02/2012	6.55	6.68	6.52	6.62	1451541	23414734.000
08/03/2012	6.62	7.12	6.61	6.97	3904716	66018180.000
08/06/2012	6.93	7.21	6.84	7.14	2617039	44978828.000
08/07/2012	7.11	7.44	7.05	7.31	3820472	68118488.000
08/08/2012	7.24	7.30	7.09	7.19	1294267	22624200.000
08/09/2012	7.17	7.67	7.16	7.54	2966114	53828060.000
08/10/2012	7.49	7.84	7.49	7.65	2457979	46164792.000
08/13/2012	7.63	7.63	7.26	7.27	2072419	37502704.000
08/14/2012	7.27	7.72	7.22	7.59	3660846	66490180.000
08/15/2012	7.58	7.74	7.34	7.36	2469287	45304256.000
