300165 天瑞仪器 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/25/2011	27.67	28.09	25.28	25.35	3681784	205076896.000
01/26/2011	25.51	26.33	25.17	25.99	1586883	87589912.000
01/27/2011	25.51	25.88	25.04	25.60	1086790	59125800.000
01/28/2011	25.50	26.18	25.37	25.96	856679	47554244.000
01/31/2011	25.99	26.57	25.97	26.36	649232	36492496.000
02/01/2011	26.38	26.70	26.08	26.30	433352	24260566.000
02/09/2011	25.85	26.32	25.83	26.03	381478	21287420.000
02/10/2011	26.04	26.86	25.51	26.81	625265	35426152.000
02/11/2011	26.81	27.10	26.59	26.81	583132	33346004.000
02/14/2011	26.86	27.14	26.71	27.02	595099	34196244.000
02/15/2011	27.06	27.19	26.81	26.83	484134	27923402.000
02/16/2011	26.83	27.29	26.71	27.27	495446	28534954.000
02/17/2011	27.51	27.51	27.05	27.26	373885	21750950.000
02/18/2011	27.21	27.42	26.95	27.10	358300	20692882.000
02/21/2011	26.98	27.48	26.98	27.44	328982	19167782.000
02/22/2011	26.74	27.05	25.85	25.85	1108681	62587672.000
02/23/2011	25.85	26.14	25.83	26.08	459669	25562138.000
02/24/2011	26.07	26.14	25.88	26.09	399781	22198898.000
02/25/2011	25.99	26.37	25.99	26.37	556875	31195248.000
02/28/2011	26.36	26.50	26.16	26.32	304189	17056064.000
03/01/2011	26.34	26.38	26.19	26.24	257639	14442915.000
03/02/2011	26.09	26.49	26.00	26.26	255123	14320105.000
03/03/2011	26.28	26.32	25.86	25.87	241610	13459673.000
03/04/2011	25.89	26.14	25.89	26.09	116510	6468455.000
03/07/2011	26.16	26.23	26.07	26.14	177340	9893524.000
03/08/2011	26.14	26.23	26.09	26.21	188589	10545156.000
03/09/2011	26.19	26.32	26.08	26.17	148184	8276787.500
03/10/2011	26.17	26.27	26.10	26.22	259438	14512531.000
03/11/2011	26.23	26.31	26.16	26.21	321703	18014292.000
03/14/2011	26.23	26.59	26.21	26.57	365782	20637054.000
03/15/2011	26.54	26.58	26.04	26.38	393200	22039544.000
03/16/2011	26.38	26.46	26.16	26.42	225427	12666773.000
03/17/2011	26.23	26.30	26.07	26.19	213890	11961774.000
03/18/2011	26.33	28.12	26.19	26.72	436123	25068086.000
