300166 东方国信 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/25/2011	9.08	9.43	8.16	8.20	1992475	98316312.000
01/26/2011	8.22	9.04	8.22	9.04	1170866	59721912.000
01/27/2011	8.99	9.42	8.79	9.22	1474830	78333680.000
01/28/2011	9.06	9.15	8.89	9.08	871844	45961484.000
01/31/2011	9.01	9.52	8.95	9.44	842092	45865828.000
02/01/2011	9.40	9.52	9.26	9.38	540621	29619634.000
02/09/2011	9.41	9.61	9.09	9.10	834097	45717500.000
02/10/2011	8.98	9.54	8.83	9.53	1076986	58043572.000
02/11/2011	9.47	9.67	9.43	9.47	961982	53460904.000
02/14/2011	9.47	9.69	9.40	9.64	1171951	65359312.000
02/15/2011	9.63	9.76	9.47	9.48	964310	53888900.000
02/16/2011	9.44	9.66	9.40	9.59	839206	46801812.000
02/17/2011	9.61	9.77	9.55	9.65	809937	45614224.000
02/18/2011	9.64	9.65	9.49	9.53	536310	29851194.000
02/21/2011	9.54	9.95	9.54	9.92	1129829	64215200.000
02/22/2011	9.87	9.92	9.47	9.49	1057645	59638524.000
02/23/2011	9.52	9.65	9.47	9.60	511903	28583908.000
02/24/2011	9.57	9.66	9.29	9.42	746545	41070420.000
02/25/2011	9.40	9.43	9.22	9.36	478797	26039260.000
02/28/2011	9.47	9.75	9.47	9.64	739210	41472976.000
03/01/2011	9.62	9.70	9.57	9.65	449919	25249414.000
03/02/2011	9.62	9.94	9.59	9.85	1104480	63274452.000
03/03/2011	9.83	9.95	9.57	9.66	630315	35889684.000
03/04/2011	9.59	9.76	9.45	9.72	525791	29405718.000
03/07/2011	9.71	9.84	9.63	9.72	458942	26072658.000
03/08/2011	9.76	10.06	9.68	9.95	802991	46411956.000
03/09/2011	9.95	9.98	9.78	9.92	565686	32447426.000
03/10/2011	9.88	10.12	9.85	9.95	666624	38962424.000
03/11/2011	9.92	10.41	9.90	10.18	1006180	59858112.000
03/14/2011	10.15	10.67	10.15	10.67	884601	54087636.000
03/15/2011	10.66	10.87	10.30	10.76	1067542	65546352.000
03/16/2011	10.72	10.83	10.56	10.62	564924	34980856.000
03/17/2011	10.49	10.69	10.15	10.29	793812	47987660.000
03/18/2011	10.29	10.39	10.16	10.28	443662	26529914.000
03/21/2011	10.17	10.29	10.09	10.26	349458	20768578.000
03/22/2011	10.22	10.42	10.22	10.38	368344	22169246.000
03/23/2011	10.39	10.41	10.23	10.40	356373	21408100.000
03/24/2011	10.38	10.38	10.18	10.30	414221	24739838.000
03/25/2011	10.28	10.39	10.22	10.31	275525	16551902.000
03/28/2011	10.29	10.29	9.86	9.88	701538	41053472.000
03/29/2011	9.84	9.87	9.54	9.65	498538	28064498.000
03/30/2011	8.91	9.63	8.91	9.26	931671	50278876.000
03/31/2011	9.26	9.30	9.06	9.19	374403	19996782.000
04/01/2011	9.10	9.24	9.10	9.18	210987	11278741.000
04/06/2011	9.13	9.16	8.97	9.00	319766	16867134.000
04/07/2011	9.01	9.12	8.95	9.08	185894	9812468.000
04/08/2011	9.12	9.15	9.04	9.15	161520	8585042.000
04/11/2011	9.15	9.17	8.94	8.94	179537	9463112.000
04/12/2011	8.75	8.86	8.74	8.78	192655	9904623.000
04/13/2011	8.78	9.08	8.74	9.07	300626	15685650.000
04/14/2011	9.06	9.06	8.89	8.91	183488	9599019.000
04/15/2011	8.91	8.98	8.79	8.95	174241	9026831.000
04/18/2011	8.91	8.99	8.87	8.91	62962	3273519.250
04/19/2011	8.87	8.87	8.75	8.80	131008	6728840.000
04/21/2011	8.89	8.95	8.82	8.89	187582	9731678.000
04/22/2011	8.89	8.93	8.75	8.92	174890	9017009.000
04/25/2011	8.88	8.92	8.33	8.34	382936	18963070.000
04/26/2011	8.18	8.30	8.04	8.13	254700	12119917.000
04/27/2011	8.45	8.47	8.13	8.28	493878	23987094.000
04/28/2011	8.27	8.27	7.77	7.84	535881	25001808.000
04/29/2011	7.84	7.90	7.67	7.90	759253	34569952.000
05/03/2011	7.88	8.02	7.81	8.02	370060	17159142.000
05/04/2011	8.00	8.00	7.81	7.89	313760	14460529.000
05/05/2011	7.86	8.02	7.79	8.00	307617	14307146.000
05/06/2011	7.95	8.12	7.88	8.06	251396	11779673.000
05/09/2011	8.12	8.12	7.98	8.09	321433	15136355.000
05/10/2011	8.08	8.14	8.01	8.06	221376	10411269.000
05/11/2011	8.04	8.11	7.98	8.06	184512	8585580.000
05/12/2011	8.03	8.03	7.81	7.82	238365	10934529.000
05/13/2011	7.81	7.88	7.64	7.75	440101	19674578.000
05/16/2011	7.76	7.86	7.71	7.82	305342	13801645.000
05/17/2011	7.80	7.82	7.70	7.78	282440	12686009.000
05/18/2011	7.78	7.87	7.73	7.81	253103	11422060.000
05/19/2011	7.81	7.85	7.64	7.72	338043	15178231.000
05/20/2011	7.69	7.74	7.61	7.64	182869	8112555.500
05/23/2011	7.61	7.64	7.39	7.40	323675	14047627.000
05/24/2011	7.39	7.72	7.19	7.71	662797	28630960.000
05/25/2011	7.61	7.62	7.36	7.39	329240	14290129.000
05/26/2011	7.40	7.53	7.25	7.27	197869	8462164.000
05/27/2011	7.22	7.42	7.19	7.29	202168	8531008.000
05/30/2011	7.25	7.44	7.22	7.33	236650	10105142.000
05/31/2011	7.29	7.47	7.12	7.34	330067	13862959.000
06/01/2011	7.30	7.39	7.24	7.36	212535	9015876.000
06/02/2011	7.29	7.34	7.20	7.30	260786	10931106.000
06/03/2011	7.32	7.49	7.29	7.46	230077	9893457.000
06/07/2011	7.43	7.48	7.43	7.46	159654	6887532.000
06/08/2011	7.45	7.48	7.30	7.45	128596	5492992.000
06/09/2011	7.43	7.43	7.25	7.28	132942	5632111.500
06/10/2011	7.25	7.33	7.25	7.32	128158	5406817.000
06/13/2011	7.30	7.39	7.26	7.34	154335	6526843.000
06/14/2011	7.39	7.58	7.35	7.51	252564	10991892.000
06/15/2011	7.50	7.61	7.46	7.46	198286	8655786.000
06/16/2011	7.41	7.41	7.22	7.22	190062	8045593.000
06/17/2011	7.18	7.28	7.17	7.19	127774	5342136.000
06/20/2011	7.13	7.32	7.03	7.13	260191	10680065.000
06/21/2011	7.11	7.15	7.06	7.15	134349	5528374.000
06/22/2011	7.20	7.20	7.11	7.12	94565	3906527.000
06/23/2011	7.14	7.42	7.09	7.37	233506	9909479.000
06/24/2011	7.33	7.57	7.33	7.53	259887	11251779.000
06/27/2011	7.57	7.69	7.53	7.57	237084	10435092.000
06/28/2011	7.60	7.61	7.52	7.59	135717	5942530.000
06/29/2011	7.57	7.65	7.48	7.48	173842	7595559.500
06/30/2011	7.47	7.64	7.46	7.56	126802	5540769.500
07/01/2011	7.53	7.68	7.52	7.61	201769	8896859.000
07/04/2011	7.62	7.79	7.60	7.78	215293	9631738.000
07/05/2011	7.76	7.95	7.74	7.93	254533	11577770.000
07/06/2011	7.87	8.04	7.84	8.01	312664	14373585.000
07/07/2011	8.01	8.24	7.95	8.07	557856	26131160.000
