300167 迪威视讯 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/25/2011	6.98	6.98	6.28	6.39	2094372	94150184.000
01/26/2011	6.44	6.88	6.39	6.64	1273948	58454500.000
01/27/2011	6.54	6.73	6.36	6.66	886654	40027016.000
01/28/2011	6.66	6.77	6.59	6.68	497474	22906896.000
01/31/2011	6.66	6.83	6.62	6.77	473615	22018884.000
02/01/2011	6.73	6.78	6.73	6.76	291422	13534673.000
02/09/2011	6.76	6.81	6.61	6.62	320426	14821002.000
02/10/2011	6.61	7.19	6.60	7.13	747581	35737668.000
02/11/2011	7.03	7.16	7.03	7.13	429234	20952014.000
02/14/2011	7.16	7.46	7.13	7.43	750378	37744180.000
02/15/2011	7.44	7.45	7.29	7.30	508680	25710256.000
02/16/2011	7.28	7.51	7.28	7.49	720342	36830172.000
02/17/2011	7.49	7.54	7.39	7.49	484250	24829616.000
02/18/2011	7.44	7.47	7.32	7.44	422050	21416910.000
02/21/2011	7.44	7.49	7.38	7.49	398710	20419766.000
02/22/2011	7.47	7.49	7.09	7.09	587326	29388198.000
02/23/2011	7.19	7.47	7.14	7.35	536298	26982792.000
02/24/2011	7.34	7.41	7.24	7.30	341670	17165646.000
02/25/2011	7.28	7.28	7.17	7.25	173101	8589153.000
02/28/2011	7.21	7.32	7.21	7.28	204246	10210821.000
03/01/2011	7.28	7.38	7.27	7.33	257720	12945291.000
03/02/2011	7.29	7.32	7.25	7.29	231240	11573164.000
03/03/2011	7.29	7.32	7.10	7.12	261426	12925604.000
03/04/2011	7.11	7.19	7.05	7.19	99596	4887274.000
03/07/2011	7.20	7.34	7.20	7.26	212722	10635506.000
03/08/2011	7.25	7.33	7.24	7.33	239998	12011127.000
03/09/2011	7.37	7.37	7.25	7.30	194498	9737343.000
03/10/2011	7.26	7.40	7.26	7.27	320546	16130381.000
03/11/2011	7.30	7.42	7.27	7.30	520028	26216726.000
03/14/2011	7.35	7.47	7.31	7.46	504985	25684902.000
03/15/2011	7.46	7.50	7.28	7.37	467771	23660182.000
03/16/2011	7.36	7.46	7.32	7.40	289411	14652554.000
03/17/2011	7.34	7.39	7.24	7.25	376573	18924652.000
03/18/2011	7.24	7.34	7.24	7.28	127747	6396987.500
03/21/2011	7.24	7.31	7.19	7.23	164718	8197157.000
03/23/2011	7.21	7.31	7.21	7.29	127264	6348925.500
03/24/2011	7.29	7.31	7.22	7.25	128535	6408461.000
03/25/2011	7.25	7.26	7.18	7.21	210669	10434016.000
