300168 万达信息 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/25/2011	6.49	6.60	5.98	6.00	6001241	153849696.000
01/26/2011	6.05	6.35	6.05	6.14	2455732	61828988.000
01/27/2011	6.13	6.13	5.90	6.02	1581137	38925964.000
01/28/2011	5.98	6.08	5.98	6.04	1133787	27990946.000
01/31/2011	6.04	6.33	6.03	6.30	1742239	44150680.000
02/01/2011	6.27	6.30	6.22	6.22	786518	20119808.000
02/09/2011	6.16	6.22	6.05	6.13	813662	20387046.000
02/10/2011	6.15	6.49	6.14	6.46	1889383	48871912.000
02/11/2011	6.38	6.44	6.31	6.33	1325381	34561832.000
02/14/2011	6.35	6.45	6.33	6.43	1045909	27361754.000
02/15/2011	6.43	6.49	6.37	6.39	1208759	31804088.000
02/16/2011	6.40	6.48	6.37	6.47	860760	22687918.000
02/17/2011	6.45	6.55	6.36	6.42	878147	23116128.000
02/18/2011	6.39	6.41	6.35	6.38	637084	16615663.000
02/21/2011	6.38	6.44	6.36	6.44	610612	16041174.000
02/22/2011	6.45	6.46	6.22	6.22	1013811	26255046.000
02/23/2011	6.25	6.29	6.20	6.25	422590	10808848.000
02/24/2011	6.27	6.29	6.22	6.25	384772	9847477.000
02/25/2011	6.25	6.36	6.23	6.34	709517	18334778.000
02/28/2011	6.38	6.74	6.38	6.66	2781224	75470200.000
03/01/2011	6.62	6.97	6.62	6.90	4227114	118762208.000
03/02/2011	6.85	6.89	6.78	6.86	1772301	49572624.000
03/03/2011	6.90	6.90	6.53	6.58	1344714	36733436.000
03/04/2011	6.60	6.64	6.49	6.62	918201	24718396.000
03/07/2011	6.61	6.66	6.53	6.59	1067378	28767406.000
03/08/2011	6.55	6.65	6.53	6.60	589773	15929037.000
03/09/2011	6.62	6.67	6.58	6.62	686418	18572960.000
03/10/2011	6.60	6.64	6.56	6.56	564482	15224403.000
03/11/2011	6.55	6.58	6.45	6.46	1071334	28560048.000
03/14/2011	6.45	6.54	6.45	6.54	454541	12092923.000
03/15/2011	6.53	6.59	6.42	6.48	585147	15555757.000
03/16/2011	6.50	6.58	6.49	6.58	468132	12516078.000
03/17/2011	6.55	6.67	6.53	6.61	918970	24861276.000
03/18/2011	6.61	6.71	6.58	6.65	692075	18813526.000
03/21/2011	6.54	6.64	6.49	6.64	1242833	33436178.000
03/22/2011	6.60	6.88	6.60	6.83	1903293	52393512.000
03/24/2011	6.83	6.83	6.60	6.80	2379259	65615476.000
03/25/2011	6.78	6.90	6.71	6.90	2542817	71271664.000
03/28/2011	6.88	6.90	6.74	6.75	1435505	39997216.000
03/29/2011	6.80	6.80	6.46	6.52	1677794	45192184.000
03/30/2011	6.52	6.52	6.34	6.34	1219661	31832726.000
03/31/2011	6.35	6.43	6.35	6.39	432050	11294721.000
04/01/2011	6.42	6.45	6.36	6.44	351715	9225663.000
04/06/2011	6.41	6.46	6.35	6.35	479617	12512837.000
04/07/2011	6.35	6.46	6.35	6.43	799870	20922454.000
04/08/2011	6.40	6.44	6.40	6.43	617592	16234765.000
04/11/2011	6.43	6.45	6.24	6.24	723247	18790982.000
04/13/2011	6.31	6.52	6.31	6.41	920562	24244804.000
04/14/2011	6.38	6.41	6.30	6.31	552460	14336170.000
04/15/2011	6.26	6.38	6.26	6.28	313733	8070470.000
04/18/2011	6.29	6.32	6.25	6.27	225170	5788436.000
