300169 天晟新材 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/25/2011	11.45	13.78	11.45	13.18	16584353	641902656.000
01/26/2011	12.71	13.30	12.31	12.94	8927111	349504896.000
01/27/2011	12.44	12.50	11.91	12.32	5322434	199732368.000
01/28/2011	12.04	12.18	11.61	11.86	3988262	145717424.000
01/31/2011	12.04	12.38	11.91	12.24	3668404	137218464.000
02/01/2011	11.98	12.08	11.62	11.76	2739319	99328392.000
02/09/2011	11.67	11.98	11.24	11.28	2421032	86620904.000
02/10/2011	11.16	11.68	10.98	11.65	2964047	103640760.000
02/11/2011	11.51	11.89	11.48	11.88	2547036	91491880.000
02/14/2011	11.81	12.01	11.67	11.87	2650849	96147016.000
02/15/2011	11.87	11.96	11.71	11.82	2035454	74022792.000
02/16/2011	11.81	12.54	11.76	12.26	3243194	121894736.000
02/17/2011	12.22	12.48	12.04	12.42	2611454	98269752.000
02/18/2011	12.44	13.69	12.38	13.69	5136411	211640768.000
02/21/2011	13.70	13.98	13.38	13.86	4095677	171877008.000
02/22/2011	13.77	13.80	12.78	12.81	3665403	148822272.000
02/23/2011	12.67	13.02	12.57	12.84	1821787	71658096.000
02/24/2011	12.76	12.91	12.38	12.55	1930125	74810968.000
02/25/2011	12.58	12.84	12.04	12.79	2043518	77710008.000
02/28/2011	12.64	12.91	12.04	12.83	1260503	48813844.000
03/01/2011	12.68	13.34	12.67	12.94	1493953	59425072.000
03/02/2011	12.78	12.98	12.48	12.71	895118	34937476.000
03/03/2011	12.64	12.84	12.52	12.71	866849	33741324.000
03/04/2011	12.71	13.20	12.71	12.91	1180356	46953736.000
03/07/2011	13.03	13.12	12.84	12.94	1117124	44288832.000
03/08/2011	12.91	13.38	12.91	13.09	1027248	41441532.000
03/09/2011	13.21	13.21	12.64	12.70	1307348	51406248.000
03/10/2011	12.58	12.82	12.58	12.69	729109	28438524.000
03/11/2011	12.56	12.85	12.35	12.73	1543259	59661168.000
03/14/2011	12.65	12.86	12.50	12.80	704758	27516086.000
03/15/2011	12.84	13.03	12.38	12.97	1486899	57770096.000
03/16/2011	13.04	13.37	13.04	13.18	1755498	71051656.000
03/17/2011	13.04	13.64	13.04	13.34	1462355	59909808.000
03/18/2011	13.27	13.52	13.26	13.35	599269	24520850.000
03/21/2011	13.24	14.04	13.24	13.96	1618972	68480576.000
03/22/2011	13.98	13.98	13.38	13.39	801814	33340390.000
03/23/2011	13.34	13.49	13.11	13.26	562452	22792864.000
03/24/2011	13.16	13.44	13.05	13.16	561580	22800004.000
03/25/2011	13.38	13.38	13.11	13.20	553070	22424024.000
03/28/2011	13.16	13.24	12.54	12.78	1531443	60488688.000
03/29/2011	12.69	12.84	12.58	12.73	567821	22147910.000
03/30/2011	12.76	12.84	12.40	12.51	410798	15881559.000
03/31/2011	12.48	12.68	12.38	12.39	363111	13938630.000
04/01/2011	12.39	12.67	12.38	12.61	194905	7499670.500
04/06/2011	12.54	12.76	12.50	12.53	322117	12486541.000
04/07/2011	12.52	12.52	12.14	12.29	631415	23817616.000
04/08/2011	12.28	12.70	12.15	12.64	515412	19688984.000
04/11/2011	12.64	12.70	12.38	12.40	498554	19143792.000
04/12/2011	12.39	12.51	12.38	12.43	169429	6462291.500
04/13/2011	12.43	13.13	12.43	12.83	545600	21534772.000
04/14/2011	12.81	13.13	12.74	12.93	518098	20597910.000
04/19/2011	12.98	13.88	12.98	13.32	1414700	58243436.000
04/20/2011	13.34	13.83	13.21	13.71	775595	32375252.000
04/21/2011	13.88	14.94	13.88	14.81	1895571	83468288.000
04/22/2011	14.98	14.98	14.30	14.51	2450843	108731248.000
04/25/2011	14.64	14.97	14.44	14.48	2020304	90789816.000
04/26/2011	14.48	14.58	13.75	14.03	1542824	66199924.000
04/27/2011	14.03	15.13	13.98	14.43	2680069	78601944.000
04/28/2011	14.68	15.38	14.18	14.33	3054592	91621080.000
04/29/2011	13.83	13.88	12.88	13.04	3955278	104988680.000
05/03/2011	12.85	13.08	12.44	12.99	1552386	40039244.000
05/04/2011	12.78	13.35	12.72	13.00	1602003	42428972.000
05/05/2011	12.93	14.18	12.89	13.83	2549552	69832320.000
05/06/2011	13.68	14.18	13.54	14.02	1509167	42380496.000
05/09/2011	14.08	14.63	13.79	13.85	1822201	52357276.000
05/10/2011	13.86	14.43	13.80	14.23	1891299	53988452.000
05/11/2011	14.27	14.78	14.08	14.59	2081028	60802248.000
05/12/2011	14.38	14.55	14.08	14.15	1903243	54967532.000
05/13/2011	14.18	14.84	14.15	14.78	2826086	83389752.000
05/16/2011	14.83	14.98	14.55	14.62	1673533	49816980.000
05/17/2011	14.63	14.93	13.43	13.93	2641638	75546608.000
05/18/2011	13.93	14.26	13.78	13.97	1039218	29383146.000
05/19/2011	13.93	14.07	13.53	13.57	1271872	35382352.000
05/20/2011	13.54	13.63	13.16	13.28	1767748	47564808.000
05/23/2011	13.28	13.77	12.88	13.52	1810499	48549620.000
05/24/2011	13.52	14.18	13.14	14.13	2002342	55755424.000
05/25/2011	14.01	14.36	13.70	13.97	1802835	51027352.000
05/26/2011	14.02	14.15	13.43	13.53	1152986	32222516.000
05/27/2011	13.38	13.67	12.98	13.23	1110162	29750946.000
05/30/2011	13.08	13.70	13.04	13.45	1089227	29584236.000
05/31/2011	13.56	13.83	13.16	13.81	1170494	31878462.000
06/01/2011	13.64	13.81	13.49	13.63	792846	21850636.000
06/02/2011	13.38	13.48	13.07	13.30	1025547	27345722.000
06/03/2011	13.22	13.63	13.22	13.45	650300	17721724.000
06/07/2011	13.45	14.13	13.38	14.01	1440018	40075892.000
06/08/2011	14.01	14.12	13.82	14.05	826985	23339098.000
06/09/2011	14.06	14.06	13.30	13.43	975455	26876578.000
06/10/2011	13.37	13.87	13.24	13.85	818527	22363306.000
06/13/2011	13.82	14.68	13.63	14.42	1956659	56457616.000
06/14/2011	14.43	14.63	14.29	14.50	1145457	33277910.000
06/15/2011	14.49	14.53	14.24	14.24	1033221	29914198.000
06/16/2011	14.10	14.19	13.88	14.01	840467	23746858.000
06/17/2011	13.89	14.26	13.78	13.82	1042388	29555038.000
06/20/2011	13.74	14.06	13.73	14.03	975049	27362622.000
06/21/2011	14.12	14.63	14.02	14.45	1542296	44848476.000
06/22/2011	14.47	14.71	14.22	14.28	1349797	39335632.000
06/23/2011	14.24	15.72	14.21	15.46	5944384	185224352.000
06/24/2011	15.13	15.71	15.13	15.62	3768598	116761576.000
06/27/2011	15.58	16.06	15.38	15.73	2591575	82035120.000
06/28/2011	15.60	15.78	15.43	15.72	1391982	43849504.000
06/29/2011	15.73	15.88	15.13	15.26	2373613	73704128.000
06/30/2011	15.20	15.52	15.11	15.31	1455140	44909404.000
07/01/2011	15.29	16.38	15.28	16.08	2528885	81510672.000
07/04/2011	16.14	16.72	15.98	16.18	2724501	89615920.000
07/06/2011	16.12	17.13	16.08	16.81	3442360	116171304.000
07/07/2011	16.83	17.24	16.48	16.78	1950386	66172856.000
07/08/2011	16.82	16.96	16.44	16.89	1821382	61447476.000
07/11/2011	16.88	17.02	16.56	16.71	1342256	45350924.000
07/12/2011	16.58	16.58	16.27	16.36	1755772	57961596.000
07/13/2011	16.37	16.77	16.28	16.67	1245781	41686532.000
07/14/2011	16.68	17.19	16.59	16.93	1338403	45572376.000
07/15/2011	16.78	17.33	16.72	16.96	1737027	59335896.000
07/18/2011	17.00	17.03	15.88	15.95	3407564	111200832.000
07/19/2011	15.83	15.83	15.48	15.62	1428877	45071072.000
07/20/2011	15.71	16.13	15.55	15.88	1571939	50243800.000
07/21/2011	15.88	15.98	14.93	15.08	2826102	87160800.000
07/22/2011	15.13	15.37	14.99	15.13	1099316	33610660.000
07/25/2011	15.07	15.36	14.83	15.18	2097343	64113124.000
07/26/2011	15.17	15.66	14.90	15.58	1653443	51211120.000
07/27/2011	15.38	15.84	15.31	15.60	1890566	59627768.000
07/28/2011	15.53	15.63	14.83	15.07	2030862	61843784.000
07/29/2011	15.07	15.10	13.89	14.07	3240424	94712560.000
08/01/2011	13.97	14.67	13.93	14.45	1626049	47151812.000
08/02/2011	14.37	14.38	13.90	14.35	1280029	36396348.000
08/03/2011	14.21	14.68	14.05	14.51	1252134	36503124.000
08/04/2011	14.53	14.81	14.38	14.48	990297	29032486.000
08/05/2011	13.88	14.30	13.79	14.03	1497644	42362192.000
08/08/2011	13.82	14.00	12.92	13.38	1588669	43217408.000
08/09/2011	12.98	13.72	12.78	13.56	1277705	34410380.000
08/10/2011	13.78	14.01	13.56	13.61	941997	26176014.000
08/11/2011	13.27	13.87	13.17	13.87	843654	23311190.000
08/12/2011	14.03	14.46	13.87	14.39	1322154	38000740.000
08/15/2011	14.43	14.63	14.26	14.46	1331900	38897800.000
08/16/2011	14.26	14.26	13.78	13.85	2760991	77737704.000
08/17/2011	13.82	13.92	13.45	13.55	1300768	35655480.000
08/18/2011	13.55	13.68	13.29	13.31	899439	24366396.000
08/19/2011	13.01	13.56	12.93	13.55	1002729	26890202.000
08/22/2011	13.38	13.61	13.29	13.37	645227	17514240.000
08/23/2011	13.26	13.92	13.26	13.88	1245911	34505332.000
08/24/2011	14.06	14.53	13.88	13.89	1904629	54743188.000
08/25/2011	13.83	14.03	13.58	13.96	1172289	32775552.000
08/26/2011	13.89	14.24	13.87	14.21	1153389	32912416.000
08/29/2011	14.12	14.35	14.09	14.11	1003496	28820504.000
08/30/2011	14.22	14.22	13.63	13.64	893748	25129642.000
08/31/2011	13.70	13.70	13.12	13.51	764227	20631280.000
09/01/2011	13.48	13.65	13.28	13.32	1161486	31434416.000
09/02/2011	13.33	13.56	13.31	13.47	580297	15751957.000
09/05/2011	13.28	13.28	12.78	12.78	1083271	28546464.000
09/06/2011	12.68	12.95	12.32	12.64	646101	16363169.000
09/07/2011	12.64	12.95	12.64	12.93	501110	13005743.000
09/08/2011	12.97	13.25	12.83	12.88	614137	16159673.000
09/09/2011	12.88	12.98	12.62	12.74	330298	8502992.000
09/13/2011	12.65	12.65	12.31	12.35	341441	8546683.000
