300170 汉得信息 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/01/2011	5.48	5.72	5.36	5.57	5607979	135816640.000
02/09/2011	5.60	5.79	5.55	5.74	2676414	66485304.000
02/10/2011	5.76	6.28	5.76	6.17	7241240	190048496.000
02/11/2011	6.10	6.14	5.88	6.01	4439043	116381336.000
02/14/2011	6.00	6.07	5.91	6.02	3497982	91398560.000
02/15/2011	6.02	6.18	5.98	6.11	4345548	114777552.000
02/16/2011	6.06	6.24	6.03	6.18	3187403	85565768.000
02/17/2011	6.27	6.36	6.18	6.21	3845708	104810432.000
02/18/2011	6.20	6.29	6.09	6.11	2592287	69910792.000
02/21/2011	6.02	6.23	6.02	6.20	1873046	50307624.000
02/22/2011	6.22	6.27	5.96	6.04	1834179	49048988.000
02/23/2011	6.04	6.22	6.00	6.16	1514185	40330644.000
02/24/2011	6.16	6.30	6.11	6.21	1418334	38347964.000
02/25/2011	6.21	6.30	6.18	6.26	1643627	44762048.000
02/28/2011	6.30	6.30	6.13	6.20	1731630	46617732.000
03/01/2011	6.20	6.23	6.10	6.14	1487335	39870120.000
03/02/2011	6.16	6.34	6.16	6.26	2082959	56756632.000
03/03/2011	6.27	6.31	6.15	6.28	1689803	45908568.000
03/04/2011	6.31	6.67	6.27	6.56	3847615	109665608.000
03/07/2011	6.55	6.80	6.50	6.63	2914141	84239144.000
03/08/2011	6.56	6.64	6.45	6.54	1445707	40942168.000
03/09/2011	6.51	6.54	6.39	6.50	1417661	39758476.000
03/10/2011	6.50	6.66	6.50	6.63	1602700	45898524.000
03/11/2011	6.54	6.66	6.48	6.48	1302842	37160388.000
03/14/2011	6.44	6.47	6.33	6.44	1094068	30509826.000
03/15/2011	6.41	6.51	6.33	6.43	1081293	30111142.000
03/16/2011	6.47	6.72	6.46	6.63	1393255	39952732.000
03/17/2011	6.54	6.58	6.38	6.41	910370	25606042.000
03/18/2011	6.44	6.55	6.41	6.41	556558	15660400.000
03/21/2011	6.41	6.52	6.17	6.26	1247317	34479160.000
03/22/2011	6.36	6.38	6.26	6.34	885064	24321926.000
03/23/2011	6.35	6.43	6.32	6.43	764203	21217232.000
03/24/2011	6.43	6.48	6.32	6.40	598066	16672330.000
03/25/2011	6.40	6.41	6.37	6.38	615176	17101870.000
03/28/2011	6.40	6.47	6.25	6.28	1020812	28319190.000
03/29/2011	6.21	6.28	5.91	5.93	1328269	35326464.000
03/30/2011	5.93	5.99	5.79	5.81	722828	18521596.000
03/31/2011	5.90	5.94	5.83	5.85	514323	13176096.000
04/01/2011	5.89	5.99	5.84	5.99	460143	11897126.000
04/06/2011	5.99	6.03	5.94	5.97	304151	7946325.000
04/07/2011	5.97	6.02	5.96	5.97	292072	7625027.000
04/08/2011	5.98	6.04	5.97	6.01	399946	10472111.000
04/11/2011	6.00	6.00	5.83	5.84	1070012	27548978.000
04/13/2011	5.90	5.98	5.84	5.97	385769	9991436.000
04/14/2011	6.08	6.08	5.96	5.96	404740	10578668.000
04/15/2011	5.97	6.00	5.93	5.98	371850	9677632.000
04/18/2011	6.01	6.06	5.96	6.06	292010	7658284.500
04/19/2011	6.06	6.16	6.03	6.08	623208	16630706.000
04/20/2011	6.08	6.16	6.08	6.13	411105	10962464.000
04/21/2011	6.17	6.17	6.04	6.13	577410	15369172.000
04/22/2011	6.14	6.20	5.95	6.04	831237	15521668.000
04/25/2011	6.03	6.15	6.00	6.13	703804	13221818.000
