300171 东富龙 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/01/2011	22.09	22.33	20.85	21.15	8280958	722811264.000
02/09/2011	21.18	21.18	20.15	20.70	2260721	190384624.000
02/10/2011	20.68	21.25	20.54	21.11	1618958	138721728.000
02/11/2011	21.23	21.80	21.03	21.62	2348818	205102192.000
02/14/2011	22.32	23.33	22.32	22.75	3399783	314012128.000
02/15/2011	22.64	22.88	22.35	22.58	1722952	158677584.000
02/16/2011	22.65	23.09	22.55	22.90	1284560	119181872.000
02/17/2011	22.95	23.40	22.51	22.61	1304960	121607024.000
02/18/2011	22.22	22.54	21.98	22.09	1371486	123888800.000
02/21/2011	22.09	22.93	22.06	22.88	1031926	95030216.000
02/22/2011	22.92	22.95	21.89	22.22	1093511	99635736.000
02/23/2011	22.22	22.78	22.12	22.45	623559	57167700.000
02/24/2011	22.35	23.12	22.35	22.71	1143235	105979760.000
02/25/2011	22.68	23.03	22.50	22.73	999752	92663808.000
02/28/2011	23.51	23.51	22.87	23.14	1436753	135652000.000
03/01/2011	23.12	24.16	22.94	23.99	1945666	187497856.000
03/02/2011	23.79	24.33	23.43	23.90	888646	85884920.000
03/03/2011	23.90	24.01	22.56	22.58	1289496	121530928.000
03/04/2011	22.57	23.07	22.44	22.81	561154	51872984.000
03/07/2011	22.82	22.97	22.40	22.59	842355	77404512.000
03/08/2011	22.55	22.81	22.48	22.61	500293	46082376.000
03/09/2011	22.62	22.66	22.12	22.65	622746	56811520.000
03/10/2011	22.68	23.25	22.55	23.17	920845	86275256.000
03/11/2011	23.07	23.50	22.81	23.09	628357	59188100.000
03/14/2011	22.95	23.43	22.95	23.29	389962	36840136.000
03/15/2011	23.18	23.24	22.24	22.60	731498	67328832.000
03/17/2011	22.69	22.78	22.22	22.35	446821	40902300.000
03/18/2011	22.42	22.53	22.31	22.40	277475	25305740.000
03/21/2011	22.29	22.47	22.22	22.40	241289	21934054.000
03/22/2011	22.40	22.44	22.04	22.17	287529	26041074.000
03/23/2011	22.13	22.35	22.09	22.26	1005565	91214392.000
03/24/2011	22.26	22.34	21.78	21.90	785836	70350776.000
03/25/2011	21.90	22.31	21.90	22.05	491363	44310524.000
03/28/2011	22.11	22.33	21.40	21.44	1039985	92343224.000
03/29/2011	21.57	21.59	20.92	21.03	714228	61694256.000
03/30/2011	20.90	21.10	20.53	20.60	774969	65607976.000
03/31/2011	20.60	20.79	20.50	20.67	394464	33316034.000
04/01/2011	20.76	21.29	20.63	21.06	408824	35079332.000
04/06/2011	20.88	21.02	20.67	20.69	375781	31971158.000
04/07/2011	20.67	20.91	20.62	20.91	309285	26283368.000
04/08/2011	20.82	21.18	20.77	21.03	311401	26698522.000
04/11/2011	21.05	21.29	20.85	20.95	363081	31215696.000
04/12/2011	20.90	21.10	20.67	20.81	257860	22031466.000
04/13/2011	20.92	21.16	20.72	21.08	233829	20067578.000
04/14/2011	21.06	21.18	20.99	21.05	195477	16811246.000
04/15/2011	20.94	21.26	20.94	21.17	268380	23135294.000
04/19/2011	21.05	21.05	20.56	20.86	409566	34834612.000
04/20/2011	20.81	21.05	20.67	20.95	305833	25988274.000
04/21/2011	20.95	21.09	20.81	20.99	334132	28634896.000
