300172 中电环保 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/01/2011	18.88	18.88	16.54	16.57	13173364	391196448.000
02/09/2011	17.34	17.79	16.83	17.46	8672455	258783712.000
02/10/2011	16.81	17.91	16.51	17.64	6555941	195318992.000
02/11/2011	17.58	18.46	17.35	17.36	5368094	164419824.000
02/14/2011	17.29	18.15	17.29	17.76	4493997	136576320.000
02/15/2011	17.63	17.87	17.41	17.43	3891111	117945704.000
02/16/2011	17.43	18.10	17.31	17.88	3673025	112514880.000
02/17/2011	17.98	18.46	17.76	18.17	3568818	111295208.000
02/18/2011	18.15	19.77	17.85	19.21	5385236	174126352.000
02/21/2011	19.21	19.97	19.07	19.41	3743295	124932088.000
02/22/2011	19.18	19.35	18.29	18.29	3801081	123320288.000
02/23/2011	18.18	18.75	17.98	18.47	2529318	80443344.000
02/24/2011	18.44	18.51	17.88	18.11	2302729	71864112.000
02/25/2011	18.11	18.14	17.70	18.01	1539116	47431368.000
02/28/2011	18.12	18.70	18.12	18.42	2377747	75542528.000
03/01/2011	18.56	18.56	17.91	17.99	2169715	67855520.000
03/02/2011	17.85	17.89	17.35	17.62	1915912	58024656.000
03/03/2011	17.56	17.73	17.27	17.31	1319926	39690200.000
03/04/2011	17.28	17.77	17.22	17.75	1153763	34846072.000
03/07/2011	17.69	17.73	17.49	17.71	1102514	33472512.000
03/08/2011	17.71	17.89	17.54	17.79	1118213	34135992.000
03/09/2011	17.69	17.80	17.47	17.57	1034077	31328500.000
03/10/2011	17.55	17.72	17.34	17.34	1036832	31300568.000
03/11/2011	17.20	17.55	17.18	17.28	1011487	30266056.000
03/15/2011	17.52	18.22	17.28	17.93	2968878	90963352.000
03/16/2011	17.77	18.10	17.64	17.77	1623208	49804400.000
03/17/2011	17.51	17.51	16.96	17.02	1459565	43474296.000
03/18/2011	17.09	17.20	16.99	17.09	621198	18284556.000
03/21/2011	16.89	17.06	16.67	16.82	981644	28410748.000
03/22/2011	16.82	16.86	16.61	16.85	637878	18431276.000
03/23/2011	16.86	17.00	16.63	16.90	748786	21741752.000
03/24/2011	16.95	17.16	16.92	16.94	690989	20269344.000
03/25/2011	16.97	17.02	16.75	16.85	715333	20795192.000
03/28/2011	16.83	16.95	16.51	16.53	1017038	29273682.000
