300173 松德股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/01/2011	13.17	14.12	13.03	13.81	9207444	216960336.000
02/09/2011	13.34	13.62	13.24	13.26	3834104	89114480.000
02/10/2011	13.28	14.35	13.27	14.10	4857156	116481056.000
02/11/2011	13.93	14.14	13.64	13.98	3259769	78721576.000
02/14/2011	13.95	14.41	13.89	14.17	2853489	69817864.000
02/15/2011	14.11	14.16	13.93	13.94	2211376	53903288.000
02/16/2011	13.90	14.57	13.84	14.41	2935696	72664584.000
02/17/2011	14.43	14.60	14.21	14.40	2344743	58542264.000
02/18/2011	14.43	14.82	14.25	14.56	2390817	60051916.000
02/21/2011	14.51	14.66	14.36	14.64	1567292	39517104.000
02/22/2011	14.57	14.63	13.71	13.76	2414941	59001396.000
02/23/2011	13.76	14.04	13.71	13.92	883297	21272634.000
02/24/2011	14.04	14.42	14.04	14.21	1664495	41144452.000
02/25/2011	14.14	14.36	13.92	14.24	1036778	25485006.000
02/28/2011	14.24	14.53	14.17	14.46	813854	20307216.000
03/01/2011	14.52	14.58	14.17	14.32	1004514	25015516.000
03/02/2011	14.19	14.34	14.01	14.21	692441	17014954.000
03/03/2011	14.21	14.29	13.95	13.98	799933	19591166.000
03/04/2011	13.98	14.29	13.94	14.24	743870	18152790.000
03/07/2011	14.30	14.41	14.23	14.36	772627	19217392.000
03/08/2011	14.34	14.53	14.27	14.50	719312	18003736.000
03/09/2011	14.58	14.65	14.34	14.53	764067	19195334.000
03/10/2011	14.53	14.97	14.44	14.68	1456607	37291416.000
03/11/2011	14.65	14.89	14.53	14.68	888396	22675986.000
03/14/2011	14.68	15.07	14.62	15.01	1035870	26785812.000
03/15/2011	14.95	14.97	14.39	14.66	959150	24339908.000
03/16/2011	14.60	14.92	14.57	14.89	757006	19320656.000
03/17/2011	14.82	15.13	14.65	14.89	1109662	28618108.000
03/18/2011	14.95	15.04	14.70	14.87	751068	19361658.000
03/21/2011	14.79	14.91	14.60	14.60	592028	15093969.000
03/22/2011	14.66	14.71	14.28	14.50	826487	20674666.000
03/23/2011	14.51	14.72	14.45	14.68	442356	11183432.000
03/24/2011	14.78	14.81	14.59	14.78	583823	14871548.000
03/25/2011	14.78	15.15	14.72	14.92	890695	23078942.000
03/28/2011	14.95	15.18	14.90	15.04	757486	19734186.000
03/29/2011	15.01	15.01	14.39	14.81	1227927	31189006.000
03/30/2011	14.71	14.71	14.32	14.33	592836	14913918.000
03/31/2011	14.32	14.53	14.26	14.27	669007	16683061.000
04/01/2011	14.24	14.53	14.05	14.47	458905	11392206.000
04/06/2011	14.51	14.68	14.05	14.30	1166128	28937566.000
04/07/2011	14.19	14.41	14.07	14.35	418336	10327445.000
04/08/2011	14.29	14.42	14.20	14.36	372539	9266778.000
04/11/2011	14.37	14.47	14.08	14.09	253280	6258692.500
04/12/2011	14.07	14.33	13.90	14.12	442680	10774693.000
04/13/2011	14.01	14.30	13.91	14.27	225417	5518354.500
04/14/2011	14.22	14.28	13.95	13.99	278548	6800028.500
04/15/2011	13.91	14.11	13.79	14.08	454792	10987053.000
04/18/2011	13.77	13.77	13.13	13.71	1442613	33613192.000
04/19/2011	13.40	13.40	13.06	13.29	510785	11720266.000
04/20/2011	13.25	13.32	13.12	13.30	317030	7283510.500
04/21/2011	13.30	13.31	13.21	13.24	213383	4917181.500
04/22/2011	13.30	13.30	13.15	13.28	232598	5342753.500
04/25/2011	13.24	13.28	12.73	12.76	385746	8681832.000
04/26/2011	12.65	12.81	12.24	12.33	283652	6159883.000
04/27/2011	12.47	12.64	12.27	12.29	301448	6528025.500
04/29/2011	11.99	11.99	11.73	11.91	309359	6403099.000
05/03/2011	11.91	12.04	11.82	11.89	631230	13058354.000
05/04/2011	11.86	11.86	11.34	11.39	745620	15014498.000
05/05/2011	11.40	11.62	11.32	11.62	624859	12516332.000
05/06/2011	11.53	11.59	11.42	11.43	372513	7471807.000
05/09/2011	11.54	11.58	11.43	11.52	453830	9108882.000
05/10/2011	11.51	11.52	11.40	11.47	373136	7461408.500
05/11/2011	11.52	11.53	11.42	11.45	513848	10286744.000
05/12/2011	11.52	11.52	11.02	11.05	600995	8995517.000
05/13/2011	10.94	11.05	10.82	11.05	863735	12596375.000
05/16/2011	11.05	11.08	10.81	10.98	701718	10241835.000
05/17/2011	10.98	11.08	10.80	10.96	574889	8381436.500
05/18/2011	10.93	11.25	10.91	11.04	488164	7145942.500
05/19/2011	11.04	11.10	10.86	10.92	445895	6523192.000
05/20/2011	10.87	10.93	10.69	10.72	484811	6955859.000
05/23/2011	10.69	10.72	10.05	10.12	728632	10062859.000
05/24/2011	10.12	10.58	9.90	10.49	1604614	21914670.000
05/25/2011	10.36	10.45	9.95	10.00	685703	9360350.000
05/26/2011	10.08	10.10	9.93	9.96	490548	6553101.000
05/27/2011	10.02	10.08	9.82	9.90	573300	7611679.500
05/30/2011	9.90	10.12	9.75	9.94	1020996	13600934.000
05/31/2011	10.02	10.12	9.68	10.08	1253559	16491029.000
06/01/2011	10.02	10.28	9.98	10.23	1239421	16760394.000
06/02/2011	10.10	10.22	9.92	10.20	778784	10471771.000
06/03/2011	10.14	10.40	10.13	10.31	814251	11142814.000
06/07/2011	10.42	10.67	10.25	10.49	1285607	17853284.000
06/08/2011	10.50	10.50	10.19	10.32	561383	7704133.500
06/09/2011	10.24	10.33	10.09	10.17	401716	5475597.500
06/10/2011	10.18	10.22	9.83	10.02	412076	5475986.000
06/13/2011	9.93	10.13	9.86	10.10	261180	3487854.500
06/14/2011	10.04	10.25	10.04	10.12	378637	5116827.500
06/15/2011	10.14	10.16	9.92	9.95	447718	5987590.500
06/17/2011	9.80	9.89	9.48	9.59	757375	9790711.000
06/20/2011	9.48	9.58	9.21	9.37	525529	6548605.000
06/21/2011	9.35	9.51	9.27	9.47	733800	9171343.000
06/22/2011	9.47	9.47	9.21	9.27	891526	11072094.000
06/23/2011	9.22	9.55	9.13	9.51	778152	9789598.000
06/24/2011	9.45	9.82	9.45	9.71	694400	8955926.000
06/27/2011	9.71	9.97	9.68	9.95	820947	10798664.000
06/28/2011	9.95	9.98	9.82	9.88	523702	6909015.500
06/29/2011	9.85	9.97	9.64	9.64	759910	9974849.000
06/30/2011	9.73	9.77	9.59	9.66	864008	11143844.000
07/01/2011	9.75	9.92	9.66	9.87	626522	8216715.500
07/04/2011	9.90	10.12	9.87	10.12	624009	8340401.500
07/05/2011	10.12	10.21	10.05	10.13	655955	8862802.000
07/06/2011	10.14	10.33	10.08	10.32	658231	8950171.000
07/07/2011	10.27	10.59	10.27	10.43	1377414	19215700.000
07/08/2011	10.43	10.58	10.19	10.38	897123	12412476.000
07/11/2011	10.38	10.63	10.32	10.56	566751	7898371.000
07/12/2011	10.50	10.55	10.17	10.32	898418	12334582.000
07/13/2011	10.22	10.55	10.22	10.52	734360	10178636.000
07/14/2011	10.46	10.82	10.42	10.77	1141093	16065038.000
07/15/2011	10.72	11.00	10.72	10.96	1296744	18804294.000
07/18/2011	11.03	11.11	10.80	10.81	1220988	17769150.000
07/19/2011	10.74	10.74	10.52	10.59	827841	11670965.000
07/20/2011	10.61	10.76	10.52	10.68	854947	12131913.000
07/21/2011	10.63	10.64	10.28	10.33	848635	11812924.000
07/22/2011	10.49	10.63	10.35	10.47	778972	10903562.000
07/25/2011	10.43	10.52	10.02	10.06	558515	7651959.500
07/26/2011	10.16	10.21	9.91	10.06	843217	11264121.000
07/27/2011	9.95	10.82	9.94	10.78	2479984	34804088.000
07/28/2011	10.69	11.02	10.59	10.99	2308981	33266002.000
07/29/2011	10.99	11.13	10.52	10.59	1759374	25246584.000
08/01/2011	10.50	10.85	10.36	10.82	1182945	16785818.000
08/02/2011	10.76	11.26	10.48	11.14	2015526	28928054.000
08/03/2011	10.94	11.73	10.85	11.18	2845926	42708036.000
08/04/2011	11.19	11.32	10.97	10.97	1373723	20261236.000
08/05/2011	10.55	11.26	10.46	11.04	2070743	30194822.000
08/08/2011	10.90	11.09	10.30	10.52	1549787	21921194.000
08/09/2011	10.05	10.41	9.61	10.22	1173930	15736065.000
08/10/2011	10.44	10.82	10.30	10.58	1573161	22020434.000
08/11/2011	10.32	10.95	10.25	10.92	1574142	22466608.000
08/12/2011	10.98	11.90	10.91	11.30	3778217	57329060.000
08/15/2011	11.28	11.67	11.17	11.65	2320974	35495620.000
08/16/2011	11.65	11.74	11.41	11.44	1581899	24246198.000
08/17/2011	11.44	11.60	11.25	11.54	1245919	18958644.000
08/18/2011	11.53	11.56	11.17	11.22	908662	13687739.000
08/19/2011	10.98	11.17	10.84	11.15	733314	10732115.000
08/22/2011	11.13	11.36	11.05	11.15	932988	13940133.000
08/23/2011	11.32	11.63	11.22	11.63	1605519	24517556.000
08/24/2011	11.84	11.85	11.45	11.46	1810377	28073554.000
08/25/2011	11.48	11.55	11.28	11.55	1068441	16240273.000
08/26/2011	11.55	12.04	11.52	11.95	1665824	26066002.000
08/29/2011	12.05	12.18	11.85	12.02	1593367	25430072.000
08/30/2011	11.96	12.13	11.57	11.58	1009218	15861838.000
09/01/2011	11.54	11.73	11.26	11.31	1122490	17145622.000
09/02/2011	11.40	11.40	11.14	11.29	542666	8116223.500
09/05/2011	11.17	11.17	10.92	10.93	470084	6887997.500
09/06/2011	10.97	11.05	10.75	10.81	672137	9741265.000
09/07/2011	10.83	11.18	10.83	11.17	490370	7199013.000
09/08/2011	11.17	11.30	10.92	10.92	395100	5840007.000
09/09/2011	10.93	11.03	10.67	10.75	391324	5640942.500
09/13/2011	10.67	10.67	10.36	10.44	404380	5623729.000
09/14/2011	10.48	10.59	10.35	10.59	336114	4689007.000
09/15/2011	10.55	10.77	10.48	10.56	481429	6827944.000
09/16/2011	10.62	10.77	10.55	10.55	423370	6009369.000
09/19/2011	10.52	10.54	10.22	10.22	288158	3950632.500
09/20/2011	10.19	10.37	10.14	10.29	485682	6630633.500
09/21/2011	10.36	10.68	10.26	10.63	438857	6147578.500
09/22/2011	10.52	10.65	10.36	10.36	461503	6447768.000
09/23/2011	10.20	10.36	10.05	10.36	470741	6371515.000
09/26/2011	10.28	10.36	10.13	10.13	347412	4726217.000
09/27/2011	10.21	10.28	10.09	10.27	178176	2421730.500
09/28/2011	10.35	10.35	10.05	10.08	211552	2880860.000
09/29/2011	9.98	10.01	9.67	9.72	522390	6865783.000
09/30/2011	9.72	9.90	9.62	9.75	244830	3173348.750
10/10/2011	9.76	9.76	9.60	9.72	98974	1278417.500
10/11/2011	9.92	9.97	9.68	9.78	171830	2259495.250
10/12/2011	9.61	10.10	9.61	10.10	488003	6487241.000
10/13/2011	10.04	10.54	10.04	10.36	538646	7408251.500
10/14/2011	10.38	10.38	10.20	10.34	315611	4323076.500
10/17/2011	10.34	10.52	10.28	10.48	246070	3402417.000
