300174 元力股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/01/2011	11.73	13.59	11.66	12.32	9699787	247346608.000
02/09/2011	12.00	12.75	11.68	12.65	5265790	133926424.000
02/10/2011	13.21	13.95	13.00	13.95	3398221	93955616.000
02/11/2011	14.59	15.25	14.21	14.40	5980755	177942528.000
02/14/2011	14.25	14.44	14.00	14.28	3107877	90380272.000
02/15/2011	14.13	14.62	13.88	14.24	3521693	102478264.000
02/16/2011	14.16	14.75	14.06	14.54	2962237	87393984.000
02/17/2011	14.40	14.54	13.65	14.10	3477757	100308992.000
02/18/2011	13.73	14.05	13.55	13.66	1805897	50985428.000
02/21/2011	13.59	14.45	13.59	14.45	2480253	72178512.000
02/22/2011	14.42	14.59	13.72	13.77	2065885	60011816.000
02/23/2011	13.77	15.04	13.77	14.65	2117107	62944656.000
02/24/2011	14.65	14.90	14.25	14.72	1518793	45209556.000
02/25/2011	14.55	14.94	14.31	14.78	1392446	41776664.000
02/28/2011	14.78	15.84	14.76	15.23	2106959	66616276.000
03/01/2011	15.02	15.50	14.90	15.07	1178839	36508316.000
03/02/2011	14.93	15.06	14.60	14.85	917891	27768642.000
03/03/2011	14.85	15.71	14.66	15.18	1351159	42319280.000
03/04/2011	14.99	16.40	14.95	16.11	1532533	49287460.000
03/07/2011	16.23	16.77	15.93	16.32	1332850	44443468.000
03/08/2011	16.10	16.16	15.75	16.15	1134685	37006132.000
03/09/2011	16.10	16.38	15.85	16.38	687091	22666088.000
03/10/2011	16.23	17.04	16.23	16.45	927561	31804686.000
03/11/2011	16.40	16.68	15.85	16.54	1112947	36914020.000
03/14/2011	16.45	16.54	15.98	16.12	636870	21189120.000
03/15/2011	16.05	16.28	15.41	15.90	920614	29591664.000
03/16/2011	15.60	16.04	15.60	15.81	511676	16549759.000
03/17/2011	15.66	16.30	15.55	15.85	485360	15747660.000
03/18/2011	15.90	16.14	15.69	15.85	197562	6382097.500
03/21/2011	15.70	16.23	15.70	16.23	472051	15468366.000
03/22/2011	16.26	16.40	15.76	16.10	423539	13850679.000
03/23/2011	16.10	16.10	15.15	15.66	785441	25132932.000
03/24/2011	15.65	15.80	15.44	15.74	422544	13491074.000
03/25/2011	15.55	16.03	15.55	15.74	377826	12188254.000
03/28/2011	16.00	16.00	15.15	15.18	578219	18163482.000
03/29/2011	15.10	15.10	14.50	14.55	875312	26238764.000
03/30/2011	14.55	14.77	14.25	14.44	251628	7433350.000
03/31/2011	14.59	14.84	14.25	14.50	121110	3569238.000
04/01/2011	13.93	14.59	13.93	14.49	89059	2628381.750
04/06/2011	14.47	14.47	14.25	14.28	204850	5998999.000
04/07/2011	14.17	14.74	14.17	14.55	175073	5142342.500
04/08/2011	14.50	14.65	14.40	14.59	94795	2821745.500
04/11/2011	14.58	14.90	14.58	14.77	166941	5034568.000
04/12/2011	15.11	15.11	14.31	14.60	254213	7593932.500
04/13/2011	14.18	14.89	13.93	14.34	205282	6010871.500
04/14/2011	14.35	14.35	14.10	14.23	97400	2844272.000
04/15/2011	14.15	14.43	13.99	14.15	140219	4060169.000
04/18/2011	14.05	14.09	13.38	13.64	387084	10843922.000
04/19/2011	13.75	13.80	13.11	13.64	319438	8721192.000
04/20/2011	13.63	13.70	13.34	13.70	195391	5401920.500
04/21/2011	13.62	14.04	13.43	13.69	289751	8181861.500
04/22/2011	13.59	13.90	13.30	13.69	141194	3944400.250
04/25/2011	13.69	13.85	13.35	13.45	129220	3574856.750
04/26/2011	13.36	13.53	13.28	13.40	95304	2608665.250
04/27/2011	13.40	13.44	12.80	13.13	164970	4430943.500
04/28/2011	13.40	13.40	12.50	12.70	140200	3665393.000
04/29/2011	12.65	12.85	12.65	12.76	84698	2217025.750
05/03/2011	12.90	12.93	12.56	12.73	233955	6090653.500
05/04/2011	12.60	12.72	12.20	12.55	314500	8001659.000
05/05/2011	12.47	12.56	12.30	12.50	139598	3586131.250
05/06/2011	12.22	12.54	12.20	12.50	105590	2705495.000
05/10/2011	12.55	12.87	12.45	12.65	283291	7400030.000
05/11/2011	12.70	12.88	12.61	12.86	280313	7350907.000
05/12/2011	12.78	13.15	12.75	13.09	462780	12260490.000
05/13/2011	13.04	13.10	12.80	13.07	135397	3584946.750
05/16/2011	13.05	13.05	12.71	12.94	380526	10080863.000
05/17/2011	12.94	13.10	12.75	12.94	219600	5765310.000
05/18/2011	12.94	13.10	12.82	12.82	96802	2553699.500
05/19/2011	12.82	12.88	12.29	12.45	115943	2973882.750
05/20/2011	12.35	12.38	12.15	12.26	180098	4526161.500
05/23/2011	12.37	12.74	12.04	12.29	144359	3619944.000
05/24/2011	12.25	12.60	12.06	12.47	111874	2825197.500
05/25/2011	12.31	12.42	12.10	12.10	68395	1701105.375
05/26/2011	12.25	12.34	12.07	12.19	111077	2771010.250
05/27/2011	12.10	12.10	11.40	11.63	148170	3520039.500
05/30/2011	11.40	11.85	11.34	11.63	97794	2317880.250
05/31/2011	11.57	11.75	11.57	11.74	31182	741673.750
06/01/2011	11.69	11.93	11.69	11.89	65300	1577630.625
06/02/2011	11.79	11.80	11.36	11.74	67418	1598981.625
06/03/2011	11.75	12.08	11.75	12.00	81360	1977716.250
06/07/2011	11.55	12.15	11.45	11.95	50000	1220833.000
06/08/2011	11.97	12.07	11.65	11.93	122911	2980043.250
06/09/2011	11.94	11.94	11.68	11.68	77565	1864170.250
06/10/2011	11.73	11.73	11.47	11.67	54920	1302855.375
06/13/2011	11.45	11.60	11.42	11.56	37100	873473.000
06/14/2011	11.48	11.67	11.48	11.58	51229	1215508.375
06/15/2011	11.48	11.63	11.45	11.55	60580	1427016.000
06/16/2011	11.46	11.49	11.40	11.42	23688	553348.375
06/17/2011	11.45	11.50	11.05	11.36	98600	2281953.500
06/20/2011	11.17	11.25	10.86	11.20	80449	1827389.500
06/21/2011	11.35	11.35	11.03	11.19	40424	921241.563
06/22/2011	11.02	11.18	11.00	11.18	62045	1410881.500
06/23/2011	11.06	11.88	10.91	11.81	410110	9664150.000
06/24/2011	11.71	12.74	11.53	12.19	270500	6654006.500
06/27/2011	12.00	12.26	12.00	12.14	116174	2869070.250
06/28/2011	11.96	12.15	11.88	12.15	116989	2870690.500
06/29/2011	12.14	12.14	11.80	11.94	76552	1866820.625
