300175 朗源股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/15/2011	5.16	5.23	4.75	4.85	16817600	365815648.000
02/16/2011	4.91	5.33	4.90	5.33	9482171	216634176.000
02/17/2011	5.48	5.58	5.18	5.20	13496794	321294816.000
02/18/2011	5.04	5.17	4.98	5.05	7458148	166902704.000
02/21/2011	5.05	5.18	5.03	5.10	4705395	105869800.000
02/22/2011	5.06	5.08	4.69	4.70	6011759	128935984.000
02/23/2011	4.66	4.77	4.64	4.69	2434313	50470984.000
02/24/2011	4.71	4.78	4.67	4.72	1980545	41274828.000
02/25/2011	4.68	4.70	4.57	4.67	2196154	44897352.000
02/28/2011	4.67	4.78	4.65	4.76	2189316	45739984.000
03/01/2011	4.77	4.81	4.69	4.75	2053140	42971860.000
03/02/2011	4.71	4.74	4.62	4.69	1856173	38274144.000
03/03/2011	4.69	4.71	4.59	4.59	1358829	27938354.000
03/04/2011	4.60	4.66	4.57	4.66	967544	19741292.000
03/07/2011	4.63	4.69	4.63	4.68	1136460	23444518.000
03/08/2011	4.68	4.68	4.63	4.67	1155482	23756468.000
03/09/2011	4.68	4.72	4.64	4.71	1167185	24111302.000
03/10/2011	4.68	4.78	4.68	4.71	1654845	34558184.000
03/11/2011	4.70	4.88	4.68	4.81	3852397	81919512.000
03/14/2011	4.78	5.06	4.78	5.05	4615032	101185808.000
03/15/2011	5.07	5.08	4.87	5.03	3455741	76368944.000
03/16/2011	4.99	5.07	4.94	4.98	2335840	51492904.000
03/17/2011	4.91	5.03	4.87	4.98	1528328	33298156.000
03/18/2011	5.04	5.08	4.78	4.82	2392282	51459848.000
03/21/2011	4.80	4.83	4.73	4.77	983024	20702050.000
03/22/2011	4.76	4.76	4.66	4.69	1444148	29848474.000
03/23/2011	4.68	4.72	4.67	4.72	915630	19006542.000
03/24/2011	4.82	5.10	4.80	4.90	4986974	108780592.000
03/25/2011	4.78	4.82	4.73	4.77	2966607	62596268.000
03/28/2011	4.81	4.90	4.76	4.88	2791381	59639456.000
03/29/2011	4.86	4.90	4.66	4.71	2260013	47389496.000
03/30/2011	4.70	4.73	4.64	4.70	1003297	20784660.000
03/31/2011	4.70	4.75	4.65	4.65	860884	17834528.000
04/01/2011	4.69	4.70	4.60	4.68	769774	15831618.000
04/06/2011	4.67	4.68	4.56	4.60	978623	19923954.000
04/07/2011	4.66	4.78	4.65	4.70	1791349	37397612.000
04/08/2011	4.68	4.76	4.68	4.72	1125743	23500166.000
04/11/2011	4.73	4.78	4.70	4.73	1305836	27365966.000
04/12/2011	4.74	4.76	4.59	4.68	1393274	28682818.000
04/13/2011	4.66	4.72	4.62	4.71	714256	14807043.000
04/14/2011	4.75	4.76	4.70	4.72	905158	18935562.000
04/15/2011	4.69	4.71	4.59	4.63	785670	16084673.000
04/18/2011	4.59	4.63	4.57	4.60	815529	16529996.000
04/19/2011	4.60	4.60	4.46	4.46	1190951	23689002.000
04/20/2011	4.45	4.51	4.45	4.48	505772	10021444.000
04/21/2011	4.50	4.52	4.46	4.50	730293	14489611.000
04/22/2011	4.52	4.54	4.32	4.34	1286325	25005216.000
04/25/2011	4.31	4.32	4.14	4.14	924506	17196930.000
04/26/2011	4.14	4.17	4.07	4.11	441428	8015288.000
04/27/2011	4.14	4.14	3.98	4.01	658548	11798289.000
04/28/2011	4.03	4.04	3.91	3.92	489250	8610171.000
04/29/2011	3.92	3.97	3.91	3.96	323770	5649505.500
05/03/2011	3.94	4.00	3.94	3.98	286546	5037867.500
05/04/2011	3.96	3.96	3.86	3.86	320293	5539744.500
05/05/2011	3.85	3.93	3.83	3.93	386426	6648450.000
05/06/2011	3.87	3.95	3.86	3.91	186780	3227835.000
05/09/2011	3.90	3.98	3.90	3.93	273734	4774674.500
05/10/2011	3.93	3.93	3.91	3.93	232102	4027022.250
05/11/2011	3.95	3.95	3.91	3.93	297659	5173338.000
05/12/2011	3.91	3.92	3.80	3.80	548520	9359952.000
05/13/2011	3.79	3.84	3.77	3.84	452862	7627533.500
05/16/2011	3.84	3.88	3.80	3.85	798719	13604662.000
05/17/2011	3.85	3.85	3.72	3.79	751537	12515923.000
05/18/2011	3.75	3.80	3.75	3.79	411434	6882761.000
05/20/2011	3.75	3.77	3.66	3.71	690691	11303556.000
05/23/2011	3.71	3.71	3.55	3.55	781322	12434938.000
05/24/2011	3.53	3.63	3.49	3.60	1682280	26582458.000
05/25/2011	3.58	3.59	3.44	3.45	717298	11144032.000
05/26/2011	3.48	3.55	3.48	3.50	812435	12634402.000
05/27/2011	3.52	3.52	3.46	3.48	479693	7419403.000
05/30/2011	3.43	3.56	3.43	3.50	574361	8932702.000
05/31/2011	3.54	3.61	3.53	3.61	855851	13576041.000
06/01/2011	3.61	3.63	3.56	3.61	747163	11909570.000
06/02/2011	3.59	3.89	3.57	3.81	3437950	57723432.000
06/03/2011	3.76	3.82	3.73	3.82	1058846	17676402.000
06/07/2011	3.78	3.82	3.74	3.79	722843	12074646.000
06/08/2011	3.80	3.88	3.76	3.84	941012	15924190.000
06/09/2011	3.82	3.86	3.70	3.70	730129	12141017.000
06/10/2011	3.66	3.74	3.66	3.70	298200	4870375.000
06/13/2011	3.66	3.76	3.62	3.71	355082	5774448.000
06/14/2011	3.69	3.83	3.69	3.80	360731	6039580.000
06/15/2011	3.79	3.84	3.76	3.76	172599	2885838.500
06/16/2011	3.71	3.78	3.70	3.73	148307	2446379.000
06/17/2011	3.69	3.75	3.69	3.73	252900	4170538.000
06/20/2011	3.66	3.72	3.64	3.66	188723	3057541.000
06/21/2011	3.70	3.80	3.69	3.77	296591	4914805.500
06/22/2011	3.79	3.80	3.71	3.71	163651	2709476.750
06/23/2011	3.71	3.94	3.67	3.88	1351779	23112390.000
06/24/2011	3.89	4.03	3.84	3.98	1516669	26428842.000
06/27/2011	3.94	4.01	3.87	3.93	840650	14610896.000
06/28/2011	3.95	3.95	3.83	3.90	1044289	17860206.000
06/29/2011	3.88	3.90	3.85	3.87	388796	6656285.000
06/30/2011	3.87	3.93	3.86	3.91	713777	12294278.000
07/01/2011	3.96	4.00	3.91	4.00	1036726	18227686.000
07/04/2011	4.04	4.21	3.97	4.18	1726852	31530256.000
07/05/2011	4.14	4.25	4.14	4.22	899988	16652130.000
07/06/2011	4.24	4.32	4.07	4.24	1076840	20227676.000
07/07/2011	4.21	4.35	4.21	4.28	940210	17885858.000
07/08/2011	4.37	4.40	4.26	4.30	1527511	29245100.000
07/11/2011	4.24	4.37	4.19	4.31	787190	15092593.000
07/12/2011	4.28	4.42	4.23	4.34	980974	18776860.000
07/13/2011	4.30	4.50	4.30	4.50	1315947	25716480.000
07/14/2011	4.50	4.72	4.44	4.68	1872733	38469208.000
07/15/2011	4.71	5.01	4.71	4.93	3765274	80946256.000
07/18/2011	4.91	5.04	4.78	4.93	2830962	62026596.000
07/19/2011	4.95	4.99	4.84	4.94	1648065	35974536.000
07/20/2011	4.96	5.29	4.89	5.24	4149382	94680600.000
07/22/2011	5.77	5.77	5.77	5.77	10849208	276437760.000
07/25/2011	5.89	6.20	5.80	5.91	15079609	397203104.000
07/26/2011	5.90	6.08	5.78	5.86	8789256	230023472.000
07/27/2011	5.79	6.25	5.79	6.09	8882012	236631024.000
07/28/2011	5.99	6.08	5.92	5.98	5454921	144194144.000
07/29/2011	5.92	5.97	5.71	5.75	5213653	134424400.000
08/01/2011	5.72	5.89	5.72	5.88	3711825	95415552.000
08/02/2011	5.81	6.16	5.76	6.00	5802137	153279856.000
08/03/2011	5.96	6.61	5.96	6.21	10110065	285907552.000
08/04/2011	6.21	6.31	6.05	6.26	5221141	142493520.000
08/05/2011	6.05	6.53	6.00	6.29	5174698	143422896.000
08/08/2011	6.21	6.48	5.82	6.16	6539366	179293232.000
08/09/2011	5.98	6.20	5.75	5.91	4438395	117825176.000
08/10/2011	6.03	6.51	5.96	6.51	8294501	232770240.000
08/11/2011	6.48	6.70	6.42	6.62	7066353	204185760.000
08/12/2011	6.59	6.66	6.54	6.58	3703968	107746368.000
08/15/2011	6.61	6.95	6.54	6.61	5514285	163706496.000
08/16/2011	6.62	6.67	6.48	6.58	3293864	95594408.000
08/17/2011	6.61	6.73	6.56	6.69	3421154	100269376.000
08/18/2011	6.66	6.69	6.34	6.34	4084855	116992152.000
08/19/2011	6.19	6.30	6.01	6.16	3226422	87583264.000
08/23/2011	6.09	6.78	6.08	6.78	8022674	230510000.000
08/24/2011	6.77	7.18	6.76	6.92	6717823	205107296.000
08/25/2011	7.01	7.08	6.65	6.76	6274453	189749856.000
08/26/2011	6.72	7.16	6.71	7.13	7816097	239641216.000
08/29/2011	7.07	7.33	7.00	7.00	7357994	232079904.000
08/30/2011	7.00	7.03	6.56	6.59	6937276	207892320.000
08/31/2011	6.47	6.96	6.15	6.24	16538185	217395488.000
09/01/2011	6.25	6.86	6.25	6.86	27892033	376429888.000
09/02/2011	6.83	6.97	6.17	6.20	29663542	388950656.000
09/05/2011	5.92	6.08	5.79	5.81	13945372	165918848.000
09/06/2011	5.77	6.11	5.77	5.93	12254788	145752800.000
09/07/2011	5.96	6.08	5.74	6.03	12663722	150482256.000
09/08/2011	6.03	6.04	5.70	5.71	11604852	136195984.000
