300176 鸿特精密 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/15/2011	17.88	17.98	16.48	16.82	13973973	290738048.000
02/16/2011	16.58	18.48	16.48	17.99	9945338	214081008.000
02/17/2011	17.74	17.98	17.19	17.45	5859822	125753896.000
02/18/2011	17.40	17.65	17.00	17.53	3957278	83659312.000
02/21/2011	17.33	17.73	17.24	17.47	3285561	70362368.000
02/22/2011	17.33	17.42	16.27	16.31	4290592	88096592.000
02/23/2011	16.23	16.43	16.16	16.33	2005423	40117084.000
02/24/2011	16.37	16.59	16.28	16.49	1455114	29363432.000
02/25/2011	16.48	16.59	16.20	16.43	1053518	21127114.000
02/28/2011	16.42	16.72	16.34	16.69	1315581	26693172.000
03/01/2011	16.63	16.73	16.48	16.53	1209202	24588380.000
03/02/2011	16.44	16.50	16.23	16.46	1062663	21363100.000
03/03/2011	16.43	16.53	16.16	16.20	900814	18030152.000
03/04/2011	16.22	16.55	16.22	16.55	747644	15003022.000
03/07/2011	16.55	16.57	16.41	16.45	977030	19732458.000
03/08/2011	16.44	16.53	16.36	16.52	981455	19781334.000
03/09/2011	16.55	16.59	16.45	16.55	941970	19065780.000
03/10/2011	16.73	16.73	16.53	16.54	1363639	27781288.000
03/11/2011	16.40	16.75	16.40	16.62	1402785	28599380.000
03/14/2011	16.71	17.01	16.60	16.96	1626716	33439234.000
03/15/2011	16.88	16.88	16.42	16.59	1494862	30396268.000
03/16/2011	16.64	16.65	16.53	16.61	886640	18027306.000
03/17/2011	16.50	16.50	16.31	16.33	1226870	24659716.000
03/18/2011	16.42	16.48	16.37	16.42	463320	9326729.000
03/21/2011	16.50	16.54	16.38	16.48	541755	10921193.000
03/22/2011	16.50	16.73	16.36	16.73	1184476	24055900.000
03/23/2011	16.73	16.74	16.62	16.69	831689	16993894.000
03/24/2011	16.61	16.64	16.44	16.52	1372928	27810174.000
03/25/2011	16.53	16.56	16.45	16.54	804099	16260992.000
03/28/2011	16.54	16.54	16.36	16.38	974994	19610596.000
03/29/2011	16.38	16.40	15.68	15.69	1568900	30791064.000
03/30/2011	15.69	15.83	15.44	15.53	626620	11993859.000
03/31/2011	15.65	15.69	15.50	15.54	413912	7910864.000
04/01/2011	15.51	15.58	15.41	15.53	781208	14849082.000
04/06/2011	15.32	15.46	15.21	15.26	808558	15189367.000
04/07/2011	15.24	15.39	15.24	15.33	420491	7915212.500
04/08/2011	15.38	15.62	15.34	15.55	568820	10821310.000
04/11/2011	15.57	15.58	15.31	15.33	543599	10282351.000
04/12/2011	15.32	15.38	15.15	15.19	432166	8103147.000
04/13/2011	15.16	15.47	15.16	15.47	433625	8189690.000
04/14/2011	15.40	15.53	15.33	15.33	285933	5404667.000
04/15/2011	15.32	15.38	15.18	15.24	328521	6155566.500
04/18/2011	15.16	15.33	15.16	15.19	407963	7608935.500
04/20/2011	15.13	15.13	14.88	14.98	626159	11507284.000
04/21/2011	15.05	15.08	14.94	15.03	389454	7181239.500
04/22/2011	15.00	15.13	14.82	15.09	752928	13794600.000
04/25/2011	15.05	15.18	14.90	14.92	629898	11597197.000
04/26/2011	15.01	15.01	14.55	14.70	336050	6078836.500
04/27/2011	14.65	14.79	14.12	14.21	435050	7710943.000
04/28/2011	14.24	14.30	13.78	13.84	480497	8253592.000
04/29/2011	13.83	14.03	13.83	13.98	235744	4044227.250
05/03/2011	14.03	14.09	13.91	14.09	246369	4249976.500
05/04/2011	13.99	14.02	13.69	13.73	284483	4844691.000
05/05/2011	13.72	13.93	13.67	13.88	220683	3761910.000
05/06/2011	13.83	14.05	13.59	13.98	293376	5019991.000
05/09/2011	13.98	14.10	13.95	14.04	290744	5019850.500
05/10/2011	14.05	14.10	13.98	14.07	132590	2286502.000
05/11/2011	14.08	14.10	13.98	14.06	181240	3129035.000
05/12/2011	14.01	14.01	13.69	13.73	244100	4163756.250
05/13/2011	13.81	13.88	13.68	13.83	224730	3814426.750
05/16/2011	13.82	13.93	13.70	13.93	1390701	23682286.000
05/17/2011	13.90	13.90	13.64	13.83	607100	10295872.000
05/18/2011	13.78	13.82	13.68	13.76	325207	5497897.500
05/19/2011	13.73	13.78	13.63	13.73	335430	5661480.000
05/20/2011	13.70	13.70	13.23	13.40	685514	11302981.000
05/23/2011	13.33	13.33	12.82	12.83	570975	9141910.000
05/24/2011	12.83	13.14	12.52	13.06	659435	10453021.000
05/25/2011	12.98	12.98	12.53	12.55	344599	5411947.500
05/26/2011	12.61	12.72	12.44	12.44	248230	3854111.250
05/27/2011	12.46	12.55	12.28	12.33	411308	6298632.500
05/30/2011	12.33	12.53	12.21	12.32	393178	6016409.500
05/31/2011	12.28	12.51	12.19	12.48	414372	6320605.500
06/01/2011	12.48	12.58	12.43	12.58	480071	7414028.500
06/02/2011	12.48	12.48	12.22	12.43	441494	6731297.000
06/03/2011	12.86	13.39	12.84	13.00	2785853	44910692.000
06/07/2011	12.76	13.02	12.61	12.92	1014031	16036160.000
06/08/2011	12.82	12.83	12.67	12.83	590758	9283703.000
06/09/2011	12.84	12.84	12.48	12.49	448703	6987715.500
06/10/2011	12.43	12.46	12.19	12.40	249353	3800241.500
06/13/2011	12.36	12.51	12.23	12.37	316982	4829030.000
06/14/2011	12.53	12.58	12.37	12.58	460345	7085406.500
06/15/2011	12.54	12.58	12.32	12.33	321463	4939833.500
06/16/2011	12.28	12.28	12.06	12.06	357102	5351268.000
06/17/2011	11.96	12.13	11.83	11.94	326829	4831990.000
06/20/2011	11.95	12.00	11.78	11.83	176904	2591625.750
06/21/2011	11.94	11.98	11.82	11.96	214980	3163112.500
06/22/2011	11.97	11.98	11.88	11.94	193777	2854821.750
06/23/2011	11.88	12.37	11.83	12.30	731730	11011082.000
06/24/2011	12.24	12.61	12.23	12.53	681022	10458254.000
06/27/2011	12.47	12.73	12.47	12.59	720976	11209748.000
06/28/2011	12.61	12.65	12.50	12.63	349570	5427531.000
06/29/2011	12.51	12.65	12.33	12.33	402515	6205856.500
06/30/2011	12.33	12.53	12.33	12.47	391961	6007468.500
07/01/2011	12.53	12.77	12.48	12.63	533071	8323786.000
07/04/2011	12.73	12.96	12.67	12.95	695755	11045503.000
07/05/2011	13.00	13.14	12.88	12.97	639242	10233662.000
07/06/2011	13.03	13.19	12.90	13.15	906144	14562896.000
07/07/2011	13.10	13.72	13.07	13.48	1993031	32941724.000
07/08/2011	13.47	13.53	13.27	13.43	647268	10681956.000
07/11/2011	13.38	13.46	13.21	13.38	460391	7561094.500
07/12/2011	13.26	13.32	13.03	13.04	758764	12345111.000
