300177 中海达 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/15/2011	7.65	8.03	7.15	7.15	7511100	456762848.000
02/16/2011	7.08	7.33	6.88	7.26	3344919	192186384.000
02/17/2011	7.21	7.38	7.16	7.21	1690369	99374944.000
02/18/2011	7.17	7.46	7.04	7.43	2319883	136445968.000
02/21/2011	7.36	7.61	7.34	7.39	1969742	119002384.000
02/22/2011	7.35	7.40	7.05	7.07	1358369	79339752.000
02/23/2011	6.93	7.21	6.93	7.19	928911	53344420.000
02/24/2011	7.15	7.19	7.05	7.09	666692	38472728.000
02/25/2011	7.07	7.11	6.92	6.97	579295	32766356.000
02/28/2011	6.98	7.05	6.94	7.04	377573	21476708.000
03/01/2011	7.02	7.11	6.97	6.98	546407	31150376.000
03/02/2011	7.00	7.18	6.94	7.13	926632	53297324.000
03/03/2011	7.12	7.13	6.89	6.89	635494	36021296.000
03/04/2011	6.86	6.95	6.85	6.93	374370	20942048.000
03/07/2011	6.98	7.06	6.90	7.01	661310	37504056.000
03/08/2011	7.00	7.13	6.99	7.03	327237	18703934.000
03/09/2011	7.01	7.06	6.91	6.96	459274	25928074.000
03/10/2011	6.96	7.02	6.96	6.97	338331	19186290.000
03/11/2011	6.97	7.10	6.92	7.01	496359	28341790.000
03/14/2011	7.07	7.19	7.04	7.15	574997	33263114.000
03/15/2011	7.15	7.17	7.03	7.13	667715	38405596.000
03/17/2011	7.08	7.09	6.98	7.04	491406	28042904.000
03/18/2011	7.09	7.11	7.01	7.08	260528	14924807.000
03/21/2011	7.05	7.20	7.05	7.16	622765	36110232.000
03/22/2011	7.16	7.19	7.00	7.02	400038	22994116.000
03/23/2011	7.05	7.07	6.91	7.06	235149	13406226.000
03/24/2011	7.06	7.06	6.96	7.01	335587	19066554.000
03/25/2011	6.90	6.94	6.77	6.78	1087016	60333792.000
03/28/2011	6.78	6.83	6.75	6.77	362382	19960838.000
03/29/2011	6.77	6.78	6.46	6.48	492776	26414764.000
03/30/2011	6.46	6.50	6.40	6.41	300463	15725254.000
03/31/2011	6.40	6.50	6.38	6.41	231800	12108616.000
04/01/2011	6.42	6.47	6.39	6.46	162727	8510572.000
04/06/2011	6.45	6.47	6.36	6.37	194349	10086826.000
04/07/2011	6.37	6.46	6.35	6.46	150796	7860865.000
04/08/2011	6.45	6.50	6.42	6.49	206583	10859604.000
04/11/2011	6.53	6.59	6.39	6.40	251099	13203136.000
04/12/2011	6.37	6.38	6.24	6.25	365372	18699514.000
04/13/2011	6.19	6.33	6.19	6.31	151688	7739091.000
04/14/2011	6.31	6.31	6.23	6.25	136976	6984210.500
04/15/2011	6.21	6.28	6.15	6.16	186419	9367523.000
04/18/2011	6.17	6.21	6.16	6.21	123842	6227588.500
04/19/2011	6.18	6.18	6.03	6.06	182374	9006519.000
04/21/2011	6.09	6.20	6.09	6.15	144736	7226406.500
04/22/2011	6.15	6.15	6.01	6.06	142404	7016670.000
04/25/2011	6.05	6.05	5.86	5.86	313549	15114581.000
04/26/2011	5.85	5.85	5.60	5.63	349948	16150280.000
04/27/2011	5.63	5.74	5.55	5.59	146182	6706352.000
04/28/2011	5.58	5.61	5.40	5.41	299170	13349599.000
04/29/2011	5.42	5.45	5.38	5.44	95875	4235478.000
