300178 腾邦国际 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/15/2011	16.28	17.56	15.83	15.84	20268359	681284480.000
02/16/2011	15.12	15.34	14.28	15.01	10142945	306820768.000
02/17/2011	15.28	15.57	14.96	15.04	5790409	179120992.000
02/18/2011	14.68	15.46	14.49	15.29	4615310	140950992.000
02/21/2011	15.22	15.69	14.94	15.60	4562652	142262128.000
02/22/2011	15.47	15.52	14.55	14.75	4233308	128290344.000
02/23/2011	14.58	14.88	14.58	14.70	1538301	45928772.000
02/24/2011	14.73	14.83	14.07	14.23	3117193	90776080.000
02/25/2011	14.13	14.35	13.70	14.33	3014732	85651384.000
02/28/2011	14.28	14.37	14.04	14.28	2045765	58953532.000
03/01/2011	14.30	14.50	14.15	14.20	1908073	55658144.000
03/02/2011	14.07	14.12	13.88	13.99	1129140	32066672.000
03/03/2011	13.99	14.17	13.55	13.62	1391974	39119044.000
03/04/2011	13.62	13.81	13.53	13.76	1625022	45079624.000
03/07/2011	13.71	13.84	13.61	13.81	1028848	28718360.000
03/08/2011	13.85	13.86	13.68	13.79	775827	21676186.000
03/09/2011	13.78	13.96	13.72	13.81	806406	22650750.000
03/10/2011	13.92	14.02	13.81	13.85	831662	23518272.000
03/11/2011	13.85	14.26	13.78	14.00	1354644	38750108.000
03/14/2011	13.92	13.97	13.65	13.97	1087870	30501974.000
03/15/2011	13.92	14.06	13.47	13.62	1323972	36935272.000
03/16/2011	13.55	13.73	13.55	13.70	645233	17875148.000
03/17/2011	13.54	13.57	12.81	12.93	2668418	71116344.000
03/18/2011	12.97	13.05	12.84	12.98	753333	19831196.000
03/21/2011	12.99	13.28	12.98	13.09	819915	21901860.000
03/22/2011	13.05	13.23	12.88	12.98	924016	24474982.000
03/23/2011	13.03	13.18	12.95	13.14	476511	12661428.000
03/24/2011	13.09	13.22	13.05	13.21	653271	17479834.000
03/25/2011	13.22	13.27	13.10	13.16	657475	17657090.000
03/28/2011	13.18	13.22	12.82	12.83	1004878	26458504.000
03/29/2011	12.78	12.78	12.42	12.57	1094838	27978164.000
03/30/2011	12.51	12.51	11.98	12.04	1328931	33080398.000
03/31/2011	12.08	12.18	12.01	12.15	798772	19679624.000
04/01/2011	12.16	12.36	12.05	12.33	584760	14557459.000
04/06/2011	12.27	12.33	11.98	12.10	716247	17693856.000
04/07/2011	12.08	12.33	12.03	12.23	560385	13951993.000
04/08/2011	12.19	12.39	12.08	12.33	535862	13378929.000
04/11/2011	12.45	12.47	12.23	12.24	735024	18435880.000
04/12/2011	12.03	12.35	12.03	12.27	742001	18465374.000
04/13/2011	12.27	12.77	12.18	12.76	1271662	32530732.000
04/14/2011	12.82	12.90	12.63	12.78	1314060	34121600.000
04/15/2011	12.75	12.75	12.39	12.49	848081	21619170.000
04/18/2011	12.55	12.62	12.34	12.39	658744	16641632.000
04/19/2011	12.38	12.55	12.28	12.35	705593	17842512.000
04/20/2011	12.34	12.45	12.23	12.34	809573	20307292.000
04/21/2011	12.37	12.45	12.31	12.34	618597	15604881.000
04/22/2011	12.36	12.36	12.09	12.22	535046	13305640.000
04/25/2011	11.75	11.75	11.24	11.28	1635624	38186348.000
04/26/2011	11.23	11.25	10.77	10.86	1286235	28723642.000
04/27/2011	10.89	10.95	10.67	10.69	556457	12243165.000
04/28/2011	10.68	10.71	10.28	10.33	686906	14693517.000
05/03/2011	10.39	10.53	10.36	10.46	376563	8034921.500
05/04/2011	10.40	10.66	10.38	10.45	514834	11090055.000
05/05/2011	10.43	10.74	10.40	10.64	453623	9846514.000
05/06/2011	10.63	10.85	10.53	10.72	353090	7711688.500
05/09/2011	10.72	10.90	10.68	10.84	288773	6368291.000
05/10/2011	10.90	10.90	10.70	10.76	169210	3723540.500
05/11/2011	10.74	10.74	10.52	10.56	373681	8081933.500
05/12/2011	10.50	10.50	9.78	9.86	1488544	30711846.000
05/13/2011	9.88	9.95	9.66	9.84	634971	12733837.000
05/16/2011	9.88	10.05	9.83	9.92	391358	7985276.000
05/17/2011	10.02	10.02	9.79	9.91	345232	6988986.000
05/18/2011	9.99	9.99	9.85	9.91	216341	4387356.000
05/19/2011	9.93	10.05	9.81	9.88	355514	7227823.000
05/20/2011	9.98	9.98	9.77	9.78	475684	9563411.000
05/23/2011	9.72	9.78	9.23	9.25	495360	9560498.000
05/24/2011	9.20	9.52	8.93	9.38	1250792	23465830.000
05/25/2011	9.29	9.43	8.97	8.97	766633	14395825.000
05/26/2011	9.01	9.09	8.67	8.67	529381	9636783.000
05/27/2011	8.67	8.98	8.62	8.86	624237	11284617.000
05/30/2011	8.87	9.09	8.78	8.97	506431	9344800.000
05/31/2011	8.92	9.18	8.91	9.12	634018	11748996.000
06/01/2011	9.07	9.16	8.99	9.08	424246	7894854.500
06/02/2011	8.99	9.17	8.64	9.16	729612	13301887.000
06/03/2011	9.13	9.43	9.07	9.31	1225523	23365214.000
06/07/2011	9.32	9.37	9.21	9.29	693493	13211782.000
06/08/2011	9.29	9.36	9.09	9.23	501467	9431464.000
06/09/2011	9.23	9.24	8.93	8.95	400900	7452794.000
06/10/2011	8.93	9.05	8.72	8.92	333507	6037508.500
06/13/2011	8.92	9.17	8.85	9.12	786183	14458281.000
06/14/2011	9.12	9.35	8.99	9.23	390991	7381320.000
06/15/2011	9.14	9.43	9.08	9.16	650841	12367003.000
06/16/2011	9.11	9.18	8.78	8.89	448089	8253021.000
06/17/2011	8.94	9.00	8.79	8.79	226390	4125582.500
06/20/2011	8.79	8.86	8.63	8.76	216336	3883026.000
06/21/2011	8.83	8.85	8.72	8.85	263180	4738940.000
06/22/2011	8.85	9.03	8.83	8.88	220133	4017290.500
06/23/2011	8.92	9.79	8.92	9.79	3310153	65534028.000
06/24/2011	9.58	9.87	9.54	9.76	2479986	49272428.000
06/27/2011	9.79	9.92	9.72	9.80	1311264	26290952.000
06/28/2011	9.80	9.97	9.72	9.96	1164092	23418010.000
06/29/2011	9.93	10.01	9.72	9.79	863027	17344524.000
06/30/2011	9.68	9.97	9.66	9.78	811544	16292918.000
07/01/2011	9.93	9.96	9.79	9.85	1173955	23701294.000
07/04/2011	9.90	10.06	9.88	9.97	1240274	25252796.000
07/05/2011	9.93	10.17	9.89	10.08	1013771	20809620.000
07/06/2011	10.07	10.37	9.96	10.28	1279572	26745758.000
07/07/2011	10.28	10.55	10.28	10.48	1920935	40975228.000
07/08/2011	10.44	10.87	10.40	10.66	2422689	52993056.000
07/11/2011	10.58	10.73	10.40	10.60	724943	15612093.000
07/12/2011	10.43	10.44	10.04	10.06	1248037	26027824.000
07/13/2011	10.07	10.39	10.02	10.38	805627	16861080.000
07/14/2011	10.38	10.47	10.24	10.47	899967	19059036.000
07/15/2011	10.55	10.83	10.47	10.72	1141547	24932498.000
07/18/2011	10.72	10.86	10.56	10.60	1060983	23232194.000
07/19/2011	10.60	10.68	10.39	10.40	650350	13923694.000
07/20/2011	10.42	10.54	10.20	10.42	756300	15987084.000
07/21/2011	10.42	10.67	10.36	10.62	683579	14662113.000
07/22/2011	10.57	10.78	10.57	10.77	785447	17153916.000
07/25/2011	10.84	11.00	9.97	10.03	1518060	32746162.000
07/26/2011	10.03	10.36	9.99	10.30	663212	13779720.000
07/27/2011	10.27	10.82	10.12	10.73	1139304	24564064.000
07/28/2011	10.67	11.14	10.50	11.11	2986475	67172864.000
07/29/2011	11.28	11.53	10.84	11.05	2158147	49285316.000
08/01/2011	10.81	11.22	10.81	11.08	1103072	24912384.000
08/02/2011	11.07	11.30	10.78	11.28	1495937	33737084.000
08/03/2011	11.19	11.70	11.10	11.62	2182420	51141352.000
08/04/2011	11.62	11.77	11.38	11.51	1273518	30053372.000
08/05/2011	11.20	11.41	11.00	11.24	1505877	34605544.000
08/08/2011	10.98	11.16	10.58	10.89	1241172	27610188.000
08/09/2011	10.67	11.56	10.58	11.52	2107744	47728592.000
08/10/2011	11.53	11.68	11.39	11.53	1281368	30183514.000
08/11/2011	11.16	11.98	11.09	11.88	1666565	39701660.000
08/12/2011	12.03	12.25	11.79	12.02	2153623	52763236.000
08/15/2011	11.93	12.33	11.87	12.13	1086227	26816346.000
08/16/2011	12.16	12.16	11.67	11.78	1754337	42206652.000
08/17/2011	11.68	11.85	11.48	11.49	884393	20907960.000
08/18/2011	11.67	11.67	11.18	11.24	1649244	38401068.000
08/19/2011	11.03	11.18	10.74	10.83	1791439	39944232.000
08/22/2011	10.92	10.94	10.65	10.73	940286	20707812.000
08/23/2011	10.71	11.22	10.70	11.15	1397443	31279138.000
08/24/2011	11.20	11.57	11.16	11.43	1738996	40361316.000
08/25/2011	11.43	11.49	10.91	11.08	1540915	34986040.000
08/26/2011	11.04	11.27	11.01	11.15	661965	15073405.000
08/29/2011	11.14	11.51	11.05	11.38	993841	22927666.000
08/30/2011	11.41	11.48	10.76	10.78	1031722	23373024.000
08/31/2011	10.79	10.98	10.62	10.66	973656	21331050.000
09/01/2011	10.67	10.88	10.45	10.52	989020	21435876.000
09/02/2011	10.53	10.54	10.19	10.31	396004	8344585.000
09/05/2011	10.23	10.23	9.96	10.06	691473	14223582.000
