300179 四方达 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/15/2011	11.13	12.26	10.91	11.92	13942888	440780192.000
02/16/2011	11.57	11.68	11.20	11.55	7806386	246173760.000
02/17/2011	11.59	12.01	11.33	11.41	5489513	175134784.000
02/18/2011	11.57	12.57	11.46	12.50	9177355	307007488.000
02/21/2011	12.06	12.35	11.78	12.22	5182565	172890256.000
02/22/2011	12.46	12.81	12.20	12.24	5028665	172302192.000
02/23/2011	12.38	12.71	11.87	12.12	3278376	111241392.000
02/24/2011	12.01	12.01	11.27	11.66	2562117	81963640.000
02/25/2011	11.54	11.64	11.20	11.55	1701887	53425944.000
02/28/2011	11.57	11.89	11.39	11.68	1620489	52026596.000
03/01/2011	11.60	11.75	11.42	11.61	1233550	39222372.000
03/02/2011	11.42	11.61	11.20	11.46	1070095	33507796.000
03/03/2011	11.40	11.70	11.08	11.08	1509983	47421268.000
03/04/2011	11.10	11.23	10.98	11.23	1133200	34613080.000
03/07/2011	11.21	11.27	11.07	11.26	774292	23807748.000
03/08/2011	11.31	11.56	11.22	11.49	1313985	41297264.000
03/09/2011	11.42	11.50	11.31	11.43	646364	20270826.000
03/10/2011	11.39	11.58	11.26	11.53	621472	19546272.000
03/11/2011	11.53	12.00	11.37	11.68	1512912	48997000.000
03/14/2011	11.68	11.87	11.55	11.83	669959	21588152.000
03/15/2011	11.71	11.79	11.21	11.57	874639	27699300.000
03/16/2011	11.78	11.82	11.46	11.70	490249	15715750.000
03/17/2011	11.56	12.12	11.39	11.76	1043593	34046580.000
03/18/2011	11.69	11.92	11.60	11.65	451168	14492145.000
03/21/2011	11.48	11.78	11.32	11.53	490173	15515220.000
03/22/2011	11.46	11.53	11.33	11.38	244872	7671367.500
03/23/2011	11.39	11.56	11.36	11.44	307895	9701898.000
03/24/2011	11.38	11.78	11.37	11.78	1006225	32056656.000
03/25/2011	11.72	12.08	11.69	12.01	1143375	37484264.000
03/28/2011	11.91	12.18	11.77	11.91	897503	29483092.000
03/29/2011	11.64	11.64	11.31	11.48	877658	27674744.000
03/30/2011	11.49	11.49	11.09	11.41	361384	11222675.000
03/31/2011	11.41	11.57	11.31	11.50	171916	5411057.500
04/01/2011	11.46	12.01	11.45	11.84	362469	11729237.000
04/06/2011	11.84	11.84	11.64	11.70	187394	6028114.000
04/07/2011	11.57	11.83	11.35	11.63	367807	11636045.000
04/08/2011	11.50	11.96	11.43	11.91	642979	20701418.000
04/11/2011	11.86	11.86	11.54	11.55	312848	10022369.000
04/12/2011	11.50	11.69	11.45	11.61	238886	7587380.000
04/13/2011	11.62	11.90	11.45	11.83	419044	13547843.000
04/14/2011	11.86	12.15	11.66	12.15	1011655	33267476.000
04/15/2011	11.94	12.83	11.85	12.39	1610326	54899836.000
04/18/2011	12.24	12.50	12.05	12.46	840402	28517620.000
04/19/2011	12.31	12.59	12.10	12.49	823762	28044218.000
04/20/2011	12.53	13.57	12.39	13.00	1292373	46508000.000
04/21/2011	13.08	13.31	12.76	12.76	707921	25180846.000
04/22/2011	12.74	12.80	12.22	12.27	586983	20038038.000
04/25/2011	12.27	12.86	12.00	12.86	806647	27492442.000
04/26/2011	12.76	13.41	12.71	12.87	609837	21729050.000
04/27/2011	12.79	12.90	12.20	12.21	365165	12577319.000
04/28/2011	12.20	12.35	11.64	11.65	386396	12717809.000
04/29/2011	11.46	11.99	11.46	11.79	192534	6192170.000
05/03/2011	11.68	12.08	11.44	11.92	199186	6418554.500
05/04/2011	11.79	11.84	11.51	11.82	239296	7683454.000
05/06/2011	11.75	12.11	11.53	11.92	215310	7039681.000
05/09/2011	11.72	12.11	11.57	11.69	445388	14420469.000
05/10/2011	11.65	11.83	10.50	10.64	1866913	55788540.000
05/11/2011	10.56	10.70	10.16	10.61	887130	25516414.000
05/12/2011	10.45	10.45	10.16	10.31	397999	11315610.000
05/13/2011	10.43	10.43	10.20	10.29	542665	15407648.000
05/16/2011	10.27	10.40	9.94	10.09	626461	17506858.000
05/17/2011	10.09	10.22	9.94	10.09	502800	13900429.000
05/18/2011	9.98	10.20	9.87	9.92	328851	9094675.000
05/19/2011	9.98	9.98	9.77	9.80	469602	12783131.000
05/20/2011	9.80	9.82	9.71	9.77	367385	9909590.000
05/23/2011	9.73	9.83	9.23	9.51	706386	18384582.000
05/24/2011	9.35	9.75	9.24	9.57	631730	16583478.000
05/25/2011	9.53	9.63	8.71	9.61	861332	21984684.000
05/26/2011	9.31	9.61	9.27	9.33	195621	5085328.000
05/27/2011	9.35	9.41	8.89	9.03	246590	6155589.500
05/30/2011	9.01	9.11	8.73	8.90	390169	9674095.000
05/31/2011	9.04	9.11	8.72	9.09	238732	5846919.000
06/01/2011	8.98	9.27	8.93	9.22	138700	3481511.500
06/02/2011	9.13	9.21	8.95	9.03	137709	3432442.250
