300180 华峰超纤 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/22/2011	20.65	21.23	19.77	19.84	20093995	417368192.000
02/23/2011	19.43	19.73	19.16	19.53	5583958	110666896.000
02/24/2011	19.43	19.78	19.36	19.60	3660719	72964784.000
02/25/2011	19.51	19.63	19.13	19.33	3162894	62252812.000
02/28/2011	19.37	19.59	19.31	19.56	2297197	45488488.000
03/01/2011	19.57	19.80	19.43	19.70	3193909	63746752.000
03/02/2011	19.75	19.91	19.49	19.88	4142229	83171704.000
03/03/2011	19.81	19.90	19.38	19.41	2426879	48448884.000
03/04/2011	19.44	19.55	19.20	19.52	1761566	34836172.000
03/07/2011	19.64	19.64	19.45	19.60	1914722	38098184.000
03/08/2011	19.62	19.62	19.39	19.50	1720075	34103620.000
03/09/2011	19.54	19.92	19.45	19.81	2861015	57279700.000
03/10/2011	19.75	20.00	19.64	19.65	2126990	42761780.000
03/11/2011	21.21	21.65	21.15	21.65	6568860	144349536.000
03/14/2011	22.65	23.62	22.25	22.98	16213472	378036288.000
03/15/2011	22.63	22.83	21.80	22.56	7060695	159822400.000
03/16/2011	22.44	23.01	22.08	22.77	5931091	136302800.000
03/17/2011	22.33	22.33	21.35	21.65	4853042	108189112.000
03/18/2011	21.86	22.22	21.53	21.80	3080235	68539368.000
03/21/2011	21.80	22.96	21.25	22.78	5587668	125993584.000
03/22/2011	22.55	23.10	22.29	22.69	3670400	84290920.000
03/23/2011	22.61	23.14	22.35	22.91	3341169	77230864.000
03/24/2011	22.80	23.40	22.55	22.69	3352212	77904096.000
03/25/2011	22.72	22.79	21.95	22.01	3377227	76027576.000
03/28/2011	22.03	22.20	21.68	21.72	2159641	47991408.000
03/29/2011	21.68	21.68	20.77	20.78	3157515	67893280.000
03/30/2011	20.65	21.02	20.54	20.55	1322079	27919308.000
03/31/2011	20.63	20.92	20.48	20.70	1274132	26787252.000
04/06/2011	20.65	20.89	20.18	20.35	1366055	28301182.000
04/07/2011	20.26	21.25	20.26	20.95	4640228	97543256.000
04/08/2011	20.71	20.85	20.53	20.75	2175275	45782068.000
04/11/2011	20.75	20.75	20.28	20.31	1846154	38320672.000
04/12/2011	20.26	20.40	19.80	19.94	1579147	32274664.000
04/13/2011	19.92	20.48	19.86	20.31	1144804	23615414.000
04/14/2011	20.31	20.31	20.05	20.12	863007	17675150.000
04/15/2011	19.93	20.26	19.93	20.20	941639	19260140.000
04/18/2011	20.13	20.74	20.05	20.44	1515245	31561312.000
04/19/2011	20.26	20.34	19.86	20.01	1050652	21445830.000
04/20/2011	20.00	20.41	20.00	20.35	687949	14177216.000
04/21/2011	20.48	20.70	20.06	20.68	1460087	30382912.000
04/22/2011	19.80	20.15	19.63	19.69	2596322	52366804.000
04/25/2011	19.65	19.69	19.18	19.20	1201341	23602390.000
04/26/2011	19.25	19.25	18.48	18.75	1063167	20303644.000
04/27/2011	18.76	18.92	18.15	18.28	727566	13737762.000
04/28/2011	18.29	18.53	17.66	17.68	816493	14970685.000
04/29/2011	17.89	18.01	17.65	17.90	508069	9262510.000
05/03/2011	18.05	18.10	17.86	18.06	325611	5977493.000
05/04/2011	18.04	18.04	17.31	17.34	715018	12852437.000
05/05/2011	17.34	17.70	17.21	17.55	417896	7483114.500
05/06/2011	17.41	17.68	17.23	17.56	308271	5509436.000
