300181 佐力药业 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/22/2011	7.23	7.48	6.58	6.72	11641453	340576832.000
02/23/2011	6.67	6.79	6.37	6.49	3926720	107935800.000
02/24/2011	6.50	6.67	6.44	6.49	2624437	72024080.000
02/25/2011	6.47	6.47	6.24	6.33	2276238	60634032.000
02/28/2011	6.33	6.46	6.33	6.39	1308293	35193264.000
03/01/2011	6.49	6.59	6.41	6.48	2051924	56136240.000
03/02/2011	6.39	6.54	6.39	6.51	1344447	36515480.000
03/03/2011	6.52	6.53	6.26	6.29	1725914	46246796.000
03/04/2011	6.28	6.46	6.28	6.43	1038138	27863728.000
03/07/2011	6.42	6.47	6.35	6.46	1223964	33013168.000
03/08/2011	6.46	6.46	6.37	6.42	954369	25718580.000
03/09/2011	6.40	6.42	6.33	6.35	804133	21547692.000
03/10/2011	6.36	6.47	6.36	6.41	1079526	29170576.000
03/11/2011	6.39	6.59	6.38	6.48	1817828	49625552.000
03/14/2011	6.52	6.72	6.52	6.66	1891298	52705772.000
03/15/2011	6.66	6.66	6.38	6.53	1428243	39050872.000
03/16/2011	6.54	6.55	6.46	6.53	863190	23610446.000
03/18/2011	6.36	6.42	6.32	6.35	1507223	40348524.000
03/21/2011	6.32	6.35	6.20	6.23	1395145	36778048.000
03/22/2011	6.25	6.26	6.15	6.19	913584	23830392.000
03/23/2011	6.24	6.27	6.20	6.25	570787	15007473.000
03/24/2011	6.28	6.28	6.21	6.25	568745	14962404.000
03/25/2011	6.25	6.29	6.22	6.27	597101	15743695.000
03/28/2011	6.26	6.31	6.23	6.28	717292	18955602.000
03/29/2011	6.29	6.29	5.93	5.98	1107832	28431658.000
03/30/2011	5.94	6.02	5.86	5.87	634432	15858078.000
03/31/2011	5.84	5.98	5.84	5.88	270858	6755826.000
04/01/2011	5.91	6.12	5.91	6.02	456423	11589267.000
04/06/2011	6.01	6.04	5.89	5.94	431925	10821771.000
04/07/2011	5.91	6.06	5.90	5.94	330268	8361974.500
04/08/2011	5.94	6.03	5.94	6.02	396348	10031182.000
04/11/2011	6.02	6.11	5.90	5.91	351067	8826515.000
04/12/2011	5.91	5.97	5.88	5.90	235200	5878572.000
04/14/2011	5.98	6.02	5.94	5.96	433929	10977984.000
04/15/2011	5.90	5.98	5.84	5.93	429580	10693905.000
04/18/2011	5.96	5.96	5.88	5.94	248401	6216730.500
04/19/2011	5.96	5.96	5.86	5.89	301102	7516948.000
04/20/2011	5.89	6.03	5.86	6.03	473607	11947765.000
04/21/2011	6.02	6.02	5.94	5.97	384366	9704770.000
04/22/2011	6.01	6.01	5.87	5.89	209604	5236526.000
04/25/2011	5.89	5.92	5.78	5.78	404537	10030583.000
04/26/2011	5.74	5.78	5.56	5.61	339425	8099105.500
04/27/2011	5.61	5.66	5.49	5.52	229434	5421841.500
04/28/2011	5.52	5.56	5.36	5.39	251049	5831702.000
04/29/2011	5.41	5.45	5.31	5.45	200222	4584663.000
05/03/2011	5.42	5.54	5.39	5.51	176975	4094820.500
05/04/2011	5.46	5.51	5.37	5.41	173544	4015654.750
05/05/2011	5.41	5.55	5.35	5.51	217924	5079730.000
05/06/2011	5.45	5.58	5.44	5.52	126672	2972042.500
05/09/2011	5.51	5.61	5.50	5.56	164745	3898819.750
05/10/2011	5.55	5.59	5.49	5.55	104445	2447263.250
05/11/2011	5.56	5.56	5.49	5.50	107200	2508022.000
05/12/2011	5.49	5.53	5.36	5.36	136562	3170570.500
05/13/2011	5.32	5.43	5.32	5.40	202215	4611677.000
05/16/2011	5.40	5.61	5.37	5.54	295804	6923107.500
05/17/2011	5.54	5.61	5.50	5.56	203660	4807746.500
05/18/2011	5.56	5.57	5.49	5.51	225219	5288964.500
05/19/2011	5.45	5.55	5.45	5.50	98322	2294487.500
05/20/2011	5.44	5.49	5.33	5.35	259130	5945513.500
05/23/2011	5.35	5.41	4.97	4.98	459438	10117265.000
05/24/2011	4.91	5.08	4.82	4.98	900040	19078130.000
05/25/2011	4.95	4.95	4.66	4.72	602621	12435086.000
05/26/2011	4.74	4.85	4.62	4.72	698700	14110385.000
05/27/2011	4.66	4.72	4.61	4.62	227088	4534286.000
05/30/2011	4.60	4.71	4.53	4.65	287896	5734460.000
05/31/2011	4.65	4.72	4.55	4.71	245110	4908896.500
06/01/2011	4.71	4.77	4.66	4.72	168223	3410578.500
06/02/2011	4.67	4.67	4.55	4.62	180955	3591396.500
06/03/2011	4.65	4.71	4.62	4.70	225628	4547444.000
06/07/2011	4.66	4.76	4.65	4.75	287904	5854665.500
06/08/2011	4.75	4.75	4.63	4.68	194242	3905496.750
06/09/2011	4.68	4.68	4.61	4.61	141482	2825237.250
06/10/2011	4.60	4.60	4.51	4.56	151577	2974364.750
06/13/2011	4.56	4.61	4.48	4.59	122607	2403112.750
06/14/2011	4.59	4.66	4.59	4.64	187399	3737836.250
06/15/2011	4.64	4.67	4.60	4.62	225862	4512218.000
06/16/2011	4.59	4.59	4.45	4.50	190050	3698375.000
06/17/2011	4.51	4.51	4.42	4.43	162570	3134372.250
06/20/2011	4.43	4.48	4.30	4.34	272890	5140654.000
06/21/2011	4.29	4.40	4.29	4.35	166674	3131364.250
06/22/2011	4.33	4.36	4.07	4.30	288080	5309635.000
06/23/2011	4.30	4.46	4.15	4.45	563624	10552740.000
06/24/2011	4.38	4.56	4.38	4.53	385816	7481863.500
06/27/2011	4.53	4.65	4.52	4.55	323126	6383229.500
06/28/2011	4.58	4.69	4.56	4.65	401255	7978402.500
06/29/2011	4.64	4.70	4.60	4.61	283087	5673674.500
06/30/2011	4.56	4.67	4.56	4.65	278370	5544684.500
07/01/2011	4.78	4.99	4.71	4.87	734297	15316501.000
07/04/2011	4.95	5.08	4.93	5.07	806791	17304644.000
07/05/2011	5.01	5.07	4.98	5.03	367450	7907163.500
07/06/2011	5.02	5.23	4.97	5.22	771958	16888304.000
07/07/2011	5.19	5.28	5.19	5.22	653131	14594156.000
07/08/2011	5.22	5.24	5.08	5.15	370663	8134555.000
07/11/2011	5.11	5.24	5.10	5.23	313778	6950885.000
07/12/2011	5.20	5.20	5.08	5.08	344872	7545131.000
07/13/2011	5.08	5.33	5.08	5.31	522874	11642992.000
07/14/2011	5.30	5.41	5.30	5.39	409515	9366250.000
07/15/2011	5.45	5.47	5.37	5.45	678381	15642423.000
07/18/2011	5.41	5.57	5.33	5.37	529820	12211763.000
07/19/2011	5.32	5.35	5.15	5.17	584850	12971555.000
07/20/2011	5.18	5.24	5.05	5.12	448343	9797583.000
07/21/2011	5.14	5.33	5.06	5.06	1021973	22713622.000
07/22/2011	5.06	5.17	5.06	5.17	740166	16131715.000
07/25/2011	5.19	5.20	4.92	4.96	671085	14582411.000
07/26/2011	4.95	5.01	4.91	4.97	226856	4804275.500
07/27/2011	4.92	5.23	4.92	5.21	589210	12840137.000
07/28/2011	5.19	5.67	5.16	5.58	1724751	40255984.000
07/29/2011	5.55	5.56	5.41	5.48	886453	20667196.000
08/01/2011	5.45	5.74	5.44	5.69	1096358	26223790.000
08/02/2011	5.66	5.74	5.54	5.72	888610	21254944.000
08/03/2011	5.61	5.79	5.54	5.56	1029096	24709042.000
08/04/2011	5.61	5.67	5.55	5.61	543730	12907936.000
08/05/2011	5.40	5.56	5.40	5.41	760201	17668550.000
08/08/2011	5.38	5.38	4.99	5.00	895143	19815988.000
08/09/2011	4.90	5.06	4.70	5.03	563491	11788225.000
08/10/2011	5.14	5.24	5.09	5.10	632575	13950578.000
08/11/2011	5.03	5.29	4.96	5.29	680462	15018620.000
08/12/2011	5.36	5.49	5.31	5.39	481857	11033361.000
08/15/2011	5.39	5.53	5.39	5.51	469853	10942435.000
08/16/2011	5.53	5.58	5.38	5.42	461699	10670259.000
08/17/2011	5.43	5.49	5.38	5.45	374470	8661519.000
08/18/2011	5.43	5.47	5.21	5.23	398333	9065821.000
08/19/2011	5.10	5.19	5.02	5.17	522590	11399241.000
08/22/2011	5.17	5.28	5.09	5.18	412000	9108571.000
08/23/2011	5.19	5.56	5.16	5.52	881714	20235584.000
08/24/2011	5.56	5.76	5.52	5.54	1342949	32132114.000
08/25/2011	5.51	5.66	5.47	5.63	818727	19367502.000
08/26/2011	5.61	6.19	5.61	5.96	2275689	56909488.000
08/29/2011	5.86	6.03	5.84	5.89	1342415	33760744.000
08/30/2011	5.90	6.11	5.75	5.79	1259892	31604938.000
08/31/2011	5.79	5.85	5.60	5.70	817103	19660950.000
09/01/2011	5.71	5.81	5.64	5.73	625118	15165932.000
09/02/2011	5.67	5.76	5.62	5.66	496742	11946984.000
09/05/2011	5.61	5.61	5.43	5.45	506020	11817516.000
09/06/2011	5.37	5.45	5.27	5.32	535155	12170562.000
09/07/2011	5.36	5.53	5.29	5.51	533981	12341749.000
09/08/2011	5.56	5.58	5.45	5.45	395696	9265360.000
09/09/2011	5.45	5.56	5.39	5.45	304166	7077826.500
09/13/2011	5.31	5.51	5.27	5.48	405278	9258271.000
09/14/2011	5.56	5.88	5.48	5.86	1395175	33860548.000
09/15/2011	5.86	5.91	5.74	5.82	852319	21021930.000
09/16/2011	5.88	5.88	5.71	5.74	528309	12926501.000
09/19/2011	5.73	5.73	5.56	5.59	373784	8915905.000
09/20/2011	5.58	5.95	5.49	5.91	1340632	32848326.000
09/21/2011	5.90	6.01	5.81	5.97	806029	20172480.000
09/22/2011	5.89	6.04	5.71	5.71	940824	23419900.000
09/23/2011	5.58	5.97	5.57	5.86	726084	17854400.000
09/26/2011	5.85	5.96	5.74	5.76	561097	13864812.000
09/27/2011	5.81	5.87	5.46	5.53	1243364	29615154.000
09/28/2011	5.56	5.58	5.32	5.34	580680	13490992.000
09/29/2011	5.33	5.33	4.98	5.02	878131	19066056.000
09/30/2011	5.03	5.10	4.96	5.04	216440	4654139.000
10/10/2011	5.01	5.14	4.95	4.99	275181	5894352.000
10/11/2011	5.14	5.20	5.01	5.10	386720	8437942.000
10/12/2011	5.06	5.38	4.98	5.33	522911	11664524.000
10/13/2011	5.33	5.50	5.29	5.36	456424	10445684.000
10/14/2011	5.36	5.38	5.21	5.32	315165	7086561.000
10/17/2011	5.35	5.35	5.22	5.32	400812	9036509.000
10/18/2011	5.26	5.30	4.95	4.98	469276	10257089.000
10/19/2011	4.98	5.04	4.80	4.90	482520	10123010.000
10/20/2011	4.87	4.87	4.68	4.71	365622	7444688.500
10/21/2011	4.71	4.77	4.64	4.67	271004	5459406.000
10/24/2011	4.69	4.85	4.61	4.85	340717	6949935.000
10/25/2011	4.78	5.03	4.78	5.00	435891	9263115.000
10/26/2011	4.95	5.05	4.93	5.01	415178	8897728.000
10/27/2011	5.01	5.08	4.93	4.95	250278	5358378.500
10/28/2011	5.01	5.06	4.90	5.02	493868	10533628.000
10/31/2011	5.01	5.12	4.99	5.07	420997	9112681.000
11/01/2011	5.04	5.21	5.01	5.19	642525	14068791.000
11/02/2011	5.03	5.33	5.03	5.31	719187	15974611.000
11/03/2011	5.31	5.48	5.26	5.38	888273	20407728.000
11/04/2011	5.45	5.46	5.33	5.38	417356	9568933.000
11/07/2011	5.39	5.51	5.36	5.41	325921	7545657.000
11/08/2011	5.45	5.46	5.20	5.22	476507	10777511.000
11/09/2011	5.26	5.36	5.18	5.35	414989	9290256.000
11/10/2011	5.26	5.48	5.26	5.39	652170	14982978.000
11/11/2011	5.39	5.50	5.33	5.41	620909	14287729.000
11/14/2011	5.47	5.68	5.43	5.67	1103657	26158238.000
11/15/2011	5.69	5.72	5.58	5.61	559214	13335406.000
11/16/2011	5.63	5.66	5.42	5.47	492502	11537639.000
11/17/2011	5.47	5.71	5.44	5.65	676937	16070105.000
11/18/2011	5.56	5.63	5.35	5.40	548562	12770621.000
11/21/2011	5.38	5.43	5.23	5.36	345541	7803151.500
11/22/2011	5.35	5.39	5.26	5.38	224436	5099757.500
11/23/2011	5.40	5.52	5.33	5.46	420609	9750052.000
11/24/2011	5.39	5.60	5.34	5.58	722983	16876948.000
11/25/2011	5.58	5.66	5.53	5.56	485988	11529380.000
11/28/2011	5.53	5.61	5.49	5.56	351722	8281277.000
11/29/2011	5.58	5.65	5.54	5.64	735198	17486500.000
11/30/2011	5.62	5.66	5.08	5.28	970666	22061892.000
12/01/2011	5.41	5.53	5.33	5.34	898566	20764428.000
12/02/2011	5.29	5.31	5.07	5.11	532532	11735613.000
12/05/2011	5.09	5.20	5.03	5.08	415349	9047290.000
12/06/2011	5.08	5.22	5.03	5.16	174865	3806862.250
12/07/2011	5.18	5.26	5.07	5.22	217630	4822265.500
12/08/2011	5.18	5.32	5.15	5.19	439161	9789027.000
12/09/2011	5.28	5.28	5.16	5.21	282510	6285103.500
12/12/2011	5.16	5.23	5.08	5.14	187477	4117936.000
12/13/2011	5.08	5.14	5.00	5.01	345519	7467549.000
