300182 捷成股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/22/2011	7.92	8.42	7.73	8.20	9443924	630743680.000
02/23/2011	7.80	8.30	7.80	8.29	4253410	281045856.000
02/24/2011	8.22	8.33	7.85	7.93	2503109	164816352.000
02/25/2011	7.79	7.80	7.36	7.40	2030231	125842152.000
02/28/2011	7.41	7.55	7.34	7.51	890514	54727600.000
03/01/2011	7.51	7.56	7.47	7.53	934903	57877832.000
03/02/2011	7.53	7.57	7.26	7.57	903375	55177820.000
03/03/2011	7.51	7.69	7.45	7.61	732044	45612376.000
03/04/2011	7.59	8.11	7.56	8.00	1203741	77925112.000
03/07/2011	7.93	8.09	7.82	8.05	622082	40790324.000
03/08/2011	8.01	8.26	7.97	7.99	656080	43439448.000
03/09/2011	7.96	8.05	7.77	7.86	479587	31008180.000
03/10/2011	7.90	7.99	7.81	7.96	470845	30507210.000
03/11/2011	7.86	8.18	7.83	8.07	935205	61752712.000
03/14/2011	8.13	8.39	8.05	8.23	539561	36380080.000
03/15/2011	8.24	8.50	8.15	8.48	1312172	89262408.000
03/16/2011	8.43	8.68	8.39	8.68	1079331	75940920.000
03/17/2011	8.63	8.75	8.18	8.71	1130139	78192840.000
03/18/2011	8.60	8.98	8.50	8.97	892482	64060856.000
03/21/2011	8.89	9.42	8.89	9.30	1084542	81394960.000
03/22/2011	9.21	9.35	8.92	9.24	378250	28145398.000
03/23/2011	9.11	9.33	8.95	9.32	301581	22515864.000
03/24/2011	9.23	9.31	9.11	9.23	201410	15152256.000
03/25/2011	9.18	9.51	9.11	9.46	418000	31712230.000
03/28/2011	9.48	9.84	9.46	9.66	641487	50373844.000
03/29/2011	9.44	9.82	8.95	9.04	605042	45578508.000
03/30/2011	8.99	9.36	8.99	9.26	350380	26265274.000
03/31/2011	9.22	9.36	8.95	9.33	480772	36093608.000
04/01/2011	9.30	9.39	9.20	9.34	181860	13791258.000
04/06/2011	9.26	9.50	9.24	9.29	151951	11607634.000
04/07/2011	9.33	9.63	9.33	9.59	253760	19665612.000
04/08/2011	9.46	9.61	9.35	9.53	244169	18778468.000
04/11/2011	9.53	9.57	9.18	9.25	821536	62469756.000
04/12/2011	9.13	9.43	8.69	8.69	543878	40259476.000
04/13/2011	8.68	8.75	8.31	8.62	395529	27716890.000
04/14/2011	8.56	9.07	8.43	8.61	495544	35596292.000
