300183 东软载波 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/22/2011	19.02	19.45	18.18	18.65	13083296	581454144.000
02/23/2011	19.77	20.46	19.46	19.87	10147889	476404480.000
02/24/2011	19.63	20.13	19.43	19.88	5525480	258366400.000
02/25/2011	19.45	19.45	18.49	18.89	4436149	199059504.000
02/28/2011	18.59	19.16	18.55	18.91	2389166	106821632.000
03/01/2011	18.99	19.02	18.56	18.63	2219221	98708600.000
03/02/2011	18.31	18.84	18.26	18.77	2220828	97267328.000
03/03/2011	18.68	18.77	18.36	18.36	1663342	73046320.000
03/04/2011	18.35	18.89	18.32	18.81	1746484	77562832.000
03/07/2011	18.88	18.94	18.50	18.72	1483631	65862116.000
03/08/2011	18.79	19.12	18.70	18.89	1318999	58959968.000
03/09/2011	18.92	19.08	18.64	18.82	1217132	54272152.000
03/10/2011	18.82	18.90	18.55	18.60	1232538	54676688.000
03/11/2011	18.54	18.86	18.46	18.64	1341603	59442168.000
03/14/2011	18.56	18.81	18.49	18.81	1125917	49850092.000
03/15/2011	18.77	18.77	17.90	18.19	1930268	83835288.000
03/16/2011	18.23	18.48	18.20	18.35	1014732	44165096.000
03/17/2011	18.22	18.22	17.92	18.09	1524133	65348712.000
03/18/2011	18.24	18.36	18.19	18.33	926379	40202160.000
03/21/2011	18.50	19.26	18.48	19.01	2677201	120403576.000
03/22/2011	19.01	19.26	18.85	19.05	1492197	67260056.000
03/23/2011	19.00	19.30	18.95	19.17	1158484	52513224.000
03/24/2011	19.21	19.57	18.98	19.46	1579692	71890440.000
03/25/2011	19.36	19.73	19.14	19.23	1349354	61971728.000
03/28/2011	19.18	19.58	19.00	19.20	1332835	61151352.000
03/29/2011	19.10	19.50	18.82	19.00	1312890	59586936.000
03/30/2011	18.90	18.99	18.10	18.44	1376642	60093516.000
03/31/2011	18.12	18.61	18.12	18.51	594801	26073592.000
04/01/2011	18.51	19.08	18.43	19.00	723291	32323104.000
04/06/2011	18.95	19.77	18.95	19.25	1339900	61555808.000
04/07/2011	19.23	19.58	19.09	19.15	759018	34718668.000
04/08/2011	19.82	20.54	19.82	20.24	2515121	119950976.000
04/11/2011	20.14	21.21	20.10	20.76	2171651	106279808.000
04/12/2011	20.55	21.05	20.30	20.31	1163436	56523600.000
04/13/2011	20.23	21.85	20.23	21.54	2110682	105296392.000
04/14/2011	21.44	21.72	21.05	21.27	1068027	53504344.000
04/15/2011	21.27	21.44	20.23	21.02	1337449	65588204.000
04/18/2011	21.28	22.09	20.86	21.26	1113815	56438132.000
04/19/2011	20.85	21.54	20.68	20.72	960837	47471796.000
04/20/2011	20.68	21.45	20.64	21.31	1239508	61124668.000
04/22/2011	21.59	21.67	20.82	21.30	771607	38589588.000
04/25/2011	21.36	21.36	20.27	20.39	1064102	51727668.000
04/26/2011	20.23	20.71	20.23	20.35	978569	47194472.000
04/27/2011	20.45	20.62	19.73	19.89	890750	42317308.000
04/28/2011	19.99	20.13	19.63	19.73	765306	35829320.000
