300184 力源信息 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
02/22/2011	11.92	12.24	10.60	10.64	9356964	240603792.000
02/23/2011	11.09	11.31	10.84	11.07	5364213	137749248.000
02/24/2011	10.60	10.93	10.56	10.85	3402508	84624104.000
02/25/2011	10.69	10.82	10.48	10.77	2159826	53380372.000
02/28/2011	10.62	10.84	10.62	10.77	1623238	40463184.000
03/01/2011	10.77	10.82	10.68	10.71	1496254	37302316.000
03/02/2011	10.70	10.77	10.50	10.63	1515768	37369604.000
03/03/2011	10.60	10.77	10.60	10.63	1221131	30249212.000
03/04/2011	10.62	11.00	10.62	10.83	1940101	48714504.000
03/07/2011	10.86	10.88	10.72	10.85	1304237	32668528.000
03/08/2011	10.85	11.29	10.83	11.21	3112904	79901232.000
03/09/2011	11.09	11.20	11.03	11.17	1694301	43607328.000
03/10/2011	11.22	11.24	11.04	11.18	1356092	34980108.000
03/11/2011	11.15	11.44	11.13	11.20	1932906	50473108.000
03/14/2011	11.23	11.56	11.23	11.43	1956243	51794184.000
03/15/2011	11.40	11.56	11.06	11.37	1796722	46961628.000
03/16/2011	11.39	11.54	11.36	11.51	1889206	50133936.000
03/17/2011	11.43	11.52	11.30	11.52	1740140	45934372.000
03/18/2011	11.49	11.53	11.32	11.47	1048018	27701756.000
03/21/2011	11.44	11.88	11.44	11.66	1453804	39292036.000
03/22/2011	11.69	11.69	11.42	11.62	908075	24298746.000
03/23/2011	11.61	11.73	11.58	11.67	796689	21442246.000
03/24/2011	11.66	11.78	11.54	11.54	822259	22112784.000
03/25/2011	11.48	11.53	11.27	11.32	1438621	37807028.000
03/28/2011	11.32	11.44	11.32	11.32	759748	19986546.000
03/29/2011	11.27	11.39	11.13	11.17	1201647	31384292.000
03/30/2011	11.04	11.20	11.00	11.00	721984	18523050.000
03/31/2011	11.11	11.12	10.98	11.01	475386	12156776.000
04/01/2011	11.07	11.18	10.98	11.17	339128	8702650.000
04/06/2011	11.07	11.15	10.92	10.97	341753	8721814.000
04/07/2011	10.97	11.20	10.96	11.11	359721	9267484.000
04/08/2011	11.08	11.12	10.98	11.11	415175	10645184.000
04/11/2011	11.21	11.22	10.79	10.81	495935	12645996.000
04/12/2011	10.69	10.81	10.61	10.68	502579	12476548.000
04/13/2011	10.57	10.81	10.57	10.75	305357	7612060.000
04/14/2011	10.77	10.80	10.65	10.65	252389	6275533.000
04/15/2011	10.64	10.70	10.48	10.53	435959	10678323.000
04/18/2011	10.48	10.56	10.47	10.51	329556	8035099.500
04/19/2011	10.49	10.49	10.37	10.40	433904	10481548.000
04/20/2011	10.45	10.51	10.40	10.45	330411	8021377.000
04/21/2011	10.47	10.64	10.45	10.55	415118	10188473.000
04/22/2011	10.49	10.49	10.24	10.26	611042	14640829.000
04/25/2011	10.27	10.27	9.23	9.84	418647	9573214.000
04/26/2011	9.80	9.82	9.62	9.64	233632	5261813.000
04/27/2011	9.68	9.78	9.44	9.47	173807	3878390.500
04/29/2011	9.18	9.33	9.10	9.27	222494	4769109.500
05/03/2011	9.27	9.42	9.27	9.35	142518	3094493.500
05/04/2011	9.35	9.36	8.97	9.00	239174	5086371.500
05/05/2011	8.98	9.05	8.84	8.98	181977	3803161.000
05/06/2011	8.90	9.05	8.83	8.95	206310	4316924.000
05/09/2011	8.95	9.03	8.87	8.98	215984	4529162.500
05/10/2011	9.08	9.08	8.92	9.01	114167	2392877.000
05/11/2011	8.98	9.13	8.87	9.10	237408	4996393.000
05/12/2011	9.03	9.09	8.94	8.95	162184	3407003.000
05/13/2011	9.00	9.08	8.88	9.05	141678	2963017.000
05/16/2011	9.05	9.33	8.97	9.24	411668	8849510.000
05/17/2011	9.22	9.32	9.15	9.20	158892	3419510.500
05/18/2011	9.29	9.29	9.16	9.27	216460	4649359.500
05/19/2011	9.29	9.29	9.08	9.16	229639	4903012.500
05/20/2011	9.16	9.21	8.91	8.99	137900	2898502.000
05/23/2011	8.92	8.92	8.28	8.28	359520	7135567.000
05/24/2011	8.20	8.46	8.02	8.36	547549	10563761.000
05/25/2011	8.29	8.30	8.04	8.04	372150	7090922.000
05/26/2011	8.09	8.12	7.81	7.84	342010	6389239.000
05/27/2011	7.78	7.80	7.61	7.62	403400	7289005.500
05/30/2011	7.61	7.72	7.55	7.60	350734	6294644.500
05/31/2011	7.60	7.73	7.53	7.73	280289	5029939.500
06/01/2011	7.73	7.79	7.63	7.79	389451	7038429.000
06/02/2011	7.75	7.75	7.42	7.64	427257	7602300.500
06/03/2011	7.67	7.77	7.62	7.69	380218	6876802.500
06/07/2011	7.68	7.81	7.68	7.76	287923	5244938.500
06/08/2011	7.72	7.76	7.54	7.69	252330	4531476.000
06/09/2011	7.71	7.73	7.45	7.45	175830	3127558.250
06/10/2011	7.38	7.48	7.30	7.32	237302	4108640.750
06/13/2011	7.32	7.40	7.18	7.36	149317	2568216.250
06/14/2011	7.39	7.48	7.32	7.42	218535	3812482.250
06/15/2011	7.42	7.45	7.32	7.36	139100	2416616.500
06/16/2011	7.36	7.43	7.25	7.25	130450	2239060.500
06/17/2011	7.28	7.28	7.18	7.18	84309	1433781.125
06/20/2011	7.18	7.18	7.11	7.14	129181	2172798.250
06/21/2011	7.20	7.25	7.10	7.22	144955	2450568.250
06/22/2011	7.20	7.24	7.08	7.17	170300	2872427.000
06/23/2011	7.10	7.44	7.09	7.38	270290	4669075.500
06/24/2011	7.32	7.58	7.32	7.54	341194	5997393.000
06/27/2011	7.54	7.75	7.54	7.63	388411	6981270.000
06/28/2011	7.69	7.69	7.56	7.62	186985	3339768.750
06/29/2011	7.59	7.65	7.49	7.49	162600	2892487.500
06/30/2011	7.58	7.65	7.48	7.60	293361	5211187.000
07/01/2011	7.65	7.69	7.59	7.63	218603	3926558.750
07/04/2011	7.64	7.79	7.64	7.77	327445	5946664.500
07/05/2011	7.80	7.84	7.71	7.77	255600	4656883.000
07/06/2011	7.74	7.96	7.71	7.96	414133	7632537.500
07/07/2011	7.91	8.28	7.88	8.03	961449	18211778.000
07/08/2011	8.04	8.15	7.95	8.04	375465	7063813.500
07/11/2011	8.06	8.24	7.98	8.21	432118	8225549.000
07/12/2011	8.12	8.16	8.07	8.09	542199	10306885.000
07/13/2011	8.11	8.22	8.01	8.21	415936	7924391.000
07/14/2011	8.23	8.37	8.18	8.37	493548	9542207.000
07/15/2011	8.37	8.76	8.33	8.59	835458	16711985.000
07/18/2011	8.60	8.64	8.44	8.46	473359	9427034.000
07/19/2011	8.44	8.44	8.18	8.18	462380	8922482.000
07/20/2011	8.20	8.29	8.14	8.23	229164	4409987.000
07/21/2011	8.20	8.24	8.07	8.07	172280	3294659.250
07/22/2011	8.11	8.24	8.07	8.17	134380	2569901.750
07/25/2011	8.12	8.16	7.67	7.74	322389	6012798.000
07/26/2011	7.75	7.84	7.71	7.76	211333	3846578.750
07/27/2011	7.79	8.10	7.72	8.01	404139	7520790.500
07/28/2011	7.93	8.37	7.89	8.37	614901	11720553.000
07/29/2011	8.38	8.41	8.13	8.16	559740	10794831.000
08/01/2011	8.16	8.59	8.14	8.57	748970	14752778.000
08/02/2011	8.59	9.43	8.59	9.04	2777532	59001852.000
08/03/2011	8.91	9.16	8.84	8.96	1412081	29589374.000
08/04/2011	8.94	8.96	8.65	8.72	891241	18292080.000
08/05/2011	8.44	8.60	8.34	8.48	532275	10577859.000
08/08/2011	8.30	8.48	7.76	7.96	805206	15347837.000
08/09/2011	7.89	8.07	7.62	7.96	509173	9412213.000
08/10/2011	8.16	8.36	8.03	8.29	558449	10743974.000
08/11/2011	8.21	8.62	8.04	8.48	849083	16803492.000
08/12/2011	8.64	8.66	8.42	8.49	688282	13755214.000
08/15/2011	8.61	8.86	8.47	8.78	626854	12714699.000
08/16/2011	8.70	8.84	8.55	8.57	583366	11806544.000
08/18/2011	8.55	8.59	8.29	8.29	1158375	22733582.000
08/19/2011	7.98	8.16	7.98	8.13	455690	8630704.000
08/22/2011	8.20	8.37	8.03	8.28	436041	8433634.000
08/23/2011	8.29	8.69	8.23	8.69	843316	16812694.000
08/24/2011	8.72	9.05	8.64	8.69	1059198	21883576.000
08/25/2011	8.73	8.82	8.52	8.78	576436	11650352.000
08/26/2011	8.78	9.08	8.70	8.98	891382	18608768.000
08/29/2011	8.93	9.23	8.93	9.08	915071	19470194.000
08/30/2011	9.06	9.13	8.65	8.65	871914	18039274.000
09/01/2011	8.64	8.84	8.59	8.65	455737	9273621.000
09/02/2011	8.65	8.69	8.31	8.43	432621	8550857.000
09/05/2011	8.40	8.40	8.17	8.20	288609	5587795.500
09/06/2011	8.16	8.23	8.02	8.09	310268	5905534.500
09/07/2011	8.15	8.36	8.13	8.33	416258	8045308.000
09/08/2011	8.39	8.41	8.13	8.13	452241	8759908.000
09/09/2011	8.13	8.19	7.93	7.98	425618	8022101.500
09/13/2011	7.89	7.89	7.71	7.80	193960	3548450.000
09/14/2011	7.84	8.01	7.75	8.00	224674	4139328.250
09/15/2011	7.95	8.08	7.95	7.98	176949	3323996.250
09/16/2011	8.06	8.08	7.92	7.92	238000	4452467.000
09/19/2011	7.80	7.88	7.76	7.80	165036	3023370.500
09/20/2011	7.82	7.95	7.80	7.89	134149	2476237.500
09/21/2011	7.97	8.16	7.87	8.12	218168	4117103.500
09/22/2011	8.08	8.08	7.80	7.84	219549	4093322.500
09/23/2011	7.80	7.89	7.72	7.87	189699	3471334.750
09/26/2011	7.84	7.89	7.77	7.77	116119	2132432.500
09/27/2011	7.84	7.88	7.75	7.81	96710	1771524.000
09/28/2011	7.88	7.88	7.59	7.60	201250	3647658.500
09/29/2011	7.56	7.64	7.30	7.30	140400	2454676.250
09/30/2011	7.38	7.38	7.15	7.22	110930	1893354.125
10/10/2011	7.24	7.33	7.18	7.22	134805	2307889.000
10/11/2011	7.43	7.44	7.16	7.22	114743	1973378.875
10/12/2011	7.16	7.51	7.15	7.51	237220	4140613.250
10/13/2011	7.45	7.88	7.41	7.80	543167	9790455.000
10/14/2011	7.72	7.86	7.60	7.80	324888	5908207.500
10/17/2011	7.81	7.96	7.74	7.84	253718	4658413.000
10/18/2011	7.80	7.80	7.57	7.57	234350	4233042.500
10/19/2011	7.67	7.67	7.45	7.49	168475	2972929.000
10/20/2011	7.45	7.45	7.22	7.26	152027	2610106.000
10/21/2011	7.24	7.27	7.07	7.10	202618	3419359.750
10/24/2011	6.93	7.23	6.92	7.21	257518	4273488.000
10/25/2011	7.21	7.43	7.10	7.38	237778	4080020.250
10/26/2011	7.34	7.61	7.32	7.46	261870	4597144.500
10/27/2011	7.46	7.58	7.36	7.43	117180	2055446.875
10/28/2011	7.49	7.62	7.43	7.62	310099	5480306.500
10/31/2011	7.66	7.88	7.66	7.73	550391	10051446.000
11/01/2011	7.69	7.79	7.58	7.69	292405	5279168.000
11/02/2011	7.58	8.06	7.45	8.02	647070	11919996.000
11/03/2011	8.13	8.29	7.98	7.99	709724	13563688.000
11/04/2011	8.10	8.18	7.92	8.05	264901	5003822.000
11/07/2011	8.06	8.20	8.02	8.20	355847	6744175.000
11/08/2011	8.14	8.19	8.02	8.02	291174	5533839.000
11/09/2011	8.04	8.44	8.00	8.42	651075	12542016.000
11/10/2011	8.24	8.62	8.24	8.36	1212256	24044012.000
11/11/2011	8.38	8.43	8.20	8.22	537832	10489163.000
11/14/2011	8.33	8.51	8.32	8.44	383921	7576639.500
11/15/2011	8.38	8.50	8.38	8.41	237851	4691942.500
11/16/2011	8.45	8.45	8.02	8.07	410276	7885928.500
11/17/2011	8.16	8.71	8.07	8.37	579445	11325239.000
11/18/2011	8.33	8.36	8.16	8.18	447000	8613920.000
11/21/2011	8.09	8.18	8.02	8.18	204157	3874988.000
11/22/2011	8.20	8.24	8.06	8.19	201472	3838015.750
11/23/2011	8.33	9.04	8.33	8.87	2554568	52838996.000
11/24/2011	8.78	8.78	8.48	8.73	1334074	26888600.000
11/25/2011	8.60	8.73	8.48	8.55	538994	10849455.000
11/28/2011	8.51	8.56	8.29	8.33	654826	12834589.000
11/29/2011	8.47	8.47	8.23	8.42	503542	9815816.000
11/30/2011	8.43	8.43	7.72	7.83	660267	12486392.000
12/01/2011	8.02	8.19	7.95	7.96	356825	6749053.000
12/02/2011	7.87	7.96	7.62	7.67	267092	4863100.500
12/05/2011	7.67	7.71	7.34	7.34	286999	5050385.500
12/06/2011	7.44	7.44	7.24	7.38	170386	2941322.000
12/07/2011	7.38	7.49	7.30	7.44	121314	2121683.250
12/08/2011	7.36	7.61	7.28	7.49	184972	3254921.000
12/09/2011	7.44	7.54	7.44	7.45	99988	1758585.000
12/12/2011	7.45	7.49	7.30	7.36	192950	3349482.000
12/13/2011	7.36	7.36	7.09	7.12	347400	5886532.000
12/14/2011	7.12	7.18	6.96	7.05	222058	3702770.750
12/15/2011	7.00	7.06	6.83	6.86	388584	6357185.500
12/16/2011	6.91	7.12	6.84	7.11	244329	3996948.000
12/19/2011	7.04	7.19	6.89	7.18	332035	5493794.000
12/20/2011	7.11	7.29	7.11	7.11	232930	3956613.750
12/21/2011	7.20	7.22	6.92	6.93	212263	3552693.250
12/22/2011	6.86	6.88	6.59	6.77	297982	4738187.500
12/23/2011	6.70	6.95	6.70	6.81	204408	3300069.500
12/26/2011	6.82	6.92	6.78	6.85	95713	1547334.375
12/27/2011	6.79	6.79	6.58	6.60	137714	2161294.750
12/28/2011	6.51	6.60	6.38	6.52	246800	3785388.000
12/29/2011	6.45	6.58	6.45	6.47	68710	1056782.250
12/30/2011	6.56	6.60	6.50	6.58	138143	2145535.750
01/04/2012	6.68	6.68	6.29	6.29	192800	2952047.750
01/05/2012	6.18	6.29	5.75	5.75	538179	7566140.000
01/06/2012	5.76	5.80	5.58	5.76	159800	2180862.000
01/09/2012	5.76	5.99	5.67	5.99	210809	2959933.000
01/10/2012	5.96	6.22	5.96	6.16	260238	3781211.500
01/11/2012	6.14	6.37	6.13	6.25	544854	8043575.000
01/12/2012	6.24	6.31	6.07	6.16	417740	6121290.000
01/13/2012	6.18	6.18	5.75	5.78	447200	6291624.000
01/16/2012	5.63	5.70	5.51	5.52	141399	1891258.750
01/17/2012	5.57	5.83	5.45	5.81	314401	4259199.000
01/18/2012	5.82	5.84	5.52	5.67	307801	4170532.000
01/19/2012	5.58	5.77	5.58	5.73	233702	3173209.000
01/20/2012	5.67	5.83	5.60	5.79	425352	5792380.500
01/30/2012	5.81	5.87	5.71	5.80	232145	3203019.750
01/31/2012	5.80	5.98	5.67	5.81	201966	2782401.750
02/01/2012	5.82	5.92	5.75	5.79	348501	4849228.000
02/02/2012	5.95	5.95	5.73	5.86	163449	2257886.500
02/03/2012	5.89	6.04	5.44	6.02	549553	7751612.000
02/06/2012	6.02	6.13	5.99	6.04	492370	7054802.000
