300185 通裕重工 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/08/2011	9.35	9.70	9.15	9.51	24521080	593212864.000
03/09/2011	9.87	10.15	9.75	10.03	32319618	821845568.000
03/10/2011	9.95	10.23	9.85	9.95	18361513	471328928.000
03/11/2011	9.96	10.26	9.90	10.04	13693863	354309952.000
03/14/2011	9.95	10.05	9.75	9.91	11590798	293620640.000
03/15/2011	9.89	9.93	9.57	9.83	9386753	234933392.000
03/16/2011	9.83	10.09	9.71	10.01	7746722	196458016.000
03/17/2011	9.91	9.91	9.35	9.41	13498260	332532704.000
03/18/2011	9.51	9.57	9.40	9.42	4488171	108863184.000
03/21/2011	9.45	9.54	9.35	9.47	3069910	74506904.000
03/22/2011	9.50	9.51	9.18	9.31	5466903	130411600.000
03/23/2011	9.39	9.46	9.34	9.40	2986899	72085992.000
03/24/2011	9.41	9.46	9.31	9.31	3425155	82437032.000
03/25/2011	9.26	9.40	9.26	9.33	3042304	72881168.000
03/28/2011	9.35	9.37	9.18	9.21	3885305	92270296.000
03/29/2011	9.19	9.23	8.77	8.80	5764957	132235792.000
03/30/2011	8.76	8.82	8.40	8.51	3969517	87587568.000
03/31/2011	8.59	8.70	8.52	8.61	2167634	48084692.000
04/01/2011	8.59	8.71	8.55	8.70	1772676	39416084.000
04/06/2011	8.65	8.69	8.50	8.55	2468872	54365352.000
04/07/2011	8.53	8.63	8.51	8.58	1719395	37875916.000
04/08/2011	8.55	8.66	8.53	8.66	2015668	44608700.000
04/11/2011	8.66	8.74	8.44	8.49	2865313	62971656.000
04/12/2011	8.51	8.55	8.41	8.46	1646495	35815592.000
04/13/2011	8.45	8.58	8.43	8.58	1482506	32471806.000
04/14/2011	8.55	8.59	8.43	8.45	1634264	35773256.000
04/15/2011	8.43	8.53	8.40	8.52	1266748	27537536.000
04/18/2011	8.53	8.72	8.53	8.60	2457659	54576844.000
04/19/2011	8.57	8.77	8.55	8.69	2421048	53921632.000
04/20/2011	8.63	8.63	8.49	8.59	2424601	53462752.000
04/21/2011	8.59	8.61	8.53	8.54	1554044	34193092.000
04/22/2011	8.56	8.59	8.44	8.46	1566487	34262292.000
04/25/2011	8.43	8.43	8.11	8.11	2977801	62727196.000
04/26/2011	8.06	8.12	7.78	7.83	2005777	40808044.000
04/27/2011	7.91	7.93	7.72	7.77	933138	18813460.000
04/28/2011	7.82	7.82	7.57	7.64	2011761	39696428.000
04/29/2011	7.61	7.70	7.57	7.69	1163659	22960692.000
05/03/2011	7.69	7.77	7.61	7.76	1024700	20373128.000
05/04/2011	7.75	7.75	7.52	7.53	1306348	25662632.000
05/05/2011	7.53	7.62	7.53	7.58	606992	11897617.000
05/06/2011	7.55	7.61	7.44	7.57	831065	16210865.000
05/09/2011	7.63	7.81	7.59	7.73	1468508	29291382.000
05/10/2011	7.71	7.74	7.65	7.73	934501	18579672.000
05/11/2011	7.71	7.83	7.71	7.74	1264961	25397122.000
05/12/2011	7.71	7.79	7.63	7.63	1272070	25291482.000
05/13/2011	7.66	7.67	7.47	7.60	1195096	23250698.000
05/16/2011	7.58	7.79	7.56	7.77	1306357	25908540.000
05/17/2011	7.71	7.75	7.58	7.67	974890	19334824.000
05/19/2011	7.70	7.75	7.63	7.65	706554	14042775.000
05/20/2011	7.65	7.67	7.47	7.52	921230	17942176.000
05/23/2011	7.52	7.52	7.13	7.15	1835171	34555908.000
05/24/2011	7.13	7.34	6.61	7.26	1828885	33768932.000
05/25/2011	7.18	7.26	6.93	6.93	1236699	22678096.000
05/26/2011	6.99	7.01	6.83	6.84	580402	10423682.000
05/27/2011	6.84	6.95	6.79	6.84	786307	13983248.000
05/30/2011	6.83	6.95	6.76	6.84	695536	12405275.000
05/31/2011	6.88	7.00	6.85	6.99	860205	15455680.000
06/01/2011	6.99	7.13	6.99	7.05	1019732	18647640.000
06/02/2011	6.96	6.99	6.78	6.88	737048	13162866.000
06/03/2011	6.88	6.99	6.85	6.91	809968	14538028.000
06/07/2011	6.92	6.95	6.88	6.92	487778	8743015.000
06/08/2011	6.91	6.91	6.55	6.65	4992442	86093944.000
06/09/2011	6.65	6.65	6.43	6.43	3089128	52344576.000
06/10/2011	6.42	6.46	6.10	6.25	3741499	60826308.000
06/13/2011	6.16	6.25	6.05	6.18	3189518	50871076.000
06/14/2011	6.17	6.53	6.13	6.45	4215249	69581080.000
06/15/2011	6.41	6.56	6.35	6.39	3860030	64855768.000
06/16/2011	6.33	6.39	6.22	6.22	1461586	23898950.000
06/17/2011	6.26	6.27	6.18	6.21	977726	15795216.000
06/20/2011	6.24	6.39	6.16	6.27	2720563	44477120.000
06/21/2011	6.29	6.39	6.23	6.31	1899885	31115244.000
06/22/2011	6.32	6.43	6.27	6.35	1920404	31711064.000
06/23/2011	6.35	6.62	6.31	6.55	3489918	59030508.000
06/24/2011	6.51	6.71	6.49	6.65	4017480	69063808.000
06/27/2011	6.66	6.84	6.63	6.71	3993027	69689224.000
06/28/2011	6.72	6.74	6.60	6.70	2269797	39168228.000
06/29/2011	6.68	6.81	6.55	6.55	2227061	38572568.000
06/30/2011	6.61	6.82	6.57	6.75	2418890	42112036.000
07/01/2011	6.76	6.97	6.72	6.81	3866418	68761352.000
07/04/2011	6.81	7.06	6.80	7.03	3026730	54283580.000
07/05/2011	7.01	7.10	6.95	7.00	2016939	36589512.000
07/06/2011	6.99	7.15	6.89	7.09	2069253	37448568.000
07/07/2011	7.06	7.18	7.01	7.04	3422845	62974484.000
07/08/2011	6.96	7.02	6.87	6.93	2008945	36035564.000
07/11/2011	6.92	7.02	6.87	6.97	1436912	25915082.000
07/12/2011	6.90	6.93	6.74	6.74	2249326	39701368.000
07/13/2011	6.74	6.93	6.74	6.92	1728696	30692078.000
07/14/2011	6.95	7.13	6.92	7.11	2568236	46803632.000
07/15/2011	7.15	7.33	7.14	7.21	3285824	61526040.000
07/19/2011	7.12	7.13	6.97	6.98	1793760	32563900.000
07/20/2011	7.03	7.08	6.83	6.93	1806670	32487614.000
07/21/2011	6.90	6.95	6.80	6.81	1597645	28427562.000
07/22/2011	6.82	6.89	6.75	6.79	1656705	29298542.000
07/25/2011	6.75	6.83	6.52	6.53	2113488	36431732.000
07/26/2011	6.54	6.58	6.47	6.55	1283356	21753100.000
07/27/2011	6.55	6.66	6.47	6.66	1167518	19978812.000
07/28/2011	6.59	6.89	6.56	6.83	2692091	47323092.000
07/29/2011	6.87	6.87	6.69	6.70	1251770	21950464.000
08/01/2011	6.56	7.14	6.56	6.94	2906510	52171752.000
08/02/2011	6.90	7.38	6.83	7.30	8500811	157830336.000
08/03/2011	7.19	7.38	7.15	7.25	4961797	93275320.000
08/04/2011	7.20	7.30	7.11	7.13	2305056	42783092.000
08/05/2011	6.87	7.33	6.83	7.22	5086800	94410536.000
08/08/2011	7.11	7.14	6.51	6.95	4587073	82067208.000
08/09/2011	6.74	7.32	6.62	7.13	4777573	86798992.000
08/10/2011	7.27	7.45	7.12	7.20	7673912	145004560.000
08/11/2011	6.97	7.44	6.95	7.43	6755538	127862496.000
08/12/2011	7.44	7.57	7.31	7.40	5085829	97795896.000
08/15/2011	7.39	7.49	7.34	7.43	3586261	68777904.000
08/16/2011	7.45	7.52	7.27	7.43	5885530	112873088.000
08/17/2011	7.37	7.43	7.23	7.33	2880610	54543624.000
08/18/2011	7.33	7.37	7.08	7.15	2422959	45206868.000
08/19/2011	6.99	7.23	6.96	7.17	3777200	69309008.000
08/22/2011	7.17	7.33	7.11	7.17	2439273	45712052.000
08/23/2011	7.17	7.39	7.16	7.38	3865938	73138720.000
08/24/2011	7.46	7.46	7.24	7.24	3212860	60971036.000
08/25/2011	7.23	7.29	6.96	7.11	4202135	77098880.000
08/26/2011	7.11	7.19	7.05	7.18	2136057	39524428.000
08/29/2011	7.13	7.30	7.08	7.26	2402996	44742632.000
08/30/2011	7.29	7.43	7.07	7.09	2976665	56017032.000
08/31/2011	7.05	7.11	6.90	6.94	2000393	36153280.000
09/01/2011	6.97	7.01	6.87	6.88	1305885	23435914.000
09/02/2011	6.88	6.92	6.67	6.70	1215063	21276248.000
09/05/2011	6.68	6.68	6.41	6.41	2000988	33717220.000
09/06/2011	6.39	6.46	6.32	6.35	948878	15760376.000
09/07/2011	6.51	6.63	6.35	6.53	2085764	35313876.000
09/08/2011	6.59	6.71	6.47	6.47	1331789	22692432.000
09/09/2011	6.51	6.59	6.44	6.49	865919	14655603.000
09/13/2011	6.41	6.41	6.28	6.35	695007	11451799.000
09/14/2011	6.43	6.49	6.28	6.49	1007551	16742018.000
09/15/2011	6.54	6.67	6.49	6.55	2487525	42523620.000
09/16/2011	6.56	6.61	6.49	6.53	824376	14007396.000
09/19/2011	6.55	6.55	6.31	6.31	1158429	19149484.000
09/20/2011	6.35	6.45	6.27	6.38	920592	15171047.000
09/21/2011	6.39	6.61	6.39	6.61	2062891	34977284.000
09/22/2011	6.55	6.56	6.31	6.33	1403610	23495100.000
09/23/2011	6.22	6.25	6.13	6.21	1843786	29659096.000
09/26/2011	6.21	6.30	6.13	6.15	2016246	32737190.000
09/27/2011	6.27	6.27	6.12	6.17	963083	15482687.000
09/28/2011	6.22	6.24	6.03	6.06	855757	13656317.000
09/29/2011	6.06	6.09	5.87	5.89	1013150	15729493.000
09/30/2011	5.93	5.97	5.85	5.93	760950	11711195.000
10/10/2011	5.95	6.03	5.86	5.91	623917	9599919.000
10/11/2011	6.11	6.13	5.86	5.95	1734840	27155010.000
10/12/2011	5.87	6.22	5.84	6.15	1521475	24094196.000
10/13/2011	6.12	6.23	6.12	6.18	1256306	20202482.000
10/14/2011	6.15	6.17	6.04	6.10	937412	14871277.000
10/17/2011	6.10	6.28	6.08	6.26	3280780	53019228.000
10/18/2011	6.18	6.23	5.95	5.96	1417239	22547092.000
10/19/2011	6.02	6.15	5.96	6.11	1889088	29974922.000
10/20/2011	6.09	6.09	5.87	5.95	988452	15315338.000
10/21/2011	5.95	6.07	5.88	5.96	1042610	16280533.000
10/24/2011	5.96	6.13	5.90	6.11	3146210	49386572.000
10/25/2011	6.11	6.22	6.03	6.19	2566349	41034544.000
10/26/2011	6.13	6.26	6.10	6.16	2700360	43434696.000
10/27/2011	6.21	6.23	6.11	6.13	1684710	26979804.000
10/28/2011	6.21	6.23	6.07	6.18	2535805	40595960.000
10/31/2011	6.18	6.25	6.13	6.23	2186365	35286704.000
11/01/2011	6.15	6.25	6.14	6.22	1868289	30140168.000
11/02/2011	6.13	6.34	6.01	6.28	3421747	54802464.000
11/03/2011	6.33	6.41	6.27	6.28	3749021	61715652.000
11/04/2011	6.29	6.35	6.25	6.33	2154694	35306572.000
11/07/2011	6.35	6.43	6.28	6.30	1890906	31211220.000
11/08/2011	6.29	6.32	6.18	6.18	1590027	25804758.000
11/09/2011	6.21	6.26	6.13	6.24	1560727	25193344.000
11/10/2011	6.17	6.40	6.15	6.25	3553525	58128460.000
11/11/2011	6.23	6.49	6.23	6.35	3487475	57640092.000
11/14/2011	6.40	6.55	6.34	6.46	3877742	65219160.000
11/15/2011	6.43	6.53	6.38	6.43	3384171	56497164.000
11/16/2011	6.43	6.47	6.19	6.23	2306107	37969208.000
11/17/2011	6.23	6.33	6.21	6.25	1367951	22274020.000
11/18/2011	6.22	6.22	6.03	6.04	2125306	33733128.000
11/21/2011	6.07	6.11	5.97	6.08	808155	12679582.000
11/22/2011	6.03	6.08	5.98	6.07	668077	10493204.000
11/23/2011	6.07	6.20	6.01	6.12	1490384	23691426.000
11/24/2011	6.07	6.13	5.95	6.05	947323	14905119.000
11/25/2011	6.03	6.11	5.94	5.95	1137529	17848574.000
11/28/2011	6.07	6.08	5.92	5.97	915029	14291157.000
11/29/2011	6.01	6.04	5.96	6.03	964591	15081223.000
11/30/2011	6.04	6.04	5.50	5.57	2485835	37163400.000
12/01/2011	5.73	5.79	5.62	5.64	2307525	34239288.000
12/02/2011	5.59	5.64	5.45	5.47	1301497	18745394.000
12/05/2011	5.54	5.54	5.30	5.31	1194566	16792002.000
12/06/2011	5.29	5.37	5.29	5.36	871607	12174217.000
12/07/2011	5.35	5.39	5.31	5.32	681800	9538986.000
12/08/2011	5.31	5.38	5.19	5.31	1219237	16876032.000
12/09/2011	5.26	5.33	5.20	5.25	781125	10742660.000
12/12/2011	5.25	5.30	5.23	5.27	600986	8291030.000
12/13/2011	5.25	5.26	5.09	5.10	1037998	14045461.000
12/14/2011	5.13	5.19	5.05	5.05	772864	10362535.000
