300186 大华农 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/08/2011	10.75	10.99	10.16	10.21	32526966	747918336.000
03/09/2011	10.19	10.28	9.92	10.18	12229800	270959840.000
03/10/2011	10.10	10.15	10.04	10.06	5724644	126905608.000
03/11/2011	10.00	10.17	9.98	10.06	4651290	103104272.000
03/14/2011	10.09	10.27	10.04	10.18	5021952	112168208.000
03/15/2011	10.23	10.38	10.05	10.15	6809369	152211184.000
03/16/2011	10.11	10.19	10.07	10.14	3459783	76985296.000
03/17/2011	10.13	10.13	9.92	9.94	4673541	102900040.000
03/18/2011	9.97	10.04	9.86	9.96	2518971	55139136.000
03/21/2011	9.95	9.98	9.80	9.88	2342912	50937980.000
03/22/2011	9.88	9.91	9.75	9.81	2105333	45503224.000
03/23/2011	9.82	9.92	9.80	9.92	1563278	34008596.000
03/24/2011	9.94	9.98	9.86	9.94	1949425	42552936.000
03/25/2011	9.93	9.96	9.83	9.89	1557341	33939844.000
03/28/2011	9.90	9.94	9.75	9.75	2082641	45040516.000
03/29/2011	9.75	9.75	9.29	9.35	3421030	71792984.000
03/30/2011	9.28	9.34	9.17	9.20	1456761	29788582.000
03/31/2011	9.25	9.39	9.23	9.29	978310	20154580.000
04/01/2011	9.29	9.43	9.26	9.39	948606	19595830.000
04/06/2011	9.33	9.39	9.18	9.20	1249831	25603794.000
04/07/2011	9.24	9.29	9.11	9.20	1139444	23266034.000
04/08/2011	9.19	9.29	9.19	9.26	970475	19899976.000
04/11/2011	9.28	9.29	8.97	9.00	2612340	52655512.000
04/13/2011	8.97	9.18	8.93	9.15	1132890	22832180.000
04/14/2011	9.15	9.15	9.04	9.06	883011	17816430.000
04/15/2011	9.02	9.11	9.00	9.03	822880	16518429.000
04/18/2011	9.04	9.06	8.98	9.03	734900	14736644.000
04/19/2011	9.03	9.13	8.99	9.08	1074401	21590770.000
04/20/2011	9.08	9.28	9.05	9.24	1580980	32188782.000
04/21/2011	9.23	9.27	9.15	9.16	823924	16777764.000
04/22/2011	9.15	9.20	9.09	9.10	790333	16017745.000
04/25/2011	9.08	9.10	8.84	8.87	1335844	26515898.000
04/26/2011	8.82	8.82	8.48	8.51	1603570	30795468.000
04/27/2011	8.51	8.59	8.29	8.35	1102804	20725998.000
04/28/2011	8.38	8.40	8.08	8.09	831381	15367366.000
04/29/2011	8.14	8.19	8.08	8.18	517727	9464280.000
05/03/2011	8.19	8.30	8.14	8.27	519868	9591815.000
05/04/2011	8.22	8.27	8.04	8.04	627362	11447875.000
05/05/2011	8.04	8.14	8.01	8.10	384282	6977094.000
05/06/2011	8.05	8.32	8.02	8.24	779058	14375527.000
05/10/2011	8.21	8.37	8.20	8.30	470650	8739274.000
05/11/2011	8.26	8.40	8.25	8.26	543747	10120358.000
05/12/2011	8.24	8.24	8.07	8.08	446463	8175380.000
05/13/2011	8.11	8.15	8.03	8.10	364402	6612108.500
05/16/2011	8.10	8.24	8.08	8.15	242528	4432601.500
05/17/2011	8.13	8.21	8.10	8.17	315365	5775733.000
05/18/2011	8.13	8.20	8.13	8.18	322841	5924976.500
05/19/2011	8.20	8.21	8.10	8.13	337288	6177889.000
05/20/2011	8.10	8.15	7.99	8.00	565376	10221022.000
05/23/2011	7.95	7.97	7.58	7.59	974410	17026730.000
05/24/2011	7.53	7.72	7.32	7.67	785414	13436306.000
05/25/2011	7.63	7.67	7.35	7.37	478176	8141345.500
05/26/2011	7.43	7.55	7.36	7.36	318887	5389166.000
05/27/2011	7.26	7.40	7.25	7.26	427153	7095960.500
05/30/2011	7.24	7.38	7.21	7.25	357859	5942013.500
05/31/2011	7.35	7.42	7.22	7.38	442190	7367522.000
06/01/2011	7.35	7.53	7.34	7.48	654668	11070783.000
06/02/2011	7.39	7.44	7.26	7.37	390107	6510040.000
06/03/2011	7.37	7.54	7.37	7.53	440183	7450374.000
06/07/2011	7.55	7.55	7.46	7.53	295664	5034381.000
06/08/2011	7.56	7.56	7.39	7.42	599577	9912311.000
06/09/2011	7.41	7.42	7.28	7.29	467926	7660052.000
06/10/2011	7.28	7.28	6.54	6.75	4916979	74978120.000
06/13/2011	6.65	6.72	6.56	6.66	1743215	26067308.000
06/14/2011	6.67	6.81	6.66	6.76	1469463	22319140.000
06/15/2011	6.73	6.78	6.69	6.70	809716	12271340.000
06/16/2011	6.65	6.70	6.38	6.41	1901417	27952716.000
06/17/2011	6.41	6.44	6.30	6.39	1329480	19220076.000
06/21/2011	6.32	6.39	6.25	6.39	1479105	21237402.000
06/22/2011	6.41	6.43	6.28	6.39	928601	13399087.000
06/23/2011	6.38	6.60	6.30	6.57	1709177	25155828.000
06/24/2011	6.51	6.77	6.48	6.75	2274028	34208212.000
06/27/2011	6.72	6.84	6.70	6.78	1849568	28236940.000
06/28/2011	6.77	6.79	6.66	6.76	995685	15070872.000
06/29/2011	6.80	6.82	6.61	6.61	1181443	17884376.000
06/30/2011	6.63	6.75	6.62	6.71	1255820	18943920.000
