300187 永清环保 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/08/2011	15.84	16.32	15.58	16.04	11334236	547728000.000
03/09/2011	16.01	16.37	15.78	16.08	5294659	257277696.000
03/10/2011	16.17	16.50	15.92	16.32	3294856	162127408.000
03/11/2011	16.10	17.14	15.94	16.98	4016624	201351584.000
03/14/2011	17.14	18.14	17.00	17.07	3134457	165936800.000
03/15/2011	17.38	18.68	17.14	18.38	3103682	167054720.000
03/16/2011	18.12	18.70	17.84	18.39	1909229	105205008.000
03/17/2011	18.37	18.38	17.75	17.98	1571499	85402224.000
03/18/2011	18.21	18.24	17.68	17.82	1102033	59686016.000
03/21/2011	17.97	18.50	17.48	18.31	1363368	74258752.000
03/22/2011	18.24	18.34	17.51	17.61	1379187	74261568.000
03/23/2011	17.48	17.80	17.18	17.48	803516	42506088.000
03/24/2011	17.46	17.68	17.35	17.41	680891	36039800.000
03/25/2011	17.28	17.57	17.01	17.11	1433182	74793144.000
03/28/2011	17.09	17.18	16.51	16.51	1253242	63953560.000
03/29/2011	16.50	16.67	15.78	15.78	1220377	60025808.000
03/30/2011	15.75	15.93	15.18	15.29	945555	44438484.000
03/31/2011	15.34	15.80	15.31	15.69	773112	36565368.000
04/01/2011	15.74	16.64	15.74	16.48	876364	43072992.000
04/06/2011	16.49	16.77	16.28	16.59	618438	31010090.000
04/07/2011	16.50	17.01	16.21	17.01	581795	29290590.000
04/08/2011	17.01	17.22	16.84	17.12	452365	23361388.000
04/11/2011	17.11	17.11	16.41	16.78	610558	30626894.000
04/12/2011	16.52	16.84	16.24	16.59	270206	13496929.000
04/13/2011	16.67	16.73	16.45	16.65	238099	11976350.000
04/14/2011	16.73	17.34	16.35	17.27	468175	23889512.000
04/15/2011	17.27	17.44	16.94	17.02	210432	10976124.000
04/18/2011	16.73	16.94	16.46	16.94	241786	12189095.000
04/19/2011	16.74	16.82	16.51	16.68	112366	5657887.000
04/20/2011	16.57	17.44	16.57	17.02	202843	10541883.000
04/21/2011	17.14	17.18	16.88	17.10	115148	5949291.500
04/22/2011	17.33	17.33	16.99	17.14	202951	10542711.000
04/25/2011	17.20	17.20	16.44	16.51	274445	13799384.000
04/26/2011	15.83	16.14	15.79	15.94	359888	17324852.000
04/27/2011	16.14	16.37	15.89	15.99	160020	7804267.000
04/28/2011	16.14	16.14	15.62	15.62	88948	4259463.000
04/29/2011	15.45	16.03	15.45	15.97	97805	4682934.500
05/03/2011	15.97	16.31	15.86	16.27	87732	4286081.000
