300188 美亚柏科 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/16/2011	11.55	12.93	11.43	12.37	9342406	451006528.000
03/17/2011	12.00	12.93	11.85	12.35	4151487	207343616.000
03/18/2011	12.55	13.37	12.33	13.35	3410169	177349536.000
03/21/2011	13.57	13.58	12.99	13.42	2088310	111901072.000
03/22/2011	13.29	13.80	13.00	13.47	2015112	108807384.000
03/23/2011	13.33	13.56	13.15	13.35	1054429	56810688.000
03/24/2011	13.33	14.33	13.22	14.02	1284655	71645536.000
03/25/2011	13.87	14.21	13.73	13.77	756799	42735844.000
03/28/2011	13.61	13.91	12.68	12.68	1171098	62260484.000
03/29/2011	12.54	12.57	12.15	12.35	864437	43096620.000
03/30/2011	12.33	12.47	11.73	11.86	448765	22030630.000
03/31/2011	11.86	12.22	11.86	12.08	311794	15227682.000
04/01/2011	12.03	12.15	11.60	12.12	395897	19171100.000
04/06/2011	12.07	12.09	11.49	11.60	885371	41799884.000
04/07/2011	11.59	12.10	11.50	11.86	448817	21546202.000
04/08/2011	11.80	12.02	11.80	11.85	285620	13744175.000
04/11/2011	11.77	11.85	11.40	11.44	549145	25763082.000
04/12/2011	11.44	11.68	11.44	11.64	212325	9954045.000
04/13/2011	11.61	12.32	11.55	12.10	521832	25408222.000
04/14/2011	12.07	12.19	11.84	12.15	272016	13235386.000
04/15/2011	12.04	12.19	11.87	12.17	275867	13480372.000
04/18/2011	11.99	12.28	11.85	12.01	257214	12539079.000
04/19/2011	11.87	11.87	11.50	11.71	311887	14744434.000
04/20/2011	11.70	11.82	11.56	11.82	191814	9117195.000
04/21/2011	12.07	12.31	11.85	11.92	352028	17185038.000
04/22/2011	11.86	12.10	11.82	11.94	164323	7968799.500
04/25/2011	11.63	12.32	11.47	12.00	376007	18237092.000
04/26/2011	11.77	11.99	11.12	11.60	234925	11060169.000
04/27/2011	11.52	11.85	11.41	11.55	142348	6702681.500
04/28/2011	11.55	11.67	11.22	11.46	142575	6595960.500
04/29/2011	11.25	11.46	11.10	11.44	154675	7027654.000
05/03/2011	11.39	11.60	11.22	11.59	64895	3009953.000
05/04/2011	11.72	11.81	11.37	11.51	71901	3378051.000
05/06/2011	11.34	11.69	11.34	11.58	42467	1984810.625
05/09/2011	11.60	12.04	11.60	11.87	89251	4285172.000
05/10/2011	11.99	11.99	11.76	11.77	65372	3125080.250
05/11/2011	11.72	11.82	11.35	11.45	109645	5142636.500
05/12/2011	11.45	11.62	11.41	11.42	87400	4071048.000
05/13/2011	11.57	11.77	11.50	11.57	76352	3587312.750
05/16/2011	11.65	11.82	11.50	11.66	126168	5943491.500
05/17/2011	11.67	11.73	11.35	11.59	65372	3053620.500
05/18/2011	11.85	12.06	11.57	11.59	413542	19887490.000
05/19/2011	11.40	11.52	11.13	11.15	225358	10325439.000
05/20/2011	11.15	11.34	10.73	10.74	225611	10034720.000
05/23/2011	10.80	10.86	10.27	10.30	138590	5919165.500
05/24/2011	10.22	10.58	10.10	10.46	93937	3958831.000
05/25/2011	10.21	10.53	10.00	10.03	123129	5102336.500
05/26/2011	10.21	10.22	9.57	9.62	314858	12517105.000
05/27/2011	9.70	9.70	9.14	9.32	160650	6102120.500
05/30/2011	9.30	9.60	9.21	9.34	84370	3218491.500
05/31/2011	9.33	9.39	8.77	9.04	670317	24551162.000
06/01/2011	8.90	9.44	8.85	9.44	373894	13902160.000
06/02/2011	9.27	9.33	9.02	9.19	177611	6621244.500
06/03/2011	9.22	9.36	9.10	9.32	98640	3702565.750
06/07/2011	9.29	9.58	9.27	9.57	165429	6377040.500
06/08/2011	9.57	9.84	9.37	9.59	157155	6094092.500
06/09/2011	9.58	9.59	9.17	9.17	168430	6391377.000
06/10/2011	9.17	9.30	9.10	9.29	76900	2867162.000
06/13/2011	9.27	9.27	8.98	9.14	107160	3970323.000
06/14/2011	9.23	9.29	9.11	9.15	90230	3374960.500
06/15/2011	9.31	9.31	9.10	9.16	73610	2737413.500
06/16/2011	9.24	9.24	9.00	9.07	55404	2038181.375
06/17/2011	8.98	9.14	8.97	8.99	38598	1423238.875
06/20/2011	8.89	8.95	8.80	8.82	56314	2029951.500
06/21/2011	8.92	8.92	8.82	8.91	25619	926341.563
06/22/2011	8.92	8.97	8.84	8.94	14983	542999.750
06/23/2011	8.93	9.47	8.88	9.33	100267	3764896.750
06/24/2011	9.32	9.57	9.20	9.44	128541	4931385.500
06/27/2011	9.52	9.52	9.17	9.35	336440	12789323.000
06/28/2011	9.25	9.38	9.07	9.18	210978	7886934.500
06/29/2011	9.15	9.19	8.86	8.94	222098	8139458.000
06/30/2011	8.95	9.12	8.92	8.94	301849	11059480.000
07/01/2011	8.99	9.12	8.96	9.05	243750	8979531.000
07/04/2011	9.00	9.28	8.98	9.28	274360	10231374.000
07/05/2011	9.27	9.53	9.23	9.43	324120	12386975.000
07/06/2011	9.43	9.50	9.27	9.44	197513	7510248.500
07/07/2011	9.43	10.10	9.37	9.85	714169	28297028.000
07/08/2011	9.80	9.92	9.70	9.83	185975	7408452.000
07/11/2011	9.75	9.81	9.51	9.72	177500	6961264.500
07/12/2011	9.60	9.60	9.27	9.35	170401	6509004.500
07/13/2011	9.34	9.52	9.34	9.47	255706	9828833.000
07/14/2011	9.54	9.75	9.46	9.72	254986	9969474.000
07/15/2011	9.62	9.95	9.62	9.90	254222	10164763.000
07/18/2011	9.97	10.34	9.95	10.32	363478	14928942.000
07/19/2011	10.34	10.34	9.86	10.03	326349	13425169.000
07/20/2011	10.05	10.34	10.05	10.27	260106	10719588.000
07/21/2011	10.05	10.22	9.74	9.85	370288	14887819.000
07/22/2011	9.85	9.90	9.72	9.83	160500	6383470.500
07/25/2011	9.75	9.77	9.47	9.52	124618	4868541.500
07/26/2011	9.65	9.65	9.22	9.34	271786	10300995.000
07/27/2011	9.30	9.55	9.25	9.51	164209	6283592.000
07/28/2011	9.47	9.47	9.32	9.44	281700	10730531.000
07/29/2011	9.53	9.57	9.27	9.32	137698	5224811.500
08/01/2011	9.21	9.66	9.21	9.53	201386	7767431.500
08/02/2011	9.59	9.59	9.28	9.57	204652	7871032.000
08/03/2011	9.50	10.31	9.44	9.98	694488	28407600.000
08/04/2011	9.85	10.07	9.85	9.98	451693	18293464.000
08/05/2011	9.38	10.04	9.38	9.87	311499	12351884.000
08/08/2011	9.85	9.85	9.32	9.55	366321	14149992.000
08/09/2011	9.35	9.65	9.22	9.56	495898	19196378.000
08/10/2011	9.76	9.94	9.51	9.90	339541	13597709.000
08/11/2011	9.60	10.52	9.60	10.17	682920	28306184.000
08/12/2011	10.21	10.82	10.21	10.76	1190459	51015960.000
08/15/2011	10.82	11.17	10.60	11.14	652935	29221518.000
08/16/2011	11.07	11.09	10.74	10.75	582781	25689168.000
08/17/2011	10.64	10.96	10.63	10.84	150395	6595074.000
08/18/2011	10.71	10.85	10.54	10.61	238319	10276750.000
08/19/2011	10.48	10.59	10.32	10.57	125527	5337711.000
08/22/2011	10.60	10.85	10.50	10.50	226858	9809582.000
08/23/2011	10.67	10.67	10.41	10.65	304620	13036058.000
08/24/2011	10.74	11.17	10.43	10.57	587652	25664366.000
08/25/2011	10.60	10.86	10.42	10.85	217171	9405209.000
08/26/2011	10.80	11.05	10.78	10.97	198131	8798901.000
08/29/2011	10.86	11.12	10.75	10.92	207320	9211228.000
08/30/2011	10.89	11.42	10.80	10.80	541033	24422984.000
08/31/2011	10.81	10.84	10.44	10.67	371779	15961240.000
09/01/2011	10.72	10.81	10.36	10.67	358359	15333968.000
09/02/2011	10.60	10.60	10.34	10.59	185225	7850467.000
