300189 神农大丰 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/16/2011	10.25	10.84	10.06	10.39	23869676	642829760.000
03/17/2011	9.86	10.25	9.77	9.81	10296827	265205664.000
03/18/2011	9.98	10.25	9.86	9.97	6545642	170010400.000
03/21/2011	10.05	10.32	9.99	10.09	4885509	128216496.000
03/22/2011	10.09	10.35	10.02	10.30	5347951	141374992.000
03/23/2011	10.30	10.30	10.06	10.19	4439931	116423592.000
03/24/2011	10.13	10.17	9.90	9.95	4644613	120335408.000
03/25/2011	9.91	10.05	9.88	9.94	2760332	71115904.000
03/28/2011	9.91	10.00	9.76	9.76	3292330	83783856.000
03/29/2011	9.70	9.70	9.28	9.34	3544416	86475080.000
03/30/2011	9.31	9.37	9.18	9.33	2006193	48158916.000
03/31/2011	9.30	9.45	9.29	9.34	1302825	31586828.000
04/01/2011	9.35	9.42	9.32	9.34	1057407	25617928.000
04/06/2011	9.27	9.34	9.03	9.04	1948607	46170552.000
04/07/2011	9.04	9.24	8.90	9.15	1252143	29580362.000
04/08/2011	9.17	9.30	9.12	9.23	905457	21650486.000
04/11/2011	9.21	9.23	8.91	8.95	1715609	40078536.000
04/12/2011	8.95	9.02	8.89	8.97	935473	21707048.000
04/13/2011	8.96	9.14	8.94	9.10	919003	21563890.000
04/14/2011	9.12	9.33	9.12	9.20	1437300	34436824.000
04/15/2011	9.14	9.15	8.96	9.06	964264	22584194.000
04/18/2011	9.07	9.22	9.03	9.20	1017854	24072046.000
04/19/2011	9.24	9.58	9.24	9.31	2767140	67484272.000
04/20/2011	9.27	9.35	9.14	9.23	1225774	29167530.000
04/21/2011	9.20	9.27	9.09	9.12	1174589	27818704.000
04/22/2011	9.11	9.12	9.00	9.05	891866	20889162.000
04/25/2011	9.08	9.08	8.80	8.80	984158	22679138.000
04/26/2011	8.82	8.84	8.53	8.60	1045437	23351128.000
04/27/2011	8.61	8.67	8.30	8.35	703820	15460772.000
04/28/2011	8.69	8.79	8.41	8.45	1584991	35373440.000
04/29/2011	8.52	8.76	8.45	8.70	1461438	32800634.000
05/03/2011	8.73	8.84	8.69	8.80	1023932	23264968.000
05/04/2011	8.80	8.80	8.57	8.63	910016	20355482.000
05/05/2011	8.63	8.80	8.55	8.77	936520	21197196.000
05/06/2011	8.66	8.92	8.63	8.90	1179383	27011942.000
05/09/2011	8.91	8.96	8.80	8.84	817963	18786246.000
05/10/2011	8.84	8.86	8.71	8.78	770575	17477816.000
05/11/2011	8.96	9.07	8.86	8.87	1505763	34937136.000
05/12/2011	8.77	8.82	8.57	8.57	1054089	23770824.000
05/13/2011	8.68	8.68	8.52	8.64	571915	12719453.000
05/16/2011	8.65	8.68	8.57	8.58	551435	12311168.000
05/17/2011	8.56	8.74	8.55	8.67	725873	16220772.000
05/18/2011	8.69	8.71	8.64	8.68	565079	12694653.000
05/19/2011	8.69	8.79	7.87	8.53	782584	17527588.000
05/20/2011	8.53	8.54	8.18	8.22	1169531	25246548.000
05/23/2011	8.14	8.34	7.98	8.03	944245	19991200.000
05/24/2011	7.96	8.24	7.88	8.18	1368160	28655486.000
05/25/2011	8.13	8.29	8.05	8.07	995422	21144962.000
05/26/2011	8.18	8.33	8.06	8.07	1063491	22583550.000
05/27/2011	8.07	8.14	7.86	7.87	734681	15152665.000
05/30/2011	7.87	8.09	7.86	7.96	723159	15011201.000
06/01/2011	8.05	8.27	8.02	8.20	1355157	28679670.000
06/02/2011	8.14	8.14	7.96	8.10	1023052	21342410.000
06/03/2011	8.10	8.21	8.07	8.16	923506	19552570.000
06/07/2011	8.15	8.16	8.07	8.10	651764	13708973.000
06/08/2011	8.06	8.14	7.98	8.08	603165	12591724.000
06/09/2011	8.10	8.10	7.71	7.75	1015225	20753316.000
06/10/2011	7.73	7.76	7.52	7.63	798442	15785366.000
06/13/2011	7.52	7.56	7.33	7.48	559765	10824374.000
06/14/2011	7.52	7.64	7.47	7.61	733961	14441761.000
06/15/2011	7.60	7.73	7.52	7.54	872984	17352246.000
06/16/2011	7.49	7.49	7.24	7.25	1682730	32026356.000
06/17/2011	7.18	7.32	7.08	7.09	1653397	30681902.000
06/20/2011	7.05	7.10	6.89	6.93	1009013	18232886.000
06/21/2011	6.95	7.02	6.90	7.02	897964	16276484.000
