300190 维尔利 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/16/2011	23.85	25.54	22.07	22.41	8111611	544975744.000
03/17/2011	22.83	24.39	22.80	23.55	4994489	344415552.000
03/18/2011	24.01	24.15	23.49	24.00	2363182	165599168.000
03/21/2011	23.82	24.73	23.63	23.73	2060908	145993712.000
03/22/2011	23.59	23.68	22.23	22.68	2347620	158294656.000
03/23/2011	23.07	23.56	22.93	23.27	1615601	110218360.000
03/24/2011	23.73	24.28	23.60	23.80	1723686	121128720.000
03/25/2011	23.79	25.04	23.14	24.32	1414895	100597808.000
03/28/2011	24.14	24.46	22.78	23.16	1272836	88238776.000
03/29/2011	22.80	23.00	21.38	22.09	1568754	103018688.000
03/30/2011	21.90	22.03	20.79	20.92	1083863	68116496.000
03/31/2011	20.89	21.37	20.89	21.22	609656	37949048.000
04/01/2011	21.09	21.33	20.35	21.11	513432	31583162.000
04/06/2011	20.99	20.99	20.37	20.97	466550	28420122.000
04/07/2011	20.95	21.29	20.73	21.25	283175	17617834.000
04/08/2011	21.25	21.37	21.03	21.32	270997	16950586.000
04/11/2011	21.24	21.53	20.07	20.11	761907	46178884.000
04/12/2011	20.13	20.16	19.78	19.87	331578	19507388.000
04/13/2011	19.95	20.40	19.87	20.25	263819	15702484.000
04/14/2011	20.26	20.34	19.88	20.34	350069	20694494.000
04/15/2011	20.26	20.34	19.46	19.62	406849	23704798.000
04/18/2011	19.53	19.62	19.15	19.30	468519	26742906.000
04/19/2011	19.05	19.70	19.05	19.55	321511	18412902.000
04/20/2011	19.62	19.98	19.32	19.73	322070	18758806.000
04/21/2011	19.36	19.84	19.36	19.46	228122	13204982.000
04/22/2011	19.84	20.75	19.81	20.33	712118	42683144.000
04/25/2011	20.10	20.68	19.89	20.57	320567	19205902.000
04/26/2011	20.50	21.37	20.41	20.81	480198	29720670.000
04/27/2011	20.76	21.03	19.60	19.64	478411	28316424.000
04/28/2011	19.94	20.15	18.83	18.93	476759	27217568.000
05/03/2011	19.12	19.15	18.84	18.91	265822	14932168.000
05/04/2011	18.80	18.94	18.13	18.23	319868	17373928.000
05/05/2011	18.15	18.48	18.07	18.32	135257	7308084.500
05/06/2011	18.21	18.37	17.96	18.24	140568	7550860.000
05/09/2011	18.25	18.74	18.24	18.42	182956	10000872.000
05/10/2011	18.55	18.73	18.37	18.53	124012	6807713.000
05/11/2011	18.53	18.53	18.05	18.12	225258	12132011.000
05/12/2011	18.07	18.20	17.90	17.90	176786	9427410.000
05/13/2011	18.03	18.24	17.75	18.10	133572	7147793.000
05/16/2011	18.14	18.42	18.09	18.10	123560	6659144.500
05/17/2011	18.01	18.60	18.01	18.51	218818	11898144.000
05/18/2011	18.63	18.78	18.39	18.53	208266	11444041.000
05/19/2011	18.49	18.79	18.39	18.40	121184	6666427.500
05/20/2011	18.35	18.41	17.82	17.85	225769	12052884.000
05/23/2011	17.90	17.90	16.87	16.88	285166	14561648.000
05/24/2011	16.88	17.31	16.44	17.14	182170	9111359.000
05/25/2011	17.10	17.28	16.63	16.73	126690	6388386.000
05/26/2011	16.96	17.03	16.41	16.41	105770	5164894.000
05/27/2011	16.42	16.50	16.13	16.20	124008	5934430.500
05/30/2011	16.18	16.60	16.05	16.19	97089	4660076.500
05/31/2011	16.27	16.58	16.20	16.55	80428	3880998.000
06/01/2011	16.51	16.67	16.41	16.64	87974	4278623.500
06/02/2011	16.27	16.49	16.19	16.32	94553	4532220.000
06/03/2011	16.44	16.88	16.38	16.69	161976	7962526.500
06/07/2011	16.57	18.39	16.57	17.38	201032	10162115.000
06/08/2011	17.45	17.50	17.03	17.28	162840	8242828.000
06/09/2011	17.10	17.34	16.85	16.85	123190	6171107.000
06/10/2011	16.81	16.96	16.41	16.68	122497	6007021.500
06/13/2011	16.57	16.86	16.38	16.66	122839	5990103.000
06/14/2011	16.85	17.01	16.51	16.99	135648	6721281.500
06/15/2011	17.03	17.03	16.41	16.47	199817	9796815.000
06/16/2011	16.58	16.86	16.34	16.49	207243	10091151.000
06/17/2011	16.44	16.44	15.30	15.33	349212	16167484.000
06/20/2011	15.09	15.22	14.98	15.02	171573	7609221.000
06/21/2011	14.95	15.29	14.92	15.18	192337	8546603.000
06/22/2011	15.25	15.28	14.91	14.91	255663	11329367.000
06/23/2011	14.91	15.45	14.64	15.40	556828	24808154.000
06/24/2011	15.37	15.78	15.23	15.71	485378	22187848.000
06/27/2011	15.70	15.98	15.55	15.75	608544	28220242.000
06/28/2011	15.75	15.75	15.44	15.64	299810	13714412.000
06/29/2011	15.64	15.85	15.47	15.49	357558	16477499.000
06/30/2011	15.49	15.90	15.25	15.64	477237	21784186.000
07/01/2011	16.55	16.55	16.04	16.16	793100	38018804.000
07/04/2011	16.38	17.03	16.21	17.01	526122	25801268.000
07/05/2011	17.03	17.50	16.80	16.90	583022	29300008.000
07/06/2011	16.94	17.56	16.68	17.33	555958	28161906.000
07/07/2011	17.48	18.28	17.38	17.82	708082	37316996.000
07/08/2011	17.89	17.93	17.42	17.91	643277	33293956.000
07/11/2011	17.93	18.34	17.84	18.29	410947	21888246.000
07/12/2011	18.07	18.14	17.52	17.63	646128	33742140.000
07/13/2011	17.71	18.32	17.58	18.08	487431	25643434.000
07/14/2011	18.34	18.38	17.81	18.33	427875	22725010.000
07/15/2011	18.35	18.83	18.18	18.42	695592	37757292.000
07/18/2011	18.54	18.54	17.46	17.54	1370273	71404864.000
07/19/2011	16.99	16.99	16.55	16.68	1367514	67054212.000
07/20/2011	16.97	17.24	16.66	16.95	1171390	58428036.000
07/21/2011	16.91	17.01	16.51	16.51	511494	24917246.000
07/22/2011	16.48	16.71	16.48	16.56	358400	17460932.000
07/25/2011	16.57	16.93	16.16	16.19	616254	29857290.000
07/26/2011	16.17	16.32	16.05	16.20	248074	11790564.000
07/27/2011	16.16	16.97	16.06	16.68	650149	31797150.000
07/28/2011	16.51	17.30	16.30	17.16	785582	39310428.000
07/29/2011	17.07	17.48	16.83	17.00	458248	23031384.000
08/01/2011	17.00	18.71	16.86	18.59	1202278	63880412.000
08/02/2011	18.40	19.04	18.09	18.97	1169011	64037832.000
08/03/2011	18.50	19.04	18.35	18.59	909922	49904296.000
08/04/2011	18.42	18.72	18.10	18.32	489814	26389742.000
08/05/2011	17.66	18.25	17.51	18.22	637896	33815256.000
08/08/2011	18.17	19.32	17.76	18.91	1633362	89748968.000
08/09/2011	18.22	20.15	17.86	19.39	1539016	86890912.000
08/10/2011	19.53	20.12	19.14	19.46	1193446	68766048.000
08/11/2011	19.05	20.46	19.05	19.74	1569857	90892352.000
08/12/2011	19.88	20.36	19.68	19.88	835848	48876380.000
08/15/2011	20.16	20.16	19.40	19.60	985942	56753548.000
08/16/2011	19.82	20.46	19.32	19.91	1286709	74561880.000
08/17/2011	19.81	19.82	19.44	19.46	651664	37477540.000
08/18/2011	19.43	19.50	18.70	18.70	809768	45029752.000
08/19/2011	18.46	19.25	18.42	18.87	621316	34536312.000
08/22/2011	18.91	20.47	18.90	19.78	1099861	63978848.000
08/23/2011	19.81	20.19	19.64	20.15	855392	50046900.000
08/24/2011	20.43	20.48	19.81	20.00	624803	36695236.000
08/25/2011	19.91	20.36	19.61	20.06	759025	44287536.000
08/26/2011	19.95	20.39	19.78	20.12	748108	44117960.000
08/29/2011	20.02	20.14	19.67	19.67	555769	32287708.000
08/30/2011	19.66	19.80	18.95	19.04	718446	40848480.000
08/31/2011	18.98	19.16	18.66	18.77	454656	25021274.000
09/01/2011	18.78	19.28	18.74	19.08	449913	25032312.000
09/02/2011	18.94	19.03	18.25	18.47	432769	23568014.000
09/05/2011	18.25	18.56	18.09	18.21	256620	13753308.000
09/06/2011	18.14	18.47	18.02	18.04	280711	15027282.000
09/07/2011	18.24	18.83	18.16	18.83	289664	15701549.000
09/08/2011	18.87	19.50	18.44	18.48	395483	22013426.000
09/09/2011	18.43	18.70	17.97	18.05	269084	14363241.000
09/13/2011	17.89	18.14	17.21	17.38	294468	15186961.000
09/14/2011	17.38	17.58	17.07	17.58	269869	13735534.000
09/15/2011	17.47	17.65	17.39	17.55	172546	8882421.000
09/16/2011	17.90	18.38	17.80	17.83	483617	25624568.000
09/19/2011	17.83	18.28	17.75	18.01	294566	15592924.000
09/20/2011	17.86	18.72	17.86	18.49	418033	22527478.000
09/21/2011	18.25	18.91	18.25	18.77	628975	34400724.000
09/22/2011	18.59	18.73	17.81	17.92	341374	18310430.000
09/23/2011	17.66	18.07	17.48	17.79	311522	16215090.000
09/26/2011	17.68	17.86	17.34	17.38	323402	16649493.000
09/27/2011	17.71	17.71	17.17	17.42	189132	9664815.000
09/28/2011	17.55	17.73	17.13	17.26	144170	7391889.000
09/29/2011	17.31	17.34	16.68	17.05	174565	8793460.000
09/30/2011	17.03	17.24	16.45	16.86	192839	9587932.000
10/10/2011	17.03	17.55	17.03	17.14	262163	13311720.000
10/11/2011	17.55	17.76	16.95	17.17	199727	10215344.000
10/12/2011	17.16	18.00	16.88	17.87	553760	28532566.000
10/13/2011	17.87	17.99	17.72	17.89	512652	26821220.000
10/14/2011	17.73	18.18	17.73	18.04	363427	19177014.000
10/17/2011	18.07	18.17	17.88	18.04	278216	14687586.000
10/18/2011	17.90	18.04	17.21	17.21	371462	19141904.000
10/19/2011	17.26	17.41	16.48	16.68	460115	22926328.000
10/20/2011	16.65	16.68	15.81	15.96	438447	20624200.000
10/21/2011	16.18	16.44	15.57	15.58	368260	17331178.000
10/24/2011	15.24	15.24	13.99	14.71	995616	41868752.000
10/25/2011	14.56	15.22	14.12	15.09	598748	26120738.000
10/26/2011	14.95	15.82	14.91	15.66	905670	41296952.000
10/27/2011	15.68	16.41	15.64	15.99	1042948	49221384.000
10/28/2011	16.24	17.03	16.13	16.90	1049577	50983076.000
10/31/2011	16.68	17.16	16.68	17.10	912711	45527324.000
11/01/2011	16.75	17.84	16.75	17.16	849239	42796100.000
11/02/2011	16.75	17.65	16.68	17.43	690646	34633552.000
11/03/2011	17.38	17.59	16.89	16.96	1013329	51359848.000
11/04/2011	17.15	17.82	17.15	17.50	792719	40704772.000
11/07/2011	17.50	17.62	17.09	17.23	402642	20472288.000
11/08/2011	17.10	17.43	16.93	17.05	375216	18821146.000
11/09/2011	17.05	17.45	16.95	17.43	483281	24417940.000
11/10/2011	17.37	18.00	17.21	17.62	754588	39252636.000
11/11/2011	17.68	17.69	17.28	17.38	350972	18021250.000
11/14/2011	17.57	18.16	17.57	18.03	513509	27094168.000
11/15/2011	18.00	18.56	17.95	18.31	581998	31210824.000
11/16/2011	18.41	18.46	17.77	17.89	473409	25145510.000
11/17/2011	18.07	19.18	18.07	18.77	828522	45232056.000
11/18/2011	18.59	19.74	18.59	19.22	1344101	76036952.000
11/21/2011	19.39	19.39	18.07	18.64	643582	35048404.000
11/22/2011	18.42	19.01	18.32	19.00	552174	30369428.000
11/23/2011	19.00	19.28	18.66	18.70	382495	21302764.000
11/24/2011	18.43	18.87	18.14	18.41	660308	35844240.000
11/25/2011	18.40	18.70	18.07	18.20	382098	20596334.000
11/28/2011	18.49	19.00	18.42	18.49	499457	27321340.000
11/29/2011	18.43	18.59	18.08	18.26	478194	25603026.000
11/30/2011	18.41	18.77	16.72	17.53	773945	40656220.000
12/01/2011	18.12	18.53	17.78	18.26	616382	32921724.000
12/02/2011	18.18	18.40	17.59	17.68	363555	19210622.000
12/05/2011	17.69	17.73	16.34	16.47	333491	16606131.000
12/06/2011	16.47	16.78	16.24	16.68	871358	42194136.000
12/07/2011	16.62	16.89	16.39	16.89	458234	22447080.000
12/08/2011	16.92	17.23	16.34	16.81	581829	28682064.000
12/09/2011	16.68	17.08	16.55	16.87	407152	20160470.000
12/12/2011	16.95	17.24	16.65	16.71	390283	19460954.000
12/13/2011	16.65	16.68	15.93	16.11	398005	19091442.000
12/14/2011	16.11	16.45	15.68	15.89	266861	12635080.000
12/15/2011	15.80	16.11	15.64	15.92	232375	10891734.000
12/16/2011	15.92	16.89	15.92	16.89	447762	21656686.000
12/19/2011	16.89	17.48	16.70	17.47	426722	21442886.000
12/20/2011	17.37	17.57	16.90	17.03	315012	15900959.000
12/21/2011	17.24	17.52	16.54	16.54	347920	17382834.000
12/22/2011	16.34	17.03	16.00	16.96	427206	20811346.000
12/23/2011	16.76	17.17	16.62	16.93	280222	13922724.000
12/26/2011	16.79	16.96	16.22	16.29	227249	11071822.000
12/27/2011	16.20	16.30	15.43	15.43	246166	11437855.000
12/28/2011	15.30	15.47	14.78	15.05	274647	12133918.000
12/29/2011	15.05	15.40	15.05	15.24	213868	9613090.000
12/30/2011	15.30	15.64	15.15	15.43	172152	7825847.500
01/04/2012	15.52	15.77	14.25	14.30	331787	14630345.000
01/05/2012	14.22	14.32	13.26	13.37	560672	22756118.000
01/06/2012	13.39	13.49	12.71	13.37	461006	17798438.000
01/09/2012	13.21	13.76	12.97	13.75	503582	20124456.000
01/10/2012	13.75	14.25	13.56	14.15	514430	21206714.000
01/11/2012	14.15	14.46	13.84	14.15	686535	28686594.000
01/12/2012	14.07	14.25	13.82	13.82	595705	24639450.000
01/13/2012	13.80	13.97	12.41	12.68	1177366	44314548.000
01/16/2012	12.46	12.67	11.78	11.96	481586	17459108.000
01/17/2012	11.96	12.50	11.48	12.44	718558	25599286.000
01/18/2012	12.44	12.47	11.16	11.16	1054964	36664092.000
