300191 潜能恒信 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/16/2011	11.09	11.34	10.72	10.79	11696821	518641024.000
03/17/2011	10.54	10.68	10.33	10.48	4547101	193916720.000
03/18/2011	10.76	11.09	10.74	10.79	3949624	174759888.000
03/21/2011	11.04	11.49	10.97	11.43	4980376	227052224.000
03/22/2011	11.39	11.56	11.24	11.34	3204952	147606336.000
03/23/2011	11.35	11.56	11.22	11.41	2293576	105722808.000
03/24/2011	11.41	11.45	11.23	11.27	1452233	66545280.000
03/25/2011	11.28	11.32	10.99	11.00	1965934	88378192.000
03/28/2011	10.97	11.00	10.59	10.67	1640208	71621592.000
03/29/2011	10.59	10.63	10.22	10.26	1586601	66726960.000
03/30/2011	10.25	10.49	10.21	10.31	1100845	46261740.000
03/31/2011	10.24	10.38	9.99	9.99	1124032	46501520.000
04/01/2011	10.02	10.15	9.81	10.06	884653	35831740.000
04/06/2011	9.97	9.98	9.81	9.85	705445	28333828.000
04/07/2011	9.89	10.05	9.85	9.97	666964	27019076.000
04/08/2011	9.94	10.05	9.92	10.00	655586	26628250.000
04/11/2011	9.98	10.04	9.69	9.69	969860	38828772.000
04/12/2011	9.60	9.66	9.57	9.61	842423	32893340.000
04/13/2011	9.61	9.89	9.59	9.80	810121	32194210.000
04/14/2011	9.80	9.82	9.63	9.68	509952	20064932.000
04/15/2011	9.64	9.68	9.54	9.67	457837	17897984.000
04/18/2011	9.69	9.77	9.60	9.73	436931	17244274.000
04/19/2011	9.72	9.80	9.64	9.77	469388	18559008.000
04/20/2011	9.74	10.01	9.70	10.01	748830	30114160.000
04/21/2011	9.97	10.29	9.85	9.91	660761	26906094.000
04/22/2011	9.98	10.15	9.89	9.96	795392	32309888.000
04/25/2011	9.90	10.03	9.55	9.55	771936	30818698.000
04/26/2011	9.57	9.59	9.14	9.28	737994	27930304.000
04/27/2011	9.31	9.31	9.09	9.19	336328	12593684.000
04/28/2011	9.21	9.33	8.94	8.95	416298	15460599.000
04/29/2011	8.95	9.07	8.92	9.03	255144	9363017.000
05/03/2011	9.04	9.09	8.89	9.07	346071	12657732.000
05/04/2011	9.04	9.04	8.75	8.76	538149	19497856.000
05/05/2011	8.76	8.88	8.69	8.84	315294	11318233.000
05/06/2011	8.77	8.98	8.72	8.94	329412	11881084.000
05/09/2011	8.98	8.98	8.79	8.85	328356	11905023.000
05/10/2011	8.85	8.93	8.80	8.90	175356	6335140.500
05/11/2011	8.91	8.96	8.85	8.95	222095	8055809.500
05/12/2011	8.93	8.98	8.72	8.72	269600	9717590.000
05/13/2011	8.72	8.78	8.59	8.68	395840	13927872.000
05/16/2011	8.67	8.73	8.59	8.65	207292	7329574.000
05/17/2011	8.68	8.68	8.47	8.58	347530	12147412.000
05/18/2011	8.58	8.62	8.51	8.59	155287	5421714.500
05/19/2011	8.61	8.72	8.57	8.69	212416	7490095.500
05/20/2011	8.65	8.69	8.39	8.46	255581	8860044.000
05/23/2011	8.39	8.40	7.97	7.99	421930	14008770.000
05/24/2011	7.94	8.26	7.94	8.22	307014	10169075.000
05/25/2011	8.14	8.22	7.95	7.95	178804	5886247.000
05/26/2011	7.90	8.05	7.74	7.84	177697	5696824.500
05/27/2011	7.80	8.09	7.73	8.09	216969	6961738.500
05/30/2011	7.91	7.94	7.61	7.82	584123	18600530.000
05/31/2011	7.76	7.88	7.64	7.86	368909	11693183.000
06/02/2011	7.81	7.81	7.59	7.67	345695	10827897.000
06/03/2011	7.67	7.92	7.67	7.84	328229	10480204.000
06/07/2011	7.83	7.93	7.83	7.85	243434	7826100.500
06/08/2011	7.86	7.89	7.73	7.89	222436	7100928.000
06/09/2011	7.92	7.95	7.79	7.81	277112	8924888.000
06/10/2011	7.81	8.05	7.81	8.05	445320	14421071.000
06/13/2011	8.03	8.17	7.97	8.15	365791	12069115.000
06/14/2011	8.08	8.19	8.04	8.09	245080	8072259.000
06/15/2011	8.05	8.09	7.97	7.98	226207	7404058.000
06/16/2011	7.99	8.04	7.82	7.84	281189	9075779.000
06/17/2011	7.72	7.89	7.63	7.64	230700	7277013.000
06/20/2011	7.59	7.66	7.30	7.34	324860	9878070.000
06/21/2011	7.40	7.42	7.26	7.36	403501	12075796.000
06/22/2011	7.37	7.37	7.02	7.02	916679	26833952.000
06/23/2011	7.01	7.31	7.01	7.23	824979	24330278.000
06/24/2011	7.28	7.56	7.22	7.54	954859	28965044.000
06/27/2011	7.55	7.75	7.47	7.64	851386	26584166.000
06/28/2011	7.68	7.74	7.55	7.69	541945	16890146.000
06/29/2011	7.62	7.79	7.57	7.59	508317	15946343.000
06/30/2011	7.59	7.74	7.57	7.69	294461	9234500.000
07/01/2011	7.64	7.89	7.63	7.83	450330	14326841.000
07/04/2011	7.83	7.95	7.83	7.93	659433	21217078.000
07/05/2011	7.93	8.06	7.85	7.97	419465	13654875.000
07/06/2011	8.06	8.46	8.06	8.46	1432372	48373660.000
07/07/2011	8.34	8.72	8.27	8.49	1249663	43275888.000
07/08/2011	8.46	8.56	8.39	8.47	568665	19593542.000
07/11/2011	8.47	8.66	8.40	8.64	609691	21179766.000
07/12/2011	8.54	8.62	8.40	8.44	553092	19166328.000
07/14/2011	8.81	8.99	8.68	8.79	1144239	41107516.000
07/15/2011	8.72	8.90	8.72	8.84	685173	24645896.000
07/18/2011	8.94	8.94	8.70	8.74	598576	21379438.000
07/19/2011	8.68	8.73	8.50	8.56	717295	25055204.000
07/20/2011	8.59	8.66	8.37	8.43	728862	25200146.000
07/21/2011	8.40	8.56	8.38	8.50	777019	26835830.000
07/22/2011	8.49	8.86	8.44	8.71	927159	32825154.000
07/25/2011	8.64	9.22	8.59	8.84	1523060	55274888.000
07/26/2011	8.85	8.94	8.68	8.87	822211	29435476.000
07/27/2011	8.84	9.41	8.79	9.36	1623820	60900708.000
07/28/2011	9.32	9.49	9.16	9.28	1243147	47033092.000
07/29/2011	9.27	9.33	8.96	8.98	886017	32854586.000
08/01/2011	9.02	9.25	8.98	9.08	607809	22606600.000
08/02/2011	8.98	9.09	8.73	8.99	636676	22984032.000
08/03/2011	8.84	9.19	8.78	9.12	658393	24265156.000
08/04/2011	9.09	9.17	8.86	8.89	561428	20481236.000
08/05/2011	8.57	8.70	8.34	8.50	731579	25601612.000
08/08/2011	8.25	8.37	7.87	8.13	813729	26907864.000
08/09/2011	7.96	8.13	7.74	8.01	548855	17862348.000
08/10/2011	8.10	8.33	8.10	8.12	523676	17547206.000
08/11/2011	7.95	8.32	7.84	8.30	609033	20250402.000
08/12/2011	8.34	8.54	8.30	8.37	653142	22376924.000
08/15/2011	8.39	8.56	8.34	8.56	499162	17245100.000
08/16/2011	8.57	8.59	8.42	8.47	386227	13396909.000
08/17/2011	8.41	8.55	8.40	8.46	315131	10881942.000
08/18/2011	8.51	8.54	8.25	8.27	281076	9612702.000
08/19/2011	8.20	8.20	8.01	8.09	423178	13954897.000
08/22/2011	8.12	8.38	8.04	8.29	364686	12283774.000
08/23/2011	8.27	8.70	8.27	8.69	857036	29815156.000
08/24/2011	8.78	8.89	8.70	8.74	903705	32361240.000
08/25/2011	8.77	8.84	8.52	8.66	804059	28351168.000
08/26/2011	8.59	8.72	8.39	8.72	952067	33223490.000
08/29/2011	8.67	8.71	8.56	8.66	726057	25567430.000
08/30/2011	8.67	8.75	8.32	8.32	650721	22708406.000
08/31/2011	8.36	8.38	8.04	8.08	652609	21716230.000
09/01/2011	8.17	8.19	8.06	8.06	268613	8887943.000
09/02/2011	8.06	8.10	7.92	7.94	244470	7973836.500
09/05/2011	7.86	7.86	7.70	7.74	264201	8373699.000
09/06/2011	7.65	7.79	7.64	7.70	194303	6116580.000
09/07/2011	7.79	7.86	7.71	7.84	227106	7227857.000
09/08/2011	7.87	7.90	7.65	7.65	239544	7628293.000
09/09/2011	7.72	7.81	7.64	7.65	201658	6348822.000
09/13/2011	7.58	7.64	7.46	7.52	152242	4682482.000
09/14/2011	7.77	7.77	7.53	7.69	139881	4349103.000
09/15/2011	7.69	7.77	7.66	7.70	125194	3946675.250
09/16/2011	7.77	7.77	7.65	7.65	134469	4227163.000
09/19/2011	7.69	7.69	7.40	7.41	148406	4523209.500
09/20/2011	7.41	7.63	7.34	7.60	210111	6470663.500
09/21/2011	7.62	7.84	7.54	7.82	262442	8301983.000
09/22/2011	7.82	7.84	7.66	7.69	223300	7067228.500
09/23/2011	7.59	7.67	7.48	7.62	122276	3773313.250
09/26/2011	7.54	7.65	7.49	7.52	103499	3192340.000
09/27/2011	7.59	7.65	7.49	7.57	82951	2559179.750
09/28/2011	7.58	7.67	7.45	7.47	109400	3373039.000
09/29/2011	7.39	7.46	7.24	7.28	211213	6330831.000
09/30/2011	7.32	7.36	7.23	7.29	81012	2409159.750
10/10/2011	7.29	7.38	7.25	7.29	70314	2097682.000
10/11/2011	7.46	7.47	7.25	7.25	182228	5500688.000
10/12/2011	7.17	7.53	7.17	7.53	318460	9650173.000
10/13/2011	7.55	7.72	7.48	7.67	315044	9823961.000
10/14/2011	7.64	7.67	7.54	7.62	165368	5131025.000
10/17/2011	7.59	7.70	7.56	7.64	196727	6125410.500
10/18/2011	7.55	7.64	7.34	7.35	150579	4604574.500
10/19/2011	7.44	7.44	7.29	7.33	96230	2889002.250
10/20/2011	7.42	8.08	7.34	7.77	1401941	44996968.000
10/21/2011	7.71	7.72	7.23	7.52	858192	26297356.000
