300192 科斯伍德 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/22/2011	8.05	8.90	7.93	8.33	12099272	340068224.000
03/23/2011	8.02	8.16	7.87	8.12	6437491	173170864.000
03/24/2011	7.98	8.35	7.96	8.07	5066586	138849024.000
03/25/2011	7.81	7.84	7.62	7.63	5275011	136256112.000
03/28/2011	7.63	7.65	7.34	7.42	3104033	77711960.000
03/29/2011	7.42	7.42	7.07	7.09	2590882	62483092.000
03/30/2011	7.08	7.17	7.02	7.05	1062131	25354518.000
03/31/2011	7.03	7.17	7.00	7.06	1120181	26673620.000
04/01/2011	7.02	7.05	6.86	6.95	1660892	38572512.000
04/06/2011	6.96	7.01	6.90	6.97	967306	22624214.000
04/07/2011	6.98	6.99	6.81	6.95	1013402	23481166.000
04/08/2011	6.92	6.99	6.90	6.97	830787	19429404.000
04/11/2011	6.92	6.95	6.66	6.67	1943364	44310584.000
04/12/2011	6.43	6.64	6.43	6.50	1373371	30046382.000
04/13/2011	6.49	6.59	6.42	6.58	668822	14718283.000
04/14/2011	6.58	6.58	6.49	6.52	514035	11281802.000
04/15/2011	6.48	6.53	6.42	6.46	600610	13051297.000
04/18/2011	6.44	6.48	6.40	6.47	503525	10917669.000
04/19/2011	6.43	6.46	6.30	6.34	687007	14713204.000
04/20/2011	6.34	6.46	6.34	6.45	489722	10555371.000
04/21/2011	6.45	6.50	6.43	6.46	497570	10808926.000
04/22/2011	6.48	6.50	6.39	6.40	426468	9231277.000
04/25/2011	6.30	6.36	6.13	6.15	769271	16121310.000
04/26/2011	6.02	6.22	6.02	6.08	345079	7088477.500
04/27/2011	6.10	6.17	5.94	5.95	320638	6538052.500
04/28/2011	5.99	6.05	5.73	5.77	476851	9426857.000
04/29/2011	5.67	5.79	5.67	5.77	329676	6389707.000
05/03/2011	5.76	5.77	5.68	5.75	440194	8501774.000
05/04/2011	5.75	5.79	5.66	5.70	395035	7624845.500
05/05/2011	5.64	5.75	5.64	5.74	232867	4494714.500
05/06/2011	5.72	5.72	5.65	5.70	278935	5353861.000
05/09/2011	5.68	5.80	5.68	5.77	363997	7079532.500
05/10/2011	5.79	5.82	5.75	5.78	215780	4204517.000
05/11/2011	5.78	5.80	5.72	5.76	221620	4309569.000
05/12/2011	5.75	5.75	5.60	5.60	383522	7345051.500
05/13/2011	5.59	5.65	5.51	5.60	338257	6371293.000
05/16/2011	5.65	5.78	5.60	5.73	479288	9260695.000
05/17/2011	5.72	5.75	5.66	5.74	218899	4226611.000
05/18/2011	5.73	5.78	5.69	5.76	285878	5542079.000
05/19/2011	5.77	5.95	5.77	5.80	718773	14221316.000
05/20/2011	5.82	5.83	5.64	5.77	402643	7809113.500
05/23/2011	5.72	5.75	5.41	5.41	472202	8849409.000
05/24/2011	5.45	5.57	5.34	5.56	437187	8080384.500
05/25/2011	5.48	5.54	5.37	5.39	212820	3914878.250
05/26/2011	5.47	5.47	5.34	5.36	191225	3496622.000
05/27/2011	5.39	5.39	5.32	5.33	209296	3780356.500
05/30/2011	5.32	5.38	5.23	5.30	205383	3700764.750
05/31/2011	5.30	5.41	5.25	5.38	202150	3634500.750
06/01/2011	5.40	5.43	5.36	5.39	201398	3670453.500
06/02/2011	5.36	5.36	5.23	5.28	260300	4640335.500
06/03/2011	5.32	5.38	5.28	5.38	180355	3260259.250
06/07/2011	5.31	5.40	5.31	5.38	185969	3365089.500
06/08/2011	5.39	5.39	5.25	5.33	163217	2928455.250
06/09/2011	5.29	5.35	5.22	5.22	204549	3646386.750
