300193 佳士科技 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/22/2011	24.53	25.13	24.25	24.71	9593147	243917712.000
03/23/2011	24.60	25.38	24.40	25.10	5118860	131779680.000
03/24/2011	24.90	25.10	24.70	24.71	2614537	66920604.000
03/25/2011	24.58	24.85	24.48	24.62	1931578	49063984.000
03/28/2011	24.75	24.75	24.51	24.71	1310270	33306940.000
03/29/2011	24.51	24.70	23.80	23.86	1825950	45428628.000
03/30/2011	23.82	23.98	23.60	23.62	846206	20747556.000
03/31/2011	23.60	23.85	23.55	23.62	711785	17404324.000
04/01/2011	23.62	23.80	23.62	23.76	305599	7490902.000
04/06/2011	23.68	23.77	23.51	23.62	443221	10815968.000
04/07/2011	23.55	23.70	23.51	23.68	391100	9548678.000
04/08/2011	23.72	23.86	23.62	23.84	471071	11593294.000
04/11/2011	23.98	23.98	23.66	23.68	452841	11097306.000
04/12/2011	23.68	23.84	23.52	23.55	569774	13889329.000
04/13/2011	23.51	23.75	23.51	23.75	322272	7873652.500
04/14/2011	23.76	23.77	23.51	23.58	357870	8732816.000
04/15/2011	23.58	23.61	23.00	23.10	1156688	27735406.000
04/18/2011	22.97	23.15	22.88	22.95	748277	17770356.000
04/19/2011	22.86	23.01	22.86	22.90	524257	12434212.000
04/20/2011	22.90	23.00	22.86	22.96	337841	8016283.000
04/21/2011	23.00	23.00	22.85	22.90	455399	10802366.000
04/22/2011	22.90	22.99	22.52	22.57	870710	20468724.000
04/25/2011	22.56	22.56	22.10	22.14	780061	17940754.000
04/26/2011	22.08	22.08	21.65	21.65	794300	17929772.000
04/27/2011	21.65	21.78	20.90	21.02	762142	16888434.000
04/28/2011	21.25	21.25	20.70	20.70	596022	12888087.000
04/29/2011	20.80	20.89	20.68	20.73	479287	10328748.000
05/03/2011	20.73	20.92	20.73	20.90	447831	9673461.000
05/04/2011	20.91	20.91	20.76	20.78	338801	7320069.000
05/05/2011	20.77	20.77	20.21	20.58	541035	11504667.000
05/06/2011	20.47	20.60	20.32	20.48	286798	6097014.000
05/09/2011	20.44	20.83	20.44	20.55	344801	7383347.500
05/10/2011	20.55	20.63	20.46	20.57	213652	4552535.500
05/11/2011	20.57	20.70	20.57	20.57	321811	6895975.500
05/12/2011	20.48	20.56	20.44	20.45	229690	4892697.000
05/16/2011	20.35	20.95	20.35	20.80	513390	11106013.000
05/17/2011	20.82	20.99	20.68	20.90	283817	6163694.000
05/18/2011	20.86	20.93	20.72	20.82	142619	3082589.000
05/19/2011	20.93	20.93	20.70	20.70	181191	3916568.000
05/20/2011	20.79	20.79	20.45	20.46	145908	3110704.000
05/23/2011	20.40	20.41	19.72	19.74	367605	7690684.500
05/24/2011	19.74	20.05	19.25	19.85	343539	7022250.500
05/25/2011	19.67	19.91	19.16	19.17	335001	6751856.500
05/26/2011	19.25	19.55	18.97	19.00	229590	4584751.500
05/27/2011	18.56	19.17	18.56	18.57	265500	5170514.500
05/30/2011	18.30	18.63	18.30	18.33	236655	4559671.500
05/31/2011	18.25	18.57	18.25	18.52	176585	3393626.750
06/01/2011	18.41	18.64	18.41	18.59	160345	3106540.750
06/02/2011	18.45	18.49	18.20	18.25	214491	4093055.000
06/03/2011	18.25	18.63	18.25	18.41	174995	3377852.250
06/07/2011	18.47	18.61	18.41	18.58	120847	2340113.250
06/08/2011	18.43	18.54	18.33	18.52	101007	1941971.125
06/09/2011	18.52	18.55	18.33	18.37	141900	2729613.000
06/10/2011	18.32	18.32	17.74	17.92	364810	6851634.500
