300194 福安药业 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/22/2011	19.97	20.50	19.83	20.13	4930370	197772592.000
03/23/2011	20.08	20.48	20.08	20.19	1937606	77990440.000
03/24/2011	20.12	20.16	19.97	20.02	1407297	56238440.000
03/25/2011	19.94	20.02	19.84	19.97	1110923	44077332.000
03/28/2011	19.98	20.04	19.76	19.78	1070460	42336808.000
03/29/2011	19.78	19.78	19.35	19.36	1029539	39962700.000
03/30/2011	19.35	19.36	19.05	19.10	634094	24263102.000
03/31/2011	19.15	19.33	19.11	19.20	331874	12728996.000
04/01/2011	19.23	19.34	19.23	19.32	231930	8918368.000
04/06/2011	19.28	19.28	19.10	19.13	334621	12787262.000
04/07/2011	19.16	19.34	19.16	19.22	273231	10486294.000
04/08/2011	19.25	19.29	19.14	19.26	238746	9157001.000
04/11/2011	19.30	19.33	19.11	19.11	356700	13666194.000
04/12/2011	19.11	19.23	19.10	19.11	220741	8426862.000
04/13/2011	19.10	19.24	19.05	19.24	196758	7529748.500
04/14/2011	19.29	19.29	19.09	19.10	205959	7871247.500
04/15/2011	19.08	19.16	19.08	19.11	236669	9018017.000
04/18/2011	19.11	19.15	19.05	19.07	226050	8604870.000
04/19/2011	19.05	19.05	18.84	18.91	412349	15569878.000
04/20/2011	18.91	19.04	18.84	19.00	258317	9752528.000
04/21/2011	19.08	19.22	19.00	19.12	289752	11060927.000
04/22/2011	19.12	19.12	18.94	18.95	260767	9872550.000
04/25/2011	18.95	18.98	18.85	18.87	207947	7836641.500
04/26/2011	18.84	18.87	18.62	18.63	265977	9948465.000
04/27/2011	18.66	18.76	18.30	18.33	277249	10236149.000
04/28/2011	18.48	18.53	17.63	17.69	453215	16242878.000
04/29/2011	17.69	17.82	17.53	17.71	226027	7970284.000
05/03/2011	17.61	18.02	17.61	17.82	130288	4626193.000
05/04/2011	17.82	17.89	17.52	17.55	199500	7023161.000
05/05/2011	17.81	17.81	17.52	17.68	114995	4064347.000
05/06/2011	17.68	17.89	17.55	17.78	207642	7378739.500
05/09/2011	17.82	17.96	17.77	17.82	157321	5620197.500
05/10/2011	17.92	17.92	17.76	17.83	95705	3404199.500
05/11/2011	17.83	18.01	17.74	17.92	158085	5634398.500
05/12/2011	17.92	17.93	17.72	17.80	101799	3620006.000
05/13/2011	17.69	17.82	17.65	17.71	126390	4476319.000
05/16/2011	17.71	17.90	17.71	17.76	75300	2681642.250
05/17/2011	17.72	17.84	17.61	17.76	97139	3437733.000
05/18/2011	17.71	17.79	17.59	17.72	75000	2653484.000
05/19/2011	17.85	17.85	17.59	17.61	93600	3314067.000
05/20/2011	17.59	17.70	17.56	17.56	75859	2667535.000
05/23/2011	17.53	17.56	16.89	16.89	367525	12552915.000
05/24/2011	16.76	17.08	16.66	16.98	184859	6234981.500
05/25/2011	17.00	17.17	16.65	16.66	94700	3189961.000
05/26/2011	16.68	16.87	16.28	16.28	160499	5305146.000
05/27/2011	16.29	16.48	15.75	15.82	252493	8055520.500
05/30/2011	15.79	16.02	15.56	15.56	170110	5400785.500
05/31/2011	15.56	15.71	15.50	15.71	136900	4291199.500
06/01/2011	15.70	15.86	15.62	15.81	115790	3661585.500
06/02/2011	15.70	15.70	15.50	15.55	147618	4600069.000
06/03/2011	15.52	15.74	15.52	15.74	137865	4339009.000
06/07/2011	15.73	16.15	15.73	16.06	234281	7535439.000
06/08/2011	15.96	16.02	15.81	15.97	108416	3453550.750
06/09/2011	15.82	15.95	15.63	15.63	110667	3495250.500
06/10/2011	15.61	15.72	15.56	15.67	113449	3557561.750
06/13/2011	15.64	15.67	15.46	15.66	83661	2613889.250
06/14/2011	15.66	15.87	15.66	15.82	154449	4884924.500
06/15/2011	15.85	15.87	15.63	15.63	117750	3709182.000
06/17/2011	15.46	15.64	15.20	15.20	231301	7114905.500
06/20/2011	15.18	15.20	14.88	14.88	149650	4495065.500
06/21/2011	14.87	15.08	14.71	14.84	103739	3089006.750
06/22/2011	14.76	14.79	14.02	14.02	1331998	38098112.000
06/23/2011	14.09	14.32	13.74	14.29	1128023	31846638.000
06/24/2011	14.13	14.66	14.07	14.63	1036055	30093188.000
06/27/2011	14.63	14.92	14.59	14.76	527154	15635889.000
06/28/2011	14.69	14.76	14.54	14.71	399894	11746349.000
06/29/2011	14.58	14.76	14.53	14.56	339735	10003988.000
06/30/2011	14.54	14.74	14.54	14.68	290816	8573338.000
07/01/2011	14.69	14.89	14.63	14.79	449025	13334257.000
07/04/2011	14.84	15.04	14.84	15.04	527276	15838040.000
07/05/2011	15.09	15.15	14.97	15.10	429784	12999079.000
07/06/2011	15.10	15.43	15.01	15.41	626940	19150066.000
07/07/2011	15.46	16.16	15.41	15.89	1287292	40969732.000
07/08/2011	15.87	15.96	15.72	15.81	545000	17267960.000
07/11/2011	15.75	15.96	15.64	15.96	367589	11713307.000
07/12/2011	15.84	15.85	15.34	15.35	787377	24518090.000
07/13/2011	15.31	15.71	15.31	15.68	550021	17192774.000
07/14/2011	15.76	16.12	15.59	16.12	982261	31468110.000
