300195 长荣股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/29/2011	24.82	25.17	24.10	24.12	4183924	156083648.000
03/30/2011	23.88	24.03	23.39	23.54	1573472	57066708.000
03/31/2011	23.62	24.09	23.62	23.75	790737	28958952.000
04/01/2011	23.71	23.86	23.59	23.80	406736	14815290.000
04/06/2011	23.75	23.92	23.40	23.61	491224	17810154.000
04/07/2011	23.61	23.81	23.47	23.79	424220	15456030.000
04/08/2011	23.82	23.89	23.68	23.79	371257	13591161.000
04/11/2011	23.79	23.93	23.51	23.54	384529	13948431.000
04/12/2011	23.43	23.56	23.43	23.47	274514	9924278.000
04/13/2011	23.46	23.73	23.45	23.68	289500	10498656.000
04/14/2011	23.61	23.71	23.47	23.51	246369	8920069.000
04/15/2011	23.47	23.62	23.43	23.50	190032	6865671.000
04/18/2011	23.45	23.66	23.45	23.58	182770	6619288.000
04/19/2011	24.30	24.67	24.10	24.55	2409239	90374144.000
04/20/2011	24.53	24.96	24.45	24.69	1227581	46532340.000
04/21/2011	24.68	24.89	24.47	24.68	641878	24293924.000
04/22/2011	24.64	24.90	24.63	24.88	585148	22185422.000
04/25/2011	25.25	26.02	25.03	25.46	1990123	77760056.000
04/26/2011	25.39	26.00	25.12	25.50	1498874	58720876.000
04/27/2011	25.53	25.88	24.55	24.90	1162576	45007272.000
04/28/2011	24.95	25.75	24.90	25.05	957979	37018016.000
04/29/2011	25.18	25.39	24.18	25.14	769642	29291500.000
05/03/2011	25.22	25.50	24.40	25.46	669160	25687802.000
05/04/2011	25.29	25.43	24.57	24.57	497450	18979288.000
05/05/2011	24.59	26.23	24.59	25.80	1366480	53560632.000
05/06/2011	25.63	26.35	25.46	25.91	1452385	57749644.000
05/09/2011	25.75	26.29	25.61	25.82	711982	28163924.000
05/10/2011	25.82	26.23	25.69	26.15	712116	28277152.000
05/11/2011	26.15	26.68	26.03	26.60	2676979	107875448.000
05/12/2011	26.57	26.57	25.53	25.84	1257467	50283896.000
05/13/2011	25.96	26.58	25.78	26.22	1114758	44557472.000
05/16/2011	26.25	26.43	25.60	25.68	790187	31288586.000
05/17/2011	25.62	25.80	24.90	25.26	763215	29543468.000
05/18/2011	25.22	25.66	25.08	25.40	460799	17900432.000
05/19/2011	25.47	25.53	24.68	24.98	718868	27601426.000
05/20/2011	24.96	25.00	24.21	24.53	580965	21855842.000
05/23/2011	24.39	24.53	23.79	23.90	865111	31894948.000
05/24/2011	23.85	24.95	23.75	24.63	621123	23214662.000
05/25/2011	24.65	24.76	23.72	23.83	590509	21911368.000
05/26/2011	24.03	24.23	23.75	23.88	419371	15423682.000
05/27/2011	23.82	24.68	23.51	24.11	464407	17227752.000
05/30/2011	23.78	25.00	23.76	24.38	560496	21080530.000
05/31/2011	24.16	25.11	24.12	24.95	585471	22210430.000
06/01/2011	24.83	25.43	24.82	25.23	646374	24851778.000
06/02/2011	24.83	26.01	24.73	25.95	969909	37538228.000
06/03/2011	26.10	26.18	25.82	25.94	823890	32682924.000
06/07/2011	25.58	26.31	25.58	25.93	572667	22798028.000
06/08/2011	25.85	26.03	25.21	25.81	484006	18937040.000
06/09/2011	25.80	25.81	25.10	25.15	518937	20174110.000
06/10/2011	25.09	25.82	25.09	25.52	529603	20625174.000
06/13/2011	25.46	26.67	25.25	26.62	1344466	53962900.000
06/14/2011	26.46	26.93	26.33	26.57	1345617	54720488.000
06/15/2011	26.59	26.96	26.25	26.25	789793	32018270.000
06/16/2011	26.17	26.42	25.55	25.59	454708	17961488.000
06/17/2011	25.52	25.73	25.41	25.42	294907	11502478.000
06/20/2011	25.96	26.43	25.75	26.03	976492	38873040.000
06/21/2011	25.85	26.32	25.69	26.03	559206	22180296.000
06/22/2011	26.15	26.25	25.67	25.96	266476	10515370.000
06/23/2011	25.91	27.15	25.91	27.00	1563589	63761648.000
06/24/2011	26.95	27.20	26.61	26.96	1273003	52220876.000
06/27/2011	27.07	27.10	26.77	27.09	844089	34636008.000
06/28/2011	27.03	27.16	26.45	26.95	806864	33033582.000
06/29/2011	26.88	27.78	26.64	26.64	1403169	58198776.000
06/30/2011	26.57	26.78	26.37	26.66	1029905	41700796.000
07/01/2011	26.51	27.24	26.50	26.68	1010482	41365508.000
07/04/2011	26.80	27.19	26.73	27.02	1127569	46299052.000
07/05/2011	27.66	28.35	26.90	27.25	2165199	90264488.000
07/06/2011	27.31	27.43	26.83	27.22	1142360	47040980.000
07/07/2011	27.23	29.10	27.23	28.28	2636895	112627464.000
07/08/2011	28.25	28.75	27.93	28.63	1272053	54671312.000
07/11/2011	28.39	29.06	28.10	28.59	967479	42070096.000
07/12/2011	28.46	28.94	28.21	28.50	933993	40252060.000
07/13/2011	28.45	29.61	28.33	29.38	1048957	46255620.000
07/14/2011	29.39	29.96	29.21	29.52	902976	40312492.000
07/15/2011	29.68	30.09	29.11	29.28	903425	40264380.000
07/18/2011	29.11	29.74	28.88	29.02	1169383	51578600.000
07/19/2011	29.10	29.53	28.58	29.46	1134350	49848296.000
07/20/2011	29.11	29.59	29.04	29.29	777523	34356484.000
07/21/2011	29.12	29.94	29.12	29.36	1527895	68170712.000
07/22/2011	29.81	29.93	29.30	29.43	926806	41406360.000
07/25/2011	29.23	29.80	28.48	28.57	1258500	55066924.000
07/26/2011	28.55	28.86	28.30	28.62	611540	26443396.000
07/27/2011	28.65	29.57	28.11	29.57	813074	35736288.000
07/28/2011	29.32	30.38	29.18	30.11	913828	41311724.000
07/29/2011	29.83	30.16	29.46	29.50	591165	26561458.000
08/01/2011	29.49	30.52	29.32	30.22	951568	43334688.000
08/02/2011	29.82	30.10	29.18	30.03	718289	32097156.000
08/03/2011	29.60	30.02	29.40	30.00	714581	32066624.000
08/04/2011	30.00	30.20	28.63	29.18	1330169	58834980.000
08/05/2011	27.95	29.02	27.95	28.93	1221731	52942936.000
08/08/2011	28.52	28.93	27.18	28.18	1172601	49968056.000
08/09/2011	27.53	28.96	27.33	28.96	1046475	45057988.000
08/10/2011	28.68	31.82	28.68	30.64	2070253	94537072.000
08/11/2011	30.25	31.33	29.97	30.88	1803728	83452888.000
08/12/2011	31.24	31.30	30.44	31.09	1490128	69367984.000
08/15/2011	31.25	32.11	31.02	31.21	1819986	86137424.000
08/16/2011	31.27	31.45	30.09	30.43	1546367	71421112.000
08/17/2011	30.46	32.21	30.38	31.74	1958410	92627416.000
08/18/2011	31.68	31.70	30.83	31.00	986723	46347640.000
08/19/2011	30.55	31.71	30.54	31.35	1062296	49882764.000
08/22/2011	31.46	32.33	30.93	31.09	973594	46319308.000
08/23/2011	31.47	32.16	30.68	32.07	1367824	64943916.000
