300196 长海股份 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/29/2011	14.05	14.25	12.71	13.33	18998141	418186624.000
03/30/2011	13.25	13.87	13.02	13.57	11143770	243323088.000
03/31/2011	13.19	13.25	12.56	13.13	6635070	140013568.000
04/01/2011	13.09	13.11	12.48	12.52	5062440	105170648.000
04/06/2011	12.39	12.66	12.19	12.43	3830050	77651176.000
04/07/2011	12.36	12.54	12.30	12.33	2144353	43347060.000
04/08/2011	12.35	12.81	12.32	12.52	3416020	70124080.000
04/11/2011	12.59	12.59	12.03	12.06	2979073	59430376.000
04/12/2011	12.00	12.28	11.93	12.14	1574233	31136032.000
04/13/2011	12.01	12.61	12.01	12.58	2095531	42383312.000
04/14/2011	12.54	12.75	12.44	12.55	2078268	42730204.000
04/15/2011	12.36	12.63	12.15	12.63	1543707	31158932.000
04/18/2011	12.45	12.61	12.32	12.53	1506324	30600004.000
04/19/2011	12.53	13.06	12.53	12.59	2732121	57114584.000
04/20/2011	12.66	12.80	12.52	12.70	1349746	27929986.000
04/21/2011	12.64	12.69	12.21	12.25	1861158	37686560.000
04/22/2011	12.24	12.25	11.87	12.18	1472318	28996582.000
04/25/2011	11.94	12.06	11.70	11.74	802443	15466600.000
04/26/2011	11.74	11.74	11.38	11.47	916941	17239628.000
04/27/2011	11.50	11.68	11.29	11.63	722415	13584127.000
04/28/2011	11.56	11.66	11.31	11.38	542122	10174252.000
04/29/2011	11.00	11.49	11.00	11.47	592527	10875900.000
05/03/2011	11.43	11.47	11.26	11.47	551404	10214961.000
05/04/2011	11.33	11.38	11.01	11.38	617562	11342912.000
05/05/2011	11.35	11.58	11.35	11.47	708593	13304504.000
05/06/2011	11.39	11.52	11.26	11.49	366415	6850516.000
05/09/2011	11.44	11.69	11.42	11.59	594164	11242149.000
05/10/2011	11.52	11.63	11.41	11.51	460619	8674624.000
05/11/2011	11.58	11.70	11.45	11.50	493760	9323131.000
05/12/2011	11.39	11.49	11.23	11.44	712384	13186998.000
05/13/2011	11.35	11.39	11.19	11.39	387514	7156819.500
05/16/2011	11.34	11.38	11.23	11.36	461700	8533043.000
05/17/2011	11.30	11.38	11.18	11.37	486564	8997800.000
05/18/2011	11.31	11.36	11.22	11.36	412991	7619439.500
05/19/2011	11.33	11.39	11.23	11.23	634180	11684995.000
05/23/2011	11.19	11.19	10.08	10.08	1823444	30737838.000
05/24/2011	9.85	10.25	9.82	10.12	765861	12594996.000
05/25/2011	9.99	10.08	9.75	9.85	690664	11213777.000
05/26/2011	9.91	9.91	9.61	9.63	761600	12215279.000
05/27/2011	9.53	9.69	9.43	9.49	695932	10866108.000
05/30/2011	9.55	9.61	9.35	9.41	332045	5152352.000
05/31/2011	9.46	9.53	9.31	9.51	358460	5542970.500
06/01/2011	9.54	9.67	9.45	9.62	521542	8181055.500
06/02/2011	9.47	9.53	9.13	9.26	365101	5574769.000
06/03/2011	9.31	9.50	9.20	9.47	251099	3861959.250
06/07/2011	9.34	9.47	9.34	9.44	181888	2807738.750
06/08/2011	9.38	9.44	9.28	9.39	160370	2464895.250
06/09/2011	9.31	9.45	9.24	9.31	215437	3314782.750
